step,t_rel,q0,q1,q2,q3,q4,q5,finger,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,action0,action1,action2,action3,action4,action5,action6,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,force_ext_x,force_ext_y,force_ext_z,force_ext_mag,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,arm_lead0,arm_lead1,arm_lead2,arm_lead3,arm_lead4,arm_lead5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02008170100089046,-6.024037496388246e-06,-2.199978014031881,1.5999797026263636,-1.6000172100462855,-1.50000507036318,1.892660407065705e-06,0.00010900090138117472,0.2400151653276222,0.1477726820930974,0.3276209707675105,0.37425810990061076,-0.009480129945162584,0.11391843684042792,0.9995573663535302,0.006113032098699782,0.018340895207336023,0.022612960544994072,0.19646816,-0.16589938,0.14128846,0.23838071794178375,-0.8367435,0.5680621,0.43724844,-0.18485513,-0.14356573,-0.2499287,0.06540054,-4.737488037997672,0.3702695767434091,0.5296747328839313,-0.034742257274682435,0.4399609349508407,-0.13609853246855053,0.03507606700771415,0.06871627421189469,0.12892984881280628,0.15025033355432874,0.11969926953315735,-0.23706136643886566,-1.2787936925888062,-0.6101550459861755,-0.009199561551213264,0.04209055006504059,4.309667653273234e-18,-0.38329043984413147,-1.6533688306808472,-1.3548264503479004,0.1414867788553238,0.05086028203368187,-0.03347576,-2.1772556,1.6174697,-1.6074114,-1.5057478,-0.009995256,-0.03347576,-2.1772556,1.6174697,-1.6074114,-1.5057478,-0.009995256,-0.03346973633299655,0.02272238353871714,0.017489965762003123,-0.007394174536234033,-0.005742724741800487,-0.009997148279694557,-6.024037702445639e-06,-2.1999781131744385,1.5999797582626343,-1.6000171899795532,-1.5000051259994507,1.892660407065705e-06,0.004360036055246989,0.0006540054082870483,0.00010900090138117472,0.0,,,False,0,0.00017622599989408627,0.00010384699999121949,0.0005012889996578451,0.0003886559989041416,0.00017189000027428847,9.697400128061417e-05,0.0017244530008611036,0.018356345999563928,0.02008079900042503,49.79881527517077,0
1,0.040074518001347315,-0.0003355185138147476,-2.199759145776266,1.6000755468951624,-1.600107332269186,-1.5000017325030726,-5.323091615849762e-05,0.0002868252827061547,0.2401128895741571,0.14769436353641277,0.32755045101142927,0.37427490697672716,-0.009475738347283033,0.11389223507368999,0.9995368114341474,0.0062950258566264496,0.01926437884773841,0.022701700577108692,0.19646816,-0.16589938,0.14128846,0.23839913700315524,-0.82982033,0.6044929,0.3867904,-0.23955517,-0.22785617,-0.24348395,0.052194178,-2.192350867985436,-1.9629146626731253,2.1083485211684727,-0.10942293902493701,0.4230198511971119,-0.08811688564778203,2.5802132370199495,-2.2644679652046396,1.7076036370973477,3.834217742298825,-0.5569472908973694,0.6054102182388306,-0.5802841782569885,-0.6515402793884277,-0.3456283509731293,-0.1296962946653366,-0.7833834886550903,0.5538846254348755,-1.0004745721817017,-1.3632805347442627,-0.18617841601371765,-0.10042481124401093,-0.03352833,-2.1755795,1.6155472,-1.6096895,-1.509116,-0.009792589,-0.03352833,-2.1755795,1.6155472,-1.6096895,-1.509116,-0.009792589,-0.03319281315337008,0.02417959789418589,0.015471633280618846,-0.009582141836649072,-0.009114321078165233,-0.00973935773502177,-0.00033551850356161594,-2.1997592449188232,1.600075602531433,-1.6001073122024536,-1.5000017881393433,-5.3230916819302365e-05,0.011473011308246187,0.0011759471893310546,0.0002868252827061547,0.00021800180547870696,,,False,0,0.0001339170012215618,9.997599954658654e-05,0.0004919399998470908,0.0002443329995003296,0.00013842800035490654,8.83370012161322e-05,0.00147406299947761,0.018342791001487058,0.019816854000964668,50.46209655434313,0
2,0.06007745700117084,-0.0027344862567346695,-2.198090215722555,1.6014907995807093,-1.6004711590208949,-1.5009368101703089,-0.0007270018206995132,0.0004961002914717904,0.2407872234946519,0.14689583270735543,0.3266695945514797,0.3742520425704998,-0.009461798954424594,0.11389343472052546,0.9995451618779706,0.00603038980717801,0.018838817648009917,0.022763053762835755,0.19646816,-0.16589938,0.14128846,0.2383910936268351,-0.82999265,0.60716265,0.37217516,-0.24534814,-0.20329173,-0.23864101,0.036652815,-2.1319244222678826,0.9363064159769344,0.6028389498441487,-0.09863206398921423,0.36408471947035226,-0.23633020626311368,2.640639682737503,0.6347531134454201,0.20209406577302363,2.723367668989508,-0.6123016476631165,0.5448424220085144,-0.6400092840194702,-0.8139752745628357,-0.14269931614398956,-0.1842886209487915,-0.6644987463951111,0.24324803054332733,-1.1231651306152344,-1.4213448762893677,-0.20188333094120026,-0.10708077996969223,-0.03593419,-2.1738038,1.6163778,-1.610285,-1.5090685,-0.010272642,-0.03593419,-2.1738038,1.6163778,-1.610285,-1.5090685,-0.010272642,-0.03319970494042224,0.02428640941762339,0.014887030924661815,-0.00981388469553579,-0.008131678904398143,-0.009545639845534026,-0.002734486246481538,-2.1980903148651123,1.60149085521698,-1.6004711389541626,-1.5009368658065796,-0.0007270018104463816,0.01984401165887161,0.0015424753352999687,0.0004961002914717904,0.0005736505845561624,,,False,0,8.904800051823258e-05,5.7279999964521267e-05,0.00030426699959207326,0.00017268599913222715,8.342500041180756e-05,6.715099880238995e-05,0.0009591849993739743,0.018889155000579194,0.01984833999995317,50.382047062996676,0
3,0.08005991299978632,-0.0066445509540002945,-2.1955977878966273,1.603070084248678,-1.6013485393919886,-1.5014236609088343,-0.001976792012349904,0.000705624809373676,0.2418852692587305,0.14583454716991723,0.3256393241131689,0.3742585000546604,-0.009483707702060582,0.11386621080979799,0.9995516916657713,0.006436748825156427,0.01850323782019902,0.022641491708897347,0.19646816,-0.16589938,0.14128846,0.2383846634182721,-0.831731,0.6122468,0.3578068,-0.2400741,-0.19984403,-0.23625885,0.021077206,-2.789612757904812,-1.570305013591029,1.3175198366520682,-0.1481648426838673,0.37630693948815946,-0.17085519647437178,1.982951347100574,-1.8718583161225435,0.9167749525809432,2.876877806630809,-0.512027382850647,0.49513885378837585,-0.5265027284622192,-0.8531286120414734,-0.2767520248889923,-0.16428978741168976,-0.500153124332428,0.1174173504114151,-1.2494169473648071,-1.4706573486328125,-0.11264357715845108,-0.10380543768405914,-0.039913792,-2.171108,1.6173824,-1.6109514,-1.5094175,-0.011427145,-0.039913792,-2.171108,1.6173824,-1.6109514,-1.5094175,-0.011427145,-0.03326924120913333,0.024489780465597022,0.014312322939737498,-0.009602884253030908,-0.00799387296567744,-0.009450353438957393,-0.0066445511765778065,-2.1955978870391846,1.6030701398849487,-1.6013485193252563,-1.501423716545105,-0.001976792002096772,0.02822499237494704,0.0017532473988831044,0.000705624809373676,0.0009922005701810122,,,False,0,8.952399912232067e-05,6.089199996495154e-05,0.0003174209996359423,0.00016830000095069408,5.5541999245178886e-05,4.4743001126335e-05,0.001101666000977275,0.01864863699847774,0.019750302999455016,50.63213460712951,0
4,0.1001178370006528,-0.0115893522845667,-2.1918746433653773,1.6051481405841272,-1.6032902203001917,-1.5026100317584437,-0.0033906141864221695,0.0009096995352119697,0.24348060870169808,0.1443458267079081,0.3243292072966867,0.37426292735576244,-0.009462092632642652,0.11385774843027266,0.9995505474665269,0.006757004003852834,0.018515030285246398,0.022587969565855723,0.19646816,-0.16589938,0.14128846,0.23840312196032737,-0.83418304,0.6025718,0.3403054,-0.24227384,-0.1663753,-0.23407525,0.017682577,-6.299613131053877,0.7791439483169882,2.863927308827006,-0.08117483821953628,0.5075578375954581,-0.2218943745850805,-1.5270490260484912,0.4775906457854738,2.463182424755881,2.9372162348937967,-0.29896119236946106,0.07155703008174896,-0.6091700196266174,-0.6988655924797058,-0.14300252497196198,-0.18403607606887817,-0.36952582001686096,-0.05636618658900261,-1.3509985208511353,-1.491178274154663,-0.04978785663843155,-0.1049252450466156,-0.044956673,-2.1677718,1.6187605,-1.6129812,-1.5092651,-0.012753624,-0.044956673,-2.1677718,1.6187605,-1.6129812,-1.5092651,-0.012753624,-0.03336732065211123,0.024102827111715186,0.013612325991495311,-0.009690979918008935,-0.006655033434732616,-0.00936300935129708,-0.011589352041482925,-2.1918747425079346,1.605148196220398,-1.6032902002334595,-1.5026100873947144,-0.003390614176169038,0.036387981408478785,0.0019300731644034386,0.0009096995352119697,0.001411249628290534,,,False,0,6.743099947925657e-05,4.065500070282724e-05,0.00016341799891961273,0.00014316799934022129,4.881799941358622e-05,4.5466000301530585e-05,0.0006314620004559401,0.019358019999344833,0.019989481999800773,50.026308836315344,0
5,0.1201012460005586,-0.01663667360414678,-2.1880561314024867,1.607692066823141,-1.6042615375914515,-1.5037840048419397,-0.004861179982320607,0.0010955841903190226,0.24493747526326737,0.14282508877864367,0.3226131393090773,0.37426684544360495,-0.009435331024601335,0.11390410746179029,0.9995610230377362,0.006750935457473037,0.018061856022103435,0.02249257409902119,0.19646816,-0.16589938,0.14128846,0.238418276095968,-0.8343407,0.6094706,0.3436259,-0.26719427,-0.1658791,-0.23894294,0.00949343,-4.172540315554162,0.41527867168896815,-1.5675098371930574,-0.07258442341710644,0.35013711685293974,-0.20847407437118798,0.6000237894512237,0.11372536915745374,-1.9682547212641823,2.06082232501401,-0.30195486545562744,0.04710499569773674,-0.8853901624679565,-1.037142276763916,-0.16920261085033417,-0.1770177185535431,-0.31525686383247375,-0.13925470411777496,-1.4003921747207642,-1.5053379535675049,-0.01763245463371277,-0.10574204474687576,-0.0500103,-2.1636775,1.6214372,-1.6149493,-1.5104192,-0.014418898,-0.0500103,-2.1636775,1.6214372,-1.6149493,-1.5104192,-0.014418898,-0.03337362756858653,0.024378677407735694,0.013745125140054881,-0.010687807997232568,-0.006635244692667186,-0.009557718168004214,-0.016636673361063004,-2.188056230545044,1.6076921224594116,-1.6042615175247192,-1.5037840604782104,-0.004861180204898119,0.0438233676127609,0.002025007465854287,0.0010955841903190226,0.0018193990690633655,,,False,0,6.531899998662993e-05,4.2878000385826454e-05,0.00017058900084521156,0.00012601399976119865,5.105200034449808e-05,5.27239990333328e-05,0.0006406700013030786,0.019263103999037412,0.01990377400034049,50.241728025192266,0
6,0.1400653400014562,-0.02186614671816045,-2.184383531610006,1.6096919218646448,-1.605969568292135,-1.5049517790423792,-0.006358925496236623,0.0012541041157353597,0.24649840388554078,0.14124797899846375,0.3212893109042615,0.3742205142260043,-0.009463164574681698,0.11389153163524561,0.9995514731138283,0.006717534005551939,0.018798886244073793,0.02232274773518209,0.19646816,-0.16589938,0.14128846,0.2383669042853405,-0.83399796,0.6127503,0.34292975,-0.2515553,-0.16178891,-0.23807088,0.0021696277,-4.54604819940627,-0.34780763252282026,1.3369051707921022,-0.08654421326699085,0.4257359331812079,-0.19696831079717725,0.22651590559911572,-0.6493609350543347,0.9361602867209773,1.1616260852346292,-0.30063924193382263,0.20937953889369965,-0.6702112555503845,-0.7931480407714844,-0.1813429743051529,-0.17413143813610077,-0.2960599660873413,-0.15778076648712158,-1.4011439085006714,-1.5004774332046509,-0.010883308947086334,-0.1070161834359169,-0.055226065,-2.1598737,1.6234092,-1.6160318,-1.5114233,-0.01588176,-0.055226065,-2.1598737,1.6234092,-1.6160318,-1.5114233,-0.01588176,-0.03335991850028819,0.024509807626241553,0.013717230166299998,-0.010062197645670068,-0.006471570338113963,-0.009522834549649417,-0.021866146475076675,-2.1843836307525635,1.6096919775009155,-1.6059695482254028,-1.50495183467865,-0.006358925718814135,0.050164164629414386,0.0020467037428170444,0.0012541041157353597,0.002191168488934636,,,False,0,9.887000123853795e-05,4.993099901184905e-05,0.00021084400032123085,0.0001905210010590963,7.438099964929279e-05,4.7527999413432553e-05,0.000824479000584688,0.019050654000238865,0.019875133000823553,50.31412871343118,0
7,0.16011943800003792,-0.02720815340151006,-2.180658002892965,1.6117790381061,-1.607692380944723,-1.506103817616598,-0.007852856312887013,0.0013865213117217584,0.24806606066535666,0.13963422411638185,0.31991835119899575,0.37424099023461904,-0.009483595291819353,0.11390533514207926,0.9995535990601843,0.006166961637024597,0.01872047015695035,0.02245333793337372,0.19646816,-0.16589938,0.14128846,0.2383671807270281,-0.8345765,0.6133313,0.34093523,-0.26566672,-0.15432009,-0.24067739,0.00019035488,-3.2956939388573754,-0.01394513118195162,0.9817912739364948,-0.07558309635773969,0.39736890929027446,-0.19535993278470146,1.4768701661480104,-0.31549843371346603,0.5810463898653697,1.6181160825198178,-0.3771336078643799,0.25069761276245117,-0.6283401846885681,-0.8622152805328369,-0.18226678669452667,-0.20087255537509918,-0.28542688488960266,-0.17467482388019562,-1.4043443202972412,-1.4910337924957275,-0.011160261929035187,-0.10764040797948837,-0.060591213,-2.1561248,1.6254165,-1.618319,-1.5122766,-0.017479952,-0.060591213,-2.1561248,1.6254165,-1.618319,-1.5122766,-0.017479952,-0.033383060003622234,0.024533172646993506,0.013637479151590526,-0.010626653631693017,-0.0061728318584997055,-0.00962709611187762,-0.027208153158426285,-2.1806581020355225,1.6117790937423706,-1.6076923608779907,-1.5061038732528687,-0.007852856069803238,0.05546085246887033,0.0020486072916537524,0.0013865213117217584,0.002508208155632019,,,False,0,0.00011428700054239016,7.37509999453323e-05,0.00038079600017226767,0.00018450099923938978,0.0001318970007559983,6.833800034655724e-05,0.0011733239989553113,0.018779801999698975,0.019953125998654286,50.11746029506573,0
8,0.18012052000085532,-0.03270179430116826,-2.176600595513815,1.6140382925616663,-1.609319349328512,-1.5072572867022913,-0.009382549916402638,0.001493907608683992,0.24967183889729988,0.1379686502434029,0.3183764017233434,0.37423763509256003,-0.009468796477301563,0.11392090330130834,0.9995508522827423,0.006052564688844788,0.018839392152511108,0.022507627255980427,0.19646816,-0.16589938,0.14128846,0.23837260190908383,-0.83529913,0.6141398,0.33708403,-0.27387202,-0.1523463,-0.24305707,-0.0017768198,-4.25693479217712,0.530745057607981,0.3925379042336268,-0.06179812137649373,0.39372112878422594,-0.22293653815316855,0.5156293128282661,0.22919175507646655,-0.00820697983749824,0.5643312886601575,-0.26381129026412964,0.08951481431722641,-0.7148231267929077,-0.8675932884216309,-0.13615299761295319,-0.17988184094429016,-0.28363287448883057,-0.18944108486175537,-1.4123578071594238,-1.4927858114242554,-0.01120479591190815,-0.10780765861272812,-0.066113755,-2.152035,1.6275218,-1.6202742,-1.5133512,-0.019104833,-0.066113755,-2.152035,1.6275218,-1.6202742,-1.5133512,-0.019104833,-0.0334119608057577,0.02456559757375132,0.013483460749490916,-0.010954836805826318,-0.006093915308817088,-0.00972228286693877,-0.03270179405808449,-2.176600694656372,1.614038348197937,-1.6093193292617798,-1.507257342338562,-0.009382549673318863,0.05975630434735967,0.0020308390934951604,0.001493907608683992,0.0027730425354093313,,,False,0,9.974100066756364e-05,7.07929993950529e-05,0.00037902099938946776,0.00025921000087691937,0.00014868799917167053,7.1111000579549e-05,0.0012262429991096724,0.018642093000380555,0.019868335999490228,50.33134128724507,0
9,0.20012046300143993,-0.03805667558778936,-2.1724983654417933,1.6162546316729944,-1.6109401188292445,-1.5082739035235804,-0.010944191609517873,0.0015745520980841076,0.25124629558023504,0.13635697532180227,0.3168359224306281,0.3742386204857894,-0.009528907254575718,0.11403029939022025,0.9995749844674268,0.006126345522317226,0.01753957853935629,0.02246525623602658,0.19646816,-0.16589938,0.14128846,0.23832135685483252,-0.8351456,0.6172917,0.3373627,-0.27992854,-0.15203916,-0.24508546,-0.005306455,-4.789693295675486,1.2289262354006962,0.8181173908840556,-0.036409770323294975,0.4233448006560344,-0.19849164082893656,-0.01712919067009988,0.9273729328691818,0.41737250681293053,1.0171105029615566,-0.2501569986343384,-0.013147696852684021,-0.7556295394897461,-0.8879764080047607,-0.16611093282699585,-0.15855734050273895,-0.2868508994579315,-0.19387410581111908,-1.4136682748794556,-1.4919060468673706,-0.013923107646405697,-0.1080879494547844,-0.0714625,-2.147807,1.6297492,-1.6221372,-1.5143555,-0.02074761,-0.0714625,-2.147807,1.6297492,-1.6221372,-1.5143555,-0.02074761,-0.033405821527345836,0.024691482583516944,0.013494547213419139,-0.011197070082193505,-0.006081636751993358,-0.00980341782699412,-0.03805667534470558,-2.1724984645843506,1.6162546873092651,-1.6109400987625122,-1.508273959159851,-0.010944191366434097,0.0629820839233643,0.001977774545084685,0.0015745520980841076,0.002987815300002694,,,False,0,9.84010002866853e-05,7.015499977569561e-05,0.0004304750000301283,0.00018429800002195407,0.00011951300075452309,6.55330004519783e-05,0.0011651990007521817,0.01870577699992282,0.019870976000675,50.32465440882375,0
