step,t_rel,q0,q1,q2,q3,q4,q5,finger,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,action0,action1,action2,action3,action4,action5,action6,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,force_ext_x,force_ext_y,force_ext_z,force_ext_mag,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,arm_lead0,arm_lead1,arm_lead2,arm_lead3,arm_lead4,arm_lead5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02007559699995909,2.4233511794591323e-05,-2.199981828729147,1.5999725500689905,-1.600044389764303,-1.50000507036318,1.7440319425077178e-05,0.00040330020089944204,0.2400140173285869,0.1477799443766839,0.32763028188721144,0.368891592466419,-0.01331468435462527,0.11387054894697665,0.9993208836456924,0.005988480121036592,0.024243139611516886,0.027094802832131483,0.1946911,-0.1679813,0.14128846,0.2345619578189709,-0.7782734,0.5834339,0.626498,0.07860627,-0.01516987,-0.17826259,0.24198012,-1.8444656746000345,2.1964716010508463,0.13758567299332125,0.15249690370790617,0.20943036681404692,-0.30733123359486025,0.005000291778489707,-0.08993556870997343,-0.08223504121827016,0.12196725561078668,-0.055874548852443695,-0.2506219148635864,-0.9200979471206665,-0.6341342926025391,-0.01749602146446705,-0.04828062281012535,1.1870138570267616e-17,-0.38339632749557495,-1.6533983945846558,-1.3547898530960083,0.14151422679424286,0.05085419490933418,-0.031106703,-2.1766446,1.6250325,-1.5969001,-1.5006119,-0.0071130632,-0.031106703,-2.1766446,1.6250325,-1.5969001,-1.5006119,-0.0071130632,-0.031130936495173955,0.02333726505422007,0.025059994067056834,0.003144284287923682,-0.0006068309200841782,-0.007130503561711521,2.4233511794591323e-05,-2.199981927871704,1.5999726057052612,-1.6000443696975708,-1.5000051259994507,1.7440319425077178e-05,0.01613200803597768,0.0024198012053966524,0.00040330020089944204,0.0,,,False,0,0.0003340010007377714,0.00010913400001300033,0.0006006959993101191,0.0002235629999631783,0.00024947800011432264,0.00011334500049997587,0.0019212730003346223,0.018153356000766507,0.02007462900110113,49.81412109509711,0
1,0.04006433199901949,-0.000352207814351857,-2.199735303918356,1.6002333799945276,-1.6000453434386195,-1.4999807516681116,-6.024037496388246e-06,0.0010111244064238336,0.24010713407875062,0.14769532223322743,0.3274715800854726,0.3688996759941991,-0.013288590642258718,0.11384602998212191,0.9993028657034086,0.006699073738026986,0.024576197272989618,0.027292618684484345,0.1946911,-0.1679813,0.14128846,0.23458803439638862,-0.75184757,0.5507898,0.3677914,-0.06398726,0.033939358,-0.20563701,0.16304442,0.13802638729980243,0.0658092737001363,3.3438804545217127,0.08136389648556037,0.24494865657774517,-0.25684745355211763,1.9874923536783267,-2.2205978960606836,3.124059740310121,4.317514346582475,-0.6433429718017578,0.6361267566680908,-0.25365200638771057,-0.2871512472629547,-0.2337750494480133,-0.2518554925918579,-0.7737958431243896,0.62733393907547,-0.8325546979904175,-1.031651258468628,-0.05799498409032822,-0.08779039978981018,-0.03042611,-2.1777039,1.614945,-1.6026049,-1.4986233,-0.008231504,-0.03042611,-2.1777039,1.614945,-1.6026049,-1.4986233,-0.008231504,-0.03007390139530486,0.02203144649648081,0.014711674059732616,-0.0025595225892125484,0.0013574997531335953,-0.008225479851468265,-0.0003522078040987253,-2.199735403060913,1.6002334356307983,-1.6000453233718872,-1.4999808073043823,-6.024037702445639e-06,0.04044497625695334,0.0040502454340457916,0.0010111244064238336,0.0008066003792919219,,,False,0,0.00013909900008002296,9.939800111169461e-05,0.0004817259996343637,0.0002352129995415453,0.00014568000005965587,9.405400123796426e-05,0.0014894389987603063,0.01830326100025559,0.019792699999015895,50.52367792417005,0
2,0.06005960599941318,-0.0026806036578577164,-2.198007722894186,1.6025245825396937,-1.5995251140990199,-1.5002592245685022,-0.0005720297442834976,0.0017472253277621887,0.24062915975056304,0.14706950346241762,0.3260662432404618,0.36889856686383443,-0.013307741802659999,0.11388414890044386,0.9993119573989409,0.006147854837853266,0.024417708092717424,0.027232910715461335,0.1946911,-0.1679813,0.14128846,0.2345701260217986,-0.7598516,0.5913837,0.4279415,-0.01289415,-0.052714974,-0.19559287,0.13774845,1.3239686051326394,2.926336094394614,-0.8331733510680059,0.15418048816990726,0.1358938980549104,-0.3297609930378075,3.1734345715111636,0.6399289246337942,-1.0529940652795973,3.4042609344407286,-0.5522657036781311,0.61308354139328,-0.6845991015434265,-0.577018141746521,-0.04170233756303787,-0.19587528705596924,-0.5950340032577515,0.22956541180610657,-1.1469241380691528,-1.1521625518798828,0.016166601330041885,-0.10580271482467651,-0.033074666,-2.1743524,1.6196423,-1.6000409,-1.5023679,-0.008395744,-0.033074666,-2.1743524,1.6196423,-1.6000409,-1.5023679,-0.008395744,-0.03039406215678042,0.023655315438741553,0.017117675150736034,-0.0005157985291539546,-0.0021086295498449203,-0.00782371381203717,-0.0026806036476045847,-2.198007822036743,1.6025246381759644,-1.5995250940322876,-1.500259280204773,-0.0005720297340303659,0.06988901311048755,0.005427729934453964,0.0017472253277621887,0.002022248925641179,,,False,0,8.950200026447419e-05,6.154899892862886e-05,0.0002665700012585148,0.0001321219988312805,9.070599844562821e-05,5.991299985907972e-05,0.000887799998963601,0.019002532000740757,0.019890331999704358,50.27568167363238,0
3,0.08006479399955424,-0.006266419087545216,-2.195648809472555,1.6044090429889124,-1.5996133289732875,-1.5000255743609827,-0.001553837453023732,0.00254447768005416,0.24152895141901415,0.1462586375105092,0.3247980616354083,0.3689411992125136,-0.013269319380833543,0.11381012657464275,0.9993207498309533,0.006540642440610629,0.024038327004028318,0.027155546770579145,0.1946911,-0.1679813,0.14128846,0.2346357804515164,-0.75486416,0.6113201,0.4245103,-0.0075035137,-0.06946301,-0.18531749,0.11030095,-0.7238806517826482,-0.2625610951414803,1.3191437587815513,0.06977726023409916,0.18673908591979482,-0.2607095731483824,1.125585314595876,-2.5489682649023,1.09932304456996,2.9954453211894063,-0.4802286624908447,0.42746663093566895,-0.5271586775779724,-0.687970757484436,-0.046306636184453964,-0.18880067765712738,-0.4823143780231476,0.1382114142179489,-1.229466199874878,-1.3622311353683472,0.0725226178765297,-0.10363311320543289,-0.036460984,-2.1711962,1.6213895,-1.5999135,-1.5028042,-0.008966537,-0.036460984,-2.1711962,1.6213895,-1.5999135,-1.5028042,-0.008966537,-0.03019456541071719,0.024452587167257178,0.016980465258463084,-0.00030014892435659135,-0.002778585757120311,-0.007412699739440143,-0.006266419310122728,-2.1956489086151123,1.604409098625183,-1.5996133089065552,-1.5000256299972534,-0.0015538374427706003,0.10177910720216639,0.006530739441514015,0.00254447768005416,0.0034944505896419287,,,False,0,7.984799958649091e-05,4.433000140124932e-05,0.00017147000107797794,0.00011958999857597519,5.1127000915585086e-05,5.112100006954279e-05,0.000642639999568928,0.019281177999801002,0.01992381799936993,50.191183237651735,0
4,0.10003921599854948,-0.010788742695943654,-2.192033906976217,1.6067093054400843,-1.6002174816527308,-1.5002320448504847,-0.0026610533343713882,0.0033407890744729606,0.24283764993028767,0.14510901828327788,0.32316718629694635,0.36891451205552217,-0.01327713363138303,0.11382812949794485,0.9993053847886227,0.0063451930681920005,0.024729660709159235,0.027146621641522095,0.1946911,-0.1679813,0.14128846,0.23460870143575646,-0.7544838,0.61807686,0.3790199,-0.039389152,-0.07631083,-0.18356703,0.07916066,-3.8640248848498207,3.3491443823356413,3.174393970238214,0.16244999912752983,0.3161614213485929,-0.33800542019505087,-2.0145589184712964,1.0627372125748216,2.9545732560266225,3.7305979606775237,-0.2231297492980957,0.10932035744190216,-0.5602209568023682,-0.5300337076187134,-0.0996105819940567,-0.20200985670089722,-0.35491931438446045,-0.04824599251151085,-1.3261951208114624,-1.3632187843322754,-0.04689198359847069,-0.10218284279108047,-0.040968094,-2.167311,1.6218702,-1.601793,-1.5032846,-0.010003734,-0.040968094,-2.167311,1.6218702,-1.601793,-1.5032846,-0.010003734,-0.03017935132513827,0.02472295383595835,0.01516085466275996,-0.0015755691132604,-0.0030525287045080063,-0.007342681045635402,-0.010788742452859879,-2.1920340061187744,1.606709361076355,-1.6002174615859985,-1.5002321004867554,-0.0026610533241182566,0.13363156297891843,0.007322346046566963,0.0033407890744729606,0.0050889551639556885,,,False,0,0.00010074599958898034,4.108000030100811e-05,0.00016125000001920853,9.993599996960256e-05,4.840499968850054e-05,4.115899901080411e-05,0.0006893019999552052,0.01918555099837249,0.019874852998327697,50.31483755296915,0
5,0.12009631199907744,-0.015322510396138966,-2.1882525883116664,1.6098187605487269,-1.5997988186278285,-1.5004594961749476,-0.0038664976703088882,0.004102646548940388,0.24398777487772202,0.14394516747308367,0.3209735017810179,0.3688960693611324,-0.013268005217818703,0.11386184999492832,0.9993210721005625,0.006208742491595017,0.024040218855084918,0.027219243697348988,0.1946911,-0.1679813,0.14128846,0.2345970811989973,-0.75565606,0.6283777,0.37688673,-0.043970846,-0.102103576,-0.18038481,0.058958787,-0.520043669361193,2.5754116306068675,-3.444365060910197,0.17145464006241945,0.07893213683872469,-0.31921487267692006,1.3294222970173313,0.2890044608460478,-3.6641857751217883,3.9085988047893343,-0.30756598711013794,0.05528799071907997,-0.943641722202301,-0.7974517941474915,-0.12010124325752258,-0.17644543945789337,-0.3107059597969055,-0.11466352641582489,-1.394625186920166,-1.416046142578125,-0.023492634296417236,-0.10158392041921616,-0.045548752,-2.1631176,1.6248943,-1.6015576,-1.5045437,-0.01108189,-0.045548752,-2.1631176,1.6248943,-1.6015576,-1.5045437,-0.01108189,-0.03022624155412501,0.02513494114064585,0.0150755008114416,-0.0017587937912999507,-0.004084165896280467,-0.007215392532749831,-0.015322510153055191,-2.1882526874542236,1.6098188161849976,-1.5997987985610962,-1.5004595518112183,-0.0038664976600557566,0.1641058619576155,0.007911933921277522,0.004102646548940388,0.006681578233838081,,,False,0,6.77030002407264e-05,3.6588999137165956e-05,0.0001934060001076432,9.151099948212504e-05,4.77680005133152e-05,3.56639993697172e-05,0.0007766999988234602,0.019204446000003372,0.019981145998826833,50.04717947903057,0
6,0.14006416899974283,-0.020061318074361623,-2.1847545109190882,1.6117633024798792,-1.600307127038473,-1.5006902853595179,-0.005012814198629201,0.0048163831394527085,0.24527072566725672,0.14272062674616184,0.31948282565703856,0.36892678253773015,-0.01329448635765302,0.11384777670382637,0.9993304001713214,0.005858929494414458,0.023469908400290007,0.027451317692386526,0.1946911,-0.1679813,0.14128846,0.23460407311459883,-0.75461954,0.6384081,0.39791042,-0.03149483,-0.11872973,-0.17352599,0.047313217,-1.2459074659227247,1.423615370162806,2.1381712405195827,0.12648721343438823,0.22009682866994565,-0.2903978857117144,0.6035585004557995,-0.8627917995980137,1.9183505263079914,2.188323855079997,-0.33929070830345154,0.3244301676750183,-0.516986072063446,-0.6678526401519775,-0.20424947142601013,-0.1846633404493332,-0.29150140285491943,-0.14038048684597015,-1.3972094058990479,-1.4856091737747192,-0.01850178651511669,-0.1025075688958168,-0.050246097,-2.1592183,1.6276798,-1.6015669,-1.5054395,-0.011953854,-0.050246097,-2.1592183,1.6276798,-1.6015669,-1.5054395,-0.011953854,-0.03018477907310313,0.02553619960927378,0.015916522349222362,-0.0012597837052403804,-0.004749234522684276,-0.006941039803429305,-0.020061317831277847,-2.1847546100616455,1.61176335811615,-1.6003071069717407,-1.5006903409957886,-0.005012814421206713,0.19265532557810833,0.008385066092014313,0.0048163831394527085,0.008205292746424675,,,False,0,9.001800026453566e-05,5.0612999984878115e-05,0.0002091169990308117,0.00010820099851116538,6.437299998651724e-05,4.507300036493689e-05,0.0007461709992639953,0.019080365000263555,0.01982653599952755,50.43745412833735,0
7,0.16008135599986417,-0.024915043507711232,-2.1808186970152796,1.6143959204303187,-1.6004511318602503,-1.5012601057635706,-0.006195847188131154,0.0054490436095424605,0.24655151228948366,0.14137890137048323,0.3175414562160898,0.3688686129253091,-0.013309903383699348,0.11390769651263805,0.9993241987673823,0.0056783451205933725,0.023993095053011577,0.027262716671916966,0.1946911,-0.1679813,0.14128846,0.23454370549682685,-0.75447404,0.63951886,0.3468474,-0.077769004,-0.11533929,-0.17288603,0.022727987,-0.2566194381058978,2.2617173182960717,0.01146624663703987,0.15953348659933786,0.14758525024106517,-0.3014874022312921,1.5928465282726263,-0.024689851464748003,-0.20835446757455153,1.6066055009098483,-0.30997729301452637,0.25294479727745056,-0.7008795738220215,-0.756260335445404,-0.17230220139026642,-0.16638098657131195,-0.2809484004974365,-0.16229337453842163,-1.3960894346237183,-1.4724671840667725,-0.01598273031413555,-0.10286160558462143,-0.055094004,-2.1552382,1.6282699,-1.6035619,-1.5058737,-0.013111288,-0.055094004,-2.1552382,1.6282699,-1.6035619,-1.5058737,-0.013111288,-0.030178960169656932,0.02558054546498667,0.013873990382059276,-0.003110746344095361,-0.004613574351175487,-0.00691544053982085,-0.024915043264627457,-2.180818796157837,1.6143959760665894,-1.600451111793518,-1.5012601613998413,-0.006195847410708666,0.2179617443816984,0.008612345959991217,0.0054490436095424605,0.009632766246795654,,,False,0,0.00010626699986460153,7.334600013564341e-05,0.0003594070003600791,0.0001541639994684374,0.00017299200044362806,6.825699892942794e-05,0.0011466129999462282,0.018738906001090072,0.0198855190010363,50.287850166137815,0
8,0.18006543099909322,-0.029880825673238576,-2.1766001186766566,1.6170027891742151,-1.600530286828512,-1.5020015875445765,-0.007334057484762013,0.006010643464486476,0.24786446389906314,0.1399589914427738,0.315523734955452,0.3688891258898281,-0.013342769234394187,0.11383593941335429,0.9993274750637706,0.006436399221102892,0.02399481497139343,0.026971390646633946,0.1946911,-0.1679813,0.14128846,0.23454565642237843,-0.75742835,0.64164424,0.3655263,-0.069654234,-0.13296513,-0.1719433,0.020629678,-1.455477441775288,1.899955193580678,-0.22991639583321954,0.13963236521140548,0.15939944413155302,-0.32106130753395334,0.3939885246032362,-0.3864519761801417,-0.449737110044811,0.7119238411263035,-0.25846895575523376,0.023520268499851227,-0.7251434922218323,-0.8391607403755188,-0.15094558894634247,-0.1965276449918747,-0.27674081921577454,-0.19223864376544952,-1.4322454929351807,-1.4964240789413452,-0.00827089138329029,-0.10290134698152542,-0.06017796,-2.1509345,1.6316239,-1.6033164,-1.5073203,-0.01421179,-0.06017796,-2.1509345,1.6316239,-1.6033164,-1.5073203,-0.01421179,-0.03029713382850474,0.025665660897725928,0.014621074999674022,-0.0027861394486485835,-0.005318697298868358,-0.0068777322200972435,-0.0298808254301548,-2.176600217819214,1.6170028448104858,-1.6005302667617798,-1.5020016431808472,-0.007334057707339525,0.240425738579459,0.008818642739206553,0.006010643464486476,0.010898087173700333,,,False,0,0.00011623799946391955,7.38260005164193e-05,0.00045416600005410146,0.00017807699987315573,0.000155399999130168,6.953299998713192e-05,0.0012825009998778114,0.018550122000306146,0.019832623000183958,50.42197393611145,0
9,0.20007756499944662,-0.034771267567769826,-2.172422071496481,1.6193583647357386,-1.600868364373678,-1.5027149359332483,-0.008451763783590138,0.00649756322224577,0.24918599688185367,0.13855401531769596,0.31366246528997827,0.36892676907763683,-0.013308952982933853,0.11384173079753959,0.999310712007379,0.006460473787419777,0.024337590473382797,0.027276144789983157,0.1946911,-0.1679813,0.14128846,0.23459523203314667,-0.7573836,0.64375895,0.35794082,-0.08164887,-0.13775389,-0.16915905,0.011351927,-2.270773845547211,2.249137775293313,0.45831484975117065,0.1626815204637827,0.16993492675697378,-0.29489964433291027,-0.42130787916868684,-0.03726939446750688,0.23849413553957924,0.4855602841052413,-0.2328275889158249,-0.021945927292108536,-0.7353100180625916,-0.8149347305297852,-0.20445071160793304,-0.21309174597263336,-0.2823525667190552,-0.18511666357517242,-1.4121752977371216,-1.4788285493850708,-0.013090603053569794,-0.10395944118499756,-0.065066606,-2.1466718,1.633676,-1.6041343,-1.5082252,-0.015218126,-0.065066606,-2.1466718,1.633676,-1.6041343,-1.5082252,-0.015218126,-0.030295338238580882,0.025750299493306983,0.014317687357767284,-0.003265956839090478,-0.005510266627176463,-0.006766361872657001,-0.03477126732468605,-2.172422170639038,1.6193584203720093,-1.6008683443069458,-1.502714991569519,-0.008451763540506363,0.2599025288898308,0.008932162011042239,0.00649756322224577,0.012021287344396114,,,False,0,0.00010420200123917311,6.762900011381134e-05,0.0003900890005752444,0.00019373699979041703,0.00014563500008080155,7.17209986760281e-05,0.0011756620006053708,0.018704411999351578,0.01988007399995695,50.301623625855996,0
