step,t_rel,q0,q1,q2,q3,q4,q5,finger,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,action0,action1,action2,action3,action4,action5,action6,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,force_ext_x,force_ext_y,force_ext_z,force_ext_mag,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,arm_lead0,arm_lead1,arm_lead2,arm_lead3,arm_lead4,arm_lead5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020072104000064428,9.08374749997165e-06,-2.2000252209105433,1.5999921003924769,-1.6000100574889125,-1.4999774138080042,3.2830237614689395e-05,0.0004062395294507345,0.2400030904703398,0.1477828504025764,0.32762643286584464,0.37461093951825924,-0.02479276370390382,0.11393483167362461,-0.005619030364159076,-0.024188860311502882,0.010576883258872693,0.9996356475829817,0.1895746,-0.1737349,0.14128846,0.2391033858320841,-0.8619595,0.1982407,-0.3550486,-0.38203272,-0.6218627,-0.24270707,0.24374372,-4.901267518244305,1.398147566819615,0.46971649453316866,0.034828089414906976,0.489137921527594,-0.37650632887903723,-0.09308210594343258,0.04340686268753191,-0.002515559808655754,0.10273637241206048,0.1282786726951599,-0.2233291119337082,-1.2477092742919922,-0.6415878534317017,-0.059037141501903534,-0.007628597319126129,5.05119793201752e-17,-0.38334521651268005,-1.6533865928649902,-1.3548047542572021,0.1414957344532013,0.05085677281022072,-0.0344693,-2.1920958,1.5857902,-1.6152914,-1.524852,-0.0096754525,-0.0344693,-2.1920958,1.5857902,-1.6152914,-1.524852,-0.0096754525,-0.034478382765883,0.007929464379781592,-0.014201943074361623,-0.015281299551492822,-0.02487462362180537,-0.00970828272329527,9.08374749997165e-06,-2.2000253200531006,1.5999921560287476,-1.6000100374221802,-1.499977469444275,3.2830237614689395e-05,0.01624958117802938,0.002437437176704407,0.0004062395294507345,0.0,,,False,0,0.0001426270009687869,0.00010187800035055261,0.00047420000009879004,0.0002407140000286745,0.00017234699953405652,0.00015998399976524524,0.0015682619996368885,0.01850301200101967,0.020071274000656558,49.82244774134859,0
1,0.04007164199902036,-0.0003088156329553726,-2.1999174557127894,1.5999048391925257,-1.600187440911764,-1.5002344290362757,-2.938905824834137e-05,0.0010695025242037242,0.2400984377073412,0.14764573222536273,0.3276674482700903,0.3745865728950954,-0.0247813343777948,0.11400782527059161,-0.005869000149006771,-0.02386881182729244,0.009921960953550897,0.9996486455625756,0.1895746,-0.1737349,0.14128846,0.23908330992453994,-0.87428933,0.13709496,-0.3809342,-0.29855427,-0.62637615,-0.19428053,0.19483803,-2.726603455415451,-1.9334304163891645,-1.982080117143183,-0.06234951239618064,0.3986734552617323,-0.30484245220322526,2.0815819568854215,-3.2881711205212474,-2.4543121714850074,4.600945663247975,-0.5692057609558105,0.11591894179582596,-1.5754098892211914,-0.9633795022964478,-0.41072598099708557,-0.2427298128604889,-0.7814471125602722,0.0037349574267864227,-2.0353405475616455,-1.7261203527450562,-0.3082505464553833,-0.0842410996556282,-0.035280388,-2.1944337,1.5846676,-1.6121296,-1.5252895,-0.0078006107,-0.035280388,-2.1944337,1.5846676,-1.6121296,-1.5252895,-0.0078006107,-0.034971572215660274,0.005483766595357764,-0.015237275754110158,-0.011942128141885888,-0.025055106486185252,-0.007771221677764117,-0.00030881562270224094,-2.1999175548553467,1.5999048948287964,-1.6001874208450317,-1.5002344846725464,-2.9389058909146115e-05,0.042780100968148965,0.004385817497968673,0.0010695025242037242,0.0008124790620058775,,,False,0,0.0001520490004622843,0.00010921399916696828,0.000561937000384205,0.0002957990000140853,0.00015895899923634715,9.778999992704485e-05,0.0017177570007333998,0.018082013999446644,0.019799771000180044,50.50563463541607,0
2,0.06006282199996349,-0.00280934969057256,-2.199381490746969,1.5986364523517054,-1.601448198358053,-1.502556625996725,-0.0007384459124963882,0.0017931447854196581,0.2407870191996513,0.1464946122058713,0.32825696905827034,0.3746341867905451,-0.02482253943905573,0.11401286512601763,-0.005655759054402271,-0.023413760761299234,0.010508446119328895,0.9996546409558229,0.1895746,-0.1737349,0.14128846,0.23909391688953896,-0.87719136,0.19951914,-0.290501,-0.19525449,-0.5744084,-0.18686137,0.10255386,-3.9891300810081862,0.7829446508068943,-0.1404122345381409,-0.002638544933706244,0.44755361568238844,-0.38829149944706254,0.8190553312926863,-0.5717960533251888,-0.6126442888799652,1.1718085965781582,-0.55409175157547,0.14635401964187622,-1.4397085905075073,-0.9448985457420349,-0.2090425342321396,-0.2066836953163147,-0.6404963731765747,-0.0704173892736435,-2.0130794048309326,-1.6952308416366577,-0.2714832127094269,-0.0962853878736496,-0.037897002,-2.1914008,1.5870165,-1.6092584,-1.525533,-0.008212901,-0.037897002,-2.1914008,1.5870165,-1.6092584,-1.525533,-0.008212901,-0.03508765226136035,0.007980724374288428,-0.011619989071981252,-0.007810214956766259,-0.02297633489499873,-0.007474454808040321,-0.0028093496803194284,-2.1993815898895264,1.598636507987976,-1.6014481782913208,-1.5025566816329956,-0.0007384459022432566,0.07172579141678632,0.005411356091499328,0.0017931447854196581,0.002139005111530423,,,False,0,0.0001946399988810299,5.5978000091272406e-05,0.00023925700043037068,0.00016031099949032068,7.446299969160464e-05,5.130399949848652e-05,0.0009459590000915341,0.0189525780006079,0.019898537000699434,50.25495090241307,0
3,0.08006039999963832,-0.0068772474872034195,-2.1985842190184535,1.5968192259417933,-1.6032115421690882,-1.5051644484149378,-0.0019333998309534195,0.0024651059388746447,0.24182752570674093,0.14489376000485238,0.3290972104301897,0.3745925797506472,-0.024783937404736972,0.11400701258789511,-0.005911491001932565,-0.023881366724811507,0.009922160088675183,0.9996480689715588,0.1895746,-0.1737349,0.14128846,0.23908642932857194,-0.87600243,0.26020023,-0.20830274,-0.13864782,-0.53711027,-0.18486683,0.04135556,-4.182125006083061,0.10871304843353931,1.418119898447955,-0.021429246570847937,0.49322727227310703,-0.36727987783791394,0.6260604062178112,-1.246027655698544,0.9458878441061307,1.6850045592303196,-0.4694071412086487,0.3034312129020691,-1.3011448383331299,-0.7967246174812317,-0.28875699639320374,-0.19680242240428925,-0.493617445230484,-0.07760515809059143,-1.90705144405365,-1.5235188007354736,-0.15531401336193085,-0.09309010207653046,-0.041917343,-2.1881764,1.5884871,-1.6087574,-1.5266489,-0.009328073,-0.041917343,-2.1881764,1.5884871,-1.6087574,-1.5266489,-0.009328073,-0.03504009520541018,0.010407825509542334,-0.008332077656881154,-0.0055458345017491695,-0.0214844306362707,-0.007394673059685886,-0.0068772477097809315,-2.1985843181610107,1.596819281578064,-1.603211522102356,-1.5051645040512085,-0.0019333998207002878,0.09860423755498578,0.0058249117061495775,0.0024651059388746447,0.0035862894728779793,,,False,0,7.728999844403006e-05,5.352399966795929e-05,0.00017907400069816504,0.0001226009990205057,6.472900167864282e-05,3.839900091406889e-05,0.0006739569998899242,0.019236895999711123,0.019910852999601047,50.22386534720722,0
4,0.10026508499868214,-0.01191121736635381,-2.1973687611021937,1.595121208821432,-1.604623933831686,-1.508625332509176,-0.0031998793231409195,0.003051274601339435,0.24302286863545153,0.14284985873810363,0.32970944972926663,0.374594543355761,-0.024776225244586406,0.11398412242821065,-0.005904456330205237,-0.023898402952842034,0.009749432760149829,0.9996494188252697,0.1895746,-0.1737349,0.14128846,0.23909536654154362,-0.8734237,0.29379946,-0.17071025,-0.13214962,-0.52084583,-0.18616866,0.01572062,-5.370124903834147,2.5508070420426816,1.693201747899356,0.057409675755003525,0.5190622223663987,-0.42142184111187486,-0.5619394915332743,1.1960663379105985,1.2209696935575316,1.7991991744699964,-0.31687986850738525,0.18503692746162415,-1.3616448640823364,-0.7998923063278198,-0.15089298784732819,-0.19768476486206055,-0.37848174571990967,-0.06658722460269928,-1.823110818862915,-1.4268544912338257,-0.08134292811155319,-0.09634926170110703,-0.046848163,-2.185617,1.5882928,-1.6099099,-1.5294592,-0.010646625,-0.046848163,-2.185617,1.5882928,-1.6099099,-1.5294592,-0.010646625,-0.03493694564233607,0.011751791039937842,-0.006828371678487599,-0.005285958250528466,-0.02083390554319209,-0.007446746098800361,-0.011911217123270035,-2.197368860244751,1.5951212644577026,-1.6046239137649536,-1.5086253881454468,-0.003199879312887788,0.1220509840535774,0.005982117913663387,0.003051274601339435,0.0049302116967737675,,,False,0,7.120699956431054e-05,4.6350000047823414e-05,0.00017650699919613544,0.00014923199887562077,9.026699990499765e-05,8.12580001365859e-05,0.0007562400005554082,0.019372291999388835,0.020128531999944244,49.6807218729498,0
5,0.12006586499956029,-0.017299954091207326,-2.1958795986571253,1.5937064329730433,-1.6056591473021449,-1.5119274298297327,-0.004410092030660451,0.003547529716329554,0.24424144515996254,0.14074860336455697,0.3300720304985227,0.3746135921710414,-0.02484309273228249,0.11409708170944093,-0.005659556707762876,-0.023602560088033242,0.009324241063292065,0.9996618874162156,0.1895746,-0.1737349,0.14128846,0.2390555817698987,-0.8731246,0.3120008,-0.14921096,-0.11892536,-0.5195044,-0.19051155,0.0046687378,-4.358924296495941,0.6753656022959846,-0.02039275156757636,0.015243499356166867,0.47003827169372364,-0.38863239902053826,0.4492611158049318,-0.6793751018360985,-0.4926248059094008,0.9518746128384643,-0.33681491017341614,0.14540107548236847,-1.4587783813476562,-0.9007463455200195,-0.20975571870803833,-0.1932685375213623,-0.3248332440853119,-0.07601001113653183,-1.809451937675476,-1.4212944507598877,-0.05317320674657822,-0.10013023763895035,-0.052224938,-2.1833997,1.587738,-1.6104162,-1.5327077,-0.012030555,-0.052224938,-2.1833997,1.587738,-1.6104162,-1.5327077,-0.012030555,-0.03492498373518771,0.012479921380514014,-0.005968395863668263,-0.00475702663279165,-0.020780261362894237,-0.007620462904675662,-0.01729995384812355,-2.1958796977996826,1.593706488609314,-1.6056591272354126,-1.5119274854660034,-0.004410092253237963,0.14190118865318216,0.00602880529128015,0.003547529716329554,0.0061025493778288364,,,False,0,6.718399890814908e-05,3.857099909509998e-05,0.00017292499978793785,0.0001519719990028534,5.1012999392696656e-05,3.7031000829301775e-05,0.0006538710003951564,0.019064059999436722,0.01971793099983188,50.715260135991265,0
6,0.14007247399968037,-0.022811237965719044,-2.1942392788329066,1.5922272841082972,-1.60687317470693,-1.5154417196856897,-0.005572144185201466,0.003950950381738675,0.24551375916361748,0.13855670262760175,0.33045976259556753,0.3745679943676586,-0.024776838110708122,0.11407567930030688,-0.005605026372499666,-0.022980775693315764,0.009891796841102729,0.9996712433068696,0.1895746,-0.1737349,0.14128846,0.2390640015186717,-0.8726375,0.32252985,-0.13009566,-0.09824351,-0.5123212,-0.19389665,-0.0060751582,-4.988281028422547,1.5752268482770269,1.0268667373425462,0.0467466231896114,0.5043471068821425,-0.41129378190951893,-0.18009561612167424,0.22048614414494372,0.5546346830007218,0.6234325964316123,-0.27981865406036377,0.15403231978416443,-1.3437358140945435,-0.8305196166038513,-0.1492033451795578,-0.22111061215400696,-0.30347660183906555,-0.09387899190187454,-1.8220365047454834,-1.4368482828140259,-0.04780968651175499,-0.10156451165676117,-0.05771674,-2.181338,1.5870235,-1.6108029,-1.5359346,-0.01332801,-0.05771674,-2.181338,1.5870235,-1.6108029,-1.5359346,-0.01332801,-0.03490550046692675,0.012901207009786475,-0.005203787480489552,-0.003929714163309228,-0.020492847765787303,-0.007755866031153857,-0.02281123772263527,-2.194239377975464,1.5922273397445679,-1.6068731546401978,-1.5154417753219604,-0.005572144407778978,0.158038015269547,0.005968053708784282,0.003950950381738675,0.007095059379935265,,,False,0,8.596800034865737e-05,5.467899973154999e-05,0.0002082230002997676,0.00016557200069655664,7.580099918413907e-05,4.9483000111649744e-05,0.0007913690005807439,0.019132061999698635,0.01992343100027938,50.19215816723422,0
7,0.16011795299891673,-0.028432671223775685,-2.192423482934469,1.5909207502948206,-1.6078487835326136,-1.5187676588641565,-0.006794277821676076,0.004270987059316894,0.24677744774023014,0.13637255515009833,0.33069239555428365,0.37456305485236724,-0.02482198591017367,0.11407636667398441,-0.0058300331428210875,-0.02359505606567906,0.009358595332301383,0.9996608120006193,0.1895746,-0.1737349,0.14128846,0.239031972048708,-0.8725104,0.3289414,-0.120959625,-0.092351295,-0.5124455,-0.19798073,-0.009688326,-4.457670680038906,1.5055197713134465,1.2541406321210562,0.048854804395477736,0.5072550668543211,-0.4080937668316905,0.35051473226196617,0.15077906718136336,0.7819085777792318,0.8700436360536757,-0.28373080492019653,0.1905272752046585,-1.2918143272399902,-0.829486608505249,-0.20556782186031342,-0.21532702445983887,-0.2934330105781555,-0.12040679156780243,-1.8427014350891113,-1.4523921012878418,-0.048094313591718674,-0.10171937197446823,-0.06333309,-2.179266,1.5860825,-1.6115428,-1.5392655,-0.014713507,-0.06333309,-2.179266,1.5860825,-1.6115428,-1.5392655,-0.014713507,-0.03490041544566935,0.013157506982320655,-0.004838291798726857,-0.0036940373978673335,-0.020497854555948436,-0.007919229323967159,-0.02843267098069191,-2.1924235820770264,1.5909208059310913,-1.6078487634658813,-1.5187677145004272,-0.006794278044253588,0.17083948237267574,0.005871170447207987,0.004270987059316894,0.007901900447905064,,,False,0,0.00010325399853172712,6.589099939446896e-05,0.0003214670014131116,0.0002306890000909334,0.00012189200060674921,7.417699998768512e-05,0.001105649000237463,0.01882976999877428,0.019935418999011745,50.161975529562376,0
8,0.1801204309995228,-0.03407413164247686,-2.1904550991454066,1.5899480024920862,-1.6086656055846156,-1.522153679524557,-0.008020702992574513,0.004530168668794848,0.24802430980453632,0.13415935264134093,0.33072704107137973,0.3745788947700021,-0.02486183928266837,0.11408690826431597,-0.005890099633819153,-0.023678240684184074,0.009619246586139338,0.9996559920832827,0.1895746,-0.1737349,0.14128846,0.23901820628189308,-0.8730438,0.33152205,-0.124914564,-0.10213022,-0.5240815,-0.20370266,-0.004509373,-4.898401251787451,2.59477396801295,0.8672479600899703,0.08676749302628198,0.5055020279670046,-0.4323835937380739,-0.09021583948657863,1.2400332638808667,0.3950159057481459,1.30455316450474,-0.19636890292167664,0.1313387155532837,-1.3723090887069702,-0.8262664675712585,-0.1329050362110138,-0.2313910573720932,-0.1955592930316925,-0.20020009577274323,-1.871836543083191,-1.4586633443832397,-0.0022549338173121214,-0.10258626937866211,-0.06899588,-2.1771944,1.5849515,-1.6127508,-1.543117,-0.016168809,-0.06899588,-2.1771944,1.5849515,-1.6127508,-1.543117,-0.016168809,-0.034921746457918346,0.013260742227071631,-0.004996482525960744,-0.004085163076883447,-0.020963366831644237,-0.00814810557196921,-0.03407413139939308,-2.190455198287964,1.589948058128357,-1.6086655855178833,-1.5221537351608276,-0.008020702749490738,0.1812067467517939,0.005826076716184615,0.004530168668794848,0.008541974239051342,,,False,0,0.00012675400103034917,7.927000115159899e-05,0.0004069949991389876,0.00017814700004237238,0.00014813599955232348,7.152599937398918e-05,0.0012303269995754818,0.018643658000655705,0.019873985000231187,50.31703505806044,0
9,0.20012562400006573,-0.03920919099916631,-2.188561578790182,1.5891731421100062,-1.609286447564596,-1.5250847975360315,-0.009182278309957326,0.004741356151612655,0.2491425209589514,0.13217212548987053,0.3306679225155587,0.37458310131646877,-0.024888919637869922,0.11408062269846642,-0.00582301261629567,-0.02349395463263068,0.009106516990430217,0.9996655726739071,0.1895746,-0.1737349,0.14128846,0.23900531179550222,-0.87406313,0.33427003,-0.123612754,-0.10076199,-0.5336951,-0.20772925,-0.002878315,-5.301758317503004,1.7122002078504959,1.0028319600649676,0.05653095470431413,0.5150556411379018,-0.4185951951604443,-0.4935729052021314,0.35745950371841273,0.5305999057231432,0.8080394603617416,-0.2669723629951477,0.07901591807603836,-1.362583041191101,-0.8243206143379211,-0.24577386677265167,-0.17789512872695923,-0.21767958998680115,-0.20061169564723969,-1.8838496208190918,-1.4740046262741089,-0.011607838794589043,-0.10057932138442993,-0.074171714,-2.175191,1.5842286,-1.6133169,-1.5464326,-0.017491449,-0.074171714,-2.175191,1.5842286,-1.6133169,-1.5464326,-0.017491449,-0.03496252348552531,0.013370653192037452,-0.004944507275716603,-0.004030446012979638,-0.021347816790445506,-0.008309170360668361,-0.039209190756082535,-2.1885616779327393,1.5891731977462769,-1.6092864274978638,-1.5250848531723022,-0.00918227806687355,0.1896542460645062,0.005797293565701692,0.004741356151612655,0.009060337208211422,,,False,0,0.00013037600001553074,8.009999874047935e-05,0.00038978799966571387,0.00019047199930355418,0.000144626999826869,7.224300134112127e-05,0.001237980000951211,0.01864138000019011,0.019879360001141322,50.3034302886304,0
