step,t_rel,q0,q1,q2,q3,q4,q5,finger,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,action0,action1,action2,action3,action4,action5,action6
0,0.0,-0.0030446370354181708,-2.199053974229485,1.6003669419158204,-1.5979651656461904,-1.5013491609708907,-0.0005640232494131656,0.01240380857930998,0.24025271915292218,0.1470146143448987,0.3270677682983404,0.37347172174642473,-0.018035338290419412,0.1142467332760482,0.9997017822792783,0.004436917157782855,0.014831556634453914,0.018886111340559713,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23798467760753142,-0.8600699305534363,0.33564046025276184,-0.19029107689857483,0.4087390601634979,-0.43089455366134644,-0.16530974209308624,-0.04720683768391609
1,0.02,-0.009101730674021927,-2.196812441321967,1.6004625981441818,-1.5944091133857319,-1.5043032620094827,-0.0016930066440752156,0.012066397029888501,0.24092306143156342,0.14512478515669194,0.32581990675244016,0.37329068307679053,-0.017984558060647495,0.11445278300030187,0.9997641088928769,0.003065848003222016,0.010276890525857577,0.018886838453585984,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23785631919689043,-0.8523411154747009,0.34471777081489563,-0.12246918678283691,0.3692700266838074,-0.4399694800376892,-0.15793873369693756,-0.12215787172317505
2,0.04,-0.01787269248205119,-2.1932463109965408,1.6003123325481605,-1.5900509058556196,-1.508771137174021,-0.0033986270137789077,0.011461769393634386,0.24207754814358626,0.1421941720586124,0.32416675386891936,0.37316619108488897,-0.017949729875918523,0.11459362586861127,0.999793662874617,0.0021320894712064226,0.007166399687340286,0.018887259879716886,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.2377682395415876,-0.85179603099823,0.399247407913208,-0.05706493556499481,0.28142550587654114,-0.4633179306983948,-0.17867878079414368,-0.14796866476535797
3,0.06,-0.02909321023369013,-2.1883155571352284,1.600094971107749,-1.5853595788332675,-1.5146452422911254,-0.005686760870256296,0.010621415102067839,0.24370636954129538,0.13829886357968146,0.32212930216746116,0.37308040093350897,-0.017925888062391048,0.11469056910200032,0.9998078488317255,0.0014945327490162679,0.005029329754913195,0.018887499266847803,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23770752326095804,-0.8511754274368286,0.441069632768631,-0.019584303721785545,0.1810949444770813,-0.47203221917152405,-0.1939377784729004,-0.15869048237800598
4,0.08,-0.04252621040392545,-2.182010190030793,1.5998945015691692,-1.5807552744083526,-1.5217856528411053,-0.008538812085798793,0.00959691141432648,0.24578689238738757,0.1335111776950261,0.31975601302441387,0.3730206036023825,-0.017909318512860695,0.11475801218934688,0.9998147821775809,0.0010522605320766633,0.0035428448279733707,0.01888762392396448,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23766521993551665,-0.8506881594657898,0.4751768410205841,-0.004163682460784912,0.07972107827663422,-0.4699333906173706,-0.20293182134628296,-0.15925556421279907
5,0.1,-0.057955701137170516,-2.1743338222935713,1.5997316463679865,-1.5766020746666374,-1.530032289069105,-0.011921998925709344,0.008438464516187114,0.24828886809818884,0.127899677138355,0.31711576530688995,0.3729786452607351,-0.017897706871141204,0.11480523304829403,0.9998182068616985,0.0007427528543456507,0.0025013637170857297,0.018887687142936233,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23763555522130037,-0.8501043319702148,0.5074355006217957,-0.00037806679029017687,-0.015568695031106472,-0.45979559421539307,-0.20813724398612976,-0.15655052661895752
6,0.12,-0.07518377239280308,-2.165276945159665,1.599600474053353,-1.5732095210527668,-1.5392177070095558,-0.01580344566686848,0.0071819032526904535,0.2511800193955569,0.12152751671582185,0.31427476941112853,0.3729490904828489,-0.01788953258671666,0.1148384244405105,0.9998199091017742,0.0005250878088898405,0.0017685360088297785,0.018887718943749358,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23761467283070775,-0.8491613268852234,0.5443666577339172,-0.0008638889994472265,-0.10493837296962738,-0.44424766302108765,-0.2129284292459488,-0.15567585825920105
7,0.14,-0.09402857543998822,-2.154795178524881,1.5994845796292108,-1.5708509763468894,-1.5491734774624828,-0.020162940034920824,0.005844095588788833,0.2544329251626013,0.11445115286365215,0.3112848372848891,0.37292822443909296,-0.017883763033626286,0.11486181220802032,0.9998207584669796,0.0003715676342074265,0.0012515375711113401,0.01888773490164407,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23759993773939,-0.84764564037323,0.5913713574409485,-0.0033400473184883595,-0.1930314004421234,-0.42441150546073914,-0.22055882215499878,-0.15950442850589752
8,0.16,-0.11432252824719835,-2.1428002935400325,1.5993542451269311,-1.5697852456887782,-1.5597279514133957,-0.025003752120470256,0.0044763416209590515,0.2580308301402281,0.10672028071786734,0.3081833072614479,0.3729134716409729,-0.01787968436536712,0.1148783184781164,0.9998211833106885,0.0002630959955779143,0.0008862006773605836,0.018887742905676873,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23758952462463612,-0.8453080654144287,0.6509326100349426,-0.009921441785991192,-0.2851422429084778,-0.3993557095527649,-0.2340816855430603,-0.16951757669448853
9,0.18,-0.13590624284901182,-2.1291718298332394,1.5991605052020985,-1.5702395005765115,-1.5706844939044315,-0.030352542624983967,0.0033791465524509764,0.2619662661166792,0.098382591280321,0.3049948200709327,0.3729030315196243,-0.017876798201106086,0.11488998045997004,0.9998213961512059,0.00018636719677958433,0.0006277593232858604,0.01888774692104087,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.2375821585744496,-0.8406146168708801,0.7204621434211731,-0.022636860609054565,-0.37484294176101685,-0.36255910992622375,-0.2536666691303253,-0.19106794893741608
10,0.2,-0.158602895935828,-2.113809067855534,1.5988791285923363,-1.572249913522668,-1.581743673537122,-0.03621274702203519,0.0025492474061746847,0.26621480102465644,0.08950750012454235,0.3017064260065405,0.3728956389373045,-0.017874754593178444,0.11489822580756777,0.9998215028938789,0.0001320520505443741,0.00044480715506289837,0.01888774893616723,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23757694456650533,-0.8263078331947327,0.7867722511291504,-0.02787724882364273,-0.4126639664173126,-0.2907724380493164,-0.26646888256073,-0.24341562390327454
11,0.22,-0.18222363410298273,-2.0966575356485406,1.5984925967144017,-1.5757905198392326,-1.5925576186545434,-0.04260976121275334,0.0019235397330106432,0.27073768772883233,0.0801864481100058,0.29828213764524947,0.37289040221177655,-0.017873306974373185,0.11490405837899056,0.9998215564651047,9.358430649858881e-05,0.000315232581039979,0.018887749947845187,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23757325224310014,-0.804456353187561,0.8419051170349121,-0.03558441624045372,-0.4437873661518097,-0.2016199827194214,-0.28668755292892456,-0.30102434754371643
12,0.24,-0.20655951849058163,-2.077721411662074,1.597961371684936,-1.580813674024503,-1.602776083981463,-0.04958555162787795,0.0014518671943899485,0.27549526412867165,0.07052147198926158,0.29469523137910103,0.37288669164179084,-0.017872281247966436,0.11490818561656582,0.9998215833641537,6.633115728697206e-05,0.00022343251537881064,0.0188877504559121,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.2375706367210353,-0.772412121295929,0.8824275732040405,-0.050816841423511505,-0.46993932127952576,-0.10441526025533676,-0.3114478290081024,-0.35791972279548645
13,0.26,-0.2313683165219869,-2.0570549664888027,1.597230662566727,-1.5872549264196698,-1.6120709715996537,-0.057180509087038145,0.0010963026422185513,0.28044983595471074,0.060623112716993124,0.29093121979482073,0.3728840619688037,-0.0178715543207888,0.11491110682228659,0.9998215968751856,4.701879409531353e-05,0.0001583801142256385,0.018887750711128876,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.2375687835853616,-0.7264193296432495,0.9103471636772156,-0.07019569724798203,-0.49020323157310486,-0.004748486913740635,-0.3362911641597748,-0.41092586517333984
14,0.28,-0.25636488476797004,-2.0347469692973577,1.5962491649094488,-1.595033808750937,-1.6201541379049749,-0.06541821435169412,0.0008282505709117735,0.28556749448230156,0.05061067383739304,0.2869798518122664,0.3728821980868989,-0.017871039084222325,0.11491317475830312,0.999821603663185,3.333134893002553e-05,0.00011227478668177245,0.01888775083935632,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756747042200177,-0.663218080997467,0.9287272691726685,-0.08884255588054657,-0.5041794776916504,0.09236655384302139,-0.3573437035083771,-0.45724040269851685
15,0.3,-0.2812211312787394,-2.010906447948122,1.5949852251660137,-1.6040537309997993,-1.626793219766925,-0.07429804059238437,0.0006261604021607684,0.29081911853374764,0.040611421394733796,0.2828271755321419,0.37288087687129906,-0.017870673858346592,0.11491463883163912,0.9998216070740629,2.3629447656223732e-05,7.959449112323542e-05,0.018887750903790253,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.2375665397982189,-0.5818288922309875,0.9403625726699829,-0.10266967862844467,-0.5115489363670349,0.18180352449417114,-0.3725123703479767,-0.4952264428138733
16,0.32,-0.3055793323448053,-1.9856519547303877,1.5934345934602274,-1.6142014792389963,-1.6318235968181587,-0.08379646820644326,0.00047379399456530524,0.29618053502006675,0.030757316747215612,0.27845106094836736,0.3728799402672491,-0.017870414951427174,0.11491567546297861,0.9998216087881794,1.6752043983790583e-05,5.642834218055975e-05,0.018887750936171493,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756588022908318,-0.4847961366176605,0.947411835193634,-0.10959795117378235,-0.5120053887367249,0.2590741217136383,-0.3817920684814453,-0.5248143672943115
17,0.34,-0.3290758795969255,-1.9591042559158254,1.5916186881226708,-1.6253465773510254,-1.635152742377695,-0.09387367708129468,0.00035891602111991563,0.30163195634279344,0.021179778551660103,0.27382082396660873,0.37287927628365436,-0.017870231405452484,0.11491640948836687,0.9998216096496682,1.1876585236442254e-05,4.0005628691356774e-05,0.01888775095244604,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756541274354037,-0.37766918540000916,0.9513791799545288,-0.10985348373651505,-0.5051952600479126,0.32150566577911377,-0.38646334409713745,-0.5470630526542664
18,0.36,-0.3513663225797106,-1.9313817467914502,1.5895763437754091,-1.6373403429967812,-1.636755398353177,-0.10448042600728226,0.0002723067647064853,0.3071567233945915,0.012004565112290297,0.2688998132204894,0.3728788055534959,-0.017870101280829838,0.11491692926370417,0.999821610082664,8.420194330253206e-06,2.8362965466327643e-05,0.01888775096062581,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.237565081390201,-0.26679161190986633,0.953224778175354,-0.10526508837938309,-0.4905579686164856,0.3688129186630249,-0.38789480924606323,-0.5633652210235596
19,0.38,-0.372143595434684,-1.9025979744893862,1.5873542384440273,-1.6500143562395035,-1.6366617588209962,-0.1155621141895717,0.00020701952291386408,0.3127393786539517,0.0033487547893015675,0.26364891485005626,0.37287847182283085,-0.017870009027182436,0.11491729733578529,0.9998216103003021,5.9697672629816325e-06,2.010883577760637e-05,0.018887750964737254,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756484652139062,-0.15724846720695496,0.953500509262085,-0.09798135608434677,-0.46721151471138,0.40262532234191895,-0.3868122696876526,-0.5748845934867859
20,0.4,-0.3911478931498528,-1.8728607694101937,1.5850005223163313,-1.6631789063172802,-1.6349430253488417,-0.127059986686396,0.00015782101262969568,0.3183632044320115,-0.004679938281578779,0.25802921329064477,0.3728782352162326,-0.01786994362168251,0.11491755798655898,0.9998216104096977,4.232491072043906e-06,1.4256915676182057e-05,0.01888775096680387,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756468003949208,-0.05241378769278526,0.9524722695350647,-0.08936279267072678,-0.43416720628738403,0.42540013790130615,-0.3833116292953491,-0.5824277400970459
21,0.42,-0.4081716025502024,-1.8422724293076327,1.582563278180654,-1.6766237047990333,-1.631698642522386,-0.13891151209125993,0.00012076843025433626,0.3240075316701312,-0.01198298673633303,0.2520032762680826,0.37287806746632624,-0.01786989725033704,0.11491774256946846,0.9998216104646861,3.000800209572436e-06,1.0108032117665946e-05,0.018887750967842624,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.2375645620307603,0.04529717564582825,0.9502174258232117,-0.07961992174386978,-0.3910734951496124,0.4393557012081146,-0.3773704767227173,-0.5866146683692932
22,0.44,-0.42306290380436773,-1.810930382037856,1.5800923099605129,-1.690124668969865,-1.6270478140013838,-0.15105232055363196,9.288987132135151e-05,0.3296454118422345,-0.018471903867736266,0.2455359255703466,0.37287794853369094,-0.017869864373619586,0.11491787328537496,0.9998216104923271,2.127550102758868e-06,7.166536692288473e-06,0.01888775096836482,0.19262329312705412,-0.1703484949017943,0.1412884596437168,0.23756447838091402,0.13361456990242004,0.9466949105262756,-0.06823615729808807,-0.339385986328125,0.44580912590026855,-0.3694518804550171,-0.5881475210189819
