step,t_rel,q0,q1,q2,q3,q4,q5,finger,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,action0,action1,action2,action3,action4,action5,action6
0,0.0,-0.001999334694554097,-2.1976515318997336,1.6022683154586488,-1.5989653485642916,-1.50151452486061,-0.00018618495445437956,0.009998487472363426,0.24039079374343963,0.14717340288752737,0.3264692691224814,0.3192150088740362,-0.015638602054879613,0.11444297578735031,0.9996630834612882,-0.0028265104808889493,0.0031399994215002432,0.025609974752115655,0.212,0.212,0.165,0.2566523017052408,-0.5939748287200928,0.7728840708732605,0.42706695199012756,0.1781860738992691,-0.46978113055229187,-0.055233098566532135,-0.6855142116546631
1,0.02,-0.006567806669400021,-2.192218682417568,1.6060369690278478,-1.5969593116874372,-1.505164929017388,-0.00067638767604602,0.007561129900834318,0.24145754279150144,0.14548685804902553,0.3236036321585278,0.31917850611687987,-0.015673200105472303,0.11458360767975666,0.9996676369134263,-0.0019776734087621714,0.00219719668004098,0.02561009259186476,0.212,0.212,0.165,0.25664008033489466,-0.7222809791564941,0.8486289978027344,0.3718850016593933,0.21167370676994324,-0.608232855796814,-0.08547002077102661,-0.48379918932914734
2,0.04,-0.013402786449499455,-2.183925355574591,1.6107623044835668,-1.5944497472574612,-1.510686022061287,-0.0015240779337506744,0.005700562433145482,0.24320682045442438,0.14275282226230193,0.319488990399028,0.31915297415729277,-0.015697395085652783,0.1146824810746704,0.9996698534314236,-0.0013879512877044923,0.001542066392726915,0.02561014960635325,0.212,0.212,0.165,0.256631479577908,-0.6914626359939575,0.8548067212104797,0.31230491399765015,0.15663264691829681,-0.5606951117515564,-0.10665793716907501,-0.42323997616767883
3,0.06,-0.022112038021695597,-2.173075226404406,1.6161158439187362,-1.591755494891285,-1.5175614942874376,-0.0026235225901094722,0.004297164653738974,0.2455068095888841,0.13916161767186375,0.3144034160805774,0.3191351655271788,-0.0157142698391299,0.1147518415207311,0.9996709374795684,-0.0009776255205008165,0.0010861947931974428,0.025610177428796788,0.212,0.212,0.165,0.25662542705558583,-0.6457040309906006,0.8461564183235168,0.2526346445083618,0.08876971900463104,-0.46852800250053406,-0.08286868035793304,-0.3844716548919678
4,0.08,-0.032346439532852,-2.159960872517387,1.6217749597051467,-1.589213409909994,-1.525345266809973,-0.0038420199349072843,0.0032393256486635386,0.24823760227641378,0.1348950532709971,0.3086141169875642,0.31912266943610856,-0.015726110239644753,0.11480065724856398,0.9996714729183397,-0.0006901675861723275,0.0007668186494526914,0.025610191157809735,0.212,0.212,0.165,0.2566211635946513,-0.6032748222351074,0.8345677852630615,0.18509045243263245,0.005425333045423031,-0.39078688621520996,-0.05447651445865631,-0.3657165765762329
5,0.1,-0.043810395004455174,-2.1448551922074235,1.627432694571733,-1.5871395520047198,-1.5337510816577389,-0.0050640470764174135,0.002442004297672275,0.2513079869131943,0.13008913478695036,0.30237126752751003,0.3191138680371899,-0.015734449685936354,0.11483508607344395,0.9996717390175288,-0.0004879287526477442,0.0005421205987447642,0.02561019797774856,0.212,0.212,0.165,0.2566181577537014,-0.5663301348686218,0.8216353058815002,0.11513393372297287,-0.07823063433170319,-0.3457038998603821,-0.028066765516996384,-0.3634095788002014
6,0.12,-0.05626226265387298,-2.1280098126138958,1.6328188803817871,-1.5857723955954912,-1.5426536206409784,-0.006192264775169949,0.0018410524203096709,0.2546492432289107,0.12482973552530689,0.29588810889406014,0.3191076546650681,-0.015740336898402388,0.11485940075377958,0.9996718717713148,-0.0003452702411238337,0.0003836183043527907,0.02561020137941486,0.212,0.212,0.165,0.2566160369720088,-0.5360554456710815,0.8079612851142883,0.048476941883563995,-0.14698803424835205,-0.33500221371650696,-0.0034157901536673307,-0.37217625975608826
7,0.14,-0.06951019684542879,-2.10965429495337,1.6377134496435457,-1.5852506764662475,-1.5520505975106758,-0.007144989791927898,0.0013881174657452199,0.25820567478268985,0.11916047782557726,0.2893304553610798,0.31910326198716227,-0.015744498976024743,0.11487658762170942,0.9996719381641481,-0.00024447076512189173,0.00027162355980761625,0.025610203080480225,0.212,0.212,0.165,0.2566145397489695,-0.5125073790550232,0.7938829064369202,-0.011379702016711235,-0.19502893090248108,-0.3515329957008362,0.019679121673107147,-0.3878260850906372
8,0.16,-0.08340357570225762,-2.0899956988720216,1.6419521088648885,-1.5856254882829082,-1.562012491612726,-0.00785371970873208,0.0010467591763673916,0.261927848475349,0.11309608665503573,0.2828175095017903,0.3191001536024933,-0.015747444176249886,0.11488874331152903,0.9996719714223257,-0.00017317015240806961,0.00019240382795291872,0.02561020393255179,0.212,0.212,0.165,0.2566134822595834,-0.49458396434783936,0.7798076272010803,-0.062324635684490204,-0.2244650423526764,-0.384962260723114,0.04146638885140419,-0.40741783380508423
9,0.18,-0.09782128952260366,-2.0692183620289826,1.6454285492125336,-1.5868867572757788,-1.5726360265698625,-0.00825884324432236,0.000789515138618239,0.26576892124450446,0.1066366057516514,0.27642801595159244,0.3190979526747464,-0.01574952955758473,0.11489734403642464,0.9996719881003986,-0.00012269892415027185,0.00013632688315370905,0.02561020435983164,0.212,0.212,0.165,0.2566127350998539,-0.48022395372390747,0.7662619948387146,-0.10258308798074722,-0.24044553935527802,-0.42522457242012024,0.06279090791940689,-0.4290193021297455
10,0.2,-0.11265863800550452,-2.047483921903878,1.6480962490670528,-1.5889889443783987,-1.5840088166704416,-0.00830329635634684,0.000595687063610757,0.2696826027560433,0.09977991238148688,0.27020651830387465,0.3190963936432248,-0.015751006740951166,0.11490343111409403,0.9996719964701475,-8.695453833882924e-05,9.661243880508587e-05,0.025610204574255693,0.212,0.212,0.165,0.25661220706942545,-0.466755747795105,0.7538070678710938,-0.13018909096717834,-0.24796339869499207,-0.4642193019390106,0.08513801544904709,-0.45151612162590027
11,0.22,-0.12781407464561848,-2.0249318565681373,1.6499711957045349,-1.5918700456645098,-1.5961863589154568,-0.00792510206922952,0.0004496727558551148,0.2736215857534028,0.09253169049766669,0.26416752834990515,0.3190952889921971,-0.01575205339828708,0.11490773999516214,0.9996720006725545,-6.163138352671e-05,6.847668520719448e-05,0.025610204681916146,0.212,0.212,0.165,0.2566118338343941,-0.4511556923389435,0.7428930997848511,-0.14282144606113434,-0.2507210671901703,-0.49617645144462585,0.11040972173213959,-0.47431156039237976
12,0.24,-0.14317655883472283,-2.0016807371366987,1.6511364114808667,-1.5954634849577627,-1.6091784539550438,-0.007050024640539884,0.0003397099366283481,0.2775359217943092,0.08491322988308012,0.25829725750946514,0.31909450614221285,-0.01575279514891408,0.11491079053846992,0.9996720027832979,-4.368699632508726e-05,4.853924403817493e-05,0.025610204735990547,0.212,0.212,0.165,0.2566115699816918,-0.4302288889884949,0.7337827682495117,-0.13759692013263702,-0.2510526478290558,-0.5170726180076599,0.1406274437904358,-0.4970795512199402
13,0.26,-0.15861464593802957,-1.977829937096279,1.651749241889607,-1.5997047334865198,-1.6229406790280372,-0.0055854128522061005,0.0002569297654233273,0.28137130087594064,0.07696782240054155,0.25255305396162786,0.31909395127420775,-0.015753320886510297,0.11491295041929873,0.9996720038437195,-3.0969266405147116e-05,3.440897575742901e-05,0.02561020476315713,0.212,0.212,0.165,0.25661138343817824,-0.4009292721748352,0.7266169786453247,-0.11077111214399338,-0.2502858638763428,-0.5237002968788147,0.1776563972234726,-0.5197257399559021
14,0.28,-0.17396969609476953,-1.953461056385829,1.6520508779364904,-1.6045354211488536,-1.6373672712718437,-0.0034164811620668476,0.000194642767653958,0.2850676054017534,0.06876606076000416,0.24686106739777725,0.3190935579587253,-0.015753693553034433,0.11491447978170222,0.9996720043765579,-2.1954808831846474e-05,2.4393296226204853e-05,0.0256102047768077,0.212,0.212,0.165,0.25661125154374254,-0.36105096340179443,0.7215967774391174,-0.05787289887666702,-0.24939726293087006,-0.5129032135009766,0.22284553945064545,-0.5425328016281128
15,0.3,-0.18905727023872126,-1.928638351716587,1.6523720213514483,-1.6099080811189992,-1.6522839238812794,-0.0004076222826555963,0.00014779950989710246,0.288558721756539,0.06040918608767806,0.24111422641925845,0.31909327914087776,-0.01575395773301548,0.11491556273757392,0.9996720046443295,-1.556476252441303e-05,1.7293517196312933e-05,0.025610204783667653,0.212,0.212,0.165,0.2566111582844598,-0.3104232847690582,0.7191013097763062,0.024501975625753403,-0.24992692470550537,-0.48133549094200134,0.2762497365474701,-0.5663155913352966
16,0.32,-0.20368158966917155,-1.9034083664010457,1.6531174332520897,-1.6157939771813357,-1.6674429208097739,0.0035862173914484176,0.00011258360795507278,0.2917756305548204,0.052027974630480235,0.23517612148334605,0.3190930814803787,-0.015754145016387104,0.11491632961336318,0.9996720047789062,-1.1034820788319123e-05,1.2260441689683237e-05,0.025610204787115384,0.212,0.212,0.165,0.25661109234112583,-0.2524026334285736,0.7194806933403015,0.1335829198360443,-0.2548878490924835,-0.4262751042842865,0.33512264490127563,-0.5922842025756836
17,0.34,-0.21766455316496242,-1.87780037966882,1.6547044656133973,-1.62219374377512,-1.6825296445591,0.008692307632274823,8.610665289974027e-05,0.29465550520789807,0.04377327152287121,0.22889949750158817,0.31909294134972743,-0.01575427779021324,0.11491687267499621,0.9996720048465461,-7.823392064546806e-06,8.692324427815342e-06,0.02561020478884817,0.212,0.212,0.165,0.2566110457118522,-0.1945471614599228,0.7225030064582825,0.25311869382858276,-0.2688106596469879,-0.34827473759651184,0.3921462595462799,-0.6213544607162476
18,0.36,-0.23087951298318252,-1.8518298114514946,1.6574563873489827,-1.6291463571417977,-1.6971929144803903,0.014979439333819889,6.618369960161943e-05,0.29715679894262437,0.03579620317226029,0.2221618396172705,0.3190928420023924,-0.015754371921837183,0.11491725724921105,0.9996720048805441,-5.546638630091334e-06,6.1626954239100915e-06,0.025610204789719176,0.212,0.212,0.165,0.25661101273932424,-0.14625981450080872,0.7271108627319336,0.35378241539001465,-0.2956927716732025,-0.25463029742240906,0.43592914938926697,-0.6531453132629395
19,0.38,-0.24326847293527304,-1.8255054193039157,1.6615090053017891,-1.6367277422158526,-1.7110946122054167,0.022423825672392546,5.117052115801906e-05,0.29927299265368207,0.028224568415690113,0.21490176525547003,0.3190927715677614,-0.015754438658667012,0.11491752959214775,0.9996720048976321,-3.932494836375315e-06,4.369271112170235e-06,0.025610204790156906,0.212,0.212,0.165,0.2566109894235682,-0.11310052126646042,0.7319087386131287,0.40994197130203247,-0.33505779504776,-0.15782423317432404,0.4564298391342163,-0.6857675909996033
20,0.4,-0.25483210527484307,-1.7988396805432334,1.6667898152721867,-1.6450317849080038,-1.7239472201966541,0.03090409407530691,3.9838930378451276e-05,0.301035555910329,0.021148780011586304,0.20713279648234675,0.3190927216309083,-0.01575448597384734,0.1149177224580917,0.9996720049062219,-2.7881037785289784e-06,3.097774264261041e-06,0.02561020479037705,0.212,0.212,0.165,0.2566109729362939,-0.09368865936994553,0.7351810932159424,0.41497325897216797,-0.38030189275741577,-0.06694724410772324,0.4509706199169159,-0.7168573141098022
