config_id,cube_size,episode_id,repeat,run_dir,n_ticks,E_replay_onestep_joint_rad2,E_replay_openloop_joint_rad2,onestep_tcp_rms_m,onestep_box_rms_m,time_to_divergence_step,time_to_divergence_s
L0_none,3cm,2,2,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/A3_ep2_rep2_3cm,400,3.9938970343772965e-06,0.000645864723882598,0.0010160476617306837,0.0024094599903785453,35.0,0.693431909450008
L0_none,3cm,2,3,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/A3_ep2_rep3_3cm,400,3.99554089559723e-06,0.0006456313650162537,0.0010166581098253508,0.002413352935938403,34.0,0.6741651500991412
L0_none,3cm,3,1,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/B1_ep3_rep1_3cm,400,1.2837154070603329e-05,0.0009664771271691094,0.0009111461233621798,0.0002458510390266865,,
L0_none,3cm,3,2,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/B1_ep3_rep2_3cm,400,1.2551198017986286e-05,0.0009543451076927421,0.0008976575047175977,0.000248809605957175,,
L0_none,3cm,3,3,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/B1_ep3_rep3_3cm,400,1.3423910296044864e-05,0.0010285107509008173,0.0009243764752105832,0.000250048218012548,,
L0_none,3cm,4,1,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/B2_ep4_rep1_3cm,400,2.6960918913524495e-05,0.0006119512260363724,0.0014401252340110818,0.0024149209107555032,73.0,1.448285120269353
L0_none,3cm,4,2,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/B2_ep4_rep2_3cm,400,1.1412224286565986e-05,0.0005357340310120481,0.001201616290798566,0.002412359343835164,75.0,1.4871723799014909
L0_none,3cm,4,3,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/B2_ep4_rep3_3cm,400,2.7379695595914127e-05,0.000613141555121548,0.0014526018542049164,0.002414473019415935,75.0,1.487913225199005
L0_none,3cm,5,1,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/C1_ep5_rep1_3cm,400,4.537926459253297e-06,0.0003314001996411754,0.0007814814828852277,0.002403399468972753,15.0,0.29693092833531337
L0_none,3cm,5,2,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/C1_ep5_rep2_3cm,400,4.554726822363617e-06,0.00033529385053459215,0.000783284751543666,0.002413046828432057,13.0,0.2578371072160365
L0_none,3cm,5,3,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/C1_ep5_rep3_3cm,400,5.7485624015542405e-06,0.0004195516311998915,0.0008526616871269511,0.0024085000563316794,12.0,0.23778381152791495
L0_none,3cm,6,1,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/D1_ep6_rep1_3cm,400,9.895753482613287e-06,0.0006640648829116509,0.0010278522091849082,0.0024075179629515727,14.0,0.2773052328585611
L0_none,3cm,6,2,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/D1_ep6_rep2_3cm,400,1.0004017441137794e-05,0.0006601383515003387,0.0010349453683998568,0.0024131118682610424,14.0,0.27762487143561815
L0_none,3cm,6,3,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/D1_ep6_rep3_3cm,400,9.934249821091524e-06,0.0006594694096456249,0.001027512752061525,0.002413003024224041,14.0,0.277609141321663
L0_none,4cm,7,1,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/E1_ep7_rep1_4cm,400,7.957391563781706e-06,0.000524425842704532,0.0007868979328509144,0.0002805473164492322,18.0,0.3570287063433343
L0_none,4cm,7,2,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/E1_ep7_rep2_4cm,400,7.645238432995045e-06,0.0005016821464818355,0.0007718131953708945,0.0002810464495913057,31.0,0.6148470984847867
L0_none,4cm,7,3,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/E1_ep7_rep3_4cm,400,7.600901168745006e-06,0.0005007133712055311,0.0007697642421366051,0.0002798525076803303,18.0,0.35694580365597994
L0_none,4cm,8,1,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/E2_ep8_rep1_4cm,400,3.6960852244458843e-06,0.0005621734174957608,0.001157773519091888,0.002414533477015438,8.0,0.15869905456056546
L0_none,4cm,8,2,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/E2_ep8_rep2_4cm,400,3.7871327273295665e-06,0.0005630164464343978,0.0011734466685719583,0.0024143195111652836,8.0,0.15870477630087368
L0_none,4cm,8,3,robots/UR3e/real_robot_results/gap_protocol/L0_none/gap_v1/E2_ep8_rep3_4cm,400,3.633088371252991e-06,0.0005596744404214655,0.0011521614296736823,0.0024075399309862223,8.0,0.15845774396293527
L1_pos,3cm,0,1,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/A1_ep0_rep1_3cm,400,1.0543951961187908e-05,0.0009657697507094346,0.001193005950692643,0.004213882167722937,10.0,0.1983586784976064
L1_pos,3cm,0,2,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/A1_ep0_rep2_3cm,400,8.822996543668427e-06,0.0008268459880924828,0.0011387239840885302,0.004160827804132419,11.0,0.21808121464535307
L1_pos,3cm,0,3,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/A1_ep0_rep3_3cm,400,8.829317527911884e-06,0.0008095139058846464,0.0011449780833277907,0.003931394529614692,11.0,0.21817419274608202
L1_pos,3cm,1,1,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/A2_ep1_rep1_3cm,400,5.519285619581416e-06,0.0006101200971710708,0.0008463992023372834,0.0008976997416772204,15.0,0.29738094315816777
L1_pos,3cm,1,2,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/A2_ep1_rep2_3cm,400,5.305189595975861e-06,0.0005967800125305928,0.0008431596374013906,0.0008917782754413295,16.0,0.31758489352126995
L1_pos,3cm,1,3,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/A2_ep1_rep3_3cm,400,5.5128634441823486e-06,0.0006140573940979118,0.0008456622256268967,0.0008854591686234436,15.0,0.2974661286376424
L1_pos,3cm,3,2,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/B1_ep3_rep2_3cm,400,6.21482491380972e-06,0.00057783432528644,0.0008939516071833486,0.0071402773691261155,134.0,2.6587820836334806
L1_pos,3cm,3,3,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/B1_ep3_rep3_3cm,400,6.15110440574989e-06,0.0005714704757795021,0.0008823055839303732,0.007235293920637141,139.0,2.758009539405424
L1_pos,3cm,4,1,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/B2_ep4_rep1_3cm,400,1.0113182982541625e-05,0.0010130955462081504,0.000920959981050011,0.0024126272497552773,233.0,4.621085158776248
L1_pos,3cm,4,2,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/B2_ep4_rep2_3cm,400,1.1616226185942777e-05,0.0011625090732363924,0.0009543801490789755,0.002413200364737507,209.0,4.145720375431873
L1_pos,3cm,4,3,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/B2_ep4_rep3_3cm,400,9.935579712465524e-06,0.0010049468227650532,0.0009191493147357563,0.002406447794029578,225.0,4.45668215340719
L1_pos,3cm,5,1,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/C1_ep5_rep1_3cm,400,1.1059619592030784e-05,0.0007162359008020085,0.0011365665219505462,0.0024069718701241363,90.0,1.7852825418874956
L1_pos,3cm,5,2,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/C1_ep5_rep2_3cm,400,1.155370296646589e-05,0.0007448202986858842,0.0011638429601279756,0.002400278435361987,74.0,1.4681213050604094
L1_pos,3cm,5,3,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/C1_ep5_rep3_3cm,400,1.1250884419500474e-05,0.0007509043014054189,0.0011367723090065643,0.0024085459193657704,74.0,1.4683177204502826
L1_pos,3cm,6,1,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/D1_ep6_rep1_3cm,400,1.5854260012819616e-05,0.0008021078349833708,0.001390444286060558,0.0034109225076147526,21.0,0.4165158190611318
L1_pos,3cm,6,2,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/D1_ep6_rep2_3cm,400,1.8639679713335322e-05,0.0009715739993977473,0.0015108796618218605,0.0029445929543153245,18.0,0.35714642566810567
L1_pos,3cm,6,3,robots/UR3e/real_robot_results/gap_protocol/L1_pos/gap_v1/D1_ep6_rep3_3cm,400,1.6843359226219908e-05,0.0008698424726688566,0.0014370347589662078,0.002891437597511783,18.0,0.35698950157726267
L2_pos_cube,3cm,0,1,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/A1_ep0_rep1_3cm,400,7.809607446018292e-06,0.0007432641951696672,0.0011496390042127899,0.0042041238257012736,9.0,0.1785938305710438
L2_pos_cube,3cm,0,2,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/A1_ep0_rep2_3cm,400,7.595187329655932e-06,0.0007199541415898502,0.0011462646696370632,0.004152914027592416,9.0,0.17853550342013438
L2_pos_cube,3cm,0,3,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/A1_ep0_rep3_3cm,400,7.827026845883365e-06,0.0007452365287047639,0.0011581778870167173,0.003951652594079498,9.0,0.17846170967011812
L2_pos_cube,3cm,1,1,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/A2_ep1_rep1_3cm,400,7.867115795718088e-06,0.000621815688002372,0.0011422469013356493,0.0032839986199261796,34.0,0.6745450382176189
L2_pos_cube,3cm,1,2,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/A2_ep1_rep2_3cm,400,9.516645924871216e-06,0.0007695162057710594,0.0012158145550893208,0.003271519889975502,38.0,0.7540903345373209
L2_pos_cube,3cm,1,3,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/A2_ep1_rep3_3cm,400,7.55593187868181e-06,0.00051013372052716,0.0010724741250946904,0.001280215574679113,42.0,0.833178832686315
L2_pos_cube,3cm,2,1,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/A3_ep2_rep1_3cm,400,1.0192455109322371e-05,0.0008578821303860093,0.0014100406260377897,0.002190136430653078,7.0,0.13886030837184046
L2_pos_cube,3cm,2,2,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/A3_ep2_rep2_3cm,400,1.0191974705457257e-05,0.0008423686975556537,0.0014037995034834408,0.0023794548510140943,9.0,0.17849532681200755
L2_pos_cube,3cm,2,3,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/A3_ep2_rep3_3cm,400,1.026774614909269e-05,0.0008429562814592225,0.0014074649434799595,0.0023777927625810388,9.0,0.17825923633590676
L2_pos_cube,3cm,3,1,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/B1_ep3_rep1_3cm,400,5.852480003337226e-06,0.0005806243294059212,0.0008755178096467481,0.005463199637187734,133.0,2.6383796214891415
L2_pos_cube,3cm,3,2,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/B1_ep3_rep2_3cm,400,5.753584529496695e-06,0.0005795392828513098,0.0008662171451615204,0.005045136119873079,138.0,2.737039913370311
L2_pos_cube,3cm,3,3,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/B1_ep3_rep3_3cm,400,5.664685767173116e-06,0.0005644592592610609,0.0008656487689900609,0.005196113781547936,140.0,2.7753574124770166
L2_pos_cube,3cm,4,1,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/B2_ep4_rep1_3cm,400,1.8176719675612527e-05,0.0014242013285340992,0.0016386373948889497,0.004735706334465571,20.0,0.3964178516042002
L2_pos_cube,3cm,4,2,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/B2_ep4_rep2_3cm,400,1.4794984938801118e-05,0.001166004090070854,0.0015080768376670318,0.004412498563867041,20.0,0.3967701288944217
L2_pos_cube,3cm,4,3,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/B2_ep4_rep3_3cm,400,1.5776864643102006e-05,0.0012298529041243737,0.0015452295663984305,0.004517079796290075,20.0,0.39673528964776683
L2_pos_cube,3cm,5,1,robots/UR3e/real_robot_results/gap_protocol/L2_pos_cube/gap_v1/C1_ep5_rep1_3cm,400,9.137846732428287e-06,0.0007468003578822595,0.001265144205178234,0.003536912003073191,55.0,1.0902290168061854
