config,cube,episode_id,repeat,place_error_logged_m,place_error_m,in_square
L1_pos,3cm,4,2,0.7184650040165763,0.2794542836767908,False
L1_pos,3cm,4,1,0.7183900525091104,0.27939859805408934,False
L1_pos,3cm,5,1,0.6705454247094561,0.3521475444171541,False
L1_pos,3cm,1,1,0.5990845576292724,0.2687477490311025,False
L1_pos,3cm,0,3,0.549475429052097,0.44297140939539437,False
L1_pos,3cm,4,3,0.7184268916901446,0.2794250915914739,False
L1_pos,3cm,1,3,0.5990932770678186,0.26879329909795013,False
L1_pos,3cm,6,3,0.5842791240394026,0.2515268854036191,False
L1_pos,3cm,1,2,0.5990791677877537,0.2687479448653427,False
L1_pos,3cm,5,2,0.6607263246257479,0.3605384673864949,False
L1_pos,3cm,5,3,0.6736855076756599,0.366596088507262,False
L1_pos,3cm,0,2,0.5535058257097771,0.4462092803127474,False
L1_pos,3cm,6,1,0.5956126711719704,0.26473899597598205,False
L1_pos,3cm,0,1,0.5546407513707768,0.441339447725272,False
L1_pos,3cm,3,3,0.5450346820495661,0.3874146955644013,False
L1_pos,3cm,3,2,0.550431965725627,0.39411809982303847,False
L1_pos,3cm,6,2,0.5867912948040189,0.2529239073397032,False
L4_full,3cm,2,3,0.4768702721712213,0.05308784712215618,True
L4_full,3cm,4,2,0.7151549445977063,0.2783963257125674,False
L4_full,3cm,4,1,0.715137846983487,0.27837696417569135,False
L4_full,4cm,8,3,0.7293431198970817,0.29013563846555274,False
L4_full,3cm,5,1,0.6124639641592208,0.3280953452490677,False
L4_full,3cm,1,1,0.5283655014457403,0.3220491919916076,False
L4_full,3cm,4,3,0.7151096947022958,0.2783596052143249,False
L4_full,3cm,1,3,0.5265349969908294,0.22120537466701448,False
L4_full,3cm,6,3,0.5814477408884716,0.23850313441664367,False
L4_full,3cm,1,2,0.5234362654967715,0.24138378879463904,False
L4_full,4cm,8,1,0.730066663523957,0.2907701019515286,False
L4_full,3cm,5,2,0.6000271297555257,0.33463439602904654,False
L4_full,3cm,5,3,0.6095122065679169,0.33186919425167705,False
L4_full,4cm,8,2,0.7297019364896898,0.2904501476314861,False
L4_full,3cm,2,2,0.5088838014391687,0.07601909712678404,True
L4_full,3cm,6,1,0.5768919480543523,0.238827544584711,False
L4_full,3cm,0,1,0.5307408807492885,0.4283575294749582,False
L4_full,3cm,6,2,0.578219264483857,0.23428719587978283,False
L3_pos_cube_robot,3cm,4,2,0.7154013648305305,0.28043998041901713,False
L3_pos_cube_robot,3cm,4,1,0.7109892616190857,0.2757971463825425,False
L3_pos_cube_robot,3cm,5,1,0.6233214999255386,0.36722689796192526,False
L3_pos_cube_robot,3cm,1,1,0.5731350540685488,0.3033116556295281,False
L3_pos_cube_robot,3cm,4,3,0.7097894265893769,0.2757039669859596,False
L3_pos_cube_robot,3cm,1,3,0.570910199766932,0.2997104554893552,False
L3_pos_cube_robot,3cm,3,1,0.5898221109766227,0.4148986797186687,False
L3_pos_cube_robot,3cm,6,3,0.6030883156856385,0.2645155095903028,False
L3_pos_cube_robot,3cm,1,2,0.5661288696725397,0.2946494508962351,False
L3_pos_cube_robot,3cm,5,2,0.6054514218226463,0.36306479223854865,False
L3_pos_cube_robot,3cm,5,3,0.6180659745925478,0.3681925191020421,False
L3_pos_cube_robot,3cm,3,3,0.6008239305968307,0.4239451076852168,False
L3_pos_cube_robot,3cm,3,2,0.5941869707061208,0.40947100630841154,False
L2_pos_cube,3cm,2,3,0.45091665593055236,0.03865487460023836,True
L2_pos_cube,3cm,4,2,0.30968459261179515,0.3127348445687998,False
