config,cube,success,final_box_target_dist
L1_pos,3cm,False,0.3323758542537689
L1_pos,3cm,False,0.0151893962174654
L1_pos,3cm,False,0.2517909109592438
L1_pos,3cm,False,0.014155122451484203
L1_pos,3cm,False,0.014585604891180992
L1_pos,3cm,False,0.8738685846328735
L1_pos,3cm,False,0.009986969642341137
L1_pos,3cm,False,0.008012013509869576
L1_pos,3cm,False,0.24075567722320557
L1_pos,3cm,False,0.022174056619405746
L1_pos,3cm,False,0.2963670790195465
L1_pos,3cm,False,0.39319539070129395
L1_pos,3cm,False,0.027648113667964935
L1_pos,3cm,False,0.026542572304606438
L1_pos,3cm,False,0.07602622359991074
L1_pos,3cm,False,0.008113709278404713
L1_pos,3cm,True,0.006588411517441273
L1_pos,3cm,True,0.0038256333209574223
L4_full,3cm,False,0.4203338027000427
L4_full,3cm,False,0.03459114953875542
L4_full,3cm,False,0.17165830731391907
L4_full,4cm,True,0.003213723888620734
L4_full,3cm,False,0.6234555840492249
L4_full,3cm,False,0.024531355127692223
L4_full,3cm,False,0.2936364412307739
L4_full,3cm,False,0.7769888043403625
L4_full,3cm,False,0.21366176009178162
L4_full,3cm,False,0.14449633657932281
L4_full,4cm,False,0.21058130264282227
L4_full,3cm,False,0.3182592988014221
L4_full,3cm,False,0.18176648020744324
L4_full,4cm,False,0.6788896322250366
L4_full,3cm,False,0.3115023672580719
L4_full,3cm,False,0.19876983761787415
L4_full,3cm,False,0.032678645104169846
L4_full,3cm,False,0.00807285774499178
L3_pos_cube_robot,3cm,True,0.008483108133077621
L3_pos_cube_robot,3cm,False,0.01580246537923813
L3_pos_cube_robot,3cm,True,0.007543481420725584
L3_pos_cube_robot,3cm,False,0.11995168030261993
L3_pos_cube_robot,3cm,False,0.8626881837844849
L3_pos_cube_robot,3cm,False,0.06924204528331757
L3_pos_cube_robot,3cm,False,0.1746077984571457
L3_pos_cube_robot,3cm,False,0.009260931052267551
L3_pos_cube_robot,3cm,False,0.047535352408885956
L3_pos_cube_robot,3cm,False,0.01215425319969654
L3_pos_cube_robot,3cm,False,0.2983391582965851
L3_pos_cube_robot,3cm,False,0.300368070602417
L3_pos_cube_robot,3cm,False,0.8338472843170166
L3_pos_cube_robot,3cm,False,0.009485872462391853
L3_pos_cube_robot,3cm,False,0.33966735005378723
L2_pos_cube,3cm,False,0.5124733448028564
L2_pos_cube,3cm,True,0.035561226308345795
L2_pos_cube,3cm,False,0.3551272749900818
L2_pos_cube,3cm,False,0.5091885924339294
L2_pos_cube,3cm,False,0.7348013520240784
L2_pos_cube,3cm,False,0.12706953287124634
L2_pos_cube,3cm,False,0.016584904864430428
L2_pos_cube,3cm,False,0.5326386094093323
L2_pos_cube,3cm,False,0.009597924537956715
L2_pos_cube,3cm,True,0.15606379508972168
L2_pos_cube,4cm,False,0.2840779423713684
L2_pos_cube,3cm,False,0.006794307846575975
L2_pos_cube,3cm,False,0.020640389993786812
L2_pos_cube,3cm,False,0.20448310673236847
L2_pos_cube,3cm,False,0.03737092763185501
L2_pos_cube,4cm,False,0.008994221687316895
L2_pos_cube,3cm,False,0.22479566931724548
L2_pos_cube,3cm,False,0.550860583782196
L2_pos_cube,3cm,False,0.5400226712226868
L2_pos_cube,3cm,False,0.01779264397919178
L2_pos_cube,3cm,True,0.003977134358137846
L2_pos_cube,3cm,True,0.008229206316173077
L2_pos_cube,3cm,True,0.003996026236563921
L2_pos_cube,3cm,False,0.5400137305259705
L2_pos_cube,3cm,False,0.02922871522605419
L0_none,3cm,False,0.35804155468940735
L0_none,4cm,False,0.27949172258377075
L0_none,3cm,False,0.36517736315727234
L0_none,3cm,False,0.35418927669525146
L0_none,3cm,False,0.2938992381095886
L0_none,3cm,False,0.3541858196258545
L0_none,4cm,False,0.3607831597328186
L0_none,3cm,False,0.2987944483757019
L0_none,3cm,False,0.3541622459888458
L0_none,3cm,False,0.2938545346260071
L0_none,3cm,False,0.36293306946754456
L0_none,3cm,False,0.3626065254211426
L0_none,4cm,False,0.25413060188293457
L0_none,3cm,False,0.2961227297782898
L0_none,4cm,False,0.36079299449920654
L0_none,3cm,False,0.2988383173942566
L0_none,3cm,False,0.2988319993019104
L0_none,3cm,False,0.29382941126823425
L0_none,4cm,False,0.18666775524616241
L0_none,3cm,False,0.29382726550102234
L0_none,4cm,False,0.36080676317214966
L0_none,3cm,False,0.3580893278121948
L0_none,3cm,False,0.3652109205722809
L0_none,3cm,False,0.2960970103740692
L0_none,3cm,False,0.3626357316970825
L0_none,3cm,False,0.36263176798820496
L0_none,3cm,False,0.2961406409740448
