step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.026270889036823064,-6.024037496388246e-06,-2.000025888482565,1.5999954382525843,-1.60003723720693,-1.4999926725970667,-1.699129213506012e-05,0.0661512166261673,-0.4312213659286499,-1.0928837060928345,-0.6313886642456055,0.022965937852859497,0.03376530110836029,-1.8252855255448277e-17,-0.6907317042350769,-1.6752318143844604,-1.1898541450500488,0.15037904679775238,0.031923435628414154,-2.304355864554105,-1.6904935875386091,-0.08826907044925858,-0.12993848131759295,0.3201313678276683,0.04842827691792995,-0.009813775,-1.9785377,1.6138006,-1.5992275,-1.510456,-0.00057285675,-0.009813775,-1.9785377,1.6138006,-1.5992275,-1.510456,-0.00057285675,-6.024037702445639e-06,-2.000025987625122,1.599995493888855,-1.6000372171401978,-1.4999927282333374,-1.6991292795864865e-05,-0.39231005,0.8595314,0.55220705,0.03238599,-0.41852924,-0.022234619,-0.4628699,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27011738226877324,0.1477754335211473,0.27644756056606423,0.3808554672439937,0.11321525049975699,0.048369844615113594,-0.06545970005898163,0.010927448068095803,0.01102075825736341,0.9977344914153413,0.3,-0.2,0.3,0.40982818444610014,1.9508996047079563e-05,9.99990152195096e-05,0.0002217179862782359,0.0001265519531443715,7.734098471701145e-05,0.02555406797910109,0.026268657005857676,1.801003236323595e-06,0.026270458009094,38.06557158820115,1
1,0.046340366010554135,-7.278123964482575e-05,-1.9998117885985316,1.6000350157367151,-1.6000648937621058,-1.5000441710101526,1.7440319425077178e-05,-0.1454664021730423,-0.1549627184867859,-0.6606366038322449,-0.5711264610290527,-0.1572646051645279,0.00930965505540371,-0.21169531345367432,-0.3456982374191284,-1.3560326099395752,-1.1347209215164185,0.0138891926035285,0.028910864144563675,-2.195907446286849,-1.9939858405331037,0.6787979121507939,-0.1349406156768911,0.3288093879458696,0.051358156700271884,-0.008962405,-1.9781675,1.6139027,-1.5988476,-1.5106535,-0.00038218926,-0.008962405,-1.9781675,1.6139027,-1.5988476,-1.5106535,-0.00038218926,-7.278123666765168e-05,-1.9998117685317993,1.6000350713729858,-1.6000648736953735,-1.5000442266464233,1.7440319425077178e-05,-0.35558495,0.86576855,0.5547047,0.04869171,-0.42437202,-0.015985183,-0.44422495,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.2701553556191314,0.14774521659413006,0.276379091152405,0.3807505047140809,0.11327222103112508,0.04832092312310899,-0.06648143191830426,0.009058061553457956,0.01216348057854665,0.9976723752244915,0.3,-0.2,0.3,0.4098810707527976,1.9247003365308046e-05,7.531302981078625e-05,0.00026050902670249343,0.0001764519838616252,9.727495489642024e-05,0.00013531203148886561,0.0009441900183446705,0.019053920987062156,0.019998111005406827,50.004722932562636,1
2,0.0663444260135293,-0.00036126772035771637,-1.9992615185179652,1.6004894415484827,-1.6000286541380824,-1.5003793875323694,2.4736644263612106e-05,-0.2621616721153259,-0.057000286877155304,-0.730532169342041,-0.5114135146141052,-0.16883757710456848,-0.009281076490879059,-0.3094716966152191,-0.28204262256622314,-1.304815649986267,-1.1031683683395386,-0.03995375707745552,0.020439689978957176,-1.704028880701547,-1.8292774030189511,0.3213472435473625,-0.1317362289706176,0.31365284544578886,0.05042596806074771,-0.009247525,-1.9776218,1.6143649,-1.5988114,-1.510991,-0.00037844206,-0.009247525,-1.9776218,1.6143649,-1.5988114,-1.510991,-0.00037844206,-0.0003612677101045847,-1.999261498451233,1.6004894971847534,-1.60002863407135,-1.5003794431686401,2.4736644263612106e-05,-0.35545027,0.8655897,0.5550169,0.048690695,-0.42446092,-0.016127149,-0.44436038,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27021770395776096,0.14758796849690636,0.2760501086958477,0.38081387935119526,0.11318670081999824,0.048314711306275626,-0.06630477284593951,0.009684695727355227,0.011861742592287535,0.9976818817212835,0.3,-0.2,0.3,0.4098320182120699,5.307298852130771e-05,8.904800051823258e-05,0.00025767897022888064,0.0001956949708983302,9.611801942810416e-05,6.548699457198381e-05,0.000964178005233407,0.018939786998089403,0.01990396500332281,50.24124589412501,1
3,0.08639607904478908,-0.0008652845965784195,-1.9981566868224085,1.6012423674212855,-1.6000133953490199,-1.5009573141681116,-9.838734762013246e-06,-0.28576529026031494,-0.01952853798866272,-0.6803799271583557,-0.4659581780433655,-0.17856614291667938,-0.041339773684740067,-0.3186786472797394,-0.2636268436908722,-1.2924988269805908,-1.0840840339660645,-0.046353984624147415,0.009773186407983303,-1.7928783691923145,-2.2120783717051884,0.5574393975396144,-0.13665269779239309,0.31178711559092265,0.05335371277267765,-0.009751224,-1.9765184,1.6150938,-1.5988258,-1.5115663,-0.0004135191,-0.009751224,-1.9765184,1.6150938,-1.5988258,-1.5115663,-0.0004135191,-0.0008652845863252878,-1.9981566667556763,1.6012424230575562,-1.6000133752822876,-1.5009573698043823,-9.838734513323288e-06,-0.35543758,0.8655323,0.55405515,0.04750136,-0.42435685,-0.016147215,-0.4440081,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.2703559258681098,0.14731498173364288,0.2754604962711259,0.3807975623879632,0.11324637470798396,0.04830924791051368,-0.06628160087858304,0.008947211746049196,0.012248850779369104,0.9976856484181665,0.3,-0.2,0.3,0.409877759807004,2.7503992896527052e-05,9.288301225751638e-05,0.00029225897742435336,0.00020796502940356731,0.00011649803491309285,7.412798004224896e-05,0.0010272940271534026,0.018914585991296917,0.01994188001845032,50.14572342601577,1
4,0.106363405007869,-0.0016430060016077164,-1.9964567623534144,1.6023162047015589,-1.6000014744200648,-1.5017903486834925,-4.9893056051075746e-05,-0.2816814184188843,0.018067166209220886,-0.6889626979827881,-0.41756710410118103,-0.18870338797569275,-0.10649016499519348,-0.3162378966808319,-0.27198418974876404,-1.2973270416259766,-1.072910189628601,-0.045603878796100616,-0.0011558737605810165,-2.057628021940376,-2.035695091526395,0.7317327283318966,-0.14389822019480283,0.3237588235737407,0.05245678585999926,-0.010533999,-1.9748223,1.6161469,-1.5988144,-1.5123447,-0.00045715916,-0.010533999,-1.9748223,1.6161469,-1.5988144,-1.5123447,-0.00045715916,-0.0016430059913545847,-1.9964567422866821,1.6023162603378296,-1.6000014543533325,-1.5017904043197632,-4.989305671188049e-05,-0.3556397,0.8653772,0.5532274,0.047481734,-0.42217472,-0.016290644,-0.443517,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27057628129846123,0.1469074231395492,0.27458783266100945,0.3808158383384402,0.11325082777235579,0.04842570414673473,-0.06618456574004124,0.010919584785817884,0.010299702222434244,0.9976945055342953,0.3,-0.2,0.3,0.4098132661332437,4.030700074508786e-05,0.00016896100714802742,0.0007324040052480996,0.0002546840114519,0.00020862201927229762,9.435601532459259e-05,0.0018469549831934273,0.017960588971618563,0.01980754395481199,50.48581501479202,1
5,0.1263675710069947,-0.0026505629168909195,-1.9941016636290492,1.603802506123678,-1.5998908481993617,-1.5029423872577112,-0.00014144579042607575,-0.3152267336845398,-0.03922940045595169,-0.7042447924613953,-0.42309555411338806,-0.17956866323947906,-0.06347204744815826,-0.29567381739616394,-0.3176915645599365,-1.3257148265838623,-1.0725328922271729,-0.03567414730787277,-0.011399748735129833,-1.710145929058634,-1.7547525009917615,0.4780379003745487,-0.1432563370236954,0.30174188989797185,0.04303184094788912,-0.011545423,-1.9724699,1.6175742,-1.5987898,-1.5135102,-0.00054974586,-0.011545423,-1.9724699,1.6175742,-1.5987898,-1.5135102,-0.00054974586,-0.002650562906637788,-1.994101643562317,1.6038025617599487,-1.5998908281326294,-1.502942442893982,-0.0001414457947248593,-0.35579443,0.86526865,0.55086476,0.044039108,-0.42271128,-0.016332002,-0.44276264,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.2708491259794208,0.146361828912692,0.2733634332423409,0.38071348907061364,0.11326854258437193,0.04833284781860057,-0.0665732465827665,0.00876942735166383,0.012621974641913197,0.9976631842393775,0.3,-0.2,0.3,0.409863646254536,0.0001916550099849701,0.0001370900426991284,0.00046119996113702655,0.0003170850104652345,0.0002056219964288175,9.423895971849561e-05,0.0017602639854885638,0.018074515974149108,0.01983477995963767,50.41649073168076,1
6,0.1463713280390948,-0.003865543995992482,-1.9914576015868128,1.6054886023150843,-1.5997826061644496,-1.504145924245016,-0.00021392503847295075,-0.29819875955581665,-0.1411134898662567,-0.7631515860557556,-0.4439426064491272,-0.15616269409656525,-0.09510068595409393,-0.23979616165161133,-0.44332215189933777,-1.4078339338302612,-1.1050653457641602,0.0015377767849713564,-0.015557792037725449,-1.8295230901664659,-2.023358817893678,-0.2621849055533403,-0.15072427250430814,0.29070916859991197,0.03574539930510988,-0.012768762,-1.969831,1.6192049,-1.5987433,-1.5146782,-0.0006246124,-0.012768762,-1.969831,1.6192049,-1.5987433,-1.5146782,-0.0006246124,-0.0038655439857393503,-1.9914575815200806,1.605488657951355,-1.5997825860977173,-1.5041459798812866,-0.0002139250427717343,-0.35612872,0.8650642,0.54864717,0.041572247,-0.42129162,-0.016427493,-0.44199607,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27116096040945376,0.14574734991811614,0.2719871776245968,0.38091054409437086,0.11318046115254539,0.048364749082891324,-0.06588717859052357,0.009521822935034577,0.011982249220851764,0.9977097222470617,0.3,-0.2,0.3,0.4098155961338951,5.641399184241891e-05,0.00021539098815992475,0.0006666809786111116,0.00030615495052188635,0.0002483470016159117,0.0001161170075647533,0.002030803996603936,0.017757061985321343,0.01978786598192528,50.53602045381874,1
7,0.16635419405065477,-0.005106751118795216,-1.988762994805807,1.6071260611163538,-1.5997148952879847,-1.5054739157306116,-0.00027734438051396637,-0.209648996591568,-0.23421764373779297,-0.7809656262397766,-0.4455176293849945,-0.1478945016860962,-0.10318313539028168,-0.20276448130607605,-0.5254443883895874,-1.460205316543579,-1.1245683431625366,0.023374881595373154,-0.012319921515882015,-2.431523195966558,-1.500095911961563,-0.07213125981493818,-0.12665154755268812,0.30735927026520155,0.017248328265802797,-0.014008457,-1.96714,1.62079,-1.5987281,-1.5159768,-0.0006902225,-0.014008457,-1.96714,1.62079,-1.5987281,-1.5159768,-0.0006902225,-0.005106751341372728,-1.9887629747390747,1.6071261167526245,-1.5997148752212524,-1.5054739713668823,-0.0002773443702608347,-0.3560682,0.8649208,0.5465555,0.039473593,-0.4201131,-0.016515125,-0.4410944,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.2714879155376589,0.14509567203099558,0.27062122955473256,0.3807406468075421,0.11331297716494872,0.04837086721982774,-0.06619792503411812,0.008520852045900536,0.01208485230706561,0.9976969444472439,0.3,-0.2,0.3,0.40987961660999395,5.795300239697099e-05,0.00021422200370579958,0.0007726660114713013,0.0003345229779370129,0.0002462940174154937,0.00012300797970965505,0.0021786889992654324,0.017565463029313833,0.019744152028579265,50.64790822885278,1
8,0.1863567820400931,-0.006261173878804982,-1.9861890278258265,1.608755890523092,-1.599560876885885,-1.5067747274981897,-0.000321690236226857,-0.19495801627635956,-0.27344009280204773,-0.8337309956550598,-0.4381859600543976,-0.1326279193162918,-0.08508499711751938,-0.18426232039928436,-0.5688925981521606,-1.4869670867919922,-1.133917212486267,0.0338488332927227,-0.00532547477632761,-2.364361587316687,-1.4762965420933556,-0.49604436989510003,-0.11871364576086613,0.30121317215854687,0.006893090881283037,-0.015170483,-1.9645716,1.6223729,-1.598609,-1.5172131,-0.00073835975,-0.015170483,-1.9645716,1.6223729,-1.598609,-1.5172131,-0.00073835975,-0.006261174101382494,-1.9861890077590942,1.6087559461593628,-1.5995608568191528,-1.5067747831344604,-0.0003216902259737253,-0.35637236,0.86469454,0.5446746,0.03807559,-0.41753343,-0.01666678,-0.440226,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.271765153144718,0.14447362674238096,0.2692771043993665,0.38076404130076363,0.11331936940036223,0.04848820069880433,-0.06620538507779357,0.009935146239509658,0.010394461825853156,0.9977023982140985,0.3,-0.2,0.3,0.40981709180422193,3.948202356696129e-05,0.00015121698379516602,0.0006585610099136829,0.00031940400367602706,0.00028239795938134193,0.00013127794954925776,0.0019041739869862795,0.01794210000662133,0.01984627399360761,50.38729185750913,1
9,0.20635762601159513,-0.007197205220357716,-1.98394837001943,1.6102169195758265,-1.5994330845274867,-1.5078476111041468,-0.00038177171816045075,-0.22095096111297607,-0.25870242714881897,-0.7957969903945923,-0.4393203854560852,-0.1332308053970337,-0.11818364262580872,-0.17739510536193848,-0.5876428484916687,-1.4975014925003052,-1.1369414329528809,0.037452083081007004,0.003036640351638198,-1.889825470294102,-1.6492976795896803,-0.7443017314494742,-0.13727998394063687,0.27879473836109214,0.009403797886609212,-0.016118506,-1.9623353,1.6237712,-1.5985653,-1.5182729,-0.0007996914,-0.016118506,-1.9623353,1.6237712,-1.5985653,-1.5182729,-0.0007996914,-0.007197205442935228,-1.9839483499526978,1.6102169752120972,-1.5994330644607544,-1.5078476667404175,-0.00038177170790731907,-0.35685202,0.8645187,0.5421702,0.03470968,-0.41700998,-0.016716788,-0.43948838,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.2719868499932745,0.14396463126170067,0.26809409729679684,0.3809145730251534,0.11317050796050904,0.04847815978216348,-0.06612656726764546,0.009407253396294111,0.01131051860674792,0.9977027711766793,0.3,-0.2,0.3,0.40973915754402734,3.84019804187119e-05,0.00013167900033295155,0.0004924359964206815,0.0004158599767833948,0.00018340203678235412,0.00011860404629260302,0.0016929079429246485,0.01815157401142642,0.019844481954351068,50.39184203953189,1
