step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02935208799317479,8.981385690276511e-06,-1.9999991856017054,1.5999954382525843,-1.6000100574889125,-1.4999998251544397,2.5693043426144868e-05,0.09160472452640533,-0.538921594619751,-1.3473395109176636,-0.7474333047866821,-0.005301611497998238,-0.07135855406522751,-6.689773573185858e-17,-0.6907451152801514,-1.6752287149429321,-1.1898738145828247,0.1503923237323761,0.0319247804582119,4.225677222068556,0.1747011404770331,20.9820434563517,-0.7523469926882873,1.1853708639655085,0.05761030702720227,-0.016170153,-1.9788677,1.6069223,-1.6073616,-1.5157511,-0.00591787,-0.016170153,-1.9788677,1.6069223,-1.6073616,-1.5157511,-0.00591787,8.981385690276511e-06,-1.9999991655349731,1.599995493888855,-1.6000100374221802,-1.4999998807907104,2.5693043426144868e-05,-0.64716536,0.8452612,0.27706876,-0.2940604,-0.6300491,-0.23774251,-0.055121124,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.2701136529675186,0.14777779473710848,0.27643546203829944,0.45053084929291864,-0.03872146891526179,0.033682363108021134,0.5146157156222856,0.006347868334836361,0.042178515779770234,0.856359339599397,0.3,-0.2,0.3,0.3458256621757465,2.193398540839553e-05,7.84100266173482e-05,0.0001903579686768353,0.00035281700547784567,0.00010333303362131119,0.028412910003680736,0.02934940595878288,1.9970466382801533e-06,0.02935140300542116,34.069921625732896,1
1,0.049416850961279124,-0.00011474290956670075,-1.9998275242247523,1.5999921003924769,-1.600049158135885,-1.5000956694232386,5.470036740007345e-06,-0.15065014362335205,-0.23553964495658875,-1.056404948234558,-0.7971776723861694,-0.21173086762428284,-0.16921456158161163,-0.3147584795951843,-0.35009971261024475,-1.4972407817840576,-1.2438747882843018,-0.0415397509932518,-0.02541745826601982,4.565498854081853,-0.4392401279674105,21.368637763381088,-0.7751162703142573,1.1831048219835714,0.06426957279963919,-0.01629256,-1.9786946,1.6069086,-1.6074046,-1.5158445,-0.0059411833,-0.01629256,-1.9786946,1.6069086,-1.6074046,-1.5158445,-0.0059411833,-0.00011474290658952668,-1.99982750415802,1.5999921560287476,-1.6000491380691528,-1.5000957250595093,5.470036740007345e-06,-0.6471127,0.8453156,0.2766564,-0.29421833,-0.62994784,-0.23786613,-0.055447374,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27016131106150415,0.14772169800642485,0.2763957415905391,0.450561250594802,-0.03869193876760925,0.033704780069774995,0.5148264430289347,0.0065301955977261315,0.04197521942662339,0.8562413339846561,0.3,-0.2,0.3,0.34583540691735787,2.2107036784291267e-05,0.00015265203546732664,0.0001855470472946763,0.00028572697192430496,0.00012090598465874791,6.103399209678173e-05,0.001092818973120302,0.018869897990953177,0.01996271696407348,50.093381667419365,1
2,0.0694061069516465,-0.000584904347554982,-1.999352594415182,1.6001747290240687,-1.6003390751280726,-1.5006855169879358,-0.00021392503847295075,-0.2393324077129364,-0.020176734775304794,-0.9305906295776367,-0.8007863163948059,-0.16754880547523499,-0.17035116255283356,-0.3578316867351532,-0.2901347577571869,-1.346372365951538,-1.3022921085357666,-0.06818200647830963,-0.10740064084529877,4.939071380005922,-0.024598823689826688,21.418933420383443,-0.7910702084284695,1.1773002940496222,0.0304112112251686,-0.016763985,-1.978219,1.6070852,-1.6076928,-1.5164263,-0.0061701015,-0.016763985,-1.978219,1.6070852,-1.6076928,-1.5164263,-0.0061701015,-0.0005849043373018503,-1.9993525743484497,1.6001747846603394,-1.6003390550613403,-1.5006855726242065,-0.0002139250427717343,-0.6471632,0.84534204,0.2764184,-0.29415193,-0.6296313,-0.23824705,-0.055843227,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.2703280875396079,0.14745506949227896,0.27624153028556675,0.4505325419130062,-0.03881710418163035,0.03366856361089219,0.5153076613424233,0.006647679895439261,0.04181332734824558,0.8559588164057526,0.3,-0.2,0.3,0.34579243746770655,2.750998828560114e-05,8.643401088193059e-05,6.932398537173867e-05,0.00020546599989756942,0.00011188403004780412,7.295096293091774e-05,0.0008248930098488927,0.01905365497805178,0.019878547987900674,50.305485119369,1
3,0.08944418298779055,-0.0013764540301721695,-1.998268266717428,1.6004646460162562,-1.6007372341551722,-1.5014565626727503,-0.0005562941180627945,-0.2990843951702118,0.03298993408679962,-0.8041730523109436,-0.8278087377548218,-0.18398398160934448,-0.16289153695106506,-0.37208127975463867,-0.2722381055355072,-1.3388878107070923,-1.3016875982284546,-0.07767993211746216,-0.10859314352273941,5.3168315674968,-0.6466000952322943,21.369564182860394,-0.7730639541546812,1.173082151018317,0.04679248075379169,-0.017550437,-1.977129,1.6073353,-1.6081047,-1.5171815,-0.0065311585,-0.017550437,-1.977129,1.6073353,-1.6081047,-1.5171815,-0.0065311585,-0.0013764540199190378,-1.9982682466506958,1.6004647016525269,-1.60073721408844,-1.501456618309021,-0.0005562941078096628,-0.6469593,0.84557205,0.27482536,-0.29470196,-0.6289976,-0.23899458,-0.05740938,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27062753857949284,0.14705838421752385,0.2758989784757139,0.45056523818029365,-0.03869204283963714,0.03369098840942458,0.5146554403302029,0.006347713738640462,0.042160318573628314,0.8563363931349263,0.3,-0.2,0.3,0.34584771412704823,2.6314985007047653e-05,0.00011715799337252975,7.1887974627316e-05,0.00021523097530007362,0.00011128798360005021,7.359299343079329e-05,0.0008928169845603406,0.01903734903316945,0.01993016601772979,50.175196689802,1
4,0.10947591898730025,-0.0026510397540491226,-1.9965301952757777,1.6009309927569788,-1.6013733349242152,-1.5027506987201136,-0.0010116736041467789,-0.3589897155761719,-0.056799277663230896,-0.7590508460998535,-0.810314416885376,-0.20020343363285065,-0.16571761667728424,-0.36950626969337463,-0.27966687083244324,-1.3417716026306152,-1.3026844263076782,-0.07743965089321136,-0.10981423407793045,4.808767985572621,-0.37203598289812145,21.788945592027154,-0.7687159227969258,1.1812073586299847,0.05103468754730306,-0.018825462,-1.9753838,1.6077417,-1.6087571,-1.5184542,-0.007014692,-0.018825462,-1.9753838,1.6077417,-1.6087571,-1.5184542,-0.007014692,-0.002651039743795991,-1.9965301752090454,1.6009310483932495,-1.601373314857483,-1.5027507543563843,-0.0010116735938936472,-0.6469769,0.8458548,0.27242514,-0.2953517,-0.62813526,-0.24012072,-0.05975434,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.2711061903355792,0.14640637264782191,0.2753478045561992,0.45057265597348556,-0.0387163179968752,0.033707555524653265,0.5147543759639992,0.006852066300222332,0.04151282848732207,0.8563046378313839,0.3,-0.2,0.3,0.3458268649372848,5.3033989388495684e-05,0.00012328900629654527,9.970698738470674e-05,0.0003813949879258871,0.00016943697119131684,9.094597771763802e-05,0.0013138629728928208,0.018524643033742905,0.019838506006635725,50.40702156026834,1
5,0.1294665570021607,-0.0044167677508752945,-1.9941798649229945,1.601656738911764,-1.6021019421019496,-1.5043647925006312,-0.0016344229327600601,-0.32231253385543823,-0.052975162863731384,-0.788405179977417,-0.8320464491844177,-0.20952308177947998,-0.19260382652282715,-0.3419804275035858,-0.3220357894897461,-1.3616849184036255,-1.3059368133544922,-0.06469788402318954,-0.11111485213041306,4.921425874979111,-0.7234614156921366,21.160477750158787,-0.7754229251031639,1.1728575755736368,0.054115901951515,-0.020590873,-1.9730235,1.6083765,-1.6095138,-1.5200417,-0.0076785767,-0.020590873,-1.9730235,1.6083765,-1.6095138,-1.5200417,-0.0076785767,-0.0044167679734528065,-1.9941798448562622,1.6016567945480347,-1.6021019220352173,-1.5043648481369019,-0.0016344229225069284,-0.64696425,0.8462538,0.26878598,-0.29647386,-0.627075,-0.24176615,-0.062975205,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27172155419000227,0.14554394580736096,0.27454563748275396,0.45062747224057176,-0.03872357113026867,0.033687243462621974,0.5145666369816172,0.005887720182436955,0.043022993873279104,0.8563501457832391,0.3,-0.2,0.3,0.34586299298498147,3.593799192458391e-05,0.0001152370241470635,9.562098421156406e-05,0.00035269203362986445,0.00019236799562349916,9.53000271692872e-05,0.0012366960290819407,0.018610901024658233,0.019847597053740174,50.383932991603906,1
6,0.14943437394686043,-0.006431881581441701,-1.991617342034811,1.6025002638446253,-1.6029612026610316,-1.506355110798971,-0.002384964619771779,-0.25730830430984497,-0.2096094936132431,-0.8454023599624634,-0.8625229597091675,-0.1503010094165802,-0.16818583011627197,-0.264256089925766,-0.4410644471645355,-1.4176658391952515,-1.3166208267211914,-0.014974037185311317,-0.11144226789474487,4.572192426167911,-0.2780064117824794,21.048084804771868,-0.7396289040117847,1.1757914188301029,0.040343194334775595,-0.022602744,-1.9704496,1.6091247,-1.6104028,-1.5219975,-0.00847568,-0.022602744,-1.9704496,1.6091247,-1.6104028,-1.5219975,-0.00847568,-0.006431881804019213,-1.9916173219680786,1.602500319480896,-1.6029611825942993,-1.5063551664352417,-0.002384964609518647,-0.6468345,0.8467108,0.26497182,-0.29766703,-0.62569165,-0.2436286,-0.066543154,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27240754208553564,0.14452256795767845,0.27365919422217233,0.4506042308900893,-0.038718199656037205,0.03368603169213754,0.5143254908131207,0.005974858614572348,0.04303785144984425,0.856493636705169,0.3,-0.2,0.3,0.3458563096433492,3.364094300195575e-05,0.00010825000936165452,8.711201371625066e-05,0.0002234709681943059,0.00016125000547617674,8.265598444268107e-05,0.0010068240226246417,0.018825368955731392,0.019832192978356034,50.42306723675769,1
7,0.1694738149526529,-0.0085070768939417,-1.9889098606505335,1.6033332983600062,-1.603920122186178,-1.5082500616656702,-0.0031359831439417007,-0.22466643154621124,-0.23910310864448547,-0.8481249213218689,-0.8447085618972778,-0.1412353664636612,-0.1774507611989975,-0.21261432766914368,-0.5188778042793274,-1.453397512435913,-1.3220736980438232,0.014565608464181423,-0.11142246425151825,3.9249882249796615,0.1458741632853342,20.965809288742683,-0.7223546757310333,1.1900133422220591,0.0370563447156316,-0.024678798,-1.9677311,1.6098522,-1.6113917,-1.5238613,-0.009274089,-0.024678798,-1.9677311,1.6098522,-1.6113917,-1.5238613,-0.009274089,-0.008507076650857925,-1.9889098405838013,1.6033333539962769,-1.6039201021194458,-1.508250117301941,-0.003135983133688569,-0.6468689,0.84715015,0.260752,-0.29886022,-0.62444717,-0.24552421,-0.070189275,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27313215239215743,0.14350484208400552,0.2727554263941626,0.45068200552004445,-0.03879929866954591,0.03366057311360204,0.5148999050644838,0.006471711201312031,0.043080738008518596,0.856142652407589,0.3,-0.2,0.3,0.3458719805498373,3.587902756407857e-05,0.00011041300604119897,8.931400952860713e-05,0.0002230759710073471,0.00016977102495729923,9.012699592858553e-05,0.0010329289943911135,0.01887076295679435,0.019903691951185465,50.24193513708596,1
8,0.18943960295291618,-0.010387245808736623,-1.98645081142568,1.6041353384601038,-1.6048032246031703,-1.5101092497455042,-0.003827873860494435,-0.2479638010263443,-0.2741047441959381,-0.8638107776641846,-0.8473783135414124,-0.11336590349674225,-0.1603517383337021,-0.1861186921596527,-0.5603826642036438,-1.4715932607650757,-1.32352614402771,0.02901587449014187,-0.11106905341148376,3.824352824983353,0.09828576258508037,20.82731929614543,-0.7162318201404918,1.1890560736909954,0.034334185254358524,-0.026552647,-1.9652594,1.6105498,-1.6123089,-1.5256852,-0.010011617,-0.026552647,-1.9652594,1.6105498,-1.6123089,-1.5256852,-0.010011617,-0.010387245565652847,-1.9864507913589478,1.6041353940963745,-1.604803204536438,-1.510109305381775,-0.0038278738502413034,-0.64661604,0.84765434,0.2565749,-0.30022714,-0.6230373,-0.24734972,-0.073877804,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.2737820282250822,0.14254700777543858,0.27191741901530586,0.45071079469197123,-0.03869242763744505,0.033701033757036515,0.5141666263542035,0.005639461368960974,0.04337004879866771,0.8565745194119413,0.3,-0.2,0.3,0.34590319408407105,4.816899308934808e-05,0.0001097859931178391,9.179196786135435e-05,0.0002722170320339501,0.00015497900312766433,8.618604624643922e-05,0.0011157720000483096,0.018670353980269283,0.019786125980317593,50.540464616204204,1
9,0.2094673959654756,-0.012051407490865529,-1.984203954736227,1.6048715750323694,-1.60557283977651,-1.5117839018451136,-0.004463020955220998,-0.2527881860733032,-0.2694033086299896,-0.8194578289985657,-0.8550804853439331,-0.12923142313957214,-0.1702221930027008,-0.17557606101036072,-0.5784685015678406,-1.4786378145217896,-1.3228286504745483,0.0340479351580143,-0.11055213212966919,4.162374632293973,-0.19324292114995445,20.82767715091641,-0.7183060805033572,1.1770205969120957,0.038087328248899405,-0.028220205,-1.9630039,1.611197,-1.6131036,-1.5273346,-0.010685854,-0.028220205,-1.9630039,1.611197,-1.6131036,-1.5273346,-0.010685854,-0.012051407247781754,-1.9842039346694946,1.6048716306686401,-1.6055728197097778,-1.5117839574813843,-0.00446302117779851,-0.6467519,0.8480016,0.25301278,-0.30123296,-0.6220227,-0.24891327,-0.076902546,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.27435611301088403,0.1416906671730962,0.27114391378478925,0.45072851820317156,-0.03882056253758046,0.033669968729443264,0.5144074625048977,0.005625007781785074,0.04464734967500609,0.8563643745725137,0.3,-0.2,0.3,0.3458751025064698,4.762096796184778e-05,0.00014704297063872218,0.00012084399349987507,0.00025291601195931435,0.00021748297149315476,0.00010499596828594804,0.0013046449748799205,0.018528187996707857,0.019832832971587777,50.421440115619646,1
