step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02009390399325639,-0.26238853136171514,-1.6096717319884242,2.2023895422564905,-2.705270906487936,-1.358560864125387,-0.12694198289980108,0.022306576371192932,-0.8883904218673706,-1.1394826173782349,-0.695044755935669,0.15365399420261383,0.02109176106750965,-3.082945818121477e-17,-0.5353755354881287,-0.7177667021751404,-0.2549077272415161,0.01246518362313509,0.0,-0.10275638223618835,-0.08483404007063042,-0.06732616124598392,0.0020068146873375987,-0.0071733275868415556,-0.004123269899963548,-0.26215988,-1.5961151,2.2083766,-2.6811893,-1.364293,-0.11057029,-0.26215988,-1.5961151,2.2083766,-2.6811893,-1.364293,-0.11057029,-0.26238852739334106,-1.609671711921692,2.2023894786834717,-2.705271005630493,-1.3585609197616577,-0.126941978931427,0.0057159634,0.33891374,0.14967838,0.6020398,-0.14330088,0.40929228,0.37446213,0.04992828369140624,0.0074892425537109375,0.0012482070922851562,0.0,,,False,0,0.3935143475041824,0.08167726094458563,0.12189232975663246,0.35019462790826117,-0.019867401541149427,0.11577536698158607,0.9987628235171723,0.009792950972681005,0.015474530130877583,-0.04623270215008205,0.19278403,0.22985718,0.165,0.299271661788879,5.572599184233695e-05,0.00019585700647439808,0.0007833540003048256,0.0003727139992406592,0.00026710800011642277,0.00019400900055188686,0.002363340012379922,0.017729275990859605,0.020092616003239527,49.76952726507938,0
1,0.040091905000736006,-0.2623809019671839,-1.609570165673727,2.2023423353778284,-2.7051593265929164,-1.3586199919330042,-0.12681895891298467,-0.009957700967788696,-0.5323154926300049,-0.7575661540031433,-0.3889293670654297,-0.030190639197826385,0.19917282462120056,-0.011612724512815475,-0.14152690768241882,-0.4499770998954773,-0.01803682930767536,-0.10703489184379578,0.18893778324127197,-0.45080901586876093,-0.11230352787704784,1.038712585060905,0.007361926141660091,0.03361035515588905,0.008824810988638352,-0.2673055,-1.5959324,2.2065082,-2.6824381,-1.364636,-0.112405285,-0.2673055,-1.5959324,2.2065082,-2.6824381,-1.364636,-0.112405285,-0.2623808979988098,-1.6095701456069946,2.2023422718048096,-2.7051594257354736,-1.358620047569275,-0.1268189549446106,-0.12311475,0.34094363,0.10414776,0.56803083,-0.1503966,0.36034185,0.25046682,0.12493076324462889,0.012498579025268554,0.0031232690811157223,0.0024964141193777323,,,False,0,0.39350448996680076,0.08166854992806763,0.12184927590213218,0.3501756542424536,-0.01989169307504343,0.11585094503445426,0.9987712054490345,0.009860726456731613,0.0147865936165604,-0.04626233920205042,0.19278403,0.22985718,0.165,0.2992695318287154,4.8120986321009696e-05,0.0001349680096609518,0.0005252199916867539,0.00036910499329678714,0.00018185601220466197,0.00010985600238200277,0.0018055870023090392,0.01802627299912274,0.019831860001431778,50.423913840043454,0
2,0.06014024600153789,-0.262364689503805,-1.6087433300414027,2.2026212851153772,-2.7035986385741175,-1.358962361012594,-0.12562495866884404,0.05778512358665466,-0.31242677569389343,-0.5577525496482849,-0.19483447074890137,-0.06344188749790192,0.23319630324840546,0.01842280477285385,-0.17248070240020752,-0.41644102334976196,-0.018850483000278473,-0.1426101177930832,0.195120170712471,-1.0095598412568876,0.07068546719410151,2.9070800240595513,0.010586070509426004,0.13382981968184204,0.04238547706538618,-0.27377114,-1.5951368,2.207163,-2.6834517,-1.36456,-0.1137533,-0.27377114,-1.5951368,2.207163,-2.6834517,-1.36456,-0.1137533,-0.2623646855354309,-1.6087433099746704,2.2026212215423584,-2.703598737716675,-1.3589624166488647,-0.12562495470046997,-0.28516138,0.34016287,0.113549195,0.5036777,-0.13994063,0.29679143,0.14069387,0.2061920126279195,0.015312456488609313,0.005154800315697988,0.006246538367122412,,,False,0,0.39315901906549194,0.08168516449217428,0.12113550948460801,0.35015885621684745,-0.019895365218853094,0.11579681695741735,0.9987546175463133,0.00939677543122469,0.014922272046713788,-0.04667166036140736,0.19278403,0.22985718,0.165,0.29927265676168846,4.796600842382759e-05,0.00013216699881013483,0.0005457319930428639,0.00031750299967825413,0.00017811800353229046,0.00011004699626937509,0.0017191819933941588,0.01816156500717625,0.01988074700057041,50.29992082145145,0
3,0.08010520199604798,-0.2623809019671839,-1.6070400677123011,2.203480068837301,-2.7003780804076136,-1.359736744557516,-0.12366754213442022,-0.1731485277414322,-0.4821723997592926,-0.7307350039482117,-0.43331632018089294,-0.04964323341846466,0.21545857191085815,-0.18527789413928986,-0.24942216277122498,-0.46060261130332947,-0.07689809054136276,-0.13598226010799408,0.16477657854557037,0.7302353044769432,-0.029711157998453367,-0.334112105211988,0.02030465758149712,0.011400048615071092,0.03589702473115543,-0.27713716,-1.5933536,2.2074602,-2.6815293,-1.3643111,-0.113995716,-0.27713716,-1.5933536,2.2074602,-2.6815293,-1.3643111,-0.113995716,-0.2623808979988098,-1.6070400476455688,2.2034800052642822,-2.700378179550171,-1.3597368001937866,-0.12366754561662674,-0.36890694,0.34216103,0.09950108,0.47122002,-0.114356175,0.24179573,0.041673884,0.2794662382867601,0.01614593416452408,0.006986655957169003,0.01030960027128458,,,False,0,0.39236722049124717,0.08170588345380343,0.11956031320979156,0.3501781684151757,-0.019848551934798078,0.1158105348372274,0.998767486925886,0.009475160300228144,0.014646544694267714,-0.0464674739274526,0.19278403,0.22985718,0.165,0.2992414926868193,4.9398993724025786e-05,0.00013008200039621443,0.0005384620017139241,0.0004167000006418675,0.00018266600091010332,0.00011300601181574166,0.0018817980017047375,0.017920408005011268,0.019802206006716006,50.49942413793926,0
4,0.10070079799334053,-0.2627947966205042,-1.6050712070860804,2.2042325178729456,-2.6971036396422328,-1.3604863325702112,-0.12152177492250615,-0.3504771590232849,-0.5750125646591187,-0.7409064173698425,-0.4663560390472412,-0.09753400087356567,0.19350546598434448,-0.35663729906082153,-0.29666006565093994,-0.4796973764896393,-0.11333200335502625,-0.13142265379428864,0.14368633925914764,0.19835591506523165,-1.0821700398971497,-1.1753792773489393,-0.006437461409156235,0.003828622005109825,0.05236270695289509,-0.27750558,-1.5910059,2.2083483,-2.6785069,-1.3630075,-0.11313711,-0.27750558,-1.5910059,2.2083483,-2.6785069,-1.3630075,-0.11313711,-0.2627947926521301,-1.6050711870193481,2.2042324542999268,-2.69710373878479,-1.360486388206482,-0.12152177840471268,-0.36776927,0.3516305,0.102892965,0.4649231,-0.06303038,0.20961678,-0.0059697246,0.3397321297200742,0.01602653967216611,0.008493303243001855,0.013973311521112919,,,False,0,0.3916126882793708,0.08157553337320167,0.1179251777054446,0.3501404188606331,-0.019847176411127782,0.11565381846586292,0.99873801337299,0.010557763654601617,0.017180321174370055,-0.04599729095160318,0.19278403,0.22985718,0.165,0.29924629396806957,5.199300358071923e-05,0.00013923199730925262,0.0007904960075393319,0.0002935329976025969,0.00017803101218305528,0.00010970199946314096,0.0020143649890087545,0.01841349300229922,0.020427857991307974,48.9527585528301,0
5,0.12014091899618506,-0.2638028303729456,-1.6031238041319789,2.204819981251852,-2.694193025628561,-1.3613165060626429,-0.11965543428529912,-0.4102134704589844,-0.5537473559379578,-0.6903132200241089,-0.41478440165519714,-0.07550157606601715,0.1948567032814026,-0.3594144880771637,-0.3125668466091156,-0.48159855604171753,-0.12286178022623062,-0.12621095776557922,0.1349828541278839,-0.2982612284635185,-0.6073056853941552,-0.41425062642223687,0.0008246107972853557,0.021165701645712305,0.044841336922921644,-0.27697453,-1.589206,2.2094123,-2.6750166,-1.361624,-0.11186008,-0.27697453,-1.589206,2.2094123,-2.6750166,-1.361624,-0.11186008,-0.26380282640457153,-1.6031237840652466,2.204819917678833,-2.694193124771118,-1.3613165616989136,-0.11965543776750565,-0.3292923,0.34794655,0.114811845,0.479413,-0.0076849074,0.19488388,-0.027747331,0.3862540617562187,0.01547159304842353,0.009656351543905468,0.016986606642603874,,,False,0,0.3909962465209302,0.0811699344299589,0.1164286733009718,0.3501684607857694,-0.019818549215875326,0.11575110848313917,0.9987747679599199,0.009650046045416553,0.015641510012000998,-0.04594825002280324,0.19278403,0.22985718,0.165,0.2992211259648639,4.49499930255115e-05,0.0001291759981540963,0.0005718030006391928,0.0002809120051097125,0.00023066399444360286,0.0001235129893757403,0.0018654739978956059,0.017357696997351013,0.01922317099524662,52.0205537498092,0
6,0.14014017299632542,-0.2654784361468714,-1.601307054559225,2.2054360548602503,-2.6914707622923792,-1.3620546499835413,-0.1180794874774378,-0.40519747138023376,-0.4911556839942932,-0.7050111889839172,-0.410816490650177,-0.04587143659591675,0.18900014460086823,-0.30232056975364685,-0.3127409517765045,-0.4724404215812683,-0.11788289248943329,-0.11798837035894394,0.13535641133785248,0.5095513213408488,-0.15279806167550003,-0.5148487969932585,0.00742842009466135,0.0017040349473469002,0.04315428273893599,-0.2767503,-1.5873535,2.2108107,-2.671562,-1.3603928,-0.110469066,-0.2767503,-1.5873535,2.2108107,-2.671562,-1.3603928,-0.110469066,-0.2654784321784973,-1.6013070344924927,2.2054359912872314,-2.6914708614349365,-1.362054705619812,-0.11807949095964432,-0.28179696,0.3488388,0.1343695,0.4977234,0.041547872,0.19026068,-0.030199105,0.42099579113033514,0.014867610950022937,0.01052489477825838,0.019312703981995583,,,False,0,0.3904556856575997,0.0805210185056148,0.11501215167751977,0.3501022589307743,-0.01981126096807219,0.11566037371058656,0.9987287385198816,0.010142833971589365,0.017184125958764927,-0.046290062478115186,0.19278403,0.22985718,0.165,0.29919517774735205,4.444000660441816e-05,0.0001313740067416802,0.0006221749936230481,0.000384097991627641,0.0001834519935073331,0.00010685899178497493,0.0018646690004970878,0.017963631995371543,0.01982830099586863,50.432964488906904,0
7,0.16008479199081194,-0.2674945036517542,-1.59953035930776,2.2057274023639124,-2.6893817387022914,-1.3621962706195276,-0.11684734026064092,-0.2735474705696106,-0.39419791102409363,-0.5152101516723633,0.12276258319616318,-0.3103467524051666,0.2367604374885559,-0.23784352838993073,-0.3191223442554474,-0.4626738131046295,-0.1113123744726181,-0.11036867648363113,0.13923795521259308,-1.6659446943578953,-4.102835368459097,10.50074796370854,-0.2953641714568005,0.8208902966841511,0.31250367496314024,-0.27653912,-1.5854564,2.2121108,-2.6689134,-1.3589472,-0.10993223,-0.27653912,-1.5854564,2.2121108,-2.6689134,-1.3589472,-0.10993223,-0.2674944996833801,-1.5995303392410278,2.2057273387908936,-2.6893818378448486,-1.3621963262557983,-0.11684734374284744,-0.22611563,0.35184863,0.1595851,0.5117129,0.08122909,0.17287785,-0.017143553,0.4476614251923819,0.014524739887565375,0.011191535629809547,0.02104979008436203,,,False,0,0.3901457550758287,0.07982881505679429,0.11387591317905034,0.3501256247983657,-0.019830974754497036,0.11575641911113801,0.9987649548732583,0.009736870811083046,0.015517929807401232,-0.04618349053915505,0.19278403,0.22985718,0.165,0.2992080921891698,4.5513996155932546e-05,0.0001254660019185394,0.0006069230003049597,0.00034723700082395226,0.00017423799727112055,0.00010593900515232235,0.0018130349926650524,0.017969991997233592,0.019783026989898644,50.548381726952464,0
8,0.180099209988839,-0.2692378203021448,-1.598142763177389,2.205163304005758,-2.6876169643797816,-1.361936394368307,-0.11576205888857061,-0.5030769109725952,0.2758035361766815,0.25959494709968567,0.9704618453979492,-0.730652391910553,0.2701212465763092,-0.19879789650440216,-0.3244211673736572,-0.4539893865585327,-0.1062529981136322,-0.02338767796754837,0.1430608481168747,-3.0812208310231917,-9.188305160457208,28.215995599895763,-0.7539727825602335,1.9012969558923494,0.6764860310633625,-0.27756616,-1.5839392,2.2121115,-2.666639,-1.3577738,-0.10904947,-0.27756616,-1.5839392,2.2121115,-2.666639,-1.3577738,-0.10904947,-0.26923781633377075,-1.5981427431106567,2.2051632404327393,-2.687617063522339,-1.3619364500045776,-0.11576206237077713,-0.20820849,0.35508773,0.17370509,0.5244486,0.10406622,0.16781487,-0.016271751,0.4677132200608866,0.01419930486008525,0.011692830501522165,0.02238307148218155,,,False,0,0.390122952394945,0.07925562164919592,0.11326740148956929,0.3501818958945028,-0.019857943241449995,0.11535428841553903,0.9987398692775488,0.010075145482430038,0.01682693190544526,-0.04619522127223827,0.19278403,0.22985718,0.165,0.2993266238445839,4.666100721806288e-05,0.0001287079940084368,0.0008780759962974116,0.0003710879973368719,0.00025440398894716054,0.00014248499064706266,0.0022042529890313745,0.01764299999922514,0.019847252988256514,50.38480643098031,0
9,0.20010008999088313,-0.2707465330706995,-1.596743722955221,2.2048514525042933,-2.685434480706686,-1.3615978399859827,-0.11476546922792608,-0.7151025533676147,0.933763325214386,1.0353662967681885,1.9039682149887085,-1.0475904941558838,0.34743908047676086,-0.1798395961523056,-0.3277992904186249,-0.44954121112823486,-0.1063011959195137,0.16438685357570648,0.14315734803676605,-3.9423231214979815,-13.795777322640848,48.1242564314898,-1.081941213444576,3.4063951778037365,1.053768993567222,-0.2785388,-1.5826169,2.2118657,-2.6638584,-1.3570002,-0.10807311,-0.2785388,-1.5826169,2.2118657,-2.6638584,-1.3570002,-0.10807311,-0.27074652910232544,-1.5967437028884888,2.2048513889312744,-2.685434579849243,-1.3615978956222534,-0.1147654727101326,-0.19480646,0.35317042,0.17535968,0.53940547,0.11494277,0.1673091,-0.018713824,0.4819278725245112,0.013825028371065856,0.01204819681311278,0.023385660722851753,,,False,0,0.3899483461070169,0.07882998801020306,0.11248979684920901,0.35023675582444397,-0.01989765394040669,0.1149647013606534,0.9987347872316932,0.011252871936517295,0.017064383396871382,-0.045945312071662435,0.19278403,0.22985718,0.165,0.29945345074176916,4.8048008466139436e-05,0.0001307940110564232,0.000649561989121139,0.00034639600198715925,0.00017641400336287916,0.00010988600843120366,0.001883081000414677,0.017952062000404112,0.01983514300081879,50.41556796231418,0
