step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02013223900576122,0.4099445343017578,-2.2891622982420863,1.8256080786334437,-1.162607030277588,-1.2463529745685022,0.8072288632392883,-0.09037823230028152,-0.118594691157341,-1.0313152074813843,-0.5677394270896912,0.07385672628879547,-0.017412247136235237,-3.9190156444092445e-17,0.10741054266691208,-0.7675350904464722,-0.26003047823905945,0.02198702283203602,0.0,-6.5983823475210635,4.129325973354856,-2.145378313435151,0.20018722069886868,0.3568196189509219,-0.10306504629131549,0.42461026,-2.3130558,1.7997714,-1.1832522,-1.2624961,0.7731039,0.42461026,-2.3130558,1.7997714,-1.1832522,-1.2624961,0.7731039,0.4099445343017578,-2.2891623973846436,1.8256081342697144,-1.1626070737838745,-1.246353030204773,0.8072288632392883,0.36664328,-0.5973329,-0.6459175,-0.5161289,-0.4035759,-0.853125,0.18951336,0.16666666666666666,0.05000000074505806,0.004166666666666667,0.0,,,False,0,0.03415052760503914,0.24010428768032166,0.2105416979641036,0.48462782963595424,0.18689173203626883,0.11827766309703522,0.941830017044415,-0.0018988538748475258,0.013781975114555013,0.33580160135244297,0.14213283,0.2641936,0.165,0.35420527610624153,3.0651004635728896e-05,0.0001238389959326014,0.0005040899995947257,0.0003491179959382862,0.00019768599304370582,0.00012325200077611953,0.0016456050070701167,0.018485634995158762,0.02013124000222888,49.67403895086853,0
1,0.04013391199987382,0.4101320207118988,-2.2895003757872523,1.8254135290728968,-1.1627881985953827,-1.2465828100787562,0.8069073557853699,0.30667799711227417,-0.5972029566764832,-1.6901706457138062,-0.8452622294425964,-0.09505818039178848,-0.40015721321105957,0.44967085123062134,-0.526411235332489,-1.2785344123840332,-0.5087032318115234,-0.16253933310508728,-0.2588273882865906,-6.6203553021536825,3.884683348228604,-4.7053773815447,0.22933900613351843,0.32037070876126045,-0.12884097495542796,0.4221275,-2.309085,1.8051146,-1.1718733,-1.262427,0.77760875,0.4221275,-2.309085,1.8051146,-1.1718733,-1.262427,0.77760875,0.4101320207118988,-2.2895004749298096,1.8254135847091675,-1.1627881526947021,-1.2465828657150269,0.8069073557853699,0.29988664,-0.48961088,-0.50747436,-0.22713068,-0.39610177,-0.73246497,0.13115162,0.3055555555555556,0.05000000074505806,0.0076388888888888895,0.008333333767950535,,,False,0,0.03416765149722002,0.24008136841653338,0.21064091222406675,0.48459775910536806,0.18690658105082306,0.11822583502857101,0.941780984369496,-0.0014475109697975742,0.014526383716878732,0.3359099787011397,0.14213283,0.2641936,0.165,0.3541798000515285,7.72339990362525e-05,0.0001332549873040989,0.0004810550017282367,0.00027830799808725715,0.00018365899450145662,9.828399925027043e-05,0.0015856579993851483,0.018272044995683245,0.019857702995068394,50.35829170414863,0
2,0.06009564601117745,0.41113799810409546,-2.2912804088988246,1.8235133329974573,-1.164526717071869,-1.2478373686419886,0.8041456341743469,0.44101449847221375,-0.6535085439682007,-1.7188471555709839,-0.7716341018676758,-0.05996987223625183,-0.3074343204498291,0.39286166429519653,-0.40641161799430847,-1.2234092950820923,-0.48946842551231384,-0.16185030341148376,-0.2501761019229889,-7.6267615188295155,3.368545618688294,-4.1375532905309464,0.20439354397511142,0.35744471556730073,-0.12749577944745857,0.4236565,-2.3100216,1.8052897,-1.1701386,-1.2626867,0.77627224,0.4236565,-2.3100216,1.8052897,-1.1701386,-1.2626867,0.77627224,0.41113799810409546,-2.291280508041382,1.823513388633728,-1.1645267009735107,-1.2478374242782593,0.8041456341743469,0.31296244,-0.46852568,-0.45559108,-0.14029804,-0.3712325,-0.6968347,0.07219822,0.4212962962962963,0.05000000074505806,0.010532407407407407,0.015277777798473835,,,False,0,0.03451406418621576,0.24006423338640692,0.21149111183839212,0.4846090395913056,0.18691145943309995,0.1182091196953284,0.941823513808333,-0.0013530971701835048,0.01464378931195828,0.3357859611731561,0.14213283,0.2641936,0.165,0.3541918507773424,3.976500011049211e-05,0.00015156700101215392,0.0005290019907988608,0.0003541340120136738,0.00018339398957323283,0.00010301699512638152,0.001664277006057091,0.018154673001845367,0.01981895000790246,50.456759798136005,0
3,0.08009630400920287,0.41286367177963257,-2.2942363224425257,1.820174519215719,-1.1670689445785065,-1.2499116102801722,0.7999580502510071,0.3696965277194977,-0.33348092436790466,-1.3919694423675537,-0.6099595427513123,-0.0116305872797966,-0.2396172285079956,0.25883764028549194,-0.15298767387866974,-1.0462661981582642,-0.38653287291526794,-0.1432950347661972,-0.18445931375026703,-7.880353799346488,4.492368740738256,-1.9257646416730076,0.19940005431484195,0.39287572276202076,-0.13771103439545873,0.4259073,-2.313107,1.8031944,-1.170875,-1.2642347,0.773348,0.4259073,-2.313107,1.8031944,-1.170875,-1.2642347,0.773348,0.41286367177963257,-2.294236421585083,1.8201745748519897,-1.1670689582824707,-1.2499116659164429,0.7999580502510071,0.3260908,-0.47176707,-0.4245041,-0.095149375,-0.35807616,-0.66525173,0.040029157,0.5177469135802468,0.05000000074505806,0.012943672839506173,0.021064814180135727,,,False,0,0.035018925357573,0.24001663350100597,0.2129330920683955,0.48455451730826854,0.1868932394466707,0.11822597250588458,0.9417627210485623,-0.0009478987025451721,0.014613358400456872,0.3359591845829107,0.14213283,0.2641936,0.165,0.3541408824457708,7.151300087571144e-05,0.00013652199413627386,0.0004992160102119669,0.00032893700699787587,0.0001821610057959333,9.953499829862267e-05,0.0017586519970791414,0.018040740003925748,0.01979939200100489,50.50660141226793,0
4,0.10046482100733556,0.4149145483970642,-2.297392507592672,1.816855255757467,-1.1688874822906037,-1.2520330587970179,0.7955414056777954,0.15403105318546295,-0.04905562847852707,-1.2529106140136719,-0.6465981602668762,-0.07803226262331009,-0.23432449996471405,0.22177433967590332,-0.05871497839689255,-0.9799251556396484,-0.3539218008518219,-0.13035151362419128,-0.15783533453941345,-5.076524288013566,3.9357761335039028,-1.398993699280038,0.1943284883912157,0.3193497155871166,-0.11111925763148438,0.4285031,-2.3170125,1.8005539,-1.1718305,-1.2661906,0.77000827,0.4285031,-2.3170125,1.8005539,-1.1718305,-1.2661906,0.77000827,0.4149145483970642,-2.2973926067352295,1.8168553113937378,-1.1688874959945679,-1.2520331144332886,0.7955414056777954,0.33971345,-0.49050042,-0.40753567,-0.07357479,-0.3539391,-0.6383282,0.024011355,0.5981224279835391,0.05000000074505806,0.014953060699588478,0.025887345895171165,,,False,0,0.03528253316756099,0.23989905356359884,0.21433036436481967,0.48458438491752304,0.1869178786177847,0.11824335228672717,0.9418156750087181,-0.0013410685856430598,0.014260357181185231,0.3358244249281807,0.14213283,0.2641936,0.165,0.35416208997649234,4.0341998101212084e-05,0.00013499999477062374,0.0006318810046650469,0.0003623220109147951,0.00018177900346927345,0.00011357199400663376,0.0018613569991430268,0.018339788002776913,0.02020114500191994,49.50214455195282,0
5,0.12010048801312223,0.4167608618736267,-2.300176282922262,1.8141301313983362,-1.1701063078692933,-1.2542460600482386,0.7913849949836731,0.1978229284286499,-0.1305043250322342,-1.3122990131378174,-0.6338760852813721,-0.0736936628818512,-0.22178654372692108,0.22994577884674072,-0.06437329202890396,-0.9807007312774658,-0.3645344376564026,-0.12596848607063293,-0.15421649813652039,-5.805136676559092,3.851297228259145,-1.4376997132180502,0.17319905112440054,0.33113349899147315,-0.12067763520155572,0.43083984,-2.3205862,1.7982877,-1.1726902,-1.2682556,0.76675546,0.43083984,-2.3205862,1.7982877,-1.1726902,-1.2682556,0.76675546,0.4167608618736267,-2.3001763820648193,1.814130187034607,-1.170106291770935,-1.2542461156845093,0.7913849949836731,0.35197467,-0.5102449,-0.3960602,-0.06459691,-0.3502371,-0.615739,0.010620532,0.665102023319616,0.05000000074505806,0.0166275505829904,0.029906122013926506,,,False,0,0.03543321594634141,0.2396813762131581,0.215446962769743,0.48459004717645876,0.18688704725935426,0.11823134828815857,0.9417837181208689,-0.0014580256963737295,0.014650041882285086,0.3358967882131416,0.14213283,0.2641936,0.165,0.35417587829518776,4.415299918036908e-05,0.00012800400145351887,0.0005944779986748472,0.0002610200026538223,0.00016381700697820634,0.0001027209946187213,0.001705728005617857,0.017739101007464342,0.0194448290130822,51.42755430388277,0
6,0.14009069801250007,0.4183885157108307,-2.302652498284811,1.8116558233844202,-1.1708805722049256,-1.2563560644732874,0.7874851226806641,0.3399304747581482,-0.38992175459861755,-1.3955484628677368,-0.6560583114624023,-0.035902537405490875,-0.2109529823064804,0.2465759813785553,-0.09777380526065826,-0.9987849593162537,-0.37909579277038574,-0.12606419622898102,-0.15589135885238647,-7.3161955916927015,3.690348555105194,-1.7976211899961245,0.16506122358569195,0.3846623579098312,-0.11524787003782479,0.4328711,-2.3237345,1.7961999,-1.1733336,-1.2702023,0.76361847,0.4328711,-2.3237345,1.7961999,-1.1733336,-1.2702023,0.76361847,0.4183885157108307,-2.302652597427368,1.811655879020691,-1.1708805561065674,-1.256356120109558,0.7874851226806641,0.3620645,-0.5270493,-0.3863981,-0.061328694,-0.346155,-0.5966662,-0.0025777048,0.7209183527663466,0.04994844664819539,0.018022958819158667,0.03325510025024414,,,False,0,0.035524051890961694,0.23943201089797705,0.2164176217957519,0.4845967519273191,0.18698889155482096,0.11824131619599859,0.9417154857711216,-0.0011993055934547375,0.014620293209284615,0.33609045113562364,0.14213283,0.2641936,0.165,0.35415882966589524,4.5339009375311434e-05,0.00012955900456290692,0.0005245789943728596,0.00036787700082641095,0.00016580498777329922,9.590999979991466e-05,0.0017329469992546365,0.018091817008098587,0.019824764007353224,50.44196236732447,0
7,0.16010133200325072,0.4202701151371002,-2.305331369439596,1.8093770186053675,-1.1712684792331238,-1.2584450880633753,0.7838685512542725,0.34940066933631897,-0.4086659252643585,-1.4386885166168213,-0.6921696066856384,0.0339399054646492,-0.20175695419311523,0.25365838408470154,-0.11440853029489517,-1.0083794593811035,-0.3885461688041687,-0.1272982805967331,-0.15756216645240784,-7.6662728304445125,4.332623216269226,-2.598746481083813,0.18515844463025735,0.3820964464954591,-0.16060780011515707,0.43505794,-2.326876,1.7943137,-1.1736848,-1.2720444,0.76065284,0.43505794,-2.326876,1.7943137,-1.1736848,-1.2720444,0.76065284,0.4202701151371002,-2.3053314685821533,1.8093770742416382,-1.1712684631347656,-1.258445143699646,0.7838685512542725,0.3696956,-0.5386113,-0.3765852,-0.06041069,-0.33998188,-0.5803922,-0.017757565,0.7674319606386222,0.04959329535253346,0.019185799015965555,0.03604591637849808,,,False,0,0.03543912208197318,0.23914563390796953,0.21732237567651203,0.48459831911272333,0.18689433695800492,0.11822387203906873,0.9418200515897045,-0.0013108427497755828,0.01457815900165329,0.3357987200283854,0.14213283,0.2641936,0.165,0.35418327280876316,4.491199797485024e-05,0.00014788800035603344,0.0005228269874351099,0.0003344369906699285,0.00018113899568561465,0.00011674400593619794,0.0016933580045588315,0.018155589990783483,0.019848947995342314,50.38050380476872,0
8,0.18013093000627123,0.4223291873931885,-2.3083349666991175,1.807049576436178,-1.1715880197337647,-1.2603076140033167,0.7803561091423035,0.22247883677482605,-0.1891637146472931,-1.3491019010543823,-0.7346760630607605,-0.04307562857866287,-0.2088385820388794,0.2512524425983429,-0.11225900053977966,-1.0098474025726318,-0.39328837394714355,-0.12806957960128784,-0.1584012359380722,-5.538978895353292,3.9080653752248655,-1.8413766127189901,0.19516508767661556,0.32220387114109794,-0.10878648052984932,0.43735996,-2.3302093,1.7923712,-1.1739658,-1.2736119,0.7576887,0.43735996,-2.3302093,1.7923712,-1.1739658,-1.2736119,0.7576887,0.4223291873931885,-2.308335065841675,1.8070496320724487,-1.1715880632400513,-1.2603076696395874,0.7803561091423035,0.37576917,-0.5468551,-0.3669634,-0.059442822,-0.33260706,-0.5666854,-0.034698308,0.8061933005321851,0.04889932920224965,0.02015483251330463,0.03837159648537636,,,False,0,0.035258117569160495,0.2388971190126749,0.21829619799827377,0.4845962250129763,0.18692989365177037,0.11823108811803637,0.9417513736412443,-0.0012621494576191264,0.014225133449991515,0.3360065613788824,0.14213283,0.2641936,0.165,0.3541725365579238,5.656699067912996e-05,0.00016989599680528045,0.0005703000060748309,0.0003077360015595332,0.00017661800666246563,0.00011051200272049755,0.0018573059933260083,0.01795966300414875,0.01981696899747476,50.46180372626249,0
9,0.2001395660045091,0.42433443665504456,-2.3113419018187464,1.804791275654928,-1.1720135670951386,-1.262216869984762,0.7769963145256042,0.23267856240272522,-0.18280093371868134,-1.3084286451339722,-0.6937706470489502,-0.04851504787802696,-0.23968930542469025,0.24947229027748108,-0.10587704926729202,-1.0075769424438477,-0.39457541704177856,-0.1281828135251999,-0.15841549634933472,-5.41709633661487,3.1282823974249565,-1.517568491411166,0.1480327227046826,0.3260516751446962,-0.13409660796871564,0.43958926,-2.3335414,1.7903674,-1.1744527,-1.2752765,0.75477475,0.43958926,-2.3335414,1.7903674,-1.1744527,-1.2752765,0.75477475,0.42433443665504456,-2.3113420009613037,1.8047913312911987,-1.172013521194458,-1.2622169256210327,0.7769963145256042,0.38137102,-0.5549842,-0.36059985,-0.06097887,-0.32649145,-0.5555393,-0.047212206,0.8384944171101542,0.04795508508570493,0.020962360427753856,0.040309663861989975,,,False,0,0.035104110907996054,0.23864098826035957,0.21926156728288834,0.48459024582777455,0.18694298941099718,0.1182256951546638,0.941757967375314,-0.0010752981521264045,0.014335429206463404,0.3359840367259442,0.14213283,0.2641936,0.165,0.35416461056492665,4.056800389662385e-05,0.00013726999168284237,0.0004749100044136867,0.0002607159985927865,0.00019942499056924134,0.00011293200077489018,0.0015378489915747195,0.018322232004720718,0.019860080996295437,50.35226191607845,0
