step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020132737001404166,1.0161421298980713,-2.2713481388487757,1.825372044240133,-1.8092662296690882,-0.8692310492144983,1.6861610412597656,-0.09821195900440216,-0.009815368801355362,-1.0513787269592285,-0.6970754265785217,0.3407738208770752,0.06768381595611572,4.718258893517784e-18,0.09777721017599106,-0.7610412240028381,-0.2323758751153946,0.03454180061817169,0.0,4.464093784380752,-3.1549568770774243,-16.1790554106312,0.6321105395141801,0.05456035380960054,0.2581417936997884,1.0170397,-2.294993,1.7997751,-1.8341763,-0.89759415,1.653737,1.0170397,-2.294993,1.7997751,-1.8341763,-0.89759415,1.653737,1.0161421298980713,-2.271348237991333,1.8253720998764038,-1.809266209602356,-0.8692310452461243,1.6861610412597656,0.022439428,-0.59111583,-0.6399251,-0.62275183,-0.70907736,-0.8106014,0.30907395,0.04120986064275106,0.006181479096412659,0.0010302465160687765,0.0,,,False,0,-0.12823379140807745,0.3323855394200763,0.3431398049507123,0.35653037211315963,-0.007887283628359283,0.12037631579005544,0.9984375098388643,0.04641949177270729,0.012341185083783188,0.028556974538089717,0.18948843,0.23258147,0.165,0.2961747885057327,0.00011892699694726616,0.00011727899254765362,0.0006641020008828491,0.00036939499841537327,0.00023483599943574518,0.00010691001079976559,0.0019878260063705966,0.018143733002943918,0.020131559009314515,49.6732518101215,0
1,0.04009491299802903,1.0161540508270264,-2.271538873712057,1.825263802205221,-1.8094169102110804,-0.8694255987750452,1.6859147548675537,0.03125016391277313,-0.601683497428894,-1.6413013935089111,-0.9910197854042053,0.05009038373827934,-0.22666572034358978,0.10744787007570267,-0.5257184505462646,-1.2656095027923584,-0.5075093507766724,-0.17675188183784485,-0.23960000276565552,4.7017489317479235,-3.686823740195752,-18.401883458012207,0.6876855671854795,0.025018495186364086,0.26153812984174235,1.018233,-2.2954624,1.8002079,-1.831691,-0.89715105,1.6541826,1.018233,-2.2954624,1.8002079,-1.831691,-0.89715105,1.6541826,1.0161540508270264,-2.2715389728546143,1.8252638578414917,-1.8094168901443481,-0.8694255948066711,1.6859147548675537,0.05197256,-0.59808767,-0.6263987,-0.55685467,-0.69313645,-0.79330474,0.29653248,0.11508907543288337,0.012112128734588624,0.002877226885822084,0.0020604929886758327,,,False,0,-0.12821047628782511,0.33236111855297584,0.3432252384180698,0.3565277255471696,-0.007843393997925125,0.12037492510724183,0.998427854361033,0.046486904033221886,0.013065353140173257,0.0284619768248876,0.18948843,0.23258147,0.165,0.29613787169533506,3.90170025639236e-05,0.00011183400056324899,0.0006115669966675341,0.00028289899637456983,0.00016903900541365147,9.89070103969425e-05,0.0016295469977194443,0.018168969007092528,0.019798516004811972,50.508836104531916,0
2,0.06016127699695062,1.0161385536193848,-2.2730471096434535,1.8236902395831507,-1.811108728448385,-0.8714178244220179,1.683657169342041,0.18789303302764893,-0.7990589737892151,-1.8874846696853638,-1.0723209381103516,0.08362706750631332,-0.2598678171634674,0.183491051197052,-0.40909630060195923,-1.219726324081421,-0.4910268187522888,-0.1909591555595398,-0.2499087005853653,3.562127807539836,-4.970622221006302,-20.007438500166415,0.7434964982050511,0.033013571323070784,0.16670592349122976,1.0187008,-2.2958755,1.799743,-1.829973,-0.89826006,1.652933,1.0187008,-2.2958755,1.799743,-1.829973,-0.89826006,1.652933,1.0161385536193848,-2.2730472087860107,1.8236902952194214,-1.8111087083816528,-0.8714178204536438,1.683657169342041,0.0640557,-0.5707088,-0.59868,-0.47160608,-0.6710563,-0.76810366,0.30243734,0.21698006579169524,0.018160875439643863,0.005424501644792381,0.005754453595727682,,,False,0,-0.12787636670466385,0.3322081668013621,0.344206137863066,0.35651720992019786,-0.007851777066423624,0.12037128418525707,0.9984257443442582,0.04656841799770775,0.012672432921888233,0.0285807003408828,0.18948843,0.23258147,0.165,0.29613929517956683,4.142199759371579e-05,0.0001403520000167191,0.0008489690080750734,0.0003209919959772378,0.0001659880072111264,0.0001217989920405671,0.001975454986677505,0.01792796200606972,0.019903416992747225,50.242629211074586,0
3,0.08012912499543745,1.0163302421569824,-2.2760054073729457,1.8204048315631312,-1.814164777795309,-0.8748353163348597,1.679718255996704,0.23604410886764526,-0.5058479309082031,-1.594507098197937,-0.8563893437385559,0.06984089314937592,-0.25578773021698,0.2535761594772339,-0.26228171586990356,-1.1126554012298584,-0.4199029803276062,-0.15466798841953278,-0.20051495730876923,3.7362455094594678,-3.6757691176405185,-17.276811144487297,0.682393023054202,0.01129737365163315,0.17321322640223755,1.0199517,-2.2984269,1.7973448,-1.8287799,-0.9009422,1.6503996,1.0199517,-2.2984269,1.7973448,-1.8287799,-0.9009422,1.6503996,1.0163302421569824,-2.276005506515503,1.8204048871994019,-1.8141647577285767,-0.8748353123664856,1.679718255996704,0.0905352,-0.5605332,-0.57650137,-0.36537862,-0.6526728,-0.73296595,0.32066163,0.3446441089849414,0.0245741081237793,0.008616102724623535,0.010849003680050373,,,False,0,-0.12741275319483392,0.33185544873368056,0.3462224887771643,0.35651744740482344,-0.007854028308265393,0.12043872457499635,0.9984273624530211,0.04665673828084588,0.011995692249317198,0.028670739782686253,0.18948843,0.23258147,0.165,0.29613110107891916,4.17219998780638e-05,0.0001139939995482564,0.000602836997131817,0.00037135000457055867,0.00019576799240894616,0.00010080900392495096,0.0017542120040161535,0.018048026991891675,0.019802238995907828,50.49934000931167,0
4,0.10053030999551993,1.0167208909988403,-2.279595037499899,1.8165844122516077,-1.8172999821104945,-0.878697697316305,1.6751943826675415,0.18395626544952393,-0.20972703397274017,-1.3600926399230957,-0.6967633962631226,-0.04382528364658356,-0.21559885144233704,0.25086259841918945,-0.17413419485092163,-1.054175615310669,-0.37256407737731934,-0.14223262667655945,-0.1806076616048813,4.5708499353715855,-2.9891562816620656,-15.577687734224796,0.6435528083496849,-0.02431236699619374,0.19624356542300178,1.0219128,-2.302178,1.7941936,-1.8270059,-0.90414107,1.6476911,1.0219128,-2.302178,1.7941936,-1.8270059,-0.90414107,1.6476911,1.0167208909988403,-2.279595136642456,1.8165844678878784,-1.8172999620437622,-0.8786976933479309,1.6751943826675415,0.12979713,-0.56456786,-0.55977106,-0.24264766,-0.6360846,-0.6875825,0.3504784,0.45387009082078444,0.0315836763381958,0.011346752270519612,0.017232205718755722,,,False,0,-0.12699453018211887,0.33135295050695696,0.34854784730317356,0.3565224716215135,-0.007813286729332106,0.12040833327438236,0.9984304220953003,0.04650877184288019,0.012604197007839785,0.028544379528267022,0.18948843,0.23258147,0.165,0.2961054324429336,4.0803992305882275e-05,0.00011910000466741621,0.0005845520063303411,0.000296907004667446,0.00018086899945046753,0.0001099070068448782,0.001660036010434851,0.018555710994405672,0.020215747004840523,49.466388739459234,0
5,0.12013252900214866,1.0170855522155762,-2.283095975915426,1.812944237385885,-1.8200003109373988,-0.8827956358539026,1.6705732345581055,0.2099900245666504,-0.2497195303440094,-1.3899844884872437,-0.7374659180641174,-0.021107975393533707,-0.2173014134168625,0.25898224115371704,-0.1435227394104004,-1.0315693616867065,-0.3470889925956726,-0.13755972683429718,-0.17062127590179443,5.0039652239898285,-2.813524349940222,-15.926171504049567,0.6634951970361211,-0.03191067686678772,0.21530399834700337,1.0232077,-2.3059938,1.7908592,-1.8274717,-0.90800315,1.6438519,1.0232077,-2.3059938,1.7908592,-1.8274717,-0.90800315,1.6438519,1.0170855522155762,-2.2830960750579834,1.8129442930221558,-1.8200002908706665,-0.8827956318855286,1.6705732345581055,0.15305154,-0.57244235,-0.55212635,-0.18678711,-0.6301884,-0.66803527,0.350163,0.5448917423506536,0.038586936593055725,0.013622293558766343,0.02269350364804268,,,False,0,-0.1265356560097775,0.33081901028901894,0.35069146363308246,0.356531916288529,-0.00787604756491873,0.12038858452129704,0.9984450803591507,0.04616122348429809,0.012596074550490045,0.028597957437442048,0.18948843,0.23258147,0.165,0.296164688498289,6.889901123940945e-05,0.00018119400192517787,0.0006672099989373237,0.0003321379917906597,0.00023870199220255017,0.00011154600360896438,0.0021738219948019832,0.017204287010827102,0.019378109005629085,51.6046225000341,0
6,0.14008325499889906,1.0176440477371216,-2.2864581547179164,1.8095210234271448,-1.8220936260619105,-0.8869431654559534,1.6661053895950317,0.2763836085796356,-0.3402904272079468,-1.466282606124878,-0.8023450374603271,0.06449942290782928,-0.1980564296245575,0.23240894079208374,-0.06240399181842804,-0.9856577515602112,-0.3329292833805084,-0.1250145584344864,-0.1542959064245224,3.9839067398864674,-3.547318360068248,-16.503081009938505,0.6643723770049195,-0.00860694752800581,0.17455661618385815,1.024512,-2.3096097,1.7877555,-1.827875,-0.9119008,1.6399536,1.024512,-2.3096097,1.7877555,-1.827875,-0.9119008,1.6399536,1.0176440477371216,-2.2864582538604736,1.8095210790634155,-1.8220936059951782,-0.8869431614875793,1.6661053895950317,0.17169899,-0.5787849,-0.5441409,-0.14453447,-0.62394154,-0.65379304,0.33990327,0.6207431186255448,0.04538500189781189,0.01551857796563862,0.027244586497545242,,,False,0,-0.12614679192169226,0.3302285326289514,0.3526167157102802,0.3565050372096832,-0.00782210410632862,0.12040451536492915,0.9984379709294392,0.04640645664013834,0.012648072515900301,0.028427298815672578,0.18948843,0.23258147,0.165,0.29610333168352887,5.695100117009133e-05,0.00012539600720629096,0.0006585070077562705,0.0004042060027131811,0.0002034210046986118,0.00012507000064942986,0.0019235219951951876,0.01783833300578408,0.019761855000979267,50.60253705689302,0
7,0.16008816099201795,1.0183470249176025,-2.2898313007750453,1.8062236944781702,-1.8237692318358363,-0.8908093611346644,1.6619534492492676,0.3432573676109314,-0.37591975927352905,-1.4943575859069824,-0.8293027877807617,0.09171131998300552,-0.2502506971359253,0.25977784395217896,-0.14033915102481842,-1.0235522985458374,-0.3473026752471924,-0.1333707720041275,-0.1643231213092804,2.8137466651341994,-3.4243275745656128,-16.665483366523286,0.6743718270615127,0.015534052800181893,0.14599207231830313,1.025852,-2.313073,1.7849078,-1.8279861,-0.91540253,1.6363064,1.025852,-2.313073,1.7849078,-1.8279861,-0.91540253,1.6363064,1.0183470249176025,-2.2898313999176025,1.806223750114441,-1.823769211769104,-0.8908093571662903,1.6619534492492676,0.1876221,-0.5810362,-0.5328984,-0.10542196,-0.6148288,-0.64117527,0.32164633,0.6839525988546206,0.05000000074505806,0.017098814971365516,0.03103715553879738,,,False,0,-0.12588711746925077,0.329581067252454,0.3544595955808926,0.356537489737042,-0.007800797961904207,0.12041260956933006,0.9984357972339305,0.046260582610438826,0.01276149040465712,0.028688213282695607,0.18948843,0.23258147,0.165,0.2961031218217548,4.089600406587124e-05,0.00011686199286486953,0.0004738629941130057,0.0003050420054933056,0.00020233799295965582,0.00014373900194186717,0.0015917330019874498,0.018249738990562037,0.019841471992549486,50.39948650863717,0
8,0.18018228599976283,1.019330382347107,-2.2934237919249476,1.8027084509478968,-1.8250814876952113,-0.8945677916156214,1.6578480005264282,0.2383478283882141,-0.256115198135376,-1.4096487760543823,-0.8232792615890503,0.012425338849425316,-0.2565651535987854,0.254660964012146,-0.12985584139823914,-1.0214756727218628,-0.3506081700325012,-0.13956326246261597,-0.17078064382076263,4.043989026158484,-3.256708977611787,-16.43647027633458,0.683024855264461,-0.002900143349817884,0.17259555589793063,1.0273738,-2.316691,1.7818462,-1.8279362,-0.91876787,1.6326445,1.0273738,-2.316691,1.7818462,-1.8279362,-0.91876787,1.6326445,1.019330382347107,-2.293423891067505,1.8027085065841675,-1.825081467628479,-0.8945677876472473,1.6578480005264282,0.20108393,-0.5816787,-0.5215572,-0.07136649,-0.60500145,-0.630087,0.30258214,0.7366271657121839,0.05000000074505806,0.0184156791428046,0.03419762849807739,,,False,0,-0.12578789774933305,0.3288203817578492,0.3563823712349148,0.3565284713087567,-0.007813052855841903,0.12039099460162533,0.9984586327495033,0.045850187172088074,0.012691244473654615,0.02858395512271365,0.18948843,0.23258147,0.165,0.2961112386247877,0.00012310600141063333,0.00014068299788050354,0.0006693749892292544,0.0005073179927421734,0.00020020200463477522,0.00010734399256762117,0.002147382008843124,0.01774159399792552,0.019888976006768644,50.27910937494613,0
9,0.20010816799185704,1.0204180479049683,-2.297046800652975,1.7992833296405237,-1.825994154016012,-0.898386303578512,1.6537278890609741,0.22969795763492584,-0.27398979663848877,-1.3440269231796265,-0.8106469511985779,0.0034041963517665863,-0.2538287341594696,0.2530075013637543,-0.12140078842639923,-1.0156481266021729,-0.34936943650245667,-0.1363755315542221,-0.16816799342632294,4.588601579247451,-3.465144893479728,-16.10647069352026,0.6750271548534641,-0.020520426584420506,0.1908001094855265,1.0288976,-2.3203495,1.7787691,-1.8277836,-0.9222519,1.6289065,1.0288976,-2.3203495,1.7787691,-1.8277836,-0.9222519,1.6289065,1.0204180479049683,-2.2970468997955322,1.7992833852767944,-1.8259941339492798,-0.8983862996101379,1.6537278890609741,0.21198916,-0.5825632,-0.51285565,-0.044735152,-0.5966392,-0.62053615,0.28869697,0.7805226380934867,0.05000000074505806,0.019513065952337167,0.03683135658502579,,,False,0,-0.12573351494426763,0.328002234670218,0.3582022863711921,0.3565282442645017,-0.007843645356198544,0.12033641546136929,0.9984261392807751,0.04644519657131139,0.012699979508742845,0.028753116693712468,0.18948843,0.23258147,0.165,0.29614417381682606,4.6389992348849773e-05,0.00012978099402971566,0.0006412060029106215,0.0003317020018585026,0.00018213999283034354,0.0001749359944369644,0.0018657780019566417,0.017834936996223405,0.019700714998180047,50.75957903519644,0
