step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02011252800002694,-0.09893304506410772,-1.7415577373900355,1.762015167866842,-1.4812486928752442,-1.3496602217303675,0.13523030281066895,-0.1050906702876091,-0.6198748350143433,-1.0856488943099976,-0.4775106608867645,0.032511208206415176,0.04069112241268158,3.1838977938505617e-18,-0.4886287748813629,-0.8391456604003906,-0.2478305995464325,0.015059221535921097,0.0,2.2725771534134145,1.9426637240011857,-19.99228752554536,0.4033711795183358,-0.14864429323699843,0.07619332607124242,-0.07942802,-1.7451206,1.7387323,-1.4708153,-1.3262689,0.11423853,-0.07942802,-1.7451206,1.7387323,-1.4708153,-1.3262689,0.11423853,-0.09893304854631424,-1.7415577173233032,1.7620152235031128,-1.4812487363815308,-1.3496602773666382,0.13523030281066895,0.48762575,-0.08907443,-0.58207077,0.2608371,0.584785,-0.52479434,0.49008733,0.0653449773788452,0.009801746606826782,0.0016336244344711303,0.0,,,False,0,0.24701862084620138,0.15939703010792933,0.14829620597636717,0.36117074214196837,-0.011465003774512766,0.16977576355317303,0.9990080423091448,0.009095075041805381,0.016329603420169623,0.040417769500254504,0.19078341,0.23152038,0.165,0.2968106287142135,7.104700489435345e-05,0.00019796400738414377,0.0008132899965858087,0.00035790800757240504,0.00025689600443001837,0.0001457759935874492,0.0022919910115888342,0.017819224987761118,0.020111215999349952,49.72349757629388,0
1,0.04010815400397405,-0.09873325029482061,-1.7415973148741664,1.7617839018451136,-1.4810777467540284,-1.3495491186725062,0.13497674465179443,0.31397029757499695,-0.9170953631401062,-1.5656651258468628,-0.3798452317714691,0.398404061794281,-0.17396670579910278,0.48855939507484436,-0.7536128163337708,-1.2662527561187744,-0.10648489743471146,0.24454034864902496,-0.2131773680448532,2.1154288860196804,4.188276724590552,-21.61254267833116,0.4744554034466775,-0.16677975897045877,0.05744004904393321,-0.071517885,-1.7567682,1.7322916,-1.477787,-1.3284792,0.108223006,-0.071517885,-1.7567682,1.7322916,-1.477787,-1.3284792,0.108223006,-0.09873325377702713,-1.741597294807434,1.7617839574813843,-1.481077790260315,-1.3495491743087769,0.13497674465179443,0.68038434,-0.37927368,-0.7373104,0.08226809,0.5267494,-0.66884357,-0.042274166,0.11416256974140802,0.008956263288855551,0.0028540642435352006,0.003267248859629035,,,False,0,0.24700555214579634,0.15947035137578214,0.14836375370598967,0.3611749364683032,-0.011422130271247714,0.1698173059671823,0.999010109796056,0.009138729698161058,0.016239690804506202,0.040393251370498325,0.19078341,0.23152038,0.165,0.29677861065554556,4.726699262391776e-05,0.00013035599840804935,0.0006734589987900108,0.0004825270007131621,0.00017557099636178464,0.0001118629879783839,0.0020062219991814345,0.017822333000367507,0.019828554999548942,50.432318442909626,0
2,0.06010102599975653,-0.09730321565736944,-1.7418209515013636,1.7601216475116175,-1.4803144943765183,-1.3476317564593714,0.13336597383022308,0.5260416269302368,-0.9727817177772522,-1.6938470602035522,-0.3130805492401123,0.42529886960983276,-0.20984691381454468,0.42843595147132874,-0.784857988357544,-1.235687017440796,-0.10231652110815048,0.24015870690345764,-0.20790982246398926,1.914194027684165,3.2922299445386365,-21.272867386318488,0.4968894563559393,-0.17709208801456072,-0.00691514514145633,-0.06971956,-1.7570581,1.7304102,-1.4759425,-1.3266263,0.10763829,-0.06971956,-1.7570581,1.7304102,-1.4759425,-1.3266263,0.10763829,-0.09730321913957596,-1.7418209314346313,1.7601217031478882,-1.4803144931793213,-1.347631812095642,0.13336597383022308,0.68959147,-0.3809313,-0.74278665,0.109300435,0.5251393,-0.643192,-0.07511878,0.14482805935872922,0.007453887686133384,0.003620701483968231,0.005708128679543734,,,False,0,0.24705359861432594,0.16024207090480447,0.14892125754736785,0.36116789558537105,-0.011449500537402558,0.16981633851573466,0.9990139771402413,0.0091849757672209,0.016011231197748464,0.04037699024743397,0.19078341,0.23152038,0.165,0.29679695855970223,5.7918994571082294e-05,0.0001678769913269207,0.0007902790093794465,0.00030350899032782763,0.00017692499386612326,0.00010957900667563081,0.002152133994968608,0.01764044599258341,0.019792579987552017,50.52398427233447,0
3,0.08010974300850648,-0.09478265443910772,-1.742373605767721,1.7570760885821741,-1.4791355443051835,-1.344687287007467,0.13066968321800232,0.4624919891357422,-1.1556282043457031,-1.6573065519332886,-0.3209834098815918,0.3847807049751282,-0.24055567383766174,0.4425731897354126,-0.9481451511383057,-1.2479689121246338,-0.1491468846797943,0.19970016181468964,-0.19860021770000458,1.288325203785231,3.0872017494909203,-21.40123343357606,0.4831376129871037,-0.1429900627778244,-0.005600880893255153,-0.06702526,-1.7566122,1.7278215,-1.4719824,-1.3219689,0.105870314,-0.06702526,-1.7566122,1.7278215,-1.4719824,-1.3219689,0.105870314,-0.09478265792131424,-1.7423735857009888,1.7570761442184448,-1.479135513305664,-1.3446873426437378,0.13066968321800232,0.693935,-0.35596487,-0.73136574,0.17883013,0.5679595,-0.61998427,-0.039317194,0.1651403414568415,0.006667543798685073,0.004128508536421038,0.007241402752697468,,,False,0,0.24718760111918275,0.16149686902103375,0.14996179909151364,0.3611964855329496,-0.011494529195838576,0.16979112050217746,0.998999876334426,0.009449267367889749,0.016480196026113947,0.040477170526860264,0.19078341,0.23152038,0.165,0.2968498255977848,6.169900007080287e-05,0.0001253829977940768,0.0005067940073786303,0.0003165800007991493,0.00041265299660153687,0.00010670699703041464,0.001905500001157634,0.01790292099758517,0.019808420998742804,50.48357968883374,0
4,0.10046848900674377,-0.09126645723451787,-1.7437988720335902,1.7532461325274866,-1.478151374762394,-1.3414719740497034,0.12727229297161102,0.3384418785572052,-1.1123474836349487,-1.6553348302841187,-0.3620966374874115,0.27854782342910767,-0.20132014155387878,0.35806089639663696,-0.8632693886756897,-1.1893497705459595,-0.13902956247329712,0.18183979392051697,-0.17916424572467804,2.851904709146784,1.263793433901875,-21.039693716915938,0.4238355545077806,-0.19416654535515998,0.0055328640401954565,-0.06352299,-1.7569516,1.7246648,-1.4688746,-1.3177366,0.103219,-0.06352299,-1.7569516,1.7246648,-1.4688746,-1.3177366,0.103219,-0.0912664607167244,-1.743798851966858,1.7532461881637573,-1.4781513214111328,-1.3414720296859741,0.12727229297161102,0.6935868,-0.32881925,-0.71453494,0.23191743,0.59338546,-0.60133237,-0.003713892,0.18157205759536152,0.006593265957199036,0.004539301439884038,0.008257017470896244,,,False,0,0.24739351327284517,0.16304000473317964,0.15144841473851026,0.36119839053123,-0.011511022467932302,0.16980397411672174,0.9990061549316704,0.009529509597285282,0.016659041947866472,0.040229502137153296,0.19078341,0.23152038,0.165,0.29686462918304846,0.0001355720014544204,0.00018351600738242269,0.0008227619982790202,0.0003273439942859113,0.00031162999221123755,0.00011965300654992461,0.002424140999210067,0.01771576800092589,0.020139909000135958,49.652657318027074,0
5,0.12010315600491595,-0.08754188219179326,-1.7458144627013148,1.7489436308490198,-1.47749566406522,-1.3385022322284144,0.12362945079803467,0.30698323249816895,-0.9431900978088379,-1.4542217254638672,-0.2673628032207489,0.3216184079647064,-0.1991250067949295,0.29350361227989197,-0.7464249134063721,-1.1371171474456787,-0.10961170494556427,0.18510563671588898,-0.16403448581695557,1.6656064395334764,1.9048519178253027,-19.75172803447255,0.43881023268223995,-0.1457649033200614,-0.006146941560062125,-0.05975846,-1.7586296,1.7207165,-1.4673061,-1.3145306,0.09989847,-0.05975846,-1.7586296,1.7207165,-1.4673061,-1.3145306,0.09989847,-0.08754188567399979,-1.7458144426345825,1.7489436864852905,-1.4774956703186035,-1.338502287864685,0.12362945079803467,0.6945857,-0.32037738,-0.7056794,0.2547397,0.59929144,-0.59327453,-0.004565866,0.19465637221767607,0.006501948633231221,0.004866409305441902,0.009078603237867355,,,False,0,0.2477327440781598,0.1645653207779215,0.15321552233320265,0.36118535900576076,-0.011436872650404035,0.16974029868466062,0.9989974639413389,0.009182238606957866,0.0169693665819423,0.040396198424834925,0.19078341,0.23152038,0.165,0.2967954227913433,6.000600114930421e-05,0.0001719150022836402,0.0008283939969260246,0.0003241759986849502,0.00028935199952684343,0.00013036899326834828,0.0022912070126039907,0.017056087992386892,0.019347295004990883,51.68681201904644,0
6,0.14010552401305176,-0.0836871306048792,-1.7478701076903285,1.7448466459857386,-1.4766234543970604,-1.3354223410235804,0.12006764858961105,0.295562207698822,-0.8593970537185669,-1.4850845336914062,-0.2490108162164688,0.31129416823387146,-0.18880251049995422,0.2656005024909973,-0.682339608669281,-1.1113922595977783,-0.09410702437162399,0.18977154791355133,-0.15912938117980957,1.9086630993508917,2.1134991983051092,-19.833537198834932,0.44025550997826285,-0.14617108945750443,0.06467721065883325,-0.055985466,-1.7608026,1.7166706,-1.4660854,-1.311575,0.09645838,-0.055985466,-1.7608026,1.7166706,-1.4660854,-1.311575,0.09645838,-0.08368713408708572,-1.7478700876235962,1.7448467016220093,-1.4766234159469604,-1.335422396659851,0.12006764858961105,0.6925418,-0.323313,-0.7044031,0.26345095,0.59618473,-0.5902316,-0.007473258,0.20456353335814428,0.006352483476512133,0.005114088333953607,0.009732818230986595,,,False,0,0.24793322828195927,0.16616187421081233,0.15493638191673878,0.3611855261085425,-0.01145222649776924,0.16983148211673063,0.99899809512253,0.009633201136644468,0.016392840340880753,0.04051311742404469,0.19078341,0.23152038,0.165,0.2968095578293516,4.541300586424768e-05,0.00012689099821727723,0.0005266770021989942,0.0002941599959740415,0.00024940300500020385,0.00011809899297077209,0.0017313519929302856,0.018105648006894626,0.01983699999982491,50.410848415023764,0
7,0.16008663100365084,-0.07980996767152959,-1.7497827015318812,1.7408407370196741,-1.4754339692047616,-1.3320930639850062,0.11665468662977219,0.33511459827423096,-0.9159905910491943,-1.4607049226760864,-0.26919859647750854,0.2910238802433014,-0.23265980184078217,0.2587599456310272,-0.6752637624740601,-1.1106327772140503,-0.0956290140748024,0.1889416128396988,-0.15972095727920532,1.6686832322309662,1.2255443567467923,-20.00722822675636,0.4174471108344035,-0.14883162254440746,-0.004810751514594494,-0.05223818,-1.7628597,1.7127068,-1.4645228,-1.3084346,0.093205325,-0.05223818,-1.7628597,1.7127068,-1.4645228,-1.3084346,0.093205325,-0.07980997115373611,-1.749782681465149,1.7408407926559448,-1.4754339456558228,-1.3320931196212769,0.11665468662977219,0.68929476,-0.32692567,-0.7033504,0.27277702,0.5914634,-0.58623403,-0.011498812,0.21128632608790157,0.006122507243417202,0.00528215815219754,0.010228176601231098,,,False,0,0.2480202200319278,0.167833179038302,0.15659980934804024,0.36120825392720324,-0.011441679902453167,0.1698471007842985,0.9989884974618485,0.009787013792852826,0.016484252486879115,0.0406744219628077,0.19078341,0.23152038,0.165,0.29681422823397735,8.223799522966146e-05,0.0001643860014155507,0.0004967169952578843,0.00028658899827860296,0.00023879299988038838,9.531000978313386e-05,0.0017984199948841706,0.01796541099611204,0.019763830990996212,50.59747780961945,0
8,0.18009830701339524,-0.07587081590761358,-1.7516032658019007,1.7368934790240687,-1.4741237175515671,-1.3287928740130823,0.11327796429395676,0.23100689053535461,-0.9399452209472656,-1.4480221271514893,-0.25251826643943787,0.31977781653404236,-0.23097774386405945,0.25780877470970154,-0.6877094507217407,-1.116754412651062,-0.10199206322431564,0.18629944324493408,-0.1615104079246521,1.9644302061908323,1.150294427939996,-20.26892657915212,0.4279474034106954,-0.16530821324043676,-0.02051629600587511,-0.04843791,-1.7646394,1.7088922,-1.4627448,-1.3052549,0.09004732,-0.04843791,-1.7646394,1.7088922,-1.4627448,-1.3052549,0.09004732,-0.0758708193898201,-1.7516032457351685,1.7368935346603394,-1.4741237163543701,-1.328792929649353,0.11327796429395676,0.6858227,-0.325903,-0.70003176,0.28447083,0.5884511,-0.580766,-0.010422392,0.21549900112043616,0.0059140594070777285,0.0053874750280109044,0.010564316064119339,,,False,0,0.2480349604969603,0.16951967576306048,0.15822279090908703,0.36122875772615903,-0.011413264576576102,0.1697365952455572,0.9989989311823448,0.0091759928416156,0.016175871613261852,0.04068464211785699,0.19078341,0.23152038,0.165,0.2968009590295691,4.567300493363291e-05,0.00012775899085681885,0.0005766000103903934,0.0003094160056207329,0.00030498199339490384,0.00010643299901857972,0.0018397120002191514,0.018014054003288038,0.01985376600350719,50.36827772742707,0
9,0.2001087540120352,-0.07197553316225225,-1.7534872494139613,1.7329023520099085,-1.4727343630841752,-1.325484577809469,0.10996454209089279,0.30134761333465576,-0.8973093032836914,-1.4574928283691406,-0.2784605920314789,0.3245619535446167,-0.2683192789554596,0.2574695646762848,-0.6955992579460144,-1.1204991340637207,-0.1054728701710701,0.18495924770832062,-0.16221605241298676,1.550327230452365,1.517383435441615,-20.021476490796363,0.43863954920741577,-0.15825645211508851,0.0016051380704407564,-0.04472229,-1.7665099,1.7050372,-1.4608938,-1.3020909,0.08692823,-0.04472229,-1.7665099,1.7050372,-1.4608938,-1.3020909,0.08692823,-0.07197553664445877,-1.753487229347229,1.7329024076461792,-1.4727343320846558,-1.3254846334457397,0.10996454209089279,0.6813312,-0.325566,-0.6966281,0.29601422,0.5848445,-0.57590765,-0.007474465,0.2180129683368802,0.005764570110477506,0.005450324208422005,0.010774950496852398,,,False,0,0.24802926221117227,0.17120058338120583,0.15987455969556222,0.36120616278460027,-0.011455662883343813,0.16977728208149598,0.9990099124166223,0.009090978614697126,0.016602469789089434,0.04026071136375343,0.19078341,0.23152038,0.165,0.29682334177676695,0.0001432190038030967,0.00018178099708165973,0.0009401730058016255,0.00037865400372538716,0.0002977370022563264,0.00021047399786766618,0.0026817880134331062,0.017111738998210058,0.019793527011643164,50.52156694518209,0
