step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020124079004745,-0.46399432817568,-1.0362935227206727,0.6555846373187464,-1.8211828670897425,-2.0629075209247034,-0.7132018248187464,-0.1474180370569229,-1.4851713180541992,-1.0803364515304565,-0.7074477672576904,-0.23009668290615082,-0.04732723534107208,3.235908056994783e-17,-1.1942052841186523,-0.785011887550354,-0.24331897497177124,-0.026350006461143494,0.0,-1.8871439897702258,9.923121758643523,-14.067534245897019,-0.059290480330234346,-0.13035597706941485,-0.2158676934467126,-0.46290728,-1.0572057,0.6763361,-1.8487339,-2.0588896,-0.7054579,-0.46290728,-1.0572057,0.6763361,-1.8487339,-2.0588896,-0.7054579,-0.4639943242073059,-1.0362935066223145,0.6555846333503723,-1.8211828470230103,-2.0629074573516846,-0.7132018208503723,0.027175995,-0.5228048,0.51878655,-0.6887759,0.10044356,0.19359665,0.2949397,0.039325292905171706,0.005898793935775757,0.0009831323226292927,0.0,,,False,0,0.4678830973293304,-0.21295443434344669,0.3218660048380792,0.49133232978466795,0.18998529579012635,0.12023623223173913,0.9995971308004656,0.004025469934775202,-0.0009513553260812603,0.028080220923036463,0.14185336,0.26434377,0.165,0.36009516330177976,3.077900328207761e-05,0.0001213670038850978,0.0004298959975130856,0.0002831820020219311,0.00014673100668005645,0.00011869300215039402,0.0014542649878421798,0.018668980002985336,0.020123244990827516,49.6937745605053,0
1,0.04007401400303934,-0.4639819304095667,-1.0364763301661988,0.655802075062887,-1.8214599094786585,-2.0628512541400355,-0.713111702595846,0.02210940793156624,-2.045827627182007,-0.7807652950286865,-1.022778034210205,-0.11474493145942688,0.12107714265584946,0.09641284495592117,-1.8126001358032227,-0.5267607569694519,-0.5022762417793274,0.07628382742404938,0.1669623851776123,-1.8037553691432535,10.077815846666057,-15.626434100825323,-0.0757265802156899,-0.14778520734378975,-0.21431305430607062,-0.46349046,-1.0583912,0.6763854,-1.8485429,-2.0599673,-0.7057479,-0.46349046,-1.0583912,0.6763854,-1.8485429,-2.0599673,-0.7057479,-0.4639819264411926,-1.0364763736724854,0.6558020710945129,-1.8214598894119263,-2.0628511905670166,-0.7131116986274719,0.012286648,-0.54786956,0.5145836,-0.6770756,0.07209912,0.18409511,0.36101356,0.12023151185777452,0.013119065165519715,0.003005787796444363,0.0019662645645439625,,,False,0,0.4678881364108957,-0.2129366833220458,0.3219233302862167,0.49137687439733846,0.18995916698251605,0.12019345818690672,0.9995990004087464,0.004301633095186465,-0.0007727027674319554,0.027976401812945643,0.14185336,0.26434377,0.165,0.36014910966459884,4.1624996811151505e-05,0.0001170639880001545,0.0004687390028266236,0.0002963739971164614,0.00015224299568217248,0.00013324100291356444,0.001556474991957657,0.018234356000903063,0.01979083099286072,50.52844927839244,0
2,0.06013664101192262,-0.46397096315492803,-1.0379465979388733,0.6574614683734339,-1.8236991367735804,-2.062500301991598,-0.7125700155841272,0.13959072530269623,-2.2438271045684814,-0.8241130709648132,-1.0034301280975342,-0.11151716113090515,0.1906808316707611,0.1591256707906723,-1.7205537557601929,-0.505205512046814,-0.48467233777046204,0.12176701426506042,0.1651742309331894,-2.7442005857518663,10.81707916064779,-15.306413649930093,-0.05175948993394366,-0.18368022295241415,-0.12084999458548908,-0.46405625,-1.0601124,0.6779133,-1.8507093,-2.0598285,-0.7053314,-0.46405625,-1.0601124,0.6779133,-1.8507093,-2.0598285,-0.7053314,-0.46397095918655396,-1.0379465818405151,0.6574614644050598,-1.8236991167068481,-2.062500238418579,-0.7125700116157532,-0.0021321664,-0.554144,0.5112963,-0.6752547,0.06679162,0.18096577,0.36864746,0.23680635514082732,0.020492014288902283,0.005920158878520683,0.00601157546043396,,,False,0,0.4678981528144347,-0.21285336180153616,0.3224305953488775,0.4913464165437994,0.1899750756965998,0.12023944210214374,0.9996008674370181,0.003972566345581369,-0.0008057005944567659,0.027957512486634122,0.14185336,0.26434377,0.165,0.36011054626025263,9.129999671131372e-05,0.00024064800527412444,0.0006391569913830608,0.0003882610035361722,0.00027800801035482436,0.00011555799574125558,0.0022262270067585632,0.017598077000002377,0.01982430400676094,50.44313281611082,0
3,0.08009580100770108,-0.4638617674456995,-1.0403981369784852,0.6601465384112757,-1.8271008930602015,-2.0620740095721644,-0.7115791479693812,0.12835822999477386,-2.1378591060638428,-0.8501651287078857,-0.9831060171127319,-0.07794184237718582,0.1798294484615326,0.1461411863565445,-1.5781629085540771,-0.5172562599182129,-0.43136686086654663,0.11340153962373734,0.15293604135513306,-1.8605347894820445,10.506680593373206,-15.888495713908911,-0.0765091272287332,-0.20864180196742602,-0.13134951532110786,-0.46328926,-1.0634515,0.6801522,-1.8537349,-2.059712,-0.70467293,-0.46328926,-1.0634515,0.6801522,-1.8537349,-2.059712,-0.70467293,-0.46386176347732544,-1.040398120880127,0.6601465344429016,-1.8271008729934692,-2.0620739459991455,-0.7115791440010071,0.014312211,-0.5763339,0.50014096,-0.6658505,0.059052836,0.17265542,0.41110185,0.3640052959506894,0.028714051246643068,0.009100132398767237,0.011840317398309708,,,False,0,0.46787591263529976,-0.21267985634484693,0.32325901737446305,0.4913562264625887,0.18981770517093235,0.12015725416809085,0.9996037763748539,0.003686495986777342,-0.0010216167365956783,0.027885720884400597,0.14185336,0.26434377,0.165,0.3601628223158846,7.132200698833913e-05,0.00013348499487619847,0.0005851229943800718,0.00028493998979683965,0.00017003399261739105,0.00010759600263554603,0.0017308670066995546,0.018051291001029313,0.019782158007728867,50.55060219462918,0
4,0.1005057940055849,-0.46374208131899053,-1.0436405104449769,0.6629303137408655,-1.831045766870016,-2.0615790526019495,-0.7105229536639612,0.07658138871192932,-1.9011660814285278,-0.7924997806549072,-0.8841300010681152,-0.06416922062635422,0.18834362924098969,0.06380144506692886,-1.4880043268203735,-0.51584392786026,-0.4050646424293518,0.11095980554819107,0.14712081849575043,-1.5928363077235947,10.071721408410191,-14.85538877333391,-0.07134106191073056,-0.19930793635330196,-0.12839517294848832,-0.4620883,-1.066991,0.682404,-1.8568726,-2.059755,-0.7042194,-0.4620883,-1.066991,0.682404,-1.8568726,-2.059755,-0.7042194,-0.46374207735061646,-1.0436404943466187,0.6629303097724915,-1.8310457468032837,-2.0615789890289307,-0.7105229496955872,0.0413444,-0.583761,0.48684168,-0.6456695,0.045598052,0.15758905,0.4643597,0.47000441329224124,0.03800124526023865,0.011750110332306031,0.018200265243649483,,,False,0,0.46779571612159604,-0.21245528645596176,0.3245537976920544,0.49135018558660454,0.18997270025268473,0.12022840808985899,0.9995986504539446,0.003949313878940723,-0.0008546463125091248,0.02804026020736438,0.14185336,0.26434377,0.165,0.3601160663905061,7.601499964948744e-05,0.00014513300266116858,0.0006524180062115192,0.00032074398768600076,0.00019771298684645444,0.00011004800035152584,0.0023333760036621243,0.01784702399163507,0.020180399995297194,49.553031666024374,0
5,0.12016164801025297,-0.46374589601625615,-1.0471146267703553,0.6656630674945276,-1.835088392297262,-2.061223808919088,-0.7094557921039026,0.1118258684873581,-1.6436315774917603,-0.6500697135925293,-0.7413389086723328,-0.030036121606826782,0.18922479450702667,0.032616324722766876,-1.472204566001892,-0.5202822685241699,-0.39807137846946716,0.11106731742620468,0.14516763389110565,-1.3610763970637327,10.144645742170876,-13.048642404309312,-0.029405167530415447,-0.18507716543326522,-0.1388314260249164,-0.46124148,-1.0692272,0.6850285,-1.8595964,-2.0597584,-0.7044302,-0.46124148,-1.0692272,0.6850285,-1.8595964,-2.0597584,-0.7044302,-0.4637458920478821,-1.047114610671997,0.6656630635261536,-1.8350883722305298,-2.0612237453460693,-0.7094557881355286,0.06261007,-0.5528148,0.4841361,-0.6127008,0.036632605,0.12563847,0.5092155,0.5583370110768677,0.048185554742813115,0.013958425276921694,0.023500220850110054,,,False,0,0.467639372542235,-0.2122962011626126,0.32601924207328137,0.49136029468834486,0.19006229484393658,0.12024896736190842,0.9995835177139127,0.00416213610160834,-0.0014129692976826934,0.02852075848156743,0.14185336,0.26434377,0.165,0.36010482999910826,0.00024059800489339978,0.0001286710030399263,0.0005709010001737624,0.00029755799914710224,0.0002021770051214844,0.00017953099450096488,0.00201682499027811,0.017472239007474855,0.019489063997752964,51.31082745252913,0
6,0.14009207001072355,-0.463693920766012,-1.0502512615970154,0.668563191090719,-1.8386932812132777,-2.0608165899859827,-0.7084277311908167,0.174284890294075,-1.745605707168579,-0.7479883432388306,-0.8030452132225037,-0.03146045282483101,0.18288826942443848,0.11669892817735672,-1.4754154682159424,-0.5247637629508972,-0.3965810239315033,0.11076260358095169,0.14358781278133392,-1.489191490874728,10.63834827737625,-13.870549142677241,-0.1015157952691055,-0.14909471758355697,-0.20474825985437678,-0.4605336,-1.0712863,0.687399,-1.8618298,-2.0600443,-0.7043557,-0.4605336,-1.0712863,0.687399,-1.8618298,-2.0600443,-0.7043557,-0.46369391679763794,-1.0502512454986572,0.668563187122345,-1.8386932611465454,-2.060816526412964,-0.7084277272224426,0.07900806,-0.52587545,0.4708955,-0.5784117,0.019303355,0.10180057,0.53890836,0.6319475092307232,0.05000000074505806,0.01579868773076808,0.02791685052216053,,,False,0,0.46750015366599523,-0.21210150334490824,0.3271566424959785,0.4913476618842653,0.18998872224178454,0.12015470276559412,0.9995992640438439,0.004559634028158658,-0.0008983082643314135,0.02792322831340522,0.14185336,0.26434377,0.165,0.3601194795921198,8.6219995864667e-05,0.00012565799988806248,0.0006066579953767359,0.00028092999127693474,0.00016979500651359558,0.00010674999793991446,0.0017529389879200608,0.018006580008659512,0.019759518996579573,50.60851937605884,0
7,0.1600973990134662,-0.46349841753114873,-1.053289071922638,0.671483341847555,-1.8422819576659144,-2.0605481306659144,-0.7075584570514124,0.28303399682044983,-1.861055850982666,-0.804390549659729,-0.8641137480735779,-0.05056827515363693,0.22041569650173187,0.2462843954563141,-1.4432097673416138,-0.514975368976593,-0.3904382884502411,0.11092182248830795,0.14012457430362701,-1.667445359650487,11.306830087401142,-14.165845479956385,-0.03046660706809123,-0.17962906180764793,-0.14815249390527527,-0.45985278,-1.0732534,0.6899788,-1.864286,-2.0601501,-0.7043364,-0.45985278,-1.0732534,0.6899788,-1.864286,-2.0601501,-0.7043364,-0.46349841356277466,-1.0532890558242798,0.6714833378791809,-1.8422819375991821,-2.0605480670928955,-0.7075584530830383,0.091140606,-0.4991081,0.46238533,-0.5501016,0.009949345,0.08055161,0.5555523,0.6932895910256027,0.05000000074505806,0.01733223977564007,0.03159737586975098,,,False,0,0.4673798034505183,-0.21186642437855255,0.32824449983286974,0.4913489842211865,0.1900075526865008,0.12022870943528233,0.9995959972587432,0.004123423138354065,-0.0009361114011585328,0.028106439684924985,0.14185336,0.26434377,0.165,0.36010766686244366,4.765600897371769e-05,0.00014107298920862377,0.0007397269946523011,0.00034810199576895684,0.00018655500025488436,0.0003618140035541728,0.002282300003571436,0.017551814002217725,0.01983411400578916,50.418183525017604,0
8,0.18009156700281892,-0.4631441275226038,-1.0563602608493348,0.674229923878805,-1.8457514248290003,-2.0602925459491175,-0.7067354361163538,0.22813425958156586,-1.8958860635757446,-0.8209797143936157,-0.8191547393798828,-0.049588046967983246,0.1678721308708191,0.24288195371627808,-1.4123531579971313,-0.5073569416999817,-0.38356295228004456,0.10308793187141418,0.13838621973991394,-1.7550931428805399,10.388382561720887,-14.4091978727298,-0.04864816278695974,-0.18258671169894353,-0.13572660389408667,-0.45910168,-1.075425,0.69230956,-1.8667338,-2.0603087,-0.70415413,-0.45910168,-1.075425,0.69230956,-1.8667338,-2.0603087,-0.70415413,-0.46314412355422974,-1.0563602447509766,0.6742299199104309,-1.845751404762268,-2.0602924823760986,-0.7067354321479797,0.10106123,-0.47661954,0.4519914,-0.52455944,-0.00040684073,0.0645327,0.5667717,0.7444079925213356,0.05000000074505806,0.01861019981303339,0.03466447815299034,,,False,0,0.4672757593983742,-0.21155160805530812,0.3293952293219543,0.49135982610525436,0.18999847639506845,0.1201912800807962,0.9996017644251222,0.0038014865505259076,-0.00044262759385481245,0.027958120716730452,0.14185336,0.26434377,0.165,0.36012471816280656,0.00012109900126233697,0.00013462700007949024,0.0006201159994816408,0.0003295960050309077,0.00020097498781979084,0.00010997700155712664,0.001922201001434587,0.01788467999722343,0.019806880998658016,50.487504825608504,0
9,0.20008956400852185,-0.46269160905946904,-1.059443549518921,0.6768649260150355,-1.8491369686522425,-2.060164753590719,-0.7061393896685999,0.1672050505876541,-1.813138484954834,-0.7942165732383728,-0.816554069519043,-0.06672400236129761,0.1624002903699875,0.2372981309890747,-1.3902901411056519,-0.5010738968849182,-0.379665344953537,0.05226673558354378,0.13770435750484467,-2.0681606425822685,9.98589985605006,-14.170837108547294,-0.05490024396233571,-0.1837304758123559,-0.12247007609299344,-0.45835638,-1.0776986,0.69461966,-1.8692398,-2.0604663,-0.70411885,-0.45835638,-1.0776986,0.69461966,-1.8692398,-2.0604663,-0.70411885,-0.46269160509109497,-1.0594435930252075,0.6768649220466614,-1.8491369485855103,-2.0601646900177,-0.7061393857002258,0.10838089,-0.4563758,0.4438683,-0.50257117,-0.0075396746,0.050514024,0.5737876,0.7870066604344463,0.05000000074505806,0.01967516651086116,0.03722039982676506,,,False,0,0.46716212897108855,-0.2112058377716562,0.3305905992077306,0.4913549569445757,0.1899649841028826,0.1202202829248208,0.9996019894247892,0.003898200197666113,-0.0006702957820048113,0.027932862996390133,0.14185336,0.26434377,0.165,0.3601233008840995,7.162200927268714e-05,0.00013609000598080456,0.0006456080009229481,0.00035666800977196544,0.00020096400112379342,0.00011473101039882749,0.0019380489975446835,0.017838747007772326,0.01977679600531701,50.56430777417884,0
