step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020141329005127773,1.0161385536193848,-2.2713400326170863,1.8253877798663538,-1.809216638604635,-0.869211498891012,1.6861257553100586,0.1321757733821869,-0.18224263191223145,-1.0806522369384766,-0.6623603105545044,0.3318191170692444,0.10568082332611084,-8.899231884574609e-17,0.09770650416612625,-0.7610646486282349,-0.2323850393295288,0.03454410657286644,0.0,-7.220834813647731,8.830858477376395,-6.54586305673938,0.5217764222168858,0.36312724509843963,-0.09086346259472106,1.0168955,-2.2948675,1.800076,-1.8333802,-0.8976429,1.6539099,1.0168955,-2.2948675,1.800076,-1.8333802,-0.8976429,1.6539099,1.0161385536193848,-2.2713401317596436,1.8253878355026245,-1.8092166185379028,-0.8692114949226379,1.6861257553100586,0.018925127,-0.5881829,-0.632797,-0.60409033,-0.7107852,-0.8053964,0.29469112,0.039292148749033605,0.005893822312355042,0.0009823037187258403,0.0,,,False,0,-0.12823801740974733,0.3323839823377487,0.3431255767963348,0.34864681028698646,-0.011249675949800086,0.1158315011342016,0.9997958689872839,0.008050854242468949,0.01713889079804657,0.007044737835194359,0.1902386,0.23196827,0.165,0.2943903415842368,4.0511993574909866e-05,0.00011645699851214886,0.0005670789978466928,0.0002946010063169524,0.00017497500812169164,0.0001407109957654029,0.0016605270066065714,0.018479830003343523,0.020140357009950094,49.651552825303064,0
1,0.0400878090003971,1.0161468982696533,-2.2715589008727015,1.8252409140216272,-1.8093306026854457,-0.8694136778460901,1.6859300136566162,0.2548403739929199,-0.7233683466911316,-1.6385399103164673,-0.9871134161949158,0.03743603080511093,-0.20813894271850586,0.1011154055595398,-0.5217198133468628,-1.2603031396865845,-0.5035343766212463,-0.17639507353305817,-0.23765258491039276,-6.956652619126552,8.01935566267495,-8.87998222961783,0.5726377707479682,0.3259039688206199,-0.08450030991583554,1.0181869,-2.2953296,1.8005167,-1.8309169,-0.89709204,1.6543238,1.0181869,-2.2953296,1.8005167,-1.8309169,-0.89709204,1.6543238,1.0161468982696533,-2.271559000015259,1.825240969657898,-1.8093305826187134,-0.8694136738777161,1.6859300136566162,0.05100079,-0.59426594,-0.6181067,-0.53965694,-0.691959,-0.79015404,0.27664515,0.10892162654134963,0.011426725387573243,0.002723040663533741,0.001964607508853078,,,False,0,-0.12821655045853855,0.332352494662726,0.34322390637009326,0.3486191226755163,-0.011213669246899547,0.11585030853363987,0.9998007643502503,0.007798604443641582,0.017000679838805387,0.006967282983561947,0.1902386,0.23196827,0.165,0.29434255439650475,4.759601142723113e-05,0.0001353069965261966,0.000955078998231329,0.00031321399728767574,0.000204948999453336,0.00016309799684677273,0.002254027989692986,0.01752509400830604,0.019779121997999027,50.55836149355699,0
2,0.06008611200377345,1.016162395477295,-2.2731529674925746,1.8237136046039026,-1.8109938106932582,-0.8714144865619105,1.6836951971054077,0.3024415671825409,-0.8094183802604675,-1.8891042470932007,-1.0917290449142456,0.06750855594873428,-0.2646554112434387,0.11842890083789825,-0.39854633808135986,-1.2174512147903442,-0.49518248438835144,-0.19197487831115723,-0.24911287426948547,-7.973263673461137,6.797677429984139,-10.089407247699796,0.6377965440076698,0.3178432758919105,-0.1757147864954421,1.0187011,-2.295798,1.800141,-1.8292435,-0.89814854,1.6530277,1.0187011,-2.295798,1.800141,-1.8292435,-0.89814854,1.6530277,1.016162395477295,-2.273153066635132,1.8237136602401733,-1.8109937906265259,-0.8714144825935364,1.6836951971054077,0.063466765,-0.56612366,-0.5893173,-0.45624283,-0.66835195,-0.7666884,0.27770615,0.20397367753364418,0.01698084831237793,0.005099341938341105,0.005446081515401602,,,False,0,-0.12790081449193794,0.33217958953465754,0.34419978260256845,0.34862940274016707,-0.01125585596188617,0.11583617965844875,0.9997976892449568,0.007967582160831637,0.017075548417226107,0.007035588442440717,0.1902386,0.23196827,0.165,0.29438529972117394,5.254500138107687e-05,0.00014218200522009283,0.0007205440051620826,0.00023617100669071078,0.00018608300888445228,0.00012018400593660772,0.0018562750046839938,0.01797242100292351,0.019828696007607505,50.43195980292091,0
3,0.08006934600416571,1.0162701606750488,-2.2761017284789027,1.820474926625387,-1.814202447930807,-0.8748562971698206,1.6796975135803223,0.2856603264808655,-0.42193442583084106,-1.5591741800308228,-0.8298145532608032,0.04485049471259117,-0.24410951137542725,0.18527650833129883,-0.2623271942138672,-1.108778715133667,-0.4181250035762787,-0.1538345068693161,-0.19878144562244415,-7.744847690286706,8.279710442259972,-7.337840323003958,0.563213324678413,0.301395145991501,-0.18306238014539097,1.0198238,-2.2982602,1.7978467,-1.8283657,-0.9007939,1.650331,1.0198238,-2.2982602,1.7978467,-1.8283657,-0.9007939,1.650331,1.0162701606750488,-2.27610182762146,1.8204749822616577,-1.8142024278640747,-0.8748562932014465,1.6796975135803223,0.0888418,-0.55395776,-0.5657081,-0.35408047,-0.64844084,-0.73416114,0.28997764,0.3218474053490309,0.022780401110649107,0.008046185133725773,0.010198683477938175,,,False,0,-0.12739634825820675,0.3318501457929138,0.3462214625615546,0.3486381944860552,-0.01128558436890113,0.1157977311970842,0.9997921952109332,0.007940059213177603,0.017420902116514328,0.0069982950079525265,0.1902386,0.23196827,0.165,0.29442101499943324,4.469099803827703e-05,0.00014258599549066275,0.0006130629917606711,0.00034665300336200744,0.0003188179980497807,0.0001547639985801652,0.002007237999350764,0.017802031012251973,0.019809269011602737,50.48141854271742,0
4,0.10054715799924452,1.0166213512420654,-2.279576440850729,1.816639248524801,-1.8173829517760218,-0.8787143866168421,1.6752291917800903,0.18978823721408844,-0.14956754446029663,-1.3190683126449585,-0.6656213402748108,-0.05494245886802673,-0.2028634399175644,0.23664264380931854,-0.1295682191848755,-1.0241236686706543,-0.36519598960876465,-0.1329353153705597,-0.1704961657524109,-6.6563776296959505,9.086272556633322,-5.495675844072861,0.5233655395943525,0.26312669429042473,-0.15376966222698202,1.0215873,-2.3019326,1.7945778,-1.8271786,-0.9041042,1.6474793,1.0215873,-2.3019326,1.7945778,-1.8271786,-0.9041042,1.6474793,1.0166213512420654,-2.279576539993286,1.8166393041610718,-1.8173829317092896,-0.878714382648468,1.6752291917800903,0.12414764,-0.55889827,-0.55153775,-0.24489106,-0.6347455,-0.6937462,0.31921324,0.43487283779085906,0.029164665937423704,0.010871820944771477,0.016092371195554733,,,False,0,-0.12695220951437078,0.3313748870571185,0.34853665589396554,0.3486386876148242,-0.011242946296727318,0.11586070647721829,0.9998037441042035,0.007782353341161228,0.016844964578079255,0.006943652811837229,0.1902386,0.23196827,0.165,0.2943755344375445,4.805400385521352e-05,0.000148338993312791,0.0005419090011855587,0.00037087700911797583,0.0002516289969207719,0.0001314510009251535,0.0020154859957983717,0.018281263997778296,0.020296749993576668,49.26897164898178,0
5,0.1201451899978565,1.016930103302002,-2.2828532658019007,1.8132665793048304,-1.8200794659056605,-0.8826492468463343,1.6707884073257446,0.2195913940668106,-0.2064814269542694,-1.3804900646209717,-0.7394039034843445,-0.013538628816604614,-0.19759483635425568,0.23466135561466217,-0.08483648300170898,-0.9946120381355286,-0.3424380123615265,-0.1256728619337082,-0.15935713052749634,-6.5840853631034895,9.622013023210672,-6.211902169143729,0.5461340381877304,0.2555614822572922,-0.14250098026793845,1.0229793,-2.30559,1.7914686,-1.8271947,-0.9077695,1.644079,1.0229793,-2.30559,1.7914686,-1.8271947,-0.9077695,1.644079,1.016930103302002,-2.282853364944458,1.813266634941101,-1.8200794458389282,-0.8826492428779602,1.6707884073257446,0.15123013,-0.5684142,-0.54494923,-0.17788042,-0.62800634,-0.6677368,0.33255357,0.5290606981590492,0.03581573724746704,0.013226517453976232,0.021743642166256905,,,False,0,-0.12648355083183285,0.33089075803307993,0.3505498540433413,0.3486327672437005,-0.011247018651226062,0.11576661407037299,0.9997965028266877,0.008583608596378526,0.01687409396029354,0.006963880316591946,0.1902386,0.23196827,0.165,0.29439143459064687,0.00029401699430309236,0.00013366001076065004,0.0005422649992397055,0.0003275759954703972,0.00018813498900271952,0.00010979900253005326,0.0019674109935294837,0.017469301004894078,0.01943671199842356,51.449031095439715,0
6,0.14013869999325834,1.0172450542449951,-2.2857877216734828,1.810200039540426,-1.8223029575743617,-0.8864248434649866,1.6666051149368286,0.3004186153411865,-0.31759652495384216,-1.44606351852417,-0.769285261631012,0.029690861701965332,-0.2125568389892578,0.2467958778142929,-0.09726203978061676,-0.9995864629745483,-0.33734139800071716,-0.12542928755283356,-0.15638425946235657,-7.47891447080136,8.328956257188631,-6.689948048831184,0.5300381618202952,0.2752515960385687,-0.18153646097349294,1.0240302,-2.3087413,1.788751,-1.8277448,-0.91128904,1.6404366,1.0240302,-2.3087413,1.788751,-1.8277448,-0.91128904,1.6404366,1.0172450542449951,-2.28578782081604,1.8102000951766968,-1.8223029375076294,-0.8864248394966125,1.6666051149368286,0.16962849,-0.5738349,-0.5362261,-0.13604634,-0.62160504,-0.65421134,0.320417,0.6075505817992077,0.042224076986312864,0.015188764544980193,0.026453034952282906,,,False,0,-0.12603787471973252,0.33042306433367463,0.35231512380115076,0.3485944512358458,-0.01126546835581126,0.11576086303217047,0.9998205953924797,0.007831588459743893,0.015682135397717373,0.007173802536652979,0.1902386,0.23196827,0.165,0.29438702641909187,0.00012548301310744137,0.00014227800420485437,0.0007042750075925142,0.0003674620093079284,0.00028717200621031225,0.0001270320062758401,0.002144280995707959,0.017681519995676354,0.019825800991384313,50.439324011905974,0
7,0.16014365199953318,1.017768383026123,-2.288860937158102,1.8071826140033167,-1.8240109882750453,-0.8900707403766077,1.6626842021942139,0.3506499230861664,-0.3346574306488037,-1.5044976472854614,-0.8112500309944153,0.10660003125667572,-0.2390931099653244,0.2516280710697174,-0.10852838307619095,-1.0053985118865967,-0.33922019600868225,-0.12753798067569733,-0.15663239359855652,-8.518895629842,8.536793912651767,-6.923545999221641,0.5328891386646987,0.295312173530132,-0.21826096853269214,1.0251801,-2.3119543,1.7861167,-1.8280267,-0.91460633,1.6369852,1.0251801,-2.3119543,1.7861167,-1.8280267,-0.91460633,1.6369852,1.017768383026123,-2.288861036300659,1.8071826696395874,-1.824010968208313,-0.8900707364082336,1.6626842021942139,0.18529242,-0.57733077,-0.5266488,-0.10039285,-0.6133894,-0.642475,0.3042234,0.6729588181660064,0.048308544754981995,0.016823970454150163,0.030377529561519623,,,False,0,-0.1257285557724267,0.32986096925638086,0.35401843560988533,0.34863700757576627,-0.011236122008936804,0.11585391305524859,0.9998043182192685,0.007720286836587531,0.016840831645204373,0.006940012368346429,0.1902386,0.23196827,0.165,0.2943701263640724,4.850399272982031e-05,0.0001431949931429699,0.0007244029984576628,0.0002899630053434521,0.00019515299936756492,0.0001085719995899126,0.0018872679938795045,0.01795935200061649,0.019846619994495995,50.386413418371845,0
8,0.1801322630053619,1.0186469554901123,-2.2920924625792445,1.8039596716510218,-1.8253089390196742,-0.8934152762042444,1.658860445022583,0.2364291250705719,-0.18881617486476898,-1.374121904373169,-0.7486817836761475,0.02532973699271679,-0.2562834918498993,0.24666652083396912,-0.10553291440010071,-1.0043513774871826,-0.34398263692855835,-0.1295447200536728,-0.15883047878742218,-6.658124047940137,9.472989487001286,-5.859322181976649,0.5358679099169911,0.25823763241843667,-0.16689894992795576,1.0265837,-2.315273,1.7832686,-1.8281153,-0.9176171,1.6335583,1.0265837,-2.315273,1.7832686,-1.8281153,-0.9176171,1.6335583,1.0186469554901123,-2.2920925617218018,1.8039597272872925,-1.825308918952942,-0.8934152722358704,1.658860445022583,0.19841675,-0.57951134,-0.5172778,-0.07016136,-0.6050453,-0.6325548,0.28729382,0.7274656818050054,0.05000000074505806,0.018186642045125136,0.033647939562797546,,,False,0,-0.1256397098690307,0.32918821631655965,0.3557959180931867,0.3486377076196151,-0.011218030469785352,0.11585222797252955,0.9998061992083728,0.007773552170111929,0.01662471555898162,0.007124912727967998,0.1902386,0.23196827,0.165,0.2943558376265932,6.580600165762007e-05,0.000155870002345182,0.0006240299990167841,0.0003538719902280718,0.0002483850112184882,0.000130330998217687,0.002006615002756007,0.017818481006543152,0.01982509600929916,50.44111763851938,0
9,0.2001396260020556,1.0195550918579102,-2.295302530328268,1.8009441534625452,-1.8262001476683558,-0.8968423048602503,1.6552566289901733,0.2542966604232788,-0.2156798541545868,-1.3761236667633057,-0.7277475595474243,0.013433121144771576,-0.2650192081928253,0.24193787574768066,-0.10019506514072418,-1.0012682676315308,-0.34715110063552856,-0.13021616637706757,-0.1602746993303299,-6.217701177419631,8.985928336678661,-5.92091798958513,0.5210252138865873,0.2427025522870462,-0.16015754097475168,1.027935,-2.318597,1.7805258,-1.828052,-0.9207615,1.6302959,1.027935,-2.318597,1.7805258,-1.828052,-0.9207615,1.6302959,1.0195550918579102,-2.295302629470825,1.800944209098816,-1.8262001276016235,-0.8968423008918762,1.6552566289901733,0.20949955,-0.582362,-0.51046,-0.046299014,-0.59798086,-0.62401843,0.27481654,0.7728880681708379,0.05000000074505806,0.019322201704270948,0.036373283714056015,,,False,0,-0.12555932757217808,0.328480069772615,0.35741066987326964,0.3486619534781591,-0.011245166046853427,0.11585016616804068,0.9998079150132084,0.007731080881344953,0.01658225425726615,0.007025326161296383,0.1902386,0.23196827,0.165,0.29439164761523234,4.664699372369796e-05,0.00015349299064837396,0.0007218060054583475,0.0003402919974178076,0.00026684399927034974,0.00014288499369286,0.0020487950096139684,0.017796542000724003,0.01984533701033797,50.38967085714256,0
