step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020136614999501035,-0.04893523851503545,-1.1369563800147553,1.0823848883258265,-1.6273838482298792,-1.3700469175921839,0.09778451919555664,-0.08887793123722076,-1.6264073848724365,-1.1669403314590454,-0.44513648748397827,0.04766241833567619,0.020235469564795494,-3.685260359002169e-17,-1.1440166234970093,-0.8447372913360596,-0.2627318203449249,0.013689578510820866,0.0,-1.157203807872996,-0.6243573530452282,-0.009686574823998928,-0.049804301677614814,0.07299416154473447,0.05956315807928682,-0.035750963,-1.1019397,1.0607971,-1.6623886,-1.3347428,0.08671906,-0.035750963,-1.1019397,1.0607971,-1.6623886,-1.3347428,0.08671906,-0.048935238271951675,-1.1369563341140747,1.0823849439620972,-1.627383828163147,-1.3700469732284546,0.09778451919555664,0.32960692,0.87541515,-0.5396955,-0.87511706,0.8826033,-0.27663648,-0.57221156,0.0,0.0,0.0,0.0,,,False,0,0.4332448083056666,0.15728440435076949,0.1629627581509389,0.47654157340837683,0.18967021714478965,0.11903928285527439,-0.024974104586662396,-0.026062065350861745,0.000993705262533355,0.999347795847348,0.16627924,0.22379453,0.30614725,0.3639183619243049,0.00016531300207134336,0.0001360320020467043,0.0006616699974983931,0.0003969370009144768,0.00017798799672164023,0.0002219460002379492,0.0021510570077225566,0.01798447700275574,0.020135534010478295,49.66344570149526,0
1,0.040125485000316985,-0.04874593416322881,-1.1366144579700013,1.0821903387652796,-1.627681394616598,-1.3697102705584925,0.09764178097248077,0.25619691610336304,-0.8248746395111084,-1.4223873615264893,-0.8295581936836243,0.4225265085697174,-0.11659114062786102,0.3936457931995392,-0.36097583174705505,-1.0893943309783936,-0.5003666877746582,0.28402435779571533,-0.17816540598869324,0.46257020945342076,1.285196671338594,0.3210796306198997,0.018656130028421276,-5.133425200478346e-05,0.05310564269229305,-0.037848115,-1.1020004,1.0602131,-1.6633414,-1.3360809,0.08606738,-0.037848115,-1.1020004,1.0602131,-1.6633414,-1.3360809,0.08606738,-0.048745933920145035,-1.136614441871643,1.0821903944015503,-1.6276813745498657,-1.3697103261947632,0.09764178097248077,0.27244547,0.8653511,-0.5494321,-0.8915007,0.8407357,-0.28936,-0.5353399,0.0,0.0,0.0,0.0,,,False,0,0.4333275308742853,0.15743925104142087,0.16292879492459444,0.47653932615217653,0.18970152626686895,0.11906764649621805,-0.025009294136654887,-0.025556444488186475,0.0007046042841841244,0.9993602280513763,0.16627924,0.22379453,0.30614725,0.36389892899879045,4.219300171826035e-05,0.00012543900811579078,0.0006313509948085994,0.00032464799005538225,0.00017091901099774987,0.00010548399586696178,0.0018122719920938835,0.017994457011809573,0.019806729003903456,50.487892261408874,0
2,0.060104594987933524,-0.04789573351015264,-1.134048656826355,1.0806711355792444,-1.6303626499571742,-1.3670204321490687,0.09684062749147415,0.4921332597732544,-0.7284685969352722,-1.5395327806472778,-0.8580623269081116,0.455766499042511,-0.20644275844097137,0.3567536175251007,-0.4895876944065094,-1.1177797317504883,-0.4939839243888855,0.27925869822502136,-0.17537860572338104,1.0865973585604163,1.6489981892348995,0.4429623890901089,0.04926972306997311,-0.039760301543141814,-0.06720186431731437,-0.03585921,-1.099778,1.0612953,-1.6654571,-1.335415,0.08488291,-0.03585921,-1.099778,1.0612953,-1.6654571,-1.335415,0.08488291,-0.04789573326706886,-1.1340487003326416,1.0806711912155151,-1.630362629890442,-1.3670204877853394,0.09684062749147415,0.30091316,0.8567663,-0.48439753,-0.8773612,0.79013675,-0.29894307,-0.54203117,0.0,0.0,0.0,0.0,,,False,0,0.4341489226678391,0.15838740172097893,0.16275060522139065,0.4765008143786931,0.18967097844656838,0.11903293386772112,-0.025564065470447272,-0.025192391428239293,0.001124961082507681,0.9993550493980834,0.16627924,0.22379453,0.30614725,0.3638868062998863,0.00010796700371429324,0.000112134002847597,0.0005339520139386877,0.0003525560023263097,0.0002702530036913231,0.00014159100828692317,0.0019430459942668676,0.01789417899271939,0.019837224986986257,50.4102766720661,0
3,0.08022255999094341,-0.046285454426900685,-1.1298192900470276,1.077827278767721,-1.6349431476988734,-1.3623617331134241,0.09545169025659561,0.3364676535129547,-0.9382572174072266,-1.4764506816864014,-0.7005157470703125,0.3360203504562378,-0.19858218729496002,0.24437712132930756,-0.7255235910415649,-1.1181261539459229,-0.45471498370170593,0.22177138924598694,-0.16151203215122223,-0.6172771806807449,-0.5333366637063629,1.3463945893613514,-0.03311210966035047,0.024357971032718116,-0.03674077455154529,-0.03467969,-1.0956442,1.060911,-1.6698714,-1.3323154,0.08339367,-0.03467969,-1.0956442,1.060911,-1.6698714,-1.3323154,0.08339367,-0.04628545418381691,-1.1298192739486694,1.0778273344039917,-1.6349431276321411,-1.3623617887496948,0.09545169025659561,0.29014415,0.8543754,-0.4229072,-0.8732069,0.75115925,-0.30145055,-0.54823154,0.0,0.0,0.0,0.0,,,False,0,0.43557050122624075,0.16009119809849381,0.1625972394253541,0.47662623403978044,0.18968422611672378,0.11907408676669612,-0.025062093268761295,-0.025921592309422394,0.0010382001535302811,0.9993492387617046,0.16627924,0.22379453,0.30614725,0.3639713401618724,6.384699372574687e-05,0.00017284999194089323,0.0008370650029974058,0.0004293910023989156,0.00025287599419243634,0.00013555900659412146,0.002341874991543591,0.017506429998320527,0.01984830498986412,50.382135931036295,0
4,0.10045549699862022,-0.04444581667055303,-1.1246957045844574,1.0747602621661585,-1.6399499378600062,-1.3575223127948206,0.09381072968244553,0.16494141519069672,-1.2557374238967896,-1.5253180265426636,-0.728759229183197,0.23543307185173035,-0.19892796874046326,0.2354343682527542,-0.8454262018203735,-1.0966241359710693,-0.42842280864715576,0.19044072926044464,-0.1549905687570572,-2.63176336595648,-2.2310561901565085,0.12168129896529889,-0.09866346099760658,0.09893748861651289,-0.03335938858351199,-0.03405996,-1.0904291,1.0582273,-1.6751837,-1.3283459,0.0819204,-0.03405996,-1.0904291,1.0582273,-1.6751837,-1.3283459,0.0819204,-0.044445816427469254,-1.1246956586837769,1.0747603178024292,-1.639949917793274,-1.3575223684310913,0.09381072968244553,0.25964642,0.85666364,-0.41332546,-0.8808426,0.7294125,-0.29725814,-0.54686576,0.0,0.0,0.0,0.0,,,False,0,0.43709559881850774,0.16193461747099092,0.16219210250293145,0.4766160734605663,0.1897000985674984,0.11905808861447556,-0.025259539494773536,-0.026251836891731734,0.0011113187327501683,0.999335587258446,0.16627924,0.22379453,0.30614725,0.3639694125628585,6.455800030380487e-05,0.00013524500536732376,0.0005538309924304485,0.00032920199737418443,0.0001688880001893267,0.00010794500121846795,0.001785852000466548,0.01818227300827857,0.01996812500874512,50.07981468275294,0
5,0.12008827200043015,-0.042777363454000294,-1.1196215611747284,1.0720561186419886,-1.6447912655272425,-1.3530777136432093,0.09213054925203323,0.19000771641731262,-1.339811086654663,-1.6265418529510498,-0.8530534505844116,0.3340069353580475,-0.17995330691337585,0.22774255275726318,-0.8748553991317749,-1.0794439315795898,-0.4198966324329376,0.1815800666809082,-0.1524454951286316,-0.4338966691091115,-0.706501044894397,-1.1981586604821608,-0.02777981736049926,0.00997723518163213,-0.025664495636088375,-0.033053793,-1.0850137,1.0560628,-1.6800952,-1.3242522,0.080309786,-0.033053793,-1.0850137,1.0560628,-1.6800952,-1.3242522,0.080309786,-0.04277736321091652,-1.1196215152740479,1.0720561742782593,-1.6447912454605103,-1.35307776927948,0.09213054925203323,0.24308923,0.8651942,-0.39983448,-0.8825998,0.7206383,-0.29551905,-0.5499593,0.0,0.0,0.0,0.0,,,False,0,0.43852236386346827,0.16362160328839315,0.16165303422856606,0.4766205013199036,0.18966710926906077,0.11899878704923836,-0.02552166117768214,-0.02590477415309119,0.0016300353459101293,0.9993372428169609,0.16627924,0.22379453,0.30614725,0.3640067650808132,0.0002870820026146248,0.0001517959899501875,0.0005011129978811368,0.00040706699655856937,0.00017113999638240784,0.00011279899626970291,0.001987430005101487,0.017488308003521524,0.01947573800862301,51.34593613639922,0
6,0.14009516999067273,-0.04118234315981084,-1.114979014997818,1.0692480246173304,-1.649973054925436,-1.3486350218402308,0.09044598788022995,0.24572274088859558,-1.0604830980300903,-1.4409266710281372,-0.7226955890655518,0.33912336826324463,-0.19088082015514374,0.2110886126756668,-0.8714000582695007,-1.0844894647598267,-0.42277348041534424,0.18232332170009613,-0.1511140763759613,-0.9260396815828155,-0.5185455483031904,1.0246974191555074,-0.035341765091485025,0.04514056034235668,-0.025432467741353038,-0.032066967,-1.0799944,1.0546325,-1.6851991,-1.3201303,0.07863583,-0.032066967,-1.0799944,1.0546325,-1.6851991,-1.3201303,0.07863583,-0.041182342916727066,-1.1149790287017822,1.069248080253601,-1.6499730348587036,-1.3486350774765015,0.09044598788022995,0.22788443,0.8746145,-0.36538693,-0.8806514,0.71261686,-0.2952541,-0.55607635,0.0,0.0,0.0,0.0,,,False,0,0.4400428150936148,0.165276494714578,0.16137302228528508,0.4766317322778566,0.18968331747505862,0.1190108049138742,-0.02532426358506159,-0.02666951795487665,0.0012470891401968973,0.9993227288744061,0.16627924,0.22379453,0.30614725,0.3640086425879646,0.00015958699805196375,0.000139334995765239,0.00060491100884974,0.00031305599259212613,0.0001935379987116903,0.00012014999811071903,0.0019457619928289205,0.017883007996715605,0.019828769989544526,50.431771639253874,0
7,0.16009488099371083,-0.03964358965028936,-1.1102532309344788,1.0666640440570276,-1.6549412212767542,-1.3444040457354944,0.08877431601285934,0.18773895502090454,-1.0871859788894653,-1.3366634845733643,-0.6332583427429199,0.29081079363822937,-0.1909227967262268,0.2064359337091446,-0.8614947199821472,-1.0873887538909912,-0.4236588478088379,0.1849590241909027,-0.15076126158237457,-1.5074791364809073,-0.6679787377634971,1.765734412444403,-0.04430180000930658,0.07580756231997397,-0.03200095201305808,-0.031625137,-1.0750853,1.0523775,-1.6903561,-1.3166701,0.07713811,-0.031625137,-1.0750853,1.0523775,-1.6903561,-1.3166701,0.07713811,-0.03964358940720558,-1.1102532148361206,1.0666640996932983,-1.654941201210022,-1.3444041013717651,0.08877431601285934,0.2004613,0.8791989,-0.35716695,-0.8853745,0.693352,-0.29090518,-0.55490035,0.0,0.0,0.0,0.0,,,False,0,0.4414687592287856,0.16686576405818937,0.160950293533453,0.4765925612244027,0.18966597754796605,0.11900165154557267,-0.02568685941110051,-0.02583012918846079,0.001737511065501903,0.9993347621138997,0.16627924,0.22379453,0.30614725,0.36398157777441476,5.282000347506255e-05,0.00014419600483961403,0.0005643220065394416,0.00039385400305036455,0.00017844399553723633,0.00010724199819378555,0.0019566859991755337,0.01783128100214526,0.019787967001320794,50.53576246277613,0
8,0.18014389999734703,-0.03815919557680303,-1.105178789501526,1.0646937529193323,-1.65954651455068,-1.3403146902667444,0.08711695671081543,0.12228315323591232,-1.2771775722503662,-1.5682812929153442,-0.7878862023353577,0.28459715843200684,-0.21262048184871674,0.20718055963516235,-0.862866222858429,-1.0852839946746826,-0.4241497814655304,0.1873449683189392,-0.15095578134059906,-0.7513064013713902,-1.3319360840093977,-0.3661133619508656,-0.060016937169182216,0.03981469659519884,-0.019464765065727987,-0.03086635,-1.0698086,1.0498271,-1.6951158,-1.3131385,0.075599045,-0.03086635,-1.0698086,1.0498271,-1.6951158,-1.3131385,0.075599045,-0.038159195333719254,-1.1051788330078125,1.064693808555603,-1.6595464944839478,-1.3403147459030151,0.08711695671081543,0.18232115,0.8842547,-0.37166744,-0.8892314,0.6794061,-0.28794786,-0.5531584,0.0,0.0,0.0,0.0,,,False,0,0.44268890167715125,0.16841012081215623,0.16012686308473306,0.4766465873814163,0.1896744023786684,0.11907062424579401,-0.0253392173109875,-0.026113705637345278,0.0009394156178949824,0.9993373120417417,0.16627924,0.22379453,0.30614725,0.3639913952961646,6.037500861566514e-05,0.0001857410097727552,0.0007643100107088685,0.00035042600939050317,0.0002781000075628981,0.0001283210003748536,0.002217020999523811,0.017592143005458638,0.01980916400498245,50.48168614023679,0
9,0.20013692798966076,-0.03696328798402959,-1.1007062655738373,1.062925163899557,-1.6640526256956996,-1.3367827574359339,0.08563213795423508,0.14774641394615173,-1.3874917030334473,-1.6630357503890991,-0.8344190716743469,0.2504515051841736,-0.22082456946372986,0.19988396763801575,-0.8725771903991699,-1.0907245874404907,-0.42635780572891235,0.18675610423088074,-0.15060655772686005,-0.5192387214753396,-1.549405044644216,-0.7864284640673698,-0.06245414468359977,0.025267287666806793,-0.014651216205950106,-0.029670116,-1.0653024,1.0491966,-1.6994984,-1.3101882,0.07416415,-0.029670116,-1.0653024,1.0491966,-1.6994984,-1.3101882,0.07416415,-0.036963287740945816,-1.1007062196731567,1.0629252195358276,-1.6640526056289673,-1.3367828130722046,0.08563213795423508,0.18232933,0.8850962,-0.3432148,-0.8861443,0.6648666,-0.2866996,-0.5575019,0.0,0.0,0.0,0.0,,,False,0,0.4438790222588398,0.16970361122884053,0.15945753869632362,0.47663872183873646,0.18968115721947099,0.11908748795777828,-0.02538116911946999,-0.025793963834615238,0.0010111960722905136,0.9993445240893734,0.16627924,0.22379453,0.30614725,0.36397538826355014,0.0002564890019129962,0.00012983499618712813,0.0005256289878161624,0.0003304960118839517,0.0001687709882389754,0.00011855398770421743,0.0018855870002880692,0.0179192149953451,0.01980480199563317,50.49280473596724,0
