step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020126873001572676,-0.9397495428668421,-1.4152567696622391,1.0457442442523401,-1.1848972600749512,-1.3126195112811487,-0.49795324007143194,0.13926729559898376,-1.0137057304382324,-1.1656184196472168,-0.41982007026672363,0.16957645118236542,0.05969114229083061,1.7832708715636668e-17,-0.8100172281265259,-0.7934063076972961,-0.2556615471839905,0.01763472519814968,0.0,-1.5377899676749212,1.2085251419217875,-0.09372145098624289,0.03452841462289553,0.08496523965278599,0.05695469160026684,-0.92404944,-1.4458706,1.079516,-1.1562785,-1.3466938,-0.5044807,-0.92404944,-1.4458706,1.079516,-1.1562785,-1.3466938,-0.5044807,-0.939749538898468,-1.4152567386627197,1.0457442998886108,-1.1848973035812378,-1.3126195669174194,-0.49795323610305786,0.3925019,-0.76534873,0.84429365,0.71547085,-0.8518546,-0.16318765,0.3219263,0.16666666666666666,0.05000000074505806,0.004166666666666667,0.0,,,False,0,0.3419023726678908,-0.14323423074304203,0.23868272830957749,0.22074351695484015,-0.17874938960180467,0.11293749372985384,0.9999480107982938,0.005796390524219278,0.008327780484262439,0.00103431880746351,0.21907502,-0.17855854,0.2220977,0.10917311850636056,3.675499465316534e-05,0.00010817698785103858,0.0005322700017131865,0.00025425599596928805,0.00016697599494364113,0.00014809099957346916,0.0015632239956175908,0.018562384007964283,0.020125608003581874,49.68793985364437,0
1,0.04012695400160737,-0.9394992033587855,-1.4155970525792618,1.0460189024554651,-1.1847320956042786,-1.3129690329181116,-0.49804765382875615,0.43285608291625977,-1.6453680992126465,-0.6690948605537415,-0.014746244996786118,-0.16408175230026245,-0.13152074813842773,0.5116755962371826,-1.5155309438705444,-0.42188191413879395,-0.0012300425441935658,-0.23404568433761597,-0.16206103563308716,-3.8768796895115534,3.700651365927676,0.8785791632075072,0.09985640375396522,0.17843935527312527,0.024826773812455363,-0.91938,-1.4490356,1.0764724,-1.1520721,-1.3463787,-0.50417703,-0.91938,-1.4490356,1.0764724,-1.1520721,-1.3463787,-0.50417703,-0.9394991993904114,-1.4155970811843872,1.0460189580917358,-1.1847320795059204,-1.3129690885543823,-0.4980476498603821,0.5029801,-0.8359654,0.7613373,0.8165005,-0.8352385,-0.15323491,-0.05468489,0.3055555555555556,0.048906302973628045,0.0076388888888888895,0.008333333767950535,,,False,0,0.34180839683224085,-0.14310685984629168,0.23867936150028288,0.2207601244761017,-0.1787145308322965,0.11295070308669565,0.9999426048403035,0.0061124464346585345,0.008726886034592585,0.0011441181625113516,0.21907502,-0.17855854,0.2220977,0.10916011044086696,3.850999928545207e-05,0.0001634619984542951,0.0007900019991211593,0.00033731300209183246,0.00026105101278517395,0.00012120998871978372,0.002176876994781196,0.01767245400696993,0.019849331001751125,50.37953167851245,0
2,0.060087980004027486,-0.9383414427386683,-1.4178887021592637,1.0484016577350062,-1.1825498801520844,-1.315641228352682,-0.49850255647768194,0.6010144948959351,-1.7244209051132202,-0.5252907872200012,0.02706882730126381,-0.17425411939620972,-0.15057620406150818,0.4306565523147583,-1.4018570184707642,-0.42041683197021484,-0.016869312152266502,-0.22999300062656403,-0.16042666137218475,-3.4991026819634157,4.826760538131642,1.619993799492761,0.14466042783522146,0.15962316701411458,-0.06297780156899994,-0.92489296,-1.4498202,1.081173,-1.1492488,-1.3469766,-0.50714546,-0.92489296,-1.4498202,1.081173,-1.1492488,-1.3469766,-0.50714546,-0.9383414387702942,-1.4178887605667114,1.0484017133712769,-1.1825498342514038,-1.3156412839889526,-0.49850255250930786,0.33621204,-0.7982847,0.81928164,0.83252555,-0.7833849,-0.21607234,-0.20420794,0.4212962962962963,0.044822144135832784,0.010532407407407407,0.015277777798473835,,,False,0,0.34084502088255614,-0.14220773714298637,0.23840233986081247,0.22075287746606187,-0.1787205694020406,0.11291476181012505,0.999947052628711,0.006058803493241002,0.008228035910457848,0.001218911823878475,0.21907502,-0.17855854,0.2220977,0.10919594459806214,3.529099922161549e-05,0.00010735300020314753,0.0004907889961032197,0.00028582099184859544,0.00015288300346583128,0.00015003199223428965,0.001618595008039847,0.01820849400246516,0.019827089010505006,50.43604734261137,0
3,0.08008771699678618,-0.936232868825094,-1.4217387449792405,1.052812401448385,-1.1784779292396088,-1.3199604193316858,-0.4993355909930628,0.36252135038375854,-1.5824259519577026,-0.76081782579422,-0.3150523006916046,-0.07366615533828735,-0.1294279396533966,0.3947509229183197,-1.2732048034667969,-0.5119428038597107,-0.05976901203393936,-0.18045780062675476,-0.14988726377487183,-1.3949533477156137,1.4683982551848165,-1.3936712110200327,0.05200276979856048,0.06408156337842302,-0.04905096136832128,-0.92976856,-1.4518807,1.0865592,-1.1455978,-1.3495927,-0.50865805,-0.92976856,-1.4518807,1.0865592,-1.1455978,-1.3495927,-0.50865805,-0.93623286485672,-1.4217387437820435,1.0528124570846558,-1.1784778833389282,-1.3199604749679565,-0.4993355870246887,0.16160712,-0.75355005,0.84366673,0.8220018,-0.740804,-0.23306121,-0.3175474,0.5177469135802468,0.03847119592130184,0.012943672839506173,0.021064814180135727,,,False,0,0.3391816990393224,-0.14049567199388002,0.2378048142602871,0.22076621375813943,-0.17874069943486634,0.11292887081832101,0.9999375515825496,0.0067275203761684365,0.008859383632966842,0.001056887452534053,0.21907502,-0.17855854,0.2220977,0.10918207475988012,3.7725010770373046e-05,0.00011551201168913394,0.0005192819953663275,0.00028372000087983906,0.00016288999177049845,9.951599349733442e-05,0.0015747319994261488,0.018278670992003754,0.019853402991429903,50.36919869262055,0
4,0.10048863799602259,-0.9336875120746058,-1.4264585238746186,1.0572274366961878,-1.1742305618575593,-1.3245528380023401,-0.5002697149859827,0.18308553099632263,-1.2811977863311768,-0.6422733664512634,-0.23834888637065887,-0.12027192860841751,-0.17132443189620972,0.2061307579278946,-1.0825111865997314,-0.498547226190567,-0.0790068581700325,-0.15505895018577576,-0.15416403114795685,-2.0138588301825155,0.5064789976408186,0.3428802472119174,0.005313087389150823,0.11400345719620827,-0.03994650301488757,-0.9321245,-1.4546648,1.0916548,-1.1420712,-1.3530623,-0.50987315,-0.9321245,-1.4546648,1.0916548,-1.1420712,-1.3530623,-0.50987315,-0.9336875081062317,-1.426458477973938,1.0572274923324585,-1.1742305755615234,-1.3245528936386108,-0.5002697110176086,0.03907534,-0.70515954,0.86068326,0.803983,-0.71273535,-0.24008664,-0.39926088,0.5981224279835391,0.030485978350043297,0.014953060699588478,0.025887345895171165,,,False,0,0.33745011797152696,-0.13858489621275524,0.23745375270640803,0.22074011586506093,-0.17871469903875897,0.11296785825951791,0.9999396822623003,0.00629895532603385,0.008924179890707365,0.0011465915279360093,0.21907502,-0.17855854,0.2220977,0.1091426504834939,4.0673010516911745e-05,0.00012227200204506516,0.0005617150018224493,0.0003575719892978668,0.00021359699894674122,0.0001004229998216033,0.001838809999753721,0.01840743698994629,0.020246246989700012,49.39187003441851,0
5,0.12009145499905571,-0.9315608183490198,-1.431192548280098,1.061810318623678,-1.1696616572192688,-1.3291881720172327,-0.5013626257525843,0.0909925103187561,-1.0640932321548462,-0.5809834003448486,-0.23705525696277618,-0.11770419776439667,-0.16616059839725494,0.0765884593129158,-0.9768439531326294,-0.474101185798645,-0.08790571242570877,-0.14760595560073853,-0.1552923172712326,-1.8950957912904567,0.2462012506908842,1.27714736528368,0.0023578646847114033,0.10769408526179042,-0.0323380784103854,-0.9324143,-1.457078,1.0965736,-1.138905,-1.3574196,-0.5109092,-0.9324143,-1.457078,1.0965736,-1.138905,-1.3574196,-0.5109092,-0.9315608143806458,-1.4311925172805786,1.0618103742599487,-1.1696616411209106,-1.3291882276535034,-0.5013626217842102,-0.021337101,-0.64713675,0.8690812,0.76891613,-0.7057849,-0.2386649,-0.4561809,0.6408510922751964,0.021362360343337057,0.01602127730687991,0.029906122013926506,,,False,0,0.33558137494726226,-0.1367456125577745,0.23703648586063725,0.2207555624076552,-0.1787280788363151,0.112935681676562,0.9999388164673345,0.006402717328438215,0.00891527943780739,0.001363193502703672,0.21907502,-0.17855854,0.2220977,0.10917507992429135,4.355100099928677e-05,0.0001281200093217194,0.0005750779964728281,0.0003205959947081283,0.00019483600044623017,0.0001241630088770762,0.0017868610011646524,0.017652676993748173,0.019439537994912826,51.44155176227399,0
6,0.14008801900490653,-0.9301970640765589,-1.4352699232152482,1.0667427221881312,-1.1649380189231415,-1.3335774580584925,-0.5025804678546351,0.06166268140077591,-1.3076047897338867,-0.6936537623405457,-0.2996317446231842,-0.09299427270889282,-0.15306821465492249,0.05090460553765297,-0.9447351098060608,-0.4673115313053131,-0.0936940386891365,-0.14715296030044556,-0.15292233228683472,-1.797315244219018,-0.3193794196233556,-0.3123840426393063,-0.011127640995927241,0.1041960983781754,0.01897583602691294,-0.9334994,-1.4584123,1.1013355,-1.1371548,-1.3622712,-0.51156116,-0.9334994,-1.4584123,1.1013355,-1.1371548,-1.3622712,-0.51156116,-0.9301970601081848,-1.4352699518203735,1.0667427778244019,-1.164937973022461,-1.3335775136947632,-0.502580463886261,-0.08255869,-0.5785582,0.8648173,0.69457805,-0.71734154,-0.22451766,-0.456168,0.6156359130609483,0.012239000424742696,0.01539089782652371,0.03204255551099777,,,False,0,0.33362415566776643,-0.13510456538483603,0.2363270892052957,0.2207870663569488,-0.17873398131349552,0.11294418726348314,0.9999485063189935,0.0057667289145676825,0.008212262874847342,0.001531975299009231,0.21907502,-0.17855854,0.2220977,0.10916707420609695,4.287400224711746e-05,0.00012651400174945593,0.0006183389923535287,0.0003502019972074777,0.0001951710000867024,0.00011044999700970948,0.0018401380075374618,0.017999353003688157,0.01983949101122562,50.40451891805985,0
7,0.16009171100449748,-0.9296649138080042,-1.4392012816718598,1.0715954939471644,-1.1605023008636017,-1.3376911322223108,-0.5038889090167444,0.20676261186599731,-1.320471167564392,-0.6699765920639038,-0.27241840958595276,-0.13239404559135437,-0.18129034340381622,0.09005860239267349,-0.9374731183052063,-0.4686409533023834,-0.09840728342533112,-0.1501026451587677,-0.1502847969532013,-2.3344033593449063,0.9226934836789797,-0.03679364044245223,0.03419868814683089,0.09084697435985989,-0.01708587486118674,-0.9342162,-1.4590088,1.1054075,-1.1395601,-1.3678526,-0.51166016,-0.9342162,-1.4590088,1.1054075,-1.1395601,-1.3678526,-0.51166016,-0.9296649098396301,-1.4392012357711792,1.071595549583435,-1.160502314567566,-1.3376911878585815,-0.5038889050483704,-0.11378302,-0.4951896,0.84529674,0.5235548,-0.75403595,-0.19428174,-0.38797137,0.5428937475274379,0.0044795729964971515,0.01357234368818595,0.03078179620206356,,,False,0,0.3316542720373092,-0.13377740968037508,0.23563927838108742,0.22077293113614266,-0.17873677318135459,0.11293080126539443,0.9999337908766753,0.006603104240917112,0.009359952652107503,0.0011166265622231239,0.21907502,-0.17855854,0.2220977,0.10918024232525501,4.4442000216804445e-05,0.0001241569989360869,0.000559845007956028,0.00032218199339695275,0.0002357039920752868,0.00013641201076097786,0.0018270340078743175,0.018019554001512006,0.019846588009386323,50.38649462200032,0
8,0.1800866319972556,-0.9295566717730921,-1.4431327742389222,1.0762727896319788,-1.1561350387385865,-1.341649357472555,-0.5052412191974085,-0.09485223144292831,-1.1707082986831665,-0.6432268619537354,-0.25548815727233887,-0.12988683581352234,-0.18503451347351074,-0.2215082049369812,-0.9173802137374878,-0.46892818808555603,-0.10620468854904175,-0.15513673424720764,-0.1470022350549698,-1.887017494876817,0.4436235891724469,0.35344630330774207,-0.005238796084720355,0.0943398171731873,-0.038052702976296295,-0.93265766,-1.4619069,1.1100327,-1.1410459,-1.3731942,-0.51238084,-0.93265766,-1.4619069,1.1100327,-1.1410459,-1.3731942,-0.51238084,-0.929556667804718,-1.443132758140564,1.0762728452682495,-1.156135082244873,-1.3416494131088257,-0.5052412152290344,-0.07752454,-0.46935317,0.84399563,0.3772297,-0.7886188,-0.17849098,-0.30762574,0.452411456272865,0.0,0.011310286406821626,0.02714468725025654,,,False,0,0.3296784310454307,-0.1326027061515449,0.23501964210687015,0.22077550094590837,-0.1787225737352505,0.1129129871914802,0.9999449247658928,0.006226683529858288,0.008348686187205358,0.0012896895736137421,0.21907502,-0.17855854,0.2220977,0.10919807195669623,3.838200063910335e-05,0.0001138809893745929,0.000583610002649948,0.00025320799613837153,0.00016620999667793512,0.00013633500202558935,0.0016614299966022372,0.01819055899977684,0.019851988996379077,50.372786333016606,0
9,0.20025135400646832,-0.9298794905291956,-1.4466679406217118,1.0809949080096644,-1.152121589784958,-1.3456772009478968,-0.5065344015704554,-0.20789971947669983,-1.1077353954315186,-0.5583854913711548,-0.2757704257965088,-0.1656665951013565,-0.20400016009807587,-0.29387784004211426,-0.8982320427894592,-0.47565823793411255,-0.12830092012882233,-0.16144242882728577,-0.14261497557163239,-1.5851836895376215,-0.024913744678535923,0.495252885331359,-0.020018577757077986,0.09393452241281691,-0.03718823394436131,-0.9324538,-1.466484,1.1151427,-1.1387188,-1.3778455,-0.5132127,-0.9324538,-1.466484,1.1151427,-1.1387188,-1.3778455,-0.5132127,-0.9298794865608215,-1.4466679096221924,1.080994963645935,-1.1521215438842773,-1.3456772565841675,-0.5065343976020813,-0.064357825,-0.49540076,0.8536927,0.33506665,-0.8042056,-0.16695762,-0.21353666,0.3770095468940542,0.0,0.009425238672351356,0.02262057363986969,,,False,0,0.32769427671380713,-0.1316631841876103,0.23429648183894167,0.22071966625165537,-0.17871348712311783,0.11294446789311714,0.9999256948583952,0.007039131626645524,0.009861265502806275,0.0013619667032807128,0.21907502,-0.17855854,0.2220977,0.10916572637780773,0.0001335159904556349,0.00011623100726865232,0.0004885459929937497,0.0002969149936689064,0.0001810690009733662,9.857599798124284e-05,0.001668341996264644,0.018352228013100103,0.020020570009364747,49.948627812906615,0
