step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02010253199841827,1.0161195993423462,-2.2713400326170863,1.8253558317767542,-1.809235235253805,-0.8692200819598597,1.6861419677734375,0.10742399096488953,-0.16684608161449432,-1.0934423208236694,-0.5526895523071289,0.3278954029083252,0.06372743099927902,-5.787162691446365e-17,0.09771116822957993,-0.7610663175582886,-0.23238274455070496,0.03454285115003586,0.0,-1.1877144424617412,7.947035011761816,-3.357752395351241,0.48922068459771656,0.16162127892245517,0.099828770592359,0.9945628,-2.2756515,1.8031828,-1.785738,-0.8802764,1.6965349,0.9945628,-2.2756515,1.8031828,-1.785738,-0.8802764,1.6965349,1.0161195993423462,-2.2713401317596436,1.825355887413025,-1.8092352151870728,-0.8692200779914856,1.6861419677734375,-0.5389199,-0.10778165,-0.55432594,0.58743066,-0.27640733,0.2598239,0.27001098,0.03600146373112996,0.005400219559669495,0.0009000365932782491,0.0,,,False,0,-0.1282291872784097,0.33238754447441654,0.34313980783053,0.3578612475246656,-0.001006935778388376,0.11986593868636754,0.9987301968567193,0.04713001072804084,0.011846159145888338,0.013283209656745435,0.22348888,-0.14674132,0.24128373,0.23245800057829344,3.4860000596381724e-05,0.00011226598871871829,0.0005922700074734166,0.0004696870018960908,0.00019669299945235252,0.00012369800242595375,0.0018775270000332966,0.018223790990305133,0.02010131799033843,49.74798172341951,0
1,0.040090866008540615,1.0159904956817627,-2.2713409862914027,1.8252132574664515,-1.809085031548971,-0.8692167440997522,1.686208724975586,-0.3051718473434448,-0.3213898241519928,-1.4847556352615356,-0.3516942262649536,0.0994880422949791,0.27185094356536865,-0.4400559663772583,-0.06725464761257172,-1.1432822942733765,-0.047811541706323624,-0.13422270119190216,0.17112642526626587,-0.10701887822268041,7.833593675888479,-4.001758565543928,0.4948896481421765,0.13750763937236127,0.1459974527395226,0.9964967,-2.2719145,1.8043343,-1.7841288,-0.87781245,1.7008451,0.9964967,-2.2719145,1.8043343,-1.7841288,-0.87781245,1.7008451,1.0159904956817627,-2.27134108543396,1.8252133131027222,-1.8090850114822388,-0.8692167401313782,1.686208724975586,-0.4873447,-0.014332105,-0.5219743,0.6239055,-0.21489203,0.3659111,0.1782698,0.08977199064360725,0.008965615630149842,0.0022442997660901813,0.0018000731943175197,,,False,0,-0.1281942533070189,0.3323923686435437,0.3431663959412859,0.3578981507519658,-0.000947395273534388,0.1198557137141037,0.9987315030055728,0.04721303800551555,0.011197512840763783,0.013450012978797495,0.22348888,-0.14674132,0.24128373,0.2325220027791201,3.8170997868292034e-05,0.00010891299461945891,0.0005187940114410594,0.0003287730069132522,0.00015236600302159786,9.638500341679901e-05,0.0015697199996793643,0.018263975012814626,0.01983369501249399,50.41924862563745,0
2,0.06008016399573535,1.0145080089569092,-2.2717305622496546,1.8237651030169886,-1.8073603115477503,-0.8699682394610804,1.687016487121582,-0.4186100363731384,-0.31827312707901,-1.6371278762817383,-0.3910343647003174,0.02732313796877861,0.21941912174224854,-0.4306921660900116,-0.13954393565654755,-1.136621117591858,-0.03706410527229309,-0.139211967587471,0.17507295310497284,-0.628535478157347,7.936043611656316,-4.559689415805635,0.5257831144995748,0.16021080079560454,0.1390711241871229,0.99469805,-2.2701244,1.8031628,-1.7825658,-0.87791544,1.7024179,0.99469805,-2.2701244,1.8031628,-1.7825658,-0.87791544,1.7024179,1.0145080089569092,-2.271730661392212,1.8237651586532593,-1.807360291481018,-0.8699682354927063,1.687016487121582,-0.49524873,0.04015576,-0.51505965,0.6198607,-0.19867966,0.3850354,0.11907531,0.15045747149873662,0.011347121894359588,0.003761436787468416,0.004488599486649036,,,False,0,-0.12766922488003388,0.3323758289535806,0.3433889553358638,0.35788544888938306,-0.000965534258727371,0.1198987480804645,0.9987556390466523,0.04675604464890448,0.010963021586778131,0.013449551931722245,0.22348888,-0.14674132,0.24128373,0.23248081503563386,5.2807998144999146e-05,0.00016825500642880797,0.0007466700044460595,0.0002557639963924885,0.00020689799566753209,0.00012217200128361583,0.0019724879966815934,0.017824711991124786,0.01979719998780638,50.512193674657354,0
3,0.08011203299975023,1.011938214302063,-2.2722493610777796,1.820996109639303,-1.8045484028258265,-0.8713005224810999,1.6882694959640503,-0.3304150104522705,-0.2037094235420227,-1.5029314756393433,-0.3142682909965515,0.01771935075521469,0.23410508036613464,-0.30993419885635376,-0.05945100635290146,-1.0544402599334717,-0.05459580570459366,-0.11583758890628815,0.17278188467025757,-0.03467537009619903,8.470164018054426,-3.342891954328907,0.4981983007713978,0.13769633610855686,0.15018079278316415,0.99228466,-2.26932,1.8006682,-1.7796583,-0.8787868,1.7044083,0.99228466,-2.26932,1.8006682,-1.7796583,-0.8787868,1.7044083,1.011938214302063,-2.272249460220337,1.8209961652755737,-1.8045483827590942,-0.8713005185127258,1.6882694959640503,-0.49133968,0.073233716,-0.508199,0.62225246,-0.18715668,0.40346867,0.086927764,0.21261907409370678,0.013085677176713943,0.00531547685234267,0.00752287358045578,,,False,0,-0.12673115186965173,0.332380663237174,0.34386545797620544,0.3578883196384389,-0.0010017106832596388,0.11985570653003066,0.9987223427834016,0.04728810827829728,0.011786747978408948,0.01336172429438031,0.22348888,-0.14674132,0.24128373,0.23248227044081707,3.813700459431857e-05,0.00011146099132020026,0.0005192910030018538,0.00037265699938870966,0.00017775301239453256,9.71060071606189e-05,0.0016402299952460453,0.01824629800103139,0.019886527996277437,50.285298679950074,0
4,0.1003809440007899,1.0089730024337769,-2.2725140057005824,1.817895237599508,-1.8011027775206507,-0.8727934996234339,1.690057396888733,-0.2191309630870819,-0.1939113736152649,-1.4116877317428589,-0.37795063853263855,0.10197651386260986,0.2059391587972641,-0.2566966712474823,-0.003162465989589691,-1.0132497549057007,-0.06644640862941742,-0.10450394451618195,0.16898861527442932,-1.76390571285094,8.33419339988528,-2.8636576783322187,0.49307482368351785,0.17744099658602133,0.09310784906004692,0.98971593,-2.2688696,1.797803,-1.7759991,-0.87979853,1.7068886,0.98971593,-2.2688696,1.797803,-1.7759991,-0.87979853,1.7068886,1.0089730024337769,-2.2725141048431396,1.8178952932357788,-1.8011027574539185,-0.8727934956550598,1.690057396888733,-0.48142642,0.09111372,-0.5023056,0.6275932,-0.17512597,0.4207783,0.07253563,0.27409182646821556,0.014536389708518982,0.006852295661705389,0.010630954056978226,,,False,0,-0.12563474397744703,0.33242130465899977,0.3442767188267033,0.3578903576184382,-0.0009951423716853028,0.11991761543274444,0.9987424871372969,0.04699534941233423,0.010957219515199158,0.013595685893943218,0.22348888,-0.14674132,0.24128373,0.23245523726296802,3.9794002077542245e-05,0.00012769999739248306,0.000621366998529993,0.00031104999652598053,0.0001799669989850372,0.0001979020016733557,0.0018506300111766905,0.01824584699352272,0.02009647700469941,49.75996537931288,0
5,0.12009361600212287,1.0061103105545044,-2.272407194177145,1.8149245421039026,-1.7975675068297328,-0.8739660421954554,1.6920974254608154,-0.2442510426044464,-0.012974679470062256,-1.4646574258804321,-0.4220287799835205,0.0802634209394455,0.20493009686470032,-0.24713747203350067,0.2975180745124817,-1.005230188369751,-0.07424172759056091,-0.10371677577495575,0.16277554631233215,-1.3363834601090554,7.979917938591524,-2.8713518747211135,0.47812735940245493,0.16379124857019708,0.0981410305114993,0.98731846,-2.268231,1.7950833,-1.7722775,-0.88049936,1.7095072,0.98731846,-2.268231,1.7950833,-1.7722775,-0.88049936,1.7095072,1.0061103105545044,-2.272407293319702,1.8149245977401733,-1.7975674867630005,-0.8739660382270813,1.6920974254608154,-0.46979633,0.10440671,-0.49603218,0.6322494,-0.16333376,0.4352454,0.061687443,0.33354411256769145,0.015770138576626777,0.008338602814192287,0.013704591430723667,,,False,0,-0.12460549789381378,0.33250303985607443,0.34458081974045746,0.35789582776108114,-0.0010369617730924031,0.11989082537246912,0.9987336861008459,0.04713381233006927,0.011334857520990905,0.01345049012016918,0.22348888,-0.14674132,0.24128373,0.23244617224969935,4.0547005482949317e-05,0.00013461099297273904,0.0005433009937405586,0.00044046300172340125,0.0002274799917358905,0.00014433499018196017,0.0018869119958253577,0.017673146998276934,0.019560058994102292,51.12459018152849,0
6,0.14018322099582292,1.0033836364746094,-2.272116323510641,1.812108341847555,-1.7940660915770472,-0.8750522772418421,1.6943235397338867,-0.27174121141433716,0.05931251496076584,-1.4806731939315796,-0.3916108012199402,0.028019476681947708,0.18698537349700928,-0.2459498792886734,0.3364812433719635,-1.0099618434906006,-0.076633982360363,-0.10494040697813034,0.16074004769325256,-0.8099784860727679,7.870964440891904,-3.6337913330508105,0.4973845256881081,0.15796107868932682,0.10890844068586926,0.9850504,-2.2674472,1.7925181,-1.7686076,-0.8811065,1.712247,0.9850504,-2.2674472,1.7925181,-1.7686076,-0.8811065,1.712247,1.0033836364746094,-2.2721164226531982,1.8121083974838257,-1.794066071510315,-0.875052273273468,1.6943235397338867,-0.45833132,0.116729796,-0.48975712,0.63646173,-0.15135482,0.4480864,0.051562373,0.38996266732993096,0.016801386028528213,0.009749066683248275,0.01667720638215542,,,False,0,-0.12361944006737054,0.3325977354076528,0.34480374513767525,0.3578964291233596,-0.000950194354196408,0.1198953381139069,0.998734863504019,0.04703155377428354,0.01158729729770782,0.013507421296481135,0.22348888,-0.14674132,0.24128373,0.2324985620369116,3.8968995795585215e-05,0.00012757800868712366,0.0005925250006839633,0.000305986002786085,0.0001809859968489036,9.786899317987263e-05,0.0017119819967774674,0.01822316099423915,0.01993514299101662,50.162670037061204,0
7,0.16009598699747585,1.0006743669509888,-2.2717796764769496,1.8092182318316858,-1.790629049340719,-0.8759701887713831,1.6966382265090942,-0.2593778967857361,0.1087915301322937,-1.4332175254821777,-0.35894763469696045,0.03461166471242905,0.20752198994159698,-0.24459829926490784,0.3234107494354248,-1.0136085748672485,-0.07685313373804092,-0.10512547940015793,0.16049744188785553,-0.5863395914980172,8.48351246725804,-3.4048046900385396,0.5100911479052588,0.13823530112892654,0.12693326605879574,0.9826618,-2.2666824,1.7898684,-1.765145,-0.88172203,1.7148051,0.9826618,-2.2666824,1.7898684,-1.765145,-0.88172203,1.7148051,1.0006743669509888,-2.271779775619507,1.8092182874679565,-1.7906290292739868,-0.875970184803009,1.6966382265090942,-0.4503147,0.12743278,-0.48374793,0.637103,-0.14379641,0.454171,0.039425988,0.44223492799850284,0.01758990578353405,0.011055873199962572,0.019498134031891823,,,False,0,-0.12266733860945099,0.3327005862706308,0.34507522633085835,0.3579529607662134,-0.0010275750817209375,0.1199014639654538,0.998766149345001,0.04641736138621381,0.011209690499877358,0.013634811524746628,0.22348888,-0.14674132,0.24128373,0.23247954118294709,4.555100167635828e-05,0.0001431960117770359,0.0006559989997185767,0.00034517000312916934,0.00021507800556719303,0.00018262999947182834,0.001986122995731421,0.01774747199669946,0.01973359499243088,50.67500373771556,0
8,0.1800888540019514,0.9980677366256714,-2.2712727985777796,1.8064668814288538,-1.7872020206847132,-0.8769915739642542,1.6989628076553345,-0.26723578572273254,0.16486093401908875,-1.4124219417572021,-0.3551951050758362,0.06916986405849457,0.21360865235328674,-0.24224749207496643,0.3167722225189209,-1.014369010925293,-0.076899953186512,-0.1045798733830452,0.16079603135585785,-1.629669077790158,7.98961574427227,-3.077908401572983,0.47594251713049446,0.17118337782529608,0.12231920872827974,0.9802796,-2.2658021,1.7873007,-1.7616862,-0.88250685,1.717356,0.9802796,-2.2658021,1.7873007,-1.7616862,-0.88250685,1.717356,0.9980677366256714,-2.271272897720337,1.8064669370651245,-1.787202000617981,-0.8769915699958801,1.6989628076553345,-0.44470248,0.13676986,-0.47915682,0.63789576,-0.13788131,0.45982832,0.031495508,0.48999454626318467,0.01821981593966484,0.012249863656579617,0.022111745551228523,,,False,0,-0.12171050363123562,0.33281403590104797,0.3452478605711139,0.3578907173177907,-0.001005843883132662,0.1199190953444414,0.9987454045668752,0.046788938217359535,0.011615421778315347,0.01354615625007077,0.22348888,-0.14674132,0.24128373,0.23244796300489023,5.106099706608802e-05,0.00014044999261386693,0.0006740350072504953,0.00028424699848983437,0.0001979689986910671,0.00010467800893820822,0.0018446229951223359,0.017982032004510984,0.01982665499963332,50.43715140140858,0
9,0.20018078800057992,0.9954795241355896,-2.2706462345519007,1.8038418928729456,-1.7837439976134242,-0.8779013792621058,1.701432704925537,-0.2659901976585388,0.10606365650892258,-1.4452662467956543,-0.3249920904636383,0.07672804594039917,0.17748266458511353,-0.24200595915317535,0.3122659921646118,-1.0151602029800415,-0.077951580286026,-0.1041964441537857,0.16047950088977814,-1.0592590982003058,7.8809024741717835,-3.3457041857115994,0.48532268563707914,0.14148555632214618,0.0953908639547123,0.9778561,-2.2647977,1.7848194,-1.758249,-0.8832906,1.7199843,0.9778561,-2.2647977,1.7848194,-1.758249,-0.8832906,1.7199843,0.9954795241355896,-2.270646333694458,1.8038419485092163,-1.783743977546692,-0.8779013752937317,1.701432704925537,-0.44058624,0.1462138,-0.47556394,0.63737273,-0.13472995,0.46378854,0.02148678,0.5326591321070712,0.01864955153316259,0.013316478302676779,0.02449972741305828,,,False,0,-0.1207720652975274,0.3329411255257957,0.3453551253220043,0.3579195194003225,-0.0009849399739860665,0.11994766998210545,0.9987411032080844,0.04668514242610151,0.012085616147946789,0.01380933347423854,0.22348888,-0.14674132,0.24128373,0.23246280707864908,3.8573998608626425e-05,0.00012286599667277187,0.0006390339985955507,0.0002858039952116087,0.00017331399430986494,0.00010139499499928206,0.0016660779947414994,0.018266244005644694,0.019932322000386193,50.16976948198131,0
