step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020098270004382357,-0.46400577226747686,-1.0362780851176758,0.6555727163897913,-1.821205278436178,-2.0628836790667933,-0.7131832281695765,-0.11100230365991592,-1.6883842945098877,-1.0981299877166748,-0.7292329668998718,-0.21749849617481232,0.056519292294979095,-4.150747646038015e-17,-1.1941574811935425,-0.7850035429000854,-0.2433129996061325,-0.02634868025779724,0.0,1.434103751198476,-4.57129829106343,-2.0397772554576,-0.28091133876845886,-0.09335050405365339,0.06195076062790491,-0.4316332,-1.0503291,0.6594657,-1.7937213,-2.0549169,-0.69646615,-0.4316332,-1.0503291,0.6594657,-1.7937213,-2.0549169,-0.69646615,-0.4640057682991028,-1.0362781286239624,0.6555727124214172,-1.8212052583694458,-2.0628836154937744,-0.7131832242012024,0.809314,-0.3512737,0.097323805,0.6870995,0.19916776,0.41792622,0.16331951,0.021775935093561807,0.003266390264034271,0.0005443983773390452,0.0,,,False,0,0.4678894493941133,-0.21295861496186488,0.32186486152594207,0.5063764746123185,0.19538048659099289,0.11982135119215642,0.9997641162144932,0.005980985046700794,0.002027001156251295,0.020781419720765984,0.28960493,-0.09530228,0.28934506,0.40028072241391766,8.820299990475178e-05,0.0001847629901021719,0.000635923002846539,0.00044533799518831074,0.00019840399909298867,0.00013423999189399183,0.002110151996021159,0.017986778999329545,0.020096930995350704,49.75884129926821,0
1,0.04013452101207804,-0.4635880629168909,-1.036452905540802,0.6556361357318323,-1.8209558926024378,-2.0628636519061487,-0.7130397001849573,0.6996487379074097,-2.105713129043579,-1.0000547170639038,-0.3946039080619812,-0.014178656041622162,0.270403116941452,0.8449001908302307,-1.7714983224868774,-0.6872543096542358,-0.0386946015059948,0.15065346658229828,0.1984560191631317,1.756837803718826,-2.3568104205142455,-2.000279786875244,-0.2008719496710907,-0.11222997122254053,0.036583867240960216,-0.43064326,-1.0521992,0.65894926,-1.7926396,-2.051925,-0.6937154,-0.43064326,-1.0521992,0.65894926,-1.7926396,-2.051925,-0.6937154,-0.46358805894851685,-1.0364528894424438,0.6556361317634583,-1.8209558725357056,-2.06286358833313,-0.7130396962165833,0.8236204,-0.3936579,0.08282776,0.7079051,0.27346897,0.4831073,0.23331283,0.07103092504872215,0.007932646870613097,0.0017757731262180538,0.0010887967655435205,,,False,0,0.4679261239270165,-0.21273235887489106,0.32188028926285156,0.5063741542346789,0.19537147502206964,0.1198217625096492,0.9997661161956853,0.006071761440489992,0.0020908792265438127,0.020651659233254474,0.28960493,-0.09530228,0.28934506,0.4002727474705883,4.3827996705658734e-05,0.00013397200382314622,0.0005448399897431955,0.00033808700391091406,0.00017352699069306254,0.0001259179989574477,0.0017680540040601045,0.018096917003276758,0.019864971007336862,50.339867077110924,0
2,0.06007431300531607,-0.4614160696612757,-1.0375191134265442,0.655926529561178,-1.8189565143980921,-2.0623095671283167,-0.7116645018206995,1.0757863521575928,-2.2253828048706055,-0.8836381435394287,-0.3010791540145874,0.09179699420928955,0.2515842318534851,0.6626016497612,-1.680806279182434,-0.5791053771972656,-0.04099824279546738,0.14652900397777557,0.19469858705997467,1.6147778452010007,-0.5862244242100979,-1.6905348179715198,-0.1633968295213964,-0.11995748905553431,0.010095597356187105,-0.42946202,-1.0533525,0.6591258,-1.7915912,-2.0529256,-0.6927338,-0.42946202,-1.0533525,0.6591258,-1.7915912,-2.0529256,-0.6927338,-0.4614160656929016,-1.037519097328186,0.655926525592804,-1.8189564943313599,-2.062309503555298,-0.7116644978523254,0.798851,-0.39583308,0.079981975,0.6841344,0.23459648,0.47326624,0.19443187,0.13800099950145792,0.011821284294128417,0.003450024987536448,0.003551546251401305,,,False,0,0.4680861315642804,-0.21143653684744904,0.3218809260194423,0.5063618393620257,0.19539969346405392,0.1198533409823772,0.9997655205092697,0.005975862818220289,0.001978493438265723,0.020720120719760766,0.28960493,-0.09530228,0.28934506,0.40027319856498694,4.344800254330039e-05,0.0001270489883609116,0.0006399729900294915,0.00033462600549682975,0.0002781369985314086,0.00014431599993258715,0.0019571649900171906,0.01781762100290507,0.01977478599292226,50.56944739416737,0
3,0.08008985500782728,-0.45741492906679326,-1.03929956377063,0.6564849058734339,-1.8153659305968226,-2.0611818472491663,-0.7096007505999964,0.6564378142356873,-2.0637760162353516,-0.9088753461837769,-0.3992019593715668,0.06257057189941406,0.258526086807251,0.4460162818431854,-1.5820963382720947,-0.5703762173652649,-0.0723344013094902,0.1407437026500702,0.18033331632614136,2.222056867121112,-1.8621932272678432,-2.989680109242536,-0.20867453812158884,-0.1408054920835665,0.008567228759784246,-0.42663607,-1.0550076,0.6596237,-1.7893778,-2.053864,-0.6919439,-0.42663607,-1.0550076,0.6596237,-1.7893778,-2.053864,-0.6919439,-0.4574149250984192,-1.0392996072769165,0.6564849019050598,-1.8153659105300903,-2.0611817836761475,-0.7096007466316223,0.7694713,-0.39269784,0.078469165,0.6497016,0.18294214,0.4414215,0.1330882,0.21155448838332552,0.014483048319816588,0.005288862209583138,0.0069000497460365295,,,False,0,0.4684235546451554,-0.209050609491506,0.32178652831924254,0.5063689185307895,0.19530632999443315,0.11981646581307533,0.9997647920847712,0.006172077522471385,0.0023967323040917396,0.020651403183191433,0.28960493,-0.09530228,0.28934506,0.4002248501977885,4.2952000512741506e-05,0.00013999499788042158,0.0005490780022228137,0.0003137559979222715,0.0001710539945634082,0.00012754199269693345,0.0017626159969950095,0.018077754008118063,0.019840370005113073,50.402285831478416,0
4,0.100084711011732,-0.45237523714174444,-1.0415237706950684,0.656905476246969,-1.8115164242186488,-2.0597036520587366,-0.7070134321795862,0.1184266209602356,-1.8427672386169434,-0.8499128818511963,-0.38833487033843994,-0.05910597741603851,0.2510536313056946,0.28629443049430847,-1.494364857673645,-0.5530240535736084,-0.08952312171459198,0.12608039379119873,0.16736069321632385,1.0323143455125936,-5.586602790486781,-2.3634388179645596,-0.3071662494316658,-0.09537091019757289,0.09150663407459558,-0.42270115,-1.0569421,0.6605807,-1.7870258,-2.0545993,-0.6911981,-0.42270115,-1.0569421,0.6605807,-1.7870258,-2.0545993,-0.6911981,-0.45237523317337036,-1.041523814201355,0.656905472278595,-1.8115164041519165,-2.0597035884857178,-0.7070134282112122,0.74185187,-0.38545603,0.091880135,0.61226356,0.12760726,0.39538223,0.062402453,0.28116938955468646,0.015731097385287284,0.007029234738867162,0.010577724315226078,,,False,0,0.4689236365931135,-0.20607720604442342,0.32189135096394395,0.5063791453603979,0.1953240807521588,0.11983568861608863,0.999765899297745,0.005965152866894728,0.0021247893930022286,0.020689668346314218,0.28960493,-0.09530228,0.28934506,0.4002351365613605,4.264099698048085e-05,0.0001293480017920956,0.0005185290065128356,0.00031991499417927116,0.00017055599892046303,0.00012555699504446238,0.0017006249981932342,0.018124541005818173,0.019825166004011407,50.44093955115739,0
5,0.12009280800702982,-0.44758636156191045,-1.0439294141582032,0.6572755018817347,-1.8075224361815394,-2.0583747068988245,-0.7043479124652308,-0.02241472154855728,-1.7160720825195312,-0.7300669550895691,-0.40243250131607056,-0.09468212723731995,0.22529754042625427,0.22765357792377472,-1.449439525604248,-0.541321337223053,-0.096360944211483,0.11273365467786789,0.15602819621562958,0.77150241699614,-6.888198285761405,-1.1249493936854855,-0.31399711347782217,-0.0755962913318596,0.11245826308400184,-0.41888306,-1.0590053,0.66163313,-1.7844075,-2.0556197,-0.69076467,-0.41888306,-1.0590053,0.66163313,-1.7844075,-2.0556197,-0.69076467,-0.4475863575935364,-1.0439294576644897,0.6572754979133606,-1.8075224161148071,-2.0583746433258057,-0.7043479084968567,0.7175822,-0.37689358,0.108941324,0.57787204,0.0688735,0.33958107,-0.008549988,0.3380418087615132,0.015560097619891166,0.00845104521903783,0.014058469794690609,,,False,0,0.4692883189258414,-0.20322436390723458,0.3220935214735349,0.5063495714777604,0.19533272422585157,0.11982046219561214,0.9997650408015908,0.005819777961835453,0.0016224932917311627,0.020816159939064237,0.28960493,-0.09530228,0.28934506,0.40023184542651835,0.0007709380006417632,0.000129769992781803,0.0005314459995133802,0.0003698899963637814,0.00019466599042061716,0.00011572000221349299,0.0025226229918189347,0.017318961006822065,0.019841583998641,50.39920200264719,0
6,0.14008762201410718,-0.4433348814593714,-1.0460736912539979,0.6578310171710413,-1.8036109409727992,-2.0573371092425745,-0.701784912739889,0.13906259834766388,-1.7730004787445068,-0.7867195010185242,-0.4890884757041931,-0.05144539102911949,0.2150970846414566,0.22527457773685455,-1.4315955638885498,-0.5329577326774597,-0.09894254803657532,0.10592148452997208,0.148613840341568,1.8505130189027112,-5.232401132572528,-2.1751980040788554,-0.3038493349977045,-0.11111619230303066,0.08043412670053854,-0.41530648,-1.0607003,0.66267586,-1.7814661,-2.0566003,-0.69049966,-0.41530648,-1.0607003,0.66267586,-1.7814661,-2.0566003,-0.69049966,-0.4433348774909973,-1.0460736751556396,0.6578310132026672,-1.803610920906067,-2.0573370456695557,-0.7017849087715149,0.7007098,-0.36566675,0.12112127,0.55362064,0.018415172,0.28213128,-0.064324886,0.3768588400196333,0.014273599907755851,0.009421471000490834,0.01690209098160267,,,False,0,0.46952527833287366,-0.20069089577981297,0.3221312758596522,0.5063770324617027,0.19533490761857045,0.11982379008057797,0.9997632803243252,0.0061029586905116074,0.002269063330077873,0.020760947708050943,0.28960493,-0.09530228,0.28934506,0.4002468934665002,4.468699626158923e-05,0.00012609100667759776,0.0005108520126668736,0.00046601600479334593,0.00019105299725197256,0.0001499049976700917,0.0018710159929469228,0.01791652101383079,0.01978753700677771,50.53686063391698,0
7,0.16008955900906585,-0.43946820894350225,-1.0481260579875489,0.6584284941302698,-1.8000403843321742,-2.056546990071432,-0.6994579474078577,0.5111890435218811,-1.9128150939941406,-0.8163468837738037,-0.49970582127571106,-0.0022021005861461163,0.17661690711975098,0.23149262368679047,-1.4256787300109863,-0.5276669859886169,-0.09931261092424393,0.1012268140912056,0.1431662142276764,2.33946578134561,-3.0920336696632837,-1.893918358646816,-0.24321344058416203,-0.12221139762514274,0.039800036662898594,-0.41183615,-1.0621151,0.6631902,-1.7784219,-2.0574367,-0.690387,-0.41183615,-1.0621151,0.6631902,-1.7784219,-2.0574367,-0.690387,-0.4394682049751282,-1.0481261014938354,0.6584284901618958,-1.800040364265442,-2.056546926498413,-0.6994579434394836,0.6908014,-0.3497253,0.11904297,0.5404609,-0.022245,0.22677293,-0.09864831,0.3960532581070479,0.012300633713603019,0.009901331452676198,0.018842941150069237,,,False,0,0.4696841704375556,-0.1984023639480845,0.3221926920329238,0.5063902437101947,0.19529792125038267,0.11984332195710029,0.9997656361753793,0.0055762589376030765,0.001509168921981792,0.02086417680030976,0.28960493,-0.09530228,0.28934506,0.40021892002893494,3.6990997614338994e-05,0.00011322200589347631,0.0004675679956562817,0.000251078003202565,0.00019413699919823557,0.000105614002677612,0.0014918619999662042,0.01836526500119362,0.019857127001159824,50.35975244261627,0
8,0.18008811101026367,-0.43527061143984014,-1.0501579207232972,0.6589849630938929,-1.79679598430776,-2.055880371724264,-0.6973856131183069,0.3591863512992859,-1.8715291023254395,-0.8482721447944641,-0.4935057461261749,-0.03683057054877281,0.17334318161010742,0.23292392492294312,-1.414070963859558,-0.5221129059791565,-0.09683167189359665,0.09847892075777054,0.13929127156734467,1.5125051088722459,-3.788618972423576,-2.0347655805652836,-0.25420749797359965,-0.11063850477120005,0.06034015524300394,-0.40778503,-1.0632751,0.6631846,-1.775273,-2.0578077,-0.69019747,-0.40778503,-1.0632751,0.6631846,-1.775273,-2.0578077,-0.69019747,-0.43527060747146606,-1.050157904624939,0.6589849591255188,-1.7967959642410278,-2.055880308151245,-0.6973856091499329,0.6871397,-0.32792935,0.1049899,0.5380762,-0.048185233,0.17970401,-0.10929485,0.39747596029270155,0.010114736780524252,0.00993689900731754,0.01980266347527504,,,False,0,0.46991801392506694,-0.19599826678848756,0.3223322773088838,0.5063944519057642,0.19528506417124386,0.11974834389494035,0.9997577096527521,0.005599457193850904,0.0026848901626856866,0.02111815199712527,0.28960493,-0.09530228,0.28934506,0.4002520993772585,0.00010329100769013166,0.00011750099656637758,0.0004595339996740222,0.0003073129919357598,0.00015400401025544852,0.00010759700671769679,0.001588515006005764,0.018260472003021277,0.01984898700902704,50.38040478061747,0
9,0.20008853200124577,-0.43098146120180303,-1.052358703022339,0.6596024672137659,-1.7936283550658167,-2.0555198828326624,-0.6956799666034144,0.07989978045225143,-1.8318289518356323,-0.8134424686431885,-0.47609978914260864,-0.20300237834453583,0.17878401279449463,0.2326277196407318,-1.4022610187530518,-0.521503746509552,-0.0943584069609642,0.04085925966501236,0.13670437037944794,0.6065305903356193,-6.418972932745441,-2.456497551641539,-0.3364302623868137,-0.08474214915016862,0.10923304600935277,-0.40344107,-1.0643444,0.6631038,-1.7718906,-2.057772,-0.6897433,-0.40344107,-1.0643444,0.6631038,-1.7718906,-2.057772,-0.6897433,-0.43098145723342896,-1.0523587465286255,0.6596024632453918,-1.7936283349990845,-2.0555198192596436,-0.6956799626350403,0.6885096,-0.2996413,0.08753327,0.54344195,-0.056303456,0.14841759,-0.10029326,0.38528911126842486,0.00810887165367603,0.009632227781710622,0.01987379789352417,,,False,0,0.470091558628335,-0.19359291408671825,0.32257554784260195,0.5063859198989966,0.19530936341058727,0.119837574999211,0.9997646598718967,0.0060120246163784955,0.001818601995411887,0.020764314398811774,0.28960493,-0.09530228,0.28934506,0.400227320258053,3.8941012462601066e-05,0.00011368900595698506,0.00048265198711305857,0.0002882490080082789,0.00017328999820165336,0.00011014800111297518,0.00153945799684152,0.01831640099408105,0.01985585899092257,50.362968454659466,0
