step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02008485799888149,-0.1483834425555628,-1.762068887750143,2.116471592579977,-2.7432805500426234,-1.368251148854391,-0.11396247545351201,-0.11074338853359222,-0.8161596655845642,-1.147040843963623,-0.7562107443809509,0.11220599710941315,-0.036840252578258514,2.8458513700176476e-17,-1.1081446409225464,-1.7490817308425903,-1.3103922605514526,0.21421919763088226,0.06193172559142113,-4.695473172506784,0.962825498457722,0.3562555492032504,-0.03307121229324689,0.5089124981687703,-0.36042455918705874,-0.14897953,-1.7302465,2.1340125,-2.7207475,-1.3683546,-0.107807554,-0.14897953,-1.7302465,2.1340125,-2.7207475,-1.3683546,-0.107807554,-0.14838343858718872,-1.7620688676834106,2.116471529006958,-2.7432806491851807,-1.3682512044906616,-0.11396247893571854,-0.014902134,0.7955584,0.43852302,0.5633316,-0.0025838923,0.15387304,-0.47455126,0.0,0.0,0.0,0.0,,,False,0,0.4026241736323644,0.12050626607525344,0.22056638326899128,0.3845027959255493,0.08503946634240314,0.03520458743700567,0.011263012291136631,-0.0013359958235319791,-0.0016578781767558406,0.9999342737019674,-0.00210151,0.3807613,0.2076555,0.5163851357532869,3.138999454677105e-05,0.00010095100151374936,0.000425910999183543,0.00024051099899224937,0.00013884399959351867,0.00010246400779578835,0.001427693001460284,0.01865627999359276,0.020083972995053045,49.79094525999978,0
1,0.04008502000942826,-0.1483672300921839,-1.7616096935667933,2.116669480000631,-2.74294437984609,-1.3682549635516565,-0.113899056111471,-0.20760342478752136,0.10996334999799728,-0.23921115696430206,-0.13858245313167572,0.017196692526340485,0.15002000331878662,-0.09340401738882065,-0.08331407606601715,-0.8824321031570435,-0.5788067579269409,0.11702807992696762,0.20540344715118408,-6.1476796216206315,0.8210338656391082,7.62422472857988,-0.06181001419105556,0.7373769946243135,-0.3418191244461538,-0.14946513,-1.7295026,2.134728,-2.7235506,-1.371718,-0.108843595,-0.14946513,-1.7295026,2.134728,-2.7235506,-1.371718,-0.108843595,-0.14836722612380981,-1.761609673500061,2.1166694164276123,-2.7429444789886475,-1.3682550191879272,-0.11389905959367752,-0.027447427,0.8026789,0.45146364,0.4848467,-0.086576,0.1263866,-0.45419216,0.0,0.0,0.0,0.0,,,False,0,0.4025875728394095,0.12051707612156912,0.2202306452157488,0.38447005081114555,0.08504749038100329,0.035271316873075775,0.011255082012472994,-0.0011114401631847843,-0.0020807614499218467,0.9999339038883626,-0.00210151,0.3807613,0.2076555,0.5163337431742316,3.490799281280488e-05,0.0001083069946616888,0.00042705200030468404,0.00029831400024704635,0.0001597969967406243,0.00018082400492858142,0.001517413998953998,0.018344085008720867,0.019861499007674865,50.348667017206544,0
2,0.060081287010689266,-0.14839536348451787,-1.759130140344137,2.118674103413717,-2.74068607906484,-1.3683107534991663,-0.11346465746034795,-0.2334846556186676,-0.005533792078495026,-0.6995049715042114,-0.3305727243423462,0.0607743039727211,0.1595684289932251,-0.11164137721061707,-0.3293316066265106,-1.0775223970413208,-0.7289403080940247,0.14082659780979156,0.2083098441362381,-2.5594785900369685,1.695686320992651,1.0643421381646565,0.050267472740042396,0.49616087664554,-0.3125194281707232,-0.14978433,-1.7270225,2.1367235,-2.721217,-1.371808,-0.10840996,-0.14978433,-1.7270225,2.1367235,-2.721217,-1.371808,-0.10840996,-0.1483953595161438,-1.7591301202774048,2.1186740398406982,-2.7406861782073975,-1.368310809135437,-0.11346466094255447,-0.034724265,0.80269057,0.45123875,0.48673218,-0.08743204,0.12636752,-0.45516342,0.0,0.0,0.0,0.0,,,False,0,0.40219498690350497,0.12055184190581952,0.21791883479705715,0.3845198505596511,0.08501033666779167,0.035233835396556785,0.011096497128861293,-0.0010372050527675063,-0.0019020759891549138,0.9999360695533129,-0.00210151,0.3807613,0.2076555,0.5164048199796167,3.4383992897346616e-05,0.00011167699994985014,0.000426749000325799,0.0003732530021807179,0.0001614030043128878,0.00015253199671860784,0.001593098000739701,0.018262520999996923,0.019855619000736624,50.36357717998623,0
3,0.08008219100884162,-0.1484153906451624,-1.7552057705321253,2.120730225239889,-2.7379752598204554,-1.3683074156390589,-0.11268407503236944,-0.28753185272216797,-0.3581819236278534,-0.8555223941802979,-0.5636956095695496,-0.022290457040071487,0.16163203120231628,-0.1462482213973999,-0.6272075772285461,-1.314014196395874,-1.0156497955322266,0.08114895969629288,0.20396816730499268,-3.5258466765677046,0.35928358033183605,-0.6564750740325531,0.043327576753414754,0.4382246986955235,-0.23372549557848465,-0.1500823,-1.7231164,2.1387444,-2.7184665,-1.3719692,-0.10766477,-0.1500823,-1.7231164,2.1387444,-2.7184665,-1.3719692,-0.10766477,-0.14841538667678833,-1.755205750465393,2.12073016166687,-2.7379753589630127,-1.3683074712753296,-0.11268407851457596,-0.041672833,0.8022326,0.45035297,0.48771966,-0.09154506,0.12548268,-0.45632824,0.0,0.0,0.0,0.0,,,False,0,0.40182409590055135,0.12060038573557136,0.21494089973781147,0.38448102397086825,0.08503255527685864,0.03522110609849082,0.011369582433075232,-0.001097910778809912,-0.0016404307551353484,0.999933400720481,-0.00210151,0.3807613,0.2076555,0.5163672773791727,3.312599437776953e-05,0.00012026900367345661,0.0005130509962327778,0.0002465969882905483,0.00017228900105692446,0.0001040539937093854,0.0015031929942779243,0.018355820007855073,0.019859013002132997,50.3549698009963,0
4,0.1004090950009413,-0.1487029234515589,-1.7508169613280238,2.1224377791034144,-2.7359687290587367,-1.3685386816607874,-0.11188203493227178,-0.14045944809913635,-0.4686938524246216,-0.5493183135986328,-0.33129802346229553,-0.0652565211057663,0.16503721475601196,-0.1812998205423355,-0.7916272282600403,-1.4289226531982422,-1.1334125995635986,0.057434480637311935,0.202499657869339,-6.5506070993480625,0.9355929767615457,2.955117750578946,0.03527450285942572,0.6216753121057492,-0.24788536481146586,-0.15058908,-1.7187513,2.1404276,-2.7164075,-1.372345,-0.10689653,-0.15058908,-1.7187513,2.1404276,-2.7164075,-1.372345,-0.10689653,-0.14870291948318481,-1.7508169412612915,2.1224377155303955,-2.735968828201294,-1.368538737297058,-0.1118820384144783,-0.047153946,0.8016402,0.44974932,0.48903254,-0.09515548,0.12463785,-0.4576676,0.0,0.0,0.0,0.0,,,False,0,0.4016230075236713,0.12046583530081022,0.21209164959431934,0.384476135421321,0.0851123756019144,0.035275786359302244,0.011601122015022558,-0.001006177193036961,-0.002040274136221182,0.9999301123456893,-0.00210151,0.3807613,0.2076555,0.5162996484922839,3.154799924232066e-05,0.0001058409980032593,0.0005133219965500757,0.0002870659955078736,0.0001719230058370158,0.00011176400585100055,0.0015328539884649217,0.018645634001586586,0.020178487990051508,49.5577270454072,0
5,0.12008466600673273,-0.14895803133119756,-1.7462765179076136,2.125162426625387,-2.733030458489889,-1.3690808455096644,-0.111152474080221,-0.14126461744308472,-0.5275816917419434,-0.8021004796028137,-0.494113028049469,-0.026736587285995483,0.1746348738670349,-0.21888168156147003,-0.848118245601654,-1.467808485031128,-1.1650471687316895,0.07510232925415039,0.20289917290210724,-4.258062436375024,2.7000679200926374,-0.038843259738393865,0.09220837975570281,0.4876831929319305,-0.2912373276310233,-0.15114751,-1.7142304,2.143024,-2.713428,-1.3730232,-0.10618599,-0.15114751,-1.7142304,2.143024,-2.713428,-1.3730232,-0.10618599,-0.1489580273628235,-1.7462764978408813,2.125162363052368,-2.7330305576324463,-1.369080901145935,-0.11115247756242752,-0.054737028,0.80115247,0.44653904,0.49006143,-0.0985552,0.12416227,-0.45954412,0.0,0.0,0.0,0.0,,,False,0,0.40112429173783715,0.12031545550977107,0.2085415779891253,0.3846864410809281,0.08487307744445066,0.03519863290015314,0.010999446162149429,-0.00020434372459712715,-0.0026425591284322016,0.999935989160599,-0.00210151,0.3807613,0.2076555,0.5166199079382249,0.00016060000052675605,0.00014704700151924044,0.0007830930117052048,0.00024649799161124974,0.00017627299530431628,8.724001236259937e-05,0.002097698990837671,0.01741525300894864,0.01951295199978631,51.248012090172274,0
6,0.1400807020108914,-0.14900237718691045,-1.7417594395079554,2.127932373677389,-2.7301022015013636,-1.369376007710592,-0.11043197313417608,-0.27673807740211487,-0.3352968394756317,-0.8662140965461731,-0.4771607220172882,-0.10050148516893387,0.203351229429245,-0.23244144022464752,-0.8646582365036011,-1.4868849515914917,-1.1806600093841553,0.08280149102210999,0.20359022915363312,-2.8899693551864667,0.3929689623670324,-0.1405873167586691,0.03867167909002972,0.4492678182069016,-0.22833797611111895,-0.15146993,-1.7097325,2.1456435,-2.7104702,-1.3734506,-0.10548533,-0.15146993,-1.7097325,2.1456435,-2.7104702,-1.3734506,-0.10548533,-0.14900237321853638,-1.7417594194412231,2.12793231010437,-2.730102300643921,-1.3693760633468628,-0.1104319766163826,-0.061688922,0.8006725,0.44277775,0.4908018,-0.1018653,0.12366617,-0.46164346,0.0,0.0,0.0,0.0,,,False,0,0.4005591337544446,0.12031395779541336,0.20500173757120438,0.38485998822220346,0.08489727390392122,0.03517565259562389,0.011183237870409812,-0.00013953705323531363,-0.0023960226393628763,0.9999345983905777,-0.00210151,0.3807613,0.2076555,0.5167436692645286,3.2701005693525076e-05,0.00010610600293148309,0.0004176749935140833,0.0002584979956736788,0.00023529901227448136,0.00016163400141522288,0.0015234859893098474,0.018340835013077594,0.01986432100238744,50.34151430999391,0
7,0.16008637699997053,-0.14926082292665654,-1.7371241054930628,2.1303423086749476,-2.7274142704405726,-1.3698537985431116,-0.10974103609193975,-0.23100273311138153,-0.4794861674308777,-0.7502719759941101,-0.4454425573348999,-0.13436080515384674,0.176204115152359,-0.23455564677715302,-0.8602906465530396,-1.4749823808670044,-1.1700525283813477,0.08284860104322433,0.20289362967014313,-4.5309073209658735,0.4353671269581997,0.7165671797820155,0.029133959032967983,0.4981076521649639,-0.22045222341528886,-0.15195021,-1.705116,2.1478746,-2.7077568,-1.3740268,-0.10480335,-0.15195021,-1.705116,2.1478746,-2.7077568,-1.3740268,-0.10480335,-0.14926081895828247,-1.7371240854263306,2.1303422451019287,-2.72741436958313,-1.3698538541793823,-0.10974103957414627,-0.0672349,0.8002001,0.4383084,0.4914376,-0.10432249,0.12344215,-0.4638277,0.0,0.0,0.0,0.0,,,False,0,0.40008636412875176,0.12017392857264567,0.20162521639872,0.38518580786812917,0.08476851013446109,0.035034542410239164,0.011426380250031454,0.000678696252695914,-0.003077127953497804,0.9999297748094675,-0.00210151,0.3807613,0.2076555,0.5171084916662876,3.574100264813751e-05,0.00010768900392577052,0.0004493079904932529,0.0002588950010249391,0.0001543489925097674,0.00010055900202132761,0.0014460699894698337,0.01842330300132744,0.019869372990797274,50.328714472427556,0
8,0.18011915200622752,-0.14970714250673467,-1.7324878178038539,2.132972065602438,-2.7245823345580042,-1.370631519948141,-0.1090315024005335,-0.11900970339775085,-0.5808137059211731,-0.8275347352027893,-0.4545572102069855,-0.048072732985019684,0.1815558522939682,-0.2300894856452942,-0.8572978973388672,-1.4599945545196533,-1.157045602798462,0.08618909865617752,0.20150166749954224,-4.636064200790313,1.5067452362312308,-0.4749164002927555,0.07023033056954048,0.4614323085163843,-0.250937035782535,-0.15260723,-1.7004969,2.1503313,-2.704923,-1.3749003,-0.10411374,-0.15260723,-1.7004969,2.1503313,-2.704923,-1.3749003,-0.10411374,-0.1497071385383606,-1.7324877977371216,2.132972002029419,-2.7245824337005615,-1.3706315755844116,-0.10903150588274002,-0.072502166,0.7997711,0.4339808,0.4914871,-0.1067201,0.122944005,-0.4660998,0.0,0.0,0.0,0.0,,,False,0,0.39954723494331457,0.1199019700215472,0.19812359811408953,0.38534915503599765,0.08472644693646454,0.03487725510333274,0.011483282460829969,0.0001265767445155488,-0.0023859535168639437,0.9999311978695309,-0.00210151,0.3807613,0.2076555,0.5173074259046314,3.436699626035988e-05,0.0001241529971593991,0.0005099709960632026,0.00024710501020308584,0.00016650499310344458,0.00010736200783867389,0.001503239996964112,0.01839092400041409,0.0198941639973782,50.26599761275656,0
9,0.2000939450081205,-0.14997941652406865,-1.7280446491637171,2.135540787373678,-2.721758028069967,-1.3712313810931605,-0.10835296312441045,-0.18789395689964294,-0.5605405569076538,-0.8254179358482361,-0.4923326373100281,-0.04140971228480339,0.20584796369075775,-0.2300340235233307,-0.8562760949134827,-1.4547828435897827,-1.1530903577804565,0.08810307830572128,0.20058830082416534,-3.3009662509185356,1.8142471550475077,-0.7107302525772707,0.08268140249914321,0.4208858478251166,-0.2514014244865881,-0.15318951,-1.6960769,2.1527414,-2.7020833,-1.375636,-0.10345719,-0.15318951,-1.6960769,2.1527414,-2.7020833,-1.375636,-0.10345719,-0.14997941255569458,-1.7280446290969849,2.135540723800659,-2.7217581272125244,-1.3712314367294312,-0.10835296660661697,-0.08025248,0.79919374,0.43001783,0.49187136,-0.11011461,0.12239435,-0.46841216,0.0,0.0,0.0,0.0,,,False,0,0.3989600900376161,0.11974582807180824,0.19473802912543373,0.38530795955013136,0.08476872285263275,0.034925949846919796,0.011520977332331095,0.0009458418644933192,-0.0023637094246501227,0.9999303774335226,-0.00210151,0.3807613,0.2076555,0.5172361155611661,3.3800009987317026e-05,0.00010117000783793628,0.00040772899228613824,0.00028670599567703903,0.00023334599973168224,0.00011862200335599482,0.001474903998314403,0.01836543600074947,0.019840339999063872,50.402362058673546,0
