step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02009213500423357,-0.9397533575641077,-1.415244848733284,1.0457051436053675,-1.1848936837962647,-1.3126042524920862,-0.49796849886049444,0.10035961121320724,-1.0711973905563354,-1.1983020305633545,-0.4311317801475525,0.16808748245239258,-0.0480850413441658,-4.046019632171656e-17,-0.8099872469902039,-0.7934012413024902,-0.2556643486022949,0.017634989693760872,0.0,-1.548063820463801,1.2770399028479407,0.5090603274463218,0.022099403185109848,0.069259164887801,-0.012338672394958455,-0.9269257,-1.4395498,1.0801473,-1.177869,-1.3392295,-0.50441974,-0.9269257,-1.4395498,1.0801473,-1.177869,-1.3392295,-0.50441974,-0.9397533535957336,-1.4152448177337646,1.0457051992416382,-1.1848937273025513,-1.312604308128357,-0.49796849489212036,0.32069138,-0.60762507,0.8610528,0.17561962,-0.66562766,-0.16128133,-0.063243516,0.16666666666666666,0.04873513042926789,0.004166666666666667,0.0,,,False,0,0.34190834418491983,-0.143238524829591,0.238690509636465,0.21784133840529513,-0.18752015930735016,0.11294144109657532,0.9217294684779284,0.018861661363326516,0.006947853362416539,-0.38731215534373564,0.2166109,-0.18153992,0.2220977,0.10932687208522607,3.910998930223286e-05,0.00011456600623205304,0.0006161729979794472,0.0003973889979533851,0.0001887620019260794,0.00010681600542739034,0.0018243719969177619,0.01826658600475639,0.020090958001674153,49.77363448356576,0
1,0.040107102002366446,-0.9395630995379847,-1.4155265253833313,1.0460541884051722,-1.1849141281894227,-1.3128975073443812,-0.4979928175555628,0.39288169145584106,-1.5577903985977173,-0.6474257111549377,-0.14238524436950684,-0.11265497654676437,-0.25018373131752014,0.4527255594730377,-1.3871021270751953,-0.3957968056201935,-0.07773467898368835,-0.20828823745250702,-0.16185235977172852,-3.1567361801987053,2.9331099868002704,1.0329722958284067,0.05994146727276292,0.12821100386669512,-0.03669944354719674,-0.9328464,-1.4440087,1.0719608,-1.1681514,-1.3415325,-0.50561213,-0.9328464,-1.4440087,1.0719608,-1.1681514,-1.3415325,-0.50561213,-0.9395630955696106,-1.4155265092849731,1.0460542440414429,-1.1849141120910645,-1.3128975629806519,-0.4979928135871887,0.1679164,-0.7120553,0.647665,0.41906923,-0.7158736,-0.19048253,-0.0076327957,0.3055555555555556,0.04858247451484204,0.0076388888888888895,0.008333333767950535,,,False,0,0.34183770777203343,-0.1431535138267594,0.23866622958651498,0.21780960000600963,-0.1875229311228422,0.11296956897272709,0.9217269427594806,0.019035207926051678,0.007136163330982323,-0.38730636390123385,0.2166109,-0.18153992,0.2220977,0.10929858712022686,4.443999205250293e-05,0.0001348220102954656,0.0005889059975743294,0.0003314760106150061,0.00019828900985885412,0.00013565699919126928,0.0018379370012553409,0.018002311000600457,0.019840248001855798,50.40259576928993,0
2,0.060095374006778,-0.9386127630816858,-1.4174028945020218,1.0484545866595667,-1.18440534294162,-1.3149541060077112,-0.4985573927508753,0.516398012638092,-1.6259819269180298,-0.5095419883728027,-0.10200302302837372,-0.15624384582042694,-0.18622973561286926,0.388657808303833,-1.3064870834350586,-0.4024277329444885,-0.08599880337715149,-0.20509283244609833,-0.16023051738739014,-2.9208062399772485,3.694826469772755,1.8659832024812744,0.10115801670832807,0.13502776480489406,-0.066829098350741,-0.93370533,-1.445152,1.0775234,-1.1683633,-1.3422855,-0.5061879,-0.93370533,-1.445152,1.0775234,-1.1683633,-1.3422855,-0.5061879,-0.9386127591133118,-1.4174028635025024,1.0484546422958374,-1.1844053268432617,-1.314954161643982,-0.4985573887825012,0.12268603,-0.6937286,0.726718,0.40104985,-0.683285,-0.19076312,-0.09456013,0.4212962962962963,0.04669127188622952,0.010532407407407407,0.015277777798473835,,,False,0,0.34120724150452975,-0.14258061518643475,0.23842500334854552,0.21779904807060566,-0.1875292122719587,0.11295249415089437,0.9218114167917085,0.018850933452773038,0.007106961107329166,-0.38711475065549744,0.2166109,-0.18153992,0.2220977,0.10931586407482181,4.281599831301719e-05,0.0001240900019183755,0.0006596200109925121,0.000292309996439144,0.00020357599714770913,0.00012499000877141953,0.0018070790101774037,0.017994492998695932,0.019801572008873336,50.501041005829606,0
3,0.08009088900871575,-0.9369929472552698,-1.4204838883927842,1.052854363118307,-1.1831295651248475,-1.3183391729937952,-0.49940282503236944,0.2284325510263443,-1.529880166053772,-0.7833580374717712,-0.27656540274620056,-0.1399051696062088,-0.20055343210697174,0.21882984042167664,-1.2529566287994385,-0.5461662411689758,-0.08438633382320404,-0.17869527637958527,-0.15498334169387817,-1.7529851394653284,0.6329307333206631,-0.8804630435017187,0.024756106324429476,0.07848445898143298,-0.043408768644111924,-0.93286395,-1.4467113,1.0841703,-1.1688055,-1.3448534,-0.50666827,-0.93286395,-1.4467113,1.0841703,-1.1688055,-1.3448534,-0.50666827,-0.9369929432868958,-1.420483946800232,1.0528544187545776,-1.1831295490264893,-1.318339228630066,-0.49940282106399536,0.10322481,-0.65568393,0.7828985,0.35810298,-0.66285485,-0.1816363,-0.16678514,0.5177469135802468,0.04335556916892529,0.012943672839506173,0.021064814180135727,,,False,0,0.3400736675452698,-0.1414837277832975,0.23786589779262163,0.2177758624809345,-0.18750736523575562,0.11286953915419261,0.9216289478610252,0.019357585075280855,0.006377691980033144,-0.38753669324538803,0.2166109,-0.18153992,0.2220977,0.10939724640861867,0.00011014999472536147,0.00011994500528089702,0.0005198660073801875,0.0003253030008636415,0.0001832389971241355,9.840600250754505e-05,0.001706359995296225,0.01813955001125578,0.019845910006552003,50.388215993615624,0
4,0.10049414599779993,-0.9356277624713343,-1.4243294310620804,1.0570009390460413,-1.1815298658660431,-1.322169605885641,-0.5003693739520472,0.10854559391736984,-1.2905749082565308,-0.7129524350166321,-0.23045308887958527,-0.15723834931850433,-0.23644350469112396,0.15442100167274475,-1.1110670566558838,-0.5317803621292114,-0.09247584640979767,-0.15728254616260529,-0.15056276321411133,-2.31106282639056,0.1076738879185773,0.1181893402086035,-0.006487269062682489,0.1048339797051767,-0.038950593884046765,-0.9313395,-1.4486008,1.0896916,-1.1690791,-1.348441,-0.5071647,-0.9313395,-1.4486008,1.0896916,-1.1690791,-1.348441,-0.5071647,-0.9356277585029602,-1.424329400062561,1.057000994682312,-1.1815298795700073,-1.3221696615219116,-0.5003693699836731,0.10720612,-0.60678405,0.81726575,0.31127068,-0.65678316,-0.16988325,-0.21549366,0.5981224279835391,0.03904569588601589,0.014953060699588478,0.025887345895171165,,,False,0,0.33875721463895264,-0.14045486105470098,0.2375673423063869,0.2177740258067585,-0.18749008761842753,0.11284982163998403,0.9216679254536789,0.01977863243975985,0.0066175526028942585,-0.3874187399639901,0.2166109,-0.18153992,0.2220977,0.10941597297551077,4.174299829173833e-05,0.0001239120028913021,0.0006249860016396269,0.00028873200062662363,0.00018110800010617822,0.00010207000013906509,0.0017403870006091893,0.01850893799564801,0.0202493249962572,49.384362203917206,0
5,0.12012454400246497,-0.9347136656390589,-1.4283116620830079,1.0611494223224085,-1.1794127088836213,-1.3261430899249476,-0.501446549092428,0.13201704621315002,-1.1710727214813232,-0.6170344352722168,-0.2815296947956085,-0.13739793002605438,-0.17694680392742157,0.16616761684417725,-1.0125287771224976,-0.4851233959197998,-0.10522131621837616,-0.14697131514549255,-0.14656850695610046,-2.209026665554682,0.3552410483067815,1.1424096174017055,0.005279159628770136,0.10603204272160242,-0.03705746539506886,-0.9302756,-1.4505478,1.0946707,-1.1693058,-1.3527542,-0.50788903,-0.9302756,-1.4505478,1.0946707,-1.1693058,-1.3527542,-0.50788903,-0.9347136616706848,-1.4283117055892944,1.0611494779586792,-1.1794127225875854,-1.3261431455612183,-0.501446545124054,0.110951655,-0.5559033,0.8380293,0.25267243,-0.6652785,-0.16106233,-0.24612796,0.665102023319616,0.03412313662469387,0.0166275505829904,0.029906122013926506,,,False,0,0.3372689863814274,-0.1394944496048981,0.23726231309170845,0.2178022911223313,-0.187457292869069,0.11283964919502319,0.9216520134702492,0.020081259132178973,0.007198238196434008,-0.38743065925473386,0.2166109,-0.18153992,0.2220977,0.10942465554122044,9.00470040505752e-05,0.00012801800039596856,0.0005570429930230603,0.0003167449904140085,0.0002333330048713833,0.00018591299885883927,0.0019318099948577583,0.017531627003336325,0.019463436998194084,51.37838707997899,0
6,0.1401577479991829,-0.9341877142535608,-1.431989924316742,1.0656073729144495,-1.177143083219864,-1.3300769964801233,-0.5024965445147913,0.24238738417625427,-1.2730861902236938,-0.7054987549781799,-0.33513572812080383,-0.015595337375998497,-0.16618338227272034,0.19694648683071136,-0.9684382677078247,-0.46696072816848755,-0.11432493478059769,-0.14582933485507965,-0.14402422308921814,-0.7777366368322484,0.8301172610248219,-0.09933310474741311,0.028298787518258053,0.056235615749373385,-0.028570523514964728,-0.92972594,-1.4523928,1.0996531,-1.1686836,-1.3568921,-0.5088724,-0.92972594,-1.4523928,1.0996531,-1.1686836,-1.3568921,-0.5088724,-0.9341877102851868,-1.4319899082183838,1.0656074285507202,-1.1771430969238281,-1.330077052116394,-0.5024965405464172,0.11154369,-0.5100721,0.85114247,0.21148697,-0.6703765,-0.15939687,-0.27699164,0.7209183527663466,0.028583303913474085,0.018022958819158667,0.03325510025024414,,,False,0,0.3356963965020063,-0.13861403776848943,0.23676816927350894,0.2178091304197359,-0.18743286098575143,0.11289131744284955,0.921579286471885,0.019343718516703225,0.00653248337474278,-0.387652923017932,0.2166109,-0.18153992,0.2220977,0.10937182160736995,4.457100294530392e-05,0.00012570600665640086,0.0005646570061799139,0.0002810159930959344,0.0001486569963162765,9.644399688113481e-05,0.0016385499911848456,0.01822250300028827,0.019861052991473116,50.34979768843711,0
7,0.1601075400103582,-0.9336174170123499,-1.4354570370963593,1.0700324217425745,-1.175422654753067,-1.3337562719928187,-0.5034626165973108,0.30328240990638733,-1.2159000635147095,-0.6613130569458008,-0.25692710280418396,-0.07342250645160675,-0.19148242473602295,0.21364378929138184,-0.9537144899368286,-0.46626585721969604,-0.12096332758665085,-0.1492554098367691,-0.14335478842258453,-1.7686024014880768,1.5960474921121492,0.802105199436796,0.04102510491890219,0.08813227286305005,-0.062113225326321075,-0.9293937,-1.4541353,1.1043754,-1.1686794,-1.3608235,-0.50986886,-0.9293937,-1.4541353,1.1043754,-1.1686794,-1.3608235,-0.50986886,-0.9336174130439758,-1.4354569911956787,1.0700324773788452,-1.1754226684570312,-1.3337563276290894,-0.5034626126289368,0.10559289,-0.46695876,0.85857147,0.16858292,-0.67667985,-0.16015589,-0.30343404,0.7508627808454233,0.022514623031020167,0.018771569521135584,0.03604591637849808,,,False,0,0.33426407879365905,-0.13780569390358904,0.23627722487416428,0.2178131111690071,-0.18749240259588,0.11283491989243903,0.9215683714049354,0.01960052173333067,0.006635439388907798,-0.387664254352696,0.2166109,-0.18153992,0.2220977,0.10943140014455983,3.9077000110410154e-05,0.00011579999409150332,0.0007496890029869974,0.00034072299604304135,0.0002754460001597181,0.0001277759874938056,0.0020052799955010414,0.017791752004995942,0.019797032000496984,50.512622294841776,0
8,0.1800448680005502,-0.9328792730914515,-1.4387600731900712,1.0746248404132288,-1.1737320584109803,-1.3373501936541956,-0.5043848196612757,0.1763685941696167,-1.2436658143997192,-0.6540651917457581,-0.34433668851852417,-0.10314139723777771,-0.18969015777111053,0.2148011028766632,-0.9480064511299133,-0.4692322313785553,-0.12165062129497528,-0.15210817754268646,-0.14423193037509918,-1.9022627448442946,0.035246647454747856,0.6403883946407105,-0.009502170574111606,0.09468915979919806,-0.03545276035669756,-0.92943966,-1.4554802,1.1093355,-1.1709429,-1.3649348,-0.5110209,-0.92943966,-1.4554802,1.1093355,-1.1709429,-1.3649348,-0.5110209,-0.9328792691230774,-1.4387600421905518,1.0746248960494995,-1.173732042312622,-1.3373502492904663,-0.5043848156929016,0.08599004,-0.41800302,0.8677675,0.06972986,-0.6896143,-0.16590199,-0.3207857,0.7330450440746711,0.01609890900552273,0.018326126101866777,0.03754314035177231,,,False,0,0.3328645363289027,-0.1369256558421607,0.23569832782470662,0.2177572572736586,-0.18750611624077584,0.11287492481795114,0.9216280745282822,0.019362180552887572,0.006332851783809106,-0.3875392162339736,0.2166109,-0.18153992,0.2220977,0.10939160438846368,5.695599247701466e-05,0.0001591239997651428,0.0007963420066516846,0.00028645498969126493,0.00023298899759538472,0.00011035001080017537,0.002099221004755236,0.017608958994969726,0.019708179999724962,50.74035248378874,0
9,0.2001344760064967,-0.9322579542743128,-1.441753627066948,1.0793359915362757,-1.1724275809577485,-1.3411596457110804,-0.5053098837481897,0.1796824038028717,-1.1868259906768799,-0.6500651836395264,-0.35370659828186035,-0.12206719815731049,-0.19540108740329742,0.21050992608070374,-0.9481171369552612,-0.47545143961906433,-0.12338810414075851,-0.1531250923871994,-0.14520612359046936,-2.1408811029795047,0.05935670952494425,0.3924895302447974,-0.009183098611409934,0.0998096749185613,-0.03411643985519654,-0.9299661,-1.4581679,1.1141889,-1.1745142,-1.3690276,-0.5127661,-0.9299661,-1.4581679,1.1141889,-1.1745142,-1.3690276,-0.5127661,-0.9322579503059387,-1.441753625869751,1.0793360471725464,-1.1724275350570679,-1.341159701347351,-0.5053098797798157,0.057296645,-0.4103571,0.87132174,-0.052167233,-0.69669855,-0.18640628,-0.28899714,0.6796639776314436,0.010318966135382654,0.01699159944078609,0.036652252078056335,,,False,0,0.33146363070143225,-0.13619225686001038,0.2350120377762537,0.21781518256355614,-0.1875283619812313,0.11295676367758643,0.9217372780793955,0.018652726904180777,0.006683287527851187,-0.38730841889620365,0.2166109,-0.18153992,0.2220977,0.10931173119234881,5.8222998632118106e-05,0.00012965100177098066,0.0005388290010159835,0.00027713300369214267,0.00015200598863884807,9.73579881247133e-05,0.0016864589997567236,0.01819104999594856,0.019877508995705284,50.30811457391663,0
