step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02013312600320205,1.0161385536193848,-2.2713362179198207,1.8253563086139124,-1.8092624149718226,-0.869211498891012,1.6861610412597656,0.13481763005256653,-0.19497127830982208,-1.0552878379821777,-0.5722115635871887,0.28861916065216064,-0.02373231016099453,5.600009438261547e-18,0.09767235815525055,-0.7610746026039124,-0.23238542675971985,0.0345441997051239,0.0,-1.2229340816028602,8.122647366046934,-3.227792459428548,0.5106115915530127,0.10115124382236285,0.022167874458146684,0.9849286,-2.2511892,1.8218563,-1.7978048,-0.87085015,1.6926715,0.9849286,-2.2511892,1.8218563,-1.7978048,-0.87085015,1.6926715,1.0161385536193848,-2.271336317062378,1.825356364250183,-1.8092623949050903,-0.8692114949226379,1.6861610412597656,-0.78024846,0.50367725,-0.087501355,0.2864398,-0.040966716,0.16276233,0.2437938,0.03250584006309509,0.004875876009464264,0.0008126460015773773,0.0,,,False,0,-0.1282356216823073,0.3323878493317608,0.3431447305881178,0.3519097813515985,-0.0033895760671979235,0.11958446130305618,0.9988274341176624,0.04671978744911372,0.01084096405802078,0.0065937452946587816,0.22316495,-0.14723349,0.24128373,0.22820388924729287,3.484899934846908e-05,0.00014526399900205433,0.0005208060028962791,0.00022017299488652498,0.0001379390014335513,0.00012616800086107105,0.001504831001511775,0.01862696099851746,0.020131792000029236,49.672676928042364,0
1,0.04013358900556341,1.0159114599227905,-2.2711497745909632,1.8253205458270472,-1.8092113933958949,-0.8691681067096155,1.6861932277679443,-0.5133727192878723,0.33393192291259766,-1.0581856966018677,-0.3306914269924164,0.20871271193027496,0.1434476524591446,-0.6149917244911194,0.666463315486908,-0.8090856075286865,-0.03578950837254524,-0.010063395835459232,0.1391223520040512,0.45257240483245953,9.33875898334742,-2.8124065095774053,0.5301859237709876,0.07036979053279627,0.08464346111498408,0.98501927,-2.247645,1.8226467,-1.8003806,-0.8774583,1.6924962,0.98501927,-2.247645,1.8226467,-1.8003806,-0.8774583,1.6924962,1.0159114599227905,-2.2711498737335205,1.8253206014633179,-1.8092113733291626,-0.8691681027412415,1.6861932277679443,-0.7723049,0.5876222,-0.06684771,0.2207696,-0.2072544,0.15757251,0.24172257,0.0918237159649531,0.00971032738685608,0.002295592899123828,0.0016252920031547546,,,False,0,-0.12815266846017032,0.33244392718174925,0.34311389726599856,0.35190700729415075,-0.003417445024744733,0.1195443002500129,0.9988419082566871,0.04647250507033415,0.010353211349466103,0.00692657905600738,0.22316495,-0.14723349,0.24128373,0.22820618036247778,3.791300696320832e-05,0.00011576199904084206,0.0004658750112866983,0.00028795898833777755,0.00021017300605308264,0.00010107400885317475,0.0015490469959331676,0.018299845003639348,0.019848891999572515,50.38064593336177,0
2,0.06012214500515256,1.0138537883758545,-2.269862314263815,1.8250086943255823,-1.8084403477110804,-0.8693059126483362,1.6866484880447388,-0.638224184513092,0.6470361948013306,-1.1362419128417969,-0.3222348392009735,0.02559340000152588,0.1822686493396759,-0.5648272633552551,0.6119521856307983,-0.9505820870399475,-0.043171025812625885,-0.13498328626155853,0.1612129956483841,1.388864902327858,9.913605325022798,-1.847289663137556,0.5048472511549583,0.08544915700171946,0.17912148592026497,0.9834447,-2.2445989,1.8230767,-1.8005626,-0.8806662,1.6928567,0.9834447,-2.2445989,1.8230767,-1.8005626,-0.8806662,1.6928567,1.0138537883758545,-2.269862413406372,1.825008749961853,-1.8084403276443481,-0.8693059086799622,1.6866484880447388,-0.76022744,0.63159084,-0.048300467,0.19694275,-0.28400716,0.15520447,0.23162498,0.17213860932323669,0.014342826902866364,0.004303465233080918,0.004591185599565506,,,False,0,-0.12734623675096723,0.3328557773774839,0.34279763701328,0.35188998897406837,-0.0034055781214514767,0.11956768330602988,0.998845026333632,0.04638507713018097,0.010414657607734207,0.006967474594812747,0.22316495,-0.14723349,0.24128373,0.2281915857518311,6.470200605690479e-05,0.00011570999049581587,0.0005770079878857359,0.0002546960022300482,0.00015271099982783198,0.00010057099279947579,0.001645381998969242,0.018141442007618025,0.019786824006587267,50.538681683684466,0
3,0.08010859100613743,1.0100314617156982,-2.2671824894347132,1.824704949055807,-1.807211538354391,-0.8699286619769495,1.6874090433120728,-0.4232546091079712,0.42524850368499756,-1.23605477809906,-0.33686959743499756,-0.04906705021858215,0.18552148342132568,-0.393805593252182,0.4737357497215271,-0.9705214500427246,-0.07712079584598541,-0.13052533566951752,0.15121816098690033,1.5011660436208032,8.750712103836399,-2.1732898661985973,0.46834121107643445,0.11247264746995439,0.20258755538424608,0.9800322,-2.2407932,1.823509,-1.7995034,-0.88286096,1.6941125,0.9800322,-2.2407932,1.823509,-1.7995034,-0.88286096,1.6941125,1.0100314617156982,-2.2671825885772705,1.8247050046920776,-1.8072115182876587,-0.8699286580085754,1.6874090433120728,-0.74998194,0.65973324,-0.029901989,0.19270207,-0.32330802,0.16758688,0.21907279,0.2682773923156438,0.018724282681941987,0.0067069348078910955,0.008606930263340473,,,False,0,-0.12573181312612602,0.3336712448626186,0.3420379390172533,0.35188487648176897,-0.003443980846977627,0.11957808156726099,0.9988166135980923,0.04692259690752354,0.010676776108251669,0.007043041693488777,0.22316495,-0.14723349,0.24128373,0.2281589515393561,3.6928002373315394e-05,0.00011435399937909096,0.0004791020037373528,0.0002302559878444299,0.0001503790117567405,0.0001004779915092513,0.0014424429973587394,0.018403156005661003,0.019845599003019743,50.38900563534707,0
4,0.1005455440026708,1.0054280757904053,-2.2636338673033656,1.8245294729815882,-1.8058387241759242,-0.8712647596942347,1.688321590423584,-0.23789432644844055,0.12866365909576416,-1.3940759897232056,-0.42842379212379456,0.13126826286315918,0.16741420328617096,-0.3385641872882843,0.45174288749694824,-0.9644566774368286,-0.08406165987253189,-0.13496971130371094,0.14999684691429138,-1.9854692497628765,8.26609629149576,-3.4348439787514504,0.4861438688085391,0.19772222602043785,0.08160150094103383,0.9758673,-2.2368028,1.8238487,-1.7972876,-0.8836614,1.6961365,0.9758673,-2.2368028,1.8238487,-1.7972876,-0.8836614,1.6961365,1.0054280757904053,-2.263633966445923,1.8245295286178589,-1.805838704109192,-0.8712647557258606,1.688321590423584,-0.7390208,0.670781,-0.017020622,0.21377832,-0.30991656,0.19537164,0.19618072,0.37455047363024435,0.02264789700508118,0.009363761840756109,0.0134138697758317,,,False,0,-0.12362621269536568,0.334689872532481,0.3409305446822877,0.3518794542943992,-0.00347170349210495,0.11962968042950996,0.9988504978227413,0.04655322327152754,0.009337123022369831,0.006579648619791411,0.22316495,-0.14723349,0.24128373,0.2281108996605821,7.773599645588547e-05,0.0001767270005075261,0.000957021999056451,0.0003484839980956167,0.00020480000239331275,0.00018266199913341552,0.0023985479929251596,0.01781625600415282,0.02021480399707798,49.46869631506437,0
5,0.12013701000250876,1.0008389949798584,-2.2599030933775843,1.824249569569723,-1.8046251736082972,-0.872744385396139,1.6892828941345215,-0.1285463273525238,0.07302660495042801,-1.413055181503296,-0.3817022740840912,0.10509966313838959,0.17998260259628296,-0.2485237419605255,0.3325008153915405,-0.9895914196968079,-0.09809311479330063,-0.12694808840751648,0.1466621607542038,-2.3641136040412625,7.580179804816877,-3.121424496304854,0.4719633734101867,0.20042610818091966,0.05927295418594508,0.9717749,-2.233007,1.8239454,-1.7945871,-0.8831569,1.6986601,0.9717749,-2.233007,1.8239454,-1.7945871,-0.8831569,1.6986601,1.0008389949798584,-2.2599031925201416,1.8242496252059937,-1.804625153541565,-0.8727443814277649,1.6892828941345215,-0.72660273,0.67240685,-0.0076068803,0.25095096,-0.26031312,0.23443212,0.16155703,0.47879206135853697,0.02587903767824173,0.011969801533963424,0.01872752420604229,,,False,0,-0.1214662387240396,0.3357274844520842,0.33983154966045526,0.3519049018615106,-0.0034125946886007794,0.11956000389567786,0.9988354055171069,0.046663222665019745,0.010220801449036514,0.006779856909791187,0.22316495,-0.14723349,0.24128373,0.22819967248284315,8.545500168111175e-05,0.00012480698933359236,0.0005621669988613576,0.0002797740016831085,0.0001650360063649714,0.00014589000784326345,0.001717270992230624,0.017714550005621277,0.0194318209978519,51.461980846290494,0
6,0.1401401769981021,0.9966006278991699,-2.256346365014547,1.823932949696676,-1.8034311733641566,-0.8743651548968714,1.6902483701705933,-0.30611005425453186,0.24466648697853088,-1.3687365055084229,-0.4394444525241852,0.07347777485847473,0.1937265247106552,-0.23962140083312988,0.3187505602836609,-0.9526891708374023,-0.09684296697378159,-0.11619412153959274,0.14820297062397003,-1.0243606215629457,8.150339070522655,-3.172199986011615,0.46821187387565316,0.21198862110395156,0.1361874972147414,0.9678073,-2.2296643,1.8236562,-1.7922232,-0.88267547,1.7008595,0.9678073,-2.2296643,1.8236562,-1.7922232,-0.88267547,1.7008595,0.9966006278991699,-2.2563464641571045,1.8239330053329468,-1.8034311532974243,-0.8743651509284973,1.6902483701705933,-0.71983325,0.66705525,-0.006919832,0.28019845,-0.20775844,0.2652787,0.14012103,0.5656600511321142,0.02868145823478699,0.014141501278302854,0.023939603939652443,,,False,0,-0.11940829212179317,0.33667672650536645,0.3387680147535334,0.35189600774181706,-0.003397959591080385,0.11952487347425507,0.9988299243805091,0.04671537694935058,0.010515579157098552,0.006774627020597312,0.22316495,-0.14723349,0.24128373,0.22822261953774564,3.8263999158516526e-05,0.00011495800572447479,0.0004775780107593164,0.00023527300800196826,0.0002060330007225275,9.612699795980006e-05,0.001495377000537701,0.018364474992267787,0.01985985199280549,50.35284252683575,0
7,0.1601394830067875,0.9924882650375366,-2.2527295551695765,1.8237531820880335,-1.8022777042784632,-0.8760221640216272,1.6913371086120605,-0.39733055233955383,0.3783174157142639,-1.2487846612930298,-0.39828017354011536,0.003955475986003876,0.22034600377082825,-0.2995620667934418,0.3706311285495758,-0.8521579504013062,-0.07764909416437149,-0.106858029961586,0.1608334481716156,0.5689319355593212,9.361005715353159,-2.508149122554442,0.5153393910930959,0.11286776913248651,0.15365666700378838,0.9634419,-2.2264302,1.8231221,-1.7908701,-0.8835586,1.702287,0.9634419,-2.2264302,1.8231221,-1.7908701,-0.8835586,1.702287,0.9924882650375366,-2.252729654312134,1.8237532377243042,-1.802277684211731,-0.8760221600532532,1.6913371086120605,-0.72615856,0.6574866,-0.01577803,0.28519088,-0.18841092,0.27374503,0.15110444,0.6380500426100951,0.031703546941280365,0.01595125106525238,0.028283001855015755,,,False,0,-0.11737454281591174,0.3376060829146759,0.3376407906816544,0.35188851807647087,-0.0034353826282300316,0.11954267268067052,0.9988189199016245,0.04685547749573635,0.010907028397495886,0.006810891147063968,0.22316495,-0.14723349,0.24128373,0.2281853141426419,6.0860998928546906e-05,0.0001229129993589595,0.0005802530067740008,0.00036119201104156673,0.00017815499450080097,9.893899550661445e-05,0.0017450619925512,0.018050701008178294,0.019795763000729494,50.51586038705096,0
8,0.18010784000216518,0.9880133867263794,-2.2484990559019984,1.8237703482257288,-1.800746580163473,-0.8778203169452112,1.6926928758621216,-0.24059657752513885,0.1367092728614807,-1.3662163019180298,-0.4253460764884949,0.10047072917222977,0.18803393840789795,-0.3018580377101898,0.34327512979507446,-0.83529132604599,-0.079586923122406,-0.10245786607265472,0.1624569147825241,-0.9112727121588875,8.47377295621689,-3.2594355860743054,0.4973952650533043,0.16444297384351758,0.12318197456082411,0.95872915,-2.2224858,1.8228968,-1.7893885,-0.8852163,1.703935,0.95872915,-2.2224858,1.8228968,-1.7893885,-0.8852163,1.703935,0.9880133867263794,-2.2484991550445557,1.8237704038619995,-1.8007465600967407,-0.8778203129768372,1.6926928758621216,-0.73210675,0.6503348,-0.02183948,0.28395152,-0.18490008,0.2810533,0.15596038,0.6983750355084126,0.03482275456190109,0.017459375887710318,0.0319025032222271,,,False,0,-0.11514447620716628,0.338621767009817,0.3362186475367558,0.35187372509209003,-0.003469252109255184,0.11955381851425896,0.9988254487747061,0.04680038411270794,0.010654923039975402,0.006627406891801836,0.22316495,-0.14723349,0.24128373,0.2281496792099203,5.137499829288572e-05,0.00011374900350347161,0.00046052799734752625,0.0002629390073707327,0.00015079400327522308,0.00010010000551119447,0.0014776280004298314,0.018348084995523095,0.019825712995952927,50.43954788431228,0
9,0.200081429007696,0.9834104776382446,-2.244261404077047,1.8237856070147913,-1.7991143665709437,-0.8792064825641077,1.6942628622055054,-0.204819455742836,0.00900840014219284,-1.4851963520050049,-0.43484315276145935,0.09401410073041916,0.18943756818771362,-0.2945701479911804,0.32566699385643005,-0.8641523122787476,-0.08793175965547562,-0.10525688529014587,0.15826158225536346,-2.3459292923419266,7.5113100697341135,-3.3594647679826912,0.47733650276026013,0.18872313780526076,0.04586779241488933,0.95389396,-2.2184567,1.8225697,-1.7878363,-0.88669306,1.7058287,0.95389396,-2.2184567,1.8225697,-1.7878363,-0.88669306,1.7058287,0.9834104776382446,-2.2442615032196045,1.823785662651062,-1.7991143465042114,-0.8792064785957336,1.6942628622055054,-0.73791355,0.64511853,-0.030398889,0.28194994,-0.18716455,0.28914464,0.15780725,0.7486458629236772,0.03797889947891235,0.01871614657309193,0.03491875156760216,,,False,0,-0.11295715821452165,0.3396340044629822,0.33482395181407915,0.3518969674987097,-0.003408175103166729,0.11954106702004279,0.9988288138789893,0.04670954639842505,0.010522642839748608,0.006965838138775117,0.22316495,-0.14723349,0.24128373,0.2282080835879415,7.894598820712417e-05,0.00016421600594185293,0.0005411020101746544,0.0003569389955373481,0.0001759690057951957,0.00011547599569894373,0.001834470996982418,0.017927493012393825,0.019761964009376243,50.602257929704805,0
