step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02013574799639173,-0.46399051347841436,-1.0362625879100342,0.6555879751788538,-1.821240564385885,-2.0629146734820765,-0.7131674925433558,-0.12562169134616852,-1.7187042236328125,-1.2565226554870605,-0.6958394646644592,-0.22938187420368195,0.012313643470406532,-3.1299240520863236e-17,-1.1941516399383545,-0.7849964499473572,-0.24331292510032654,-0.02634967304766178,0.0,-3.064707059291028,-4.095191250128533,-1.2172516560320927,-0.2539489371709418,0.04124284386322433,0.17442242978519587,-0.44149297,-1.0406729,0.65663195,-1.8475422,-2.0396347,-0.722991,-0.44149297,-1.0406729,0.65663195,-1.8475422,-2.0396347,-0.722991,-0.4639905095100403,-1.0362626314163208,0.6555879712104797,-1.8212405443191528,-2.0629146099090576,-0.7131674885749817,0.56243867,-0.110256955,0.026098907,-0.6575393,0.5819973,-0.2455882,0.023811478,0.0031748637557029724,0.0004762295633554459,7.937159389257432e-05,0.0,,,False,0,0.46789351636927995,-0.21295912865957367,0.3218605351636679,0.5037164762483792,0.19415722170144573,0.11988409278330026,0.9995808706537449,0.006782853655865643,0.0021225324161721253,0.028063505219696763,0.28956422,-0.09542596,0.28934506,0.3980409866399707,3.583199577406049e-05,0.00012509699445217848,0.0007812080002622679,0.0005194859986659139,0.00023552599304821342,0.00016446001245640218,0.0022095190070103854,0.017924971994943917,0.020134491001954302,49.6660183713081,0
1,0.04012715800490696,-0.4637668768512171,-1.0362982910922547,0.655623737965719,-1.8213874302306117,-2.0627411047564905,-0.7132461706744593,0.42626407742500305,-2.0187013149261475,-1.2962939739227295,-0.9774808287620544,0.013920841738581657,-0.156503826379776,0.6291024684906006,-1.505192756652832,-0.7983352541923523,-0.4788230359554291,0.1910487860441208,-0.16936814785003662,-2.062526565066469,-2.7183416141902126,-1.877328570855962,-0.2280075508826897,0.012961474510458544,0.13043483226800712,-0.44277883,-1.0413108,0.6570693,-1.8480543,-2.039133,-0.72293854,-0.44277883,-1.0413108,0.6570693,-1.8480543,-2.039133,-0.72293854,-0.463766872882843,-1.0362982749938965,0.655623733997345,-1.8213874101638794,-2.0627410411834717,-0.7132461667060852,0.5247009,-0.12531298,0.036139235,-0.66667265,0.5901986,-0.24230924,0.032379642,0.010137869169314702,0.001123822405934334,0.00025344672923286756,0.00015874319069553167,,,False,0,0.4679764912748316,-0.21283160747845242,0.3218774441751705,0.5037214334113957,0.1941503238798574,0.11986886395738745,0.9995776911756418,0.006343613578873409,0.0014910303758378961,0.028319285768012622,0.28956422,-0.09542596,0.28934506,0.3980451192030606,3.7460995372384787e-05,0.00011381000513210893,0.0004957989876857027,0.00025120400823652744,0.0001524949911981821,9.993099956773221e-05,0.0014625769981648773,0.01837925601284951,0.019841833011014387,50.398569499344674,0
2,0.06013276299927384,-0.46246654192079717,-1.036576585178711,0.6557038466082972,-1.8232623539366664,-2.0611708799945276,-0.7139218489276331,0.7416384816169739,-2.071871280670166,-1.1726585626602173,-1.026566743850708,0.14632387459278107,-0.23291359841823578,0.4894925355911255,-1.5473254919052124,-0.6715386509895325,-0.483934223651886,0.2027204930782318,-0.1727524846792221,-1.9200502171903013,-1.1563766671412012,-2.452994726565337,-0.2322831368799777,0.04632105246955173,0.017186533384220173,-0.44184962,-1.040655,0.6576495,-1.8489393,-2.039059,-0.7229126,-0.44184962,-1.040655,0.6576495,-1.8489393,-2.039059,-0.7229126,-0.4624665379524231,-1.0365766286849976,0.6557038426399231,-1.823262333869934,-2.061170816421509,-0.713921844959259,0.5154231,-0.10195892,0.048642162,-0.64192384,0.5527989,-0.22476979,0.0076055615,0.016954448550111714,0.00127593363635242,0.0004238612137527929,0.0005068934406153858,,,False,0,0.4686457870234674,-0.21205189169116212,0.3222078429474591,0.5037236505066506,0.19418914619264305,0.11988316363359028,0.9995757727089818,0.006430257651632151,0.0015530710897109735,0.02836470635423282,0.28956422,-0.09542596,0.28934506,0.3980684682122987,3.792700590565801e-05,0.00011484800779726356,0.0004900769999949262,0.00021443500008899719,0.00014829199062660336,0.0001684809976723045,0.0014848330029053614,0.018375804997049272,0.019860637999954633,50.350849756301095,0
3,0.08008898800471798,-0.4599822203265589,-1.0371936720660706,0.6558430830584925,-1.826646467248434,-2.0582545439349573,-0.7151530424701136,0.6145319938659668,-1.9619791507720947,-1.0238112211227417,-0.9042375087738037,0.1160764992237091,-0.1717090904712677,0.37468063831329346,-1.4741897583007812,-0.5468230247497559,-0.43398794531822205,0.16728636622428894,-0.15781037509441376,-2.1726323320377006,-2.0188391404170902,-1.3714921500976565,-0.212644569264507,0.05701029529515464,0.03424575401321464,-0.43931344,-1.0405576,0.6579715,-1.852192,-2.0364325,-0.72380537,-0.43931344,-1.0405576,0.6579715,-1.852192,-2.0364325,-0.72380537,-0.4599822163581848,-1.0371936559677124,0.6558430790901184,-1.8266464471817017,-2.0582544803619385,-0.7151530385017395,0.5167194,-0.08409916,0.053209834,-0.63864094,0.5455517,-0.21630865,-0.0073483,0.021655158039734317,0.0011289676371961832,0.000541378950993358,0.0008477224037051201,,,False,0,0.4698737623480204,-0.210553660113931,0.32286138026371947,0.5037277830913297,0.19408783103878507,0.11989330881048073,0.9995847193075182,0.006531041961725335,0.0014310596432023832,0.028030009686227257,0.28956422,-0.09542596,0.28934506,0.39799266650664994,3.7771009374409914e-05,0.00011263901251368225,0.0005859129887539893,0.0002446770085953176,0.00019928599067497998,0.00010423400090076029,0.0015931969974189997,0.018216930009657517,0.019810127007076517,50.4792321443867,0
4,0.10053463200165424,-0.45651466051210576,-1.0379160207561036,0.6560261885272425,-1.8304454288878382,-2.054763142262594,-0.716534439717428,0.19876106083393097,-1.814346432685852,-0.9242561459541321,-0.9193904995918274,-0.03273562714457512,-0.16465598344802856,0.29536721110343933,-1.4259876012802124,-0.5335485339164734,-0.41049128770828247,0.15098872780799866,-0.1509057879447937,-3.0456382902790895,-5.0647749944942495,-1.3247601161670908,-0.2971672330101925,0.09579119949911899,0.11793630626032806,-0.43587747,-1.0409943,0.6581894,-1.8562396,-2.0326931,-0.7250751,-0.43587747,-1.0409943,0.6581894,-1.8562396,-2.0326931,-0.7250751,-0.4565146565437317,-1.0379160642623901,0.6560261845588684,-1.830445408821106,-2.054763078689575,-0.716534435749054,0.5159294,-0.07695694,0.05408152,-0.6448548,0.5517493,-0.21351781,-0.012597441,0.023892757182158986,0.0008770188223570586,0.0005973189295539747,0.0010827579535543919,,,False,0,0.4714143639565029,-0.20850675500437543,0.32358602377370216,0.5037803985581356,0.19415454628161413,0.11986708297932311,0.9995782113374563,0.006325454159380617,0.00180898308940817,0.02828555015357956,0.28956422,-0.09542596,0.28934506,0.39808067665192864,6.30730064585805e-05,0.00021188599930610508,0.0008794559980742633,0.0002996489929500967,0.00027372498880140483,0.00015089800581336021,0.0023745130019960925,0.017830476004746743,0.020204989006742835,49.49272675507414,0
5,0.12013511300028767,-0.45320398012270147,-1.0386322897723694,0.6561787764178675,-1.8344561062254847,-2.05141526857485,-0.7178972403155726,0.03913070634007454,-1.7132225036621094,-0.8048940300941467,-0.7960353493690491,-0.00973084382712841,-0.18319611251354218,0.2125004380941391,-1.397684931755066,-0.5270832180976868,-0.38938581943511963,0.13539744913578033,-0.14522503316402435,-3.4056525506155833,-5.854123929687824,-0.7027889982847437,-0.29804555297320806,0.10100822685424954,0.1294475341755634,-0.43272433,-1.0417254,0.65836847,-1.8605366,-2.0290046,-0.72641474,-0.43272433,-1.0417254,0.65836847,-1.8605366,-2.0290046,-0.72641474,-0.4532039761543274,-1.0386322736740112,0.6561787724494934,-1.8344560861587524,-2.051415205001831,-0.7178972363471985,0.51199144,-0.07732948,0.05474206,-0.6520129,0.5602637,-0.21293753,-0.013110072,0.024009413487247264,0.0006148173753172159,0.0006002353371811816,0.0011946378508582711,,,False,0,0.4729147217336932,-0.20655831459965396,0.32437935053943856,0.5036734929185809,0.1942044544577918,0.11989682846774465,0.9995824738170845,0.005780626797105908,0.0006378880247895956,0.02830254201498284,0.28956422,-0.09542596,0.28934506,0.39804680698811096,7.42659904062748e-05,0.00013133700122125447,0.000554484999156557,0.00034903800406027585,0.00016757599951233715,0.00012330101162660867,0.0018768129957607016,0.01754010800505057,0.01941692100081127,51.501471317631584,0
6,0.14007546000357252,-0.4503138701068323,-1.039141909485199,0.6565054098712366,-1.8381768665709437,-2.0482314268695276,-0.7191961447345179,0.1666511446237564,-1.7322354316711426,-0.8186805844306946,-0.7973724603652954,0.00906645692884922,-0.17562054097652435,0.22399796545505524,-1.4051439762115479,-0.5315424799919128,-0.38705679774284363,0.13394740223884583,-0.14428463578224182,-3.282488793966599,-5.088934815504613,-0.578840158274142,-0.2903132500925536,0.09988445177983349,0.12860019644151535,-0.42985234,-1.0423003,0.6585701,-1.8646419,-2.0253582,-0.7278134,-0.42985234,-1.0423003,0.6585701,-1.8646419,-2.0253582,-0.7278134,-0.45031386613845825,-1.0391418933868408,0.6565054059028625,-1.8381768465042114,-2.048231363296509,-0.7191961407661438,0.5115385,-0.07896156,0.051617183,-0.66162544,0.57183146,-0.21543151,-0.010177134,0.022749675927502936,0.00041127470321953294,0.0005687418981875735,0.0012004707241430879,,,False,0,0.47429039436536263,-0.20482383118850656,0.3249615506241057,0.5037298078610005,0.19416583431186762,0.11988931761005862,0.9995823077010378,0.0065018578411319364,0.0018190735480377725,0.028099516404096758,0.28956422,-0.09542596,0.28934506,0.39805220089868293,4.302199522498995e-05,0.00012599500769283623,0.0005890290049137548,0.00033319600333925337,0.00025141899823211133,0.00012046800111420453,0.0017999370029428974,0.01798093599791173,0.019780873000854626,50.553886067454926,0
7,0.16007831000024453,-0.4476278463946741,-1.039484516983368,0.6569402853595179,-1.841747900048727,-2.0451634565936487,-0.72040301958193,0.43280911445617676,-1.8776363134384155,-0.8793041110038757,-0.8705860376358032,0.07659856975078583,-0.20881524682044983,0.29030436277389526,-1.4420082569122314,-0.5435774326324463,-0.4098665416240692,0.15212152898311615,-0.15047049522399902,-2.451677717175294,-3.327988086497149,-1.616498571438639,-0.26572374976690366,0.06243505795990034,0.07994987895347985,-0.42729622,-1.0425994,0.659069,-1.8683226,-2.0221763,-0.7289639,-0.42729622,-1.0425994,0.659069,-1.8683226,-2.0221763,-0.7289639,-0.44762784242630005,-1.0394845008850098,0.6569402813911438,-1.8417478799819946,-2.04516339302063,-0.7204030156135559,0.50829035,-0.07787318,0.05321838,-0.66436875,0.5746794,-0.21402213,-0.012723191,0.020003469199722863,0.00015681088902056215,0.0005000867299930716,0.0011374837486073375,,,False,0,0.4756064984545722,-0.20320031171347763,0.32540061008795873,0.5036977544588018,0.19410668579908824,0.11986534210938778,0.9995762888460389,0.006391037625980431,0.001278640198707329,0.028369287001063913,0.28956422,-0.09542596,0.28934506,0.39800213315231925,4.099399666301906e-05,0.00011858399375341833,0.0005290780100040138,0.000253075995715335,0.00017567200120538473,0.00012264400720596313,0.0015862619911786169,0.018252113004564308,0.019838374995742925,50.40735444382859,0
8,0.18007731100078672,-0.4445532003985804,-1.0398633045009156,0.6572569052325647,-1.8456469974913539,-2.0417569319354456,-0.7216818968402308,0.4221712052822113,-1.9230327606201172,-0.8536633253097534,-0.8671980500221252,0.06545138359069824,-0.20116810500621796,0.27728667855262756,-1.4354294538497925,-0.5389540195465088,-0.4123157858848572,0.15598854422569275,-0.1517525166273117,-2.5793268175123942,-3.0277909162978096,-1.246676806802166,-0.24220833856734209,0.06154878735625836,0.07827624572888411,-0.42427877,-1.042774,0.6594473,-1.8723439,-2.0186367,-0.730159,-0.42427877,-1.042774,0.6594473,-1.8723439,-2.0186367,-0.730159,-0.4445531964302063,-1.0398633480072021,0.6572569012641907,-1.8456469774246216,-2.0417568683624268,-0.7216818928718567,0.5068609,-0.07276397,0.054760646,-0.6674232,0.57800174,-0.21192664,-0.017759774,0.01666955766643572,0.0,0.000416738941660893,0.0010001735063269734,,,False,0,0.47707770266254096,-0.20134458532869762,0.3259448790696423,0.5037311585335437,0.19413177527259237,0.11989937887004716,0.9995790747560473,0.006365647671483575,0.0016269461483336147,0.02825685360206749,0.28956422,-0.09542596,0.28934506,0.39802386627589065,3.818199911620468e-05,0.00012772000627592206,0.0005353190063033253,0.00025428799563087523,0.0001846410013968125,0.00025672900665085763,0.0017129490006482229,0.01812805399822537,0.01984100299887359,50.40067783149732,0
9,0.20008220900490414,-0.44114715257753545,-1.0403462809375306,0.6575444380389612,-1.8497525654234828,-2.0380666891681116,-0.7230446974383753,0.18240796029567719,-1.8778845071792603,-0.8109948635101318,-0.8720757961273193,-0.017877133563160896,-0.1887403428554535,0.2673206925392151,-1.424495816230774,-0.5357159972190857,-0.40527307987213135,0.15225131809711456,-0.14998698234558105,-3.384950264127767,-5.0432988030564285,-1.0616957404242324,-0.2883854650862862,0.09181415224519987,0.12722236036493945,-0.42098978,-1.0430198,0.65979874,-1.876636,-2.0147386,-0.73141146,-0.42098978,-1.0430198,0.65979874,-1.876636,-2.0147386,-0.73141146,-0.4411471486091614,-1.0403462648391724,0.6575444340705872,-1.8497525453567505,-2.0380666255950928,-0.7230446934700012,0.50393397,-0.06683812,0.056357615,-0.6720873,0.5832006,-0.20916878,-0.022029046,0.013891298055363101,0.0,0.00034728245138407755,0.0008334778831340373,,,False,0,0.4786549473534046,-0.1992774656260089,0.32657685900402156,0.5036859887292214,0.19416332560857932,0.11989041959932595,0.9995786138956007,0.006298214538001059,0.0016629854422198526,0.0282876769786924,0.28956422,-0.09542596,0.28934506,0.398026332032517,3.846398612949997e-05,0.00011172800441272557,0.0005038300005253404,0.0003179380000801757,0.00020100499386899173,0.0001352620020043105,0.0016132080054376274,0.018242152000311762,0.01985536000574939,50.3642341267263,0
