step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02008250600192696,0.034698486328125,-1.0900304478457947,1.0824087301837366,-1.6278192005553187,-1.4013541380511683,0.12339045852422714,0.08299611508846283,-1.6435258388519287,-1.1664419174194336,-0.42467978596687317,0.012697950005531311,0.07059416174888611,3.37492965556861e-17,-2.0571813583374023,-1.644612431526184,-0.8943015933036804,0.25865185260772705,-0.010824693366885185,-0.5091020939968031,2.308753577686205,-0.14083304391174337,0.2252259295922565,0.09896120256903085,-0.01961227349939236,0.050639138,-1.0569426,1.0726279,-1.6487539,-1.378554,0.12975498,0.050639138,-1.0569426,1.0726279,-1.6487539,-1.378554,0.12975498,0.034698486328125,-1.0900304317474365,1.0824087858200073,-1.6278191804885864,-1.401354193687439,0.12339045852422714,0.39851636,0.82719725,-0.24452253,-0.52336895,0.5700039,0.15911289,-0.5909356,0.0,0.0,0.0,0.0,,,False,0,0.4190724099891352,0.1856412137976218,0.14168545889937034,0.4803598826650518,0.2160081805733604,0.033376980865719,-0.9849374216304189,-0.021617784930295016,-0.04573812467280492,0.1653449087798075,-0.051182512,0.25709733,0.20314422,0.5595056321128443,4.5555003453046083e-05,9.845898603089154e-05,0.00048178600263781846,0.00023033999605104327,0.00014047999866306782,0.00011543699656613171,0.0014236659917514771,0.018657891007023863,0.02008155699877534,49.79693556933779,0
1,0.040090181995765306,0.035009730607271194,-1.0895911914161225,1.0822737852679651,-1.6280471287169398,-1.40100604692568,0.12343869358301163,0.4920039474964142,-0.8141535520553589,-1.104514718055725,-0.6227351427078247,0.32586315274238586,0.23858654499053955,0.6092649102210999,-1.0710227489471436,-1.70713210105896,-1.0387094020843506,0.6464881896972656,0.13844233751296997,-0.4717880186398545,4.591246591651756,1.6011487885102087,0.30304577768717783,0.09890277809789705,-0.021170628496922805,0.056489922,-1.0583582,1.0738611,-1.6509047,-1.3752625,0.13016501,0.056489922,-1.0583582,1.0738611,-1.6509047,-1.3752625,0.13016501,0.035009730607271194,-1.089591145515442,1.0822738409042358,-1.6280471086502075,-1.4010061025619507,0.12343869358301163,0.5370048,0.7808225,-0.21031737,-0.57144004,0.64359057,0.16815774,-0.58813167,0.0,0.0,0.0,0.0,,,False,0,0.41908876602281847,0.18585565101833743,0.14157748080603338,0.48036494697374893,0.21606793193597731,0.03336698111298217,-0.9849237088877012,-0.021888579423441162,-0.045963049060769846,0.16532876093035065,-0.051182512,0.25709733,0.20314422,0.5595090927290756,3.567400563042611e-05,0.00012129700917284936,0.00044919901120010763,0.00027552600658964366,0.0001579529925948009,0.0001467749971197918,0.0014668499934487045,0.018400624001515098,0.019867473994963802,50.33352504971138,0
2,0.06008956600271631,0.036324094980955124,-1.0870629710010071,1.0817111174212855,-1.6296283207335414,-1.3991525808917444,0.12399663776159286,0.5036168098449707,-0.731950581073761,-1.328377366065979,-0.6533211469650269,0.35461968183517456,0.18159224092960358,0.4913189113140106,-1.2450774908065796,-1.7750439643859863,-1.0463173389434814,0.5980333685874939,0.1404978632926941,0.7049892467457127,3.9876997658400173,1.5159670787356023,0.2840374510819957,0.07271954007163772,0.016645736522959594,0.05749134,-1.0558342,1.0732015,-1.6531025,-1.373846,0.13062774,0.05749134,-1.0558342,1.0732015,-1.6531025,-1.373846,0.13062774,0.036324094980955124,-1.087062954902649,1.0817111730575562,-1.629628300666809,-1.3991526365280151,0.12399663776159286,0.5291811,0.7807198,-0.21274032,-0.5868542,0.6326649,0.16577737,-0.5912178,0.0,0.0,0.0,0.0,,,False,0,0.41928388099066,0.18685575223015194,0.1409097262338409,0.48030164910368306,0.21605963437622025,0.03340477982121856,-0.9849340748004822,-0.02156571658710533,-0.04509607631976584,0.16554799948670446,-0.051182512,0.25709733,0.20314422,0.5594380974457476,3.515700518619269e-05,0.00010798800212796777,0.0004627960006473586,0.0002587240014690906,0.00026176100072916597,9.858999692369252e-05,0.0015373000060208142,0.018290396998054348,0.019827697004075162,50.43450077911072,0
3,0.08009850200323854,0.038470033556222916,-1.0829491776278992,1.0805276075946253,-1.6320191822447718,-1.3964994589435022,0.12474731355905533,0.3436252772808075,-1.154356837272644,-1.4719665050506592,-0.7568146586418152,0.3364175856113434,0.1970198154449463,0.5168609619140625,-1.5688129663467407,-1.8444054126739502,-1.04177725315094,0.5662782192230225,0.13020989298820496,-0.2796193045241774,3.4451375331717964,0.14788301525273073,0.2784216148751042,0.08070722684661985,0.011586459127316553,0.058891147,-1.0516007,1.0718515,-1.6557875,-1.3716794,0.1312527,0.058891147,-1.0516007,1.0718515,-1.6557875,-1.3716794,0.1312527,0.038470033556222916,-1.082949161529541,1.080527663230896,-1.6320191621780396,-1.396499514579773,0.12474731355905533,0.51052785,0.7837104,-0.21690346,-0.5942064,0.62050253,0.16263482,-0.5906546,0.0,0.0,0.0,0.0,,,False,0,0.4196163806894391,0.18840360465182018,0.13987263693587268,0.48032059217056705,0.21603892788625434,0.03343048905181011,-0.984951380404629,-0.02159905492390409,-0.0448851244776863,0.16549790150882293,-0.051182512,0.25709733,0.20314422,0.5594498136158275,4.112599708605558e-05,0.00013255199883133173,0.0006438979908125475,0.00040285599243361503,0.00020272599067538977,0.00011042800906579942,0.0019130379951093346,0.017922534010722302,0.019835572005831636,50.41447757120395,0
4,0.10030289100541268,0.04111861065030098,-1.0783423346332093,1.0791972319232386,-1.6353370151915492,-1.392865006123678,0.12568871676921844,0.3311750888824463,-1.338888168334961,-1.4866716861724854,-0.668107271194458,0.21428203582763672,0.20082524418830872,0.3719784617424011,-1.7045533657073975,-1.8819431066513062,-1.0466184616088867,0.49547308683395386,0.13108663260936737,-1.8283794497891979,0.8901322086991341,-0.2312194949960923,0.17202621305684684,0.1411139195778545,0.006930078850753897,0.06044315,-1.0468047,1.0704343,-1.6593611,-1.3687886,0.1320221,0.06044315,-1.0468047,1.0704343,-1.6593611,-1.3687886,0.1320221,0.04111861065030098,-1.078342318534851,1.0791972875595093,-1.635336995124817,-1.3928650617599487,0.12568871676921844,0.48311353,0.7884398,-0.21907505,-0.60060376,0.601911,0.15833464,-0.5897847,0.0,0.0,0.0,0.0,,,False,0,0.42007062576315934,0.1904029034891254,0.13880205023291947,0.48034139706928647,0.21602326026784424,0.03339242037033594,-0.9849598041405878,-0.021419791858026338,-0.04559629184528899,0.16527646027643472,-0.051182512,0.25709733,0.20314422,0.5594822784948837,0.00010380300227552652,0.00019484599761199206,0.0007001339981798083,0.0003313670022180304,0.00020180300634820014,0.00010523099626880139,0.002044702006969601,0.017912704002810642,0.019957406009780243,50.10671224055592,0
5,0.12006610199750867,0.0438050776720047,-1.073922799234726,1.0780389944659632,-1.6386157474913539,-1.3896172682391565,0.1266704499721527,0.3523518443107605,-1.361132264137268,-1.5729740858078003,-0.7474516034126282,0.3597753643989563,0.1913989782333374,0.2728081941604614,-1.7268712520599365,-1.8923190832138062,-1.0481460094451904,0.44348353147506714,0.13382896780967712,-0.8672164954438494,2.852354355411105,-1.0659820580170463,0.24628405182179244,0.10506924302596476,0.005204989826746109,0.062047735,-1.0422208,1.0691457,-1.6628643,-1.3662595,0.13283826,0.062047735,-1.0422208,1.0691457,-1.6628643,-1.3662595,0.13283826,0.0438050776720047,-1.0739227533340454,1.0780390501022339,-1.6386157274246216,-1.3896173238754272,0.1266704499721527,0.45606646,0.7925482,-0.22233538,-0.6062157,0.5839478,0.15419544,-0.5886019,0.0,0.0,0.0,0.0,,,False,0,0.42046446835681334,0.1923290178556805,0.1377361027078615,0.480363479317799,0.21603448259559124,0.03338631251428325,-0.9849328634108495,-0.021896830438473874,-0.045934410615611876,0.16528091590117822,-0.051182512,0.25709733,0.20314422,0.5595042866971844,5.257899465505034e-05,7.256900426000357e-05,0.00027587200747802854,0.00017390900757163763,9.074300760403275e-05,6.0413003666326404e-05,0.0009412320068804547,0.018726990994764492,0.019668223001644947,50.84343409754736,0
6,0.14006971799244639,0.046593837440013885,-1.069647805099823,1.0766719023333948,-1.6419488392271937,-1.3860014120685022,0.12751376628875732,0.29546919465065,-1.1385756731033325,-1.465826392173767,-0.7559084892272949,0.30453020334243774,0.2185228019952774,0.2116624265909195,-1.7159929275512695,-1.8932030200958252,-1.0526068210601807,0.4220157265663147,0.13582411408424377,0.0862101086390645,2.5675239746709844,0.2525912850248044,0.2149587901879803,0.08804297355639211,0.06238274917944449,0.06354919,-1.0377464,1.0677536,-1.6663674,-1.3635232,0.13349374,0.06354919,-1.0377464,1.0677536,-1.6663674,-1.3635232,0.13349374,0.046593837440013885,-1.0696477890014648,1.0766719579696655,-1.6419488191604614,-1.386001467704773,0.12751376628875732,0.42388383,0.7975325,-0.2229597,-0.6104642,0.5619559,0.1494993,-0.5872107,0.0,0.0,0.0,0.0,,,False,0,0.42088379437089707,0.19438957992197048,0.13681712803497656,0.4803148310506946,0.21604596662500566,0.03340275633888684,-0.9849971230562113,-0.021338428634245215,-0.04555333234596559,0.16507653625919722,-0.051182512,0.25709733,0.20314422,0.5594522374127588,1.6345002222806215e-05,4.994099435862154e-05,0.00017056000069715083,0.0002201149909524247,5.380299990065396e-05,4.203100979793817e-05,0.0006908929935889319,0.019245101997512393,0.019935994991101325,50.16052624643827,0
7,0.16007112299848814,0.04947110638022423,-1.0652741354754944,1.0753334204303187,-1.645672460595602,-1.3824737707721155,0.12846341729164124,0.2821606397628784,-1.0731192827224731,-1.3446494340896606,-0.6603956818580627,0.2795221209526062,0.21112775802612305,0.21788007020950317,-1.6212514638900757,-1.873206377029419,-1.063957691192627,0.4394409954547882,0.13830429315567017,-0.8654943040499097,1.9587875958037504,1.3848787552847506,0.18608204892249056,0.10710810322873296,-0.015588563833104974,0.0650816,-1.0331868,1.0663633,-1.670238,-1.3609176,0.13425183,0.0650816,-1.0331868,1.0663633,-1.670238,-1.3609176,0.13425183,0.04947110638022423,-1.0652741193771362,1.0753334760665894,-1.6456724405288696,-1.3824738264083862,0.12846341729164124,0.39026225,0.80218303,-0.22425382,-0.6141407,0.53890604,0.14471032,-0.5855488,0.0,0.0,0.0,0.0,,,False,0,0.4213548996948251,0.19647394379250027,0.13588101233760472,0.4803201605110704,0.21605734295722526,0.03345194941105445,-0.9849893843660373,-0.021291269128148237,-0.044860366641388226,0.16531836140401307,-0.051182512,0.25709733,0.20314422,0.559441542500749,3.7237987271510065e-05,0.00012984000204596668,0.00041290999797638506,0.00012808499741367996,8.970900671556592e-05,7.919200288597494e-05,0.0011378720082575455,0.018750403993180953,0.0198882760014385,50.28087904289296,0
8,0.18007770800613798,0.052334997802972794,-1.0602848690799256,1.0741785208331507,-1.6492277584471644,-1.3787506262408655,0.1293889731168747,0.16372156143188477,-1.377314567565918,-1.515297293663025,-0.6975122690200806,0.21652323007583618,0.20725661516189575,0.16111931204795837,-1.7402098178863525,-1.9027671813964844,-1.0567482709884644,0.40856102108955383,0.13644590973854065,-0.7519586964111316,0.8933360656608743,-0.5814609458268314,0.1583110418595522,0.12287633787718535,0.024773857084087497,0.06653176,-1.0280498,1.0650145,-1.6739916,-1.3581829,0.1349684,0.06653176,-1.0280498,1.0650145,-1.6739916,-1.3581829,0.1349684,0.052334997802972794,-1.0602848529815674,1.0741785764694214,-1.6492277383804321,-1.3787506818771362,0.1293889731168747,0.35491922,0.8058752,-0.22910094,-0.6190968,0.51419574,0.13948566,-0.5836529,0.0,0.0,0.0,0.0,,,False,0,0.42172165475295037,0.19859683999877506,0.1346127931818444,0.48031458661192095,0.21596564319990336,0.033384579036287707,-0.9849512044074726,-0.021503095187227886,-0.04562082639225743,0.1653102502192491,-0.051182512,0.25709733,0.20314422,0.5594634202056032,2.2804000764153898e-05,6.773800123482943e-05,0.000346265995176509,0.00015674800670240074,0.00011188600910827518,6.372200732585043e-05,0.0009463599999435246,0.018966940013342537,0.01991330001328606,50.21769366869402,0
9,0.20007579200319014,0.054886482656002045,-1.0555192989161988,1.0729730764972132,-1.65250887493276,-1.375561539326803,0.13028709590435028,0.18023084104061127,-1.419761300086975,-1.5986735820770264,-0.8185105919837952,0.29374951124191284,0.21878358721733093,0.15745505690574646,-1.7597341537475586,-1.9042035341262817,-1.0564018487930298,0.4057783782482147,0.13535110652446747,0.0032736962372048664,1.280465145843723,-1.1323335336701232,0.17701488415623945,0.07996734229381271,0.006967188712973457,0.06794143,-1.0231841,1.0635173,-1.6774495,-1.3557879,0.13570122,0.06794143,-1.0231841,1.0635173,-1.6774495,-1.3557879,0.13570122,0.054886482656002045,-1.0555193424224854,1.0729731321334839,-1.6525088548660278,-1.3755615949630737,0.13028709590435028,0.32637352,0.80838054,-0.23639402,-0.6235146,0.49434176,0.13535316,-0.5819413,0.0,0.0,0.0,0.0,,,False,0,0.4220983622269558,0.20046409701530363,0.13340318953309305,0.4804027226685086,0.2160462728168535,0.033423476845361434,-0.9849599738903232,-0.021769343176634447,-0.045413171599451053,0.16528028144429185,-0.051182512,0.25709733,0.20314422,0.5595294299907287,3.197600017301738e-05,0.00011793200974352658,0.0004072760057169944,0.00031346599280368537,0.0001475669996580109,0.00010403500346001238,0.0013806750066578388,0.018486631000996567,0.019867306007654406,50.33395064306774,0
