step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02007959599723108,0.034722328186035156,-1.0899647039226075,1.0824244658099573,-1.6278020344176234,-1.4013508001910608,0.12338685989379883,0.12384691834449768,-1.4008885622024536,-1.2794595956802368,-0.40002870559692383,0.10266271233558655,0.0018609855324029922,2.6821256915776793e-17,-1.1906658411026,-0.8448973894119263,-0.2606574296951294,0.011624525301158428,0.0,0.2924547252147236,2.8324080092090416,-20.866417765368567,0.3953020574708734,-0.18426592422031723,0.029980655368752104,0.020535238,-1.0980896,1.0789291,-1.6243925,-1.4025272,0.12274972,0.020535238,-1.0980896,1.0789291,-1.6243925,-1.4025272,0.12274972,0.034722328186035156,-1.089964747428894,1.082424521446228,-1.6278020143508911,-1.4013508558273315,0.12338685989379883,-0.35467726,-0.20312141,-0.08738644,0.085237004,-0.029408215,-0.015928494,0.017499503,0.16666666666666666,0.05000000074505806,0.004166666666666667,0.0,,,False,0,0.41905979694303674,0.1856517015350853,0.14165100304057557,0.21718078373539634,-0.18739469095843267,0.11301918171552904,0.9997772911190788,0.006392456843147053,0.007357890944071157,0.018719107612961895,0.17434347,-0.18901506,0.18176922,0.08101993190417893,3.5834003938362e-05,0.00011271299445070326,0.0006082629988668486,0.00036943700979463756,0.00020977899839635938,0.00012516100832726806,0.001859556999988854,0.0182187110040104,0.020078268003999256,49.80509274011168,0
1,0.040085968998027965,0.034511495381593704,-1.0900707107833405,1.0824368635760706,-1.6277467213072718,-1.4012921492206019,0.12338685989379883,-0.27193307876586914,-1.7688381671905518,-1.604819893836975,-0.3117363452911377,0.0483618788421154,-0.012306534685194492,-0.46515408158302307,-1.576665997505188,-1.0513966083526611,-0.19343939423561096,-0.02546640858054161,-0.017155153676867485,0.6450121564181006,1.8027103284704036,-21.449511360866456,0.3713081860098455,-0.19254870830690088,0.03363024762840548,0.020528313,-1.0988498,1.0799724,-1.6242801,-1.4050248,0.12406772,0.020528313,-1.0988498,1.0799724,-1.6242801,-1.4050248,0.12406772,0.034511495381593704,-1.0900707244873047,1.0824369192123413,-1.6277467012405396,-1.4012922048568726,0.12338685989379883,-0.34957954,-0.21947612,-0.061614495,0.08666421,-0.09331327,0.017021364,0.043841485,0.3055555555555556,0.05000000074505806,0.0076388888888888895,0.008333333767950535,,,False,0,0.41908399887133585,0.18557654836571794,0.14168902387570265,0.21717503264244462,-0.1873715375586343,0.11305564714364683,0.9997856461292143,0.00612335106140907,0.006703721885421289,0.018606032669536192,0.17434347,-0.18901506,0.18176922,0.0809864160009951,4.415299918036908e-05,0.00019021400657948107,0.0008552430081181228,0.00029828998958691955,0.0001997740037040785,0.00016550999134778976,0.002263886999571696,0.017499587003840134,0.01976347400341183,50.59839175174197,0
2,0.06013153700041585,0.03354557603597641,-1.090550259952881,1.0821979681598108,-1.6273662052550257,-1.4013827482806605,0.12337856739759445,-0.48768290877342224,-1.9262373447418213,-1.6467278003692627,-0.366769939661026,-0.06438042223453522,-0.07228487730026245,-0.4010829031467438,-1.5393080711364746,-1.128732442855835,-0.13295795023441315,-0.07983758300542831,-0.04889249801635742,0.8457952764438317,1.2547451321484338,-21.840522300447862,0.35552834601437255,-0.2171653819725327,0.03392978511067564,0.019076165,-1.0999753,1.0799007,-1.6245712,-1.4058903,0.12413895,0.019076165,-1.0999753,1.0799007,-1.6245712,-1.4058903,0.12413895,0.03354557603597641,-1.0905503034591675,1.0821980237960815,-1.6273661851882935,-1.4013828039169312,0.12337856739759445,-0.36173525,-0.23562607,-0.05743197,0.06987545,-0.11268756,0.019009603,0.0502671,0.4212962962962963,0.05000000074505806,0.010532407407407407,0.015277777798473835,,,False,0,0.4192363610505368,0.18514957497175152,0.1419259337414114,0.2171873555338698,-0.1873770401344172,0.11305077488153467,0.9997872794423739,0.006065890889893505,0.0066798456026429046,0.018547215553705594,0.17434347,-0.18901506,0.18176922,0.08099695607801038,0.00016352800594177097,0.00013860200124327093,0.0007978500070748851,0.0003518229932524264,0.0002676310105016455,9.908499487210065e-05,0.002254603008623235,0.017617985999095254,0.01987258900771849,50.32056968579188,0
3,0.08013198799744714,0.0318516343832016,-1.0916033250144501,1.081726376210348,-1.627059122125143,-1.401625935231344,0.12328732013702393,-0.36954230070114136,-1.8070921897888184,-1.5569958686828613,-0.32164466381073,-0.06233201175928116,-0.051395319402217865,-0.3027961254119873,-1.4828037023544312,-1.0953377485275269,-0.128424733877182,-0.13520997762680054,-0.026119377464056015,0.4673250837679248,1.7067822902098948,-20.992746861376354,0.35030778473378765,-0.20167850058461745,0.029242531610630354,0.016982324,-1.1015716,1.079525,-1.6248618,-1.4068129,0.12410756,0.016982324,-1.1015716,1.079525,-1.6248618,-1.4068129,0.12410756,0.0318516343832016,-1.0916032791137695,1.0817264318466187,-1.6270591020584106,-1.4016259908676147,0.12328732013702393,-0.37173277,-0.2492061,-0.055037417,0.054932453,-0.12967427,0.020505976,0.05461904,0.5177469135802468,0.05000000074505806,0.012943672839506173,0.021064814180135727,,,False,0,0.41959891070733035,0.184383849349469,0.1424807198139005,0.217181213301788,-0.18733300216641957,0.11303725098049046,0.9997829614243673,0.0062739256518677825,0.006867589537320469,0.018642663895028517,0.17434347,-0.18901506,0.18176922,0.08100608429495716,3.823000588454306e-05,0.00011458199878688902,0.0005735690065193921,0.0002447580045554787,0.00018396900850348175,0.00013117700291331857,0.001631744991755113,0.018207186003564857,0.01983893099531997,50.40594174332787,0
4,0.10049248699215241,0.029675133526325226,-1.0928288859179993,1.0812080542193812,-1.6266328297057093,-1.4020569960223597,0.1232946440577507,-0.16426271200180054,-1.7444336414337158,-1.4447147846221924,-0.3005093038082123,-0.016721971333026886,0.03566717356443405,-0.25721895694732666,-1.4556018114089966,-1.081819772720337,-0.1293998509645462,-0.13555435836315155,0.03968513011932373,-0.013054540841536566,3.560195151293209,-20.42276130503842,0.4049728296309471,-0.18680956787758404,0.021364161060171555,0.014464507,-1.1031616,1.0791297,-1.6249509,-1.4077584,0.12416195,0.014464507,-1.1031616,1.0791297,-1.6249509,-1.4077584,0.12416195,0.029675133526325226,-1.0928288698196411,1.0812081098556519,-1.626632809638977,-1.4020570516586304,0.1232946440577507,-0.38026568,-0.25831857,-0.05196111,0.04204877,-0.14253217,0.021682624,0.058338348,0.5981224279835391,0.05000000074505806,0.014953060699588478,0.025887345895171165,,,False,0,0.4200346547898998,0.18337039269367322,0.14310414913231947,0.21720166719012982,-0.18737356967923832,0.1130487133679856,0.9997863657977216,0.006278920020250008,0.006859518007763928,0.018460452752858646,0.17434347,-0.18901506,0.18176922,0.08100634633417238,4.398600140120834e-05,0.00013629900058731437,0.0006045100017217919,0.0003180640051141381,0.00017193400708492845,0.00012819499534089118,0.001805930005502887,0.018347517994698137,0.020153448000201024,49.619300875464354,0
5,0.12012909799523186,0.02756430394947529,-1.0941564005664368,1.0808489958392542,-1.6261826954283656,-1.4025753180133265,0.12331873178482056,-0.17726892232894897,-1.7322701215744019,-1.4333606958389282,-0.27687543630599976,-0.055958449840545654,0.1398046314716339,-0.24747538566589355,-1.4507824182510376,-1.0820837020874023,-0.13260605931282043,-0.13418681919574738,0.07324181497097015,-0.05515978247177089,3.3292423807917157,-20.52506735952589,0.4022996303843636,-0.1865521908895717,0.02237607576888779,0.012053102,-1.1047513,1.0788971,-1.624936,-1.4086934,0.124228954,0.012053102,-1.1047513,1.0788971,-1.624936,-1.4086934,0.124228954,0.02756430394947529,-1.0941563844680786,1.080849051475525,-1.6261826753616333,-1.4025753736495972,0.12331873178482056,-0.38778004,-0.26487377,-0.048799258,0.031167557,-0.15295056,0.022755476,0.061230715,0.665102023319616,0.05000000074505806,0.0166275505829904,0.029906122013926506,,,False,0,0.4204154429196753,0.18236199039666592,0.1437152830671101,0.21720494764408743,-0.18736449110129794,0.11301979991269948,0.9997848567163715,0.006155485587712144,0.0072069629967962305,0.018449490583947264,0.17434347,-0.18901506,0.18176922,0.08103279560649634,0.00018714199541136622,0.00013924900849815458,0.000488795994897373,0.00034521099587436765,0.00017887300055008382,0.00010055099846795201,0.001810657005989924,0.017678656993666664,0.019489313999656588,51.310169255707024,0
6,0.1401310709916288,0.025588247925043106,-1.0954637092402955,1.0806525389300745,-1.6257935963072718,-1.4032018820392054,0.12340634316205978,-0.2997921109199524,-1.7814542055130005,-1.508370041847229,-0.31147754192352295,-0.0987701565027237,0.17919166386127472,-0.2532860040664673,-1.4482848644256592,-1.0837032794952393,-0.13398753106594086,-0.1335681527853012,0.0849127545952797,0.05514009317070068,2.6110828162495916,-21.003565901422387,0.38663932713545446,-0.19026419761661628,0.029786685483686307,0.009847518,-1.1062623,1.0788147,-1.6248922,-1.4096609,0.12436059,0.009847518,-1.1062623,1.0788147,-1.6248922,-1.4096609,0.12436059,0.025588247925043106,-1.095463752746582,1.0806525945663452,-1.6257935762405396,-1.403201937675476,0.12340634316205978,-0.39351824,-0.26996332,-0.0459472,0.022534117,-0.16147485,0.023856217,0.06321511,0.7209183527663466,0.05000000074505806,0.018022958819158667,0.03325510025024414,,,False,0,0.4207466350469109,0.18138359703285503,0.1442687562138297,0.21717035097181733,-0.18737378714427905,0.11303156714910394,0.9997830000697542,0.006418442647797183,0.0069717009691423505,0.01855231261958156,0.17434347,-0.18901506,0.18176922,0.08100432696756013,3.9075996028259397e-05,0.00011482600530143827,0.0005758969928137958,0.00040132699359674007,0.00017257999570574611,0.0001306689955526963,0.0017904630076372996,0.01804621599148959,0.01983667899912689,50.411664172415904,0
7,0.160138396997354,0.023581521585583687,-1.0969138604453583,1.0804060141192835,-1.6254822216429652,-1.4039271513568323,0.12353430688381195,-0.35598239302635193,-1.8033936023712158,-1.5514622926712036,-0.3517497777938843,-0.12363576889038086,0.20598377287387848,-0.25620734691619873,-1.4445642232894897,-1.083118200302124,-0.13361942768096924,-0.13299216330051422,0.08727312088012695,0.5578113399725155,1.9851898436575333,-21.16187071987488,0.37405998643061333,-0.2060374616186309,0.044525127498223835,0.007638501,-1.107913,1.0786715,-1.6248589,-1.4107363,0.12452645,0.007638501,-1.107913,1.0786715,-1.6248589,-1.4107363,0.12452645,0.023581521585583687,-1.0969138145446777,1.0804060697555542,-1.625482201576233,-1.403927206993103,0.12353430688381195,-0.39857554,-0.27497864,-0.04336666,0.0155827915,-0.1702285,0.024803504,0.06371553,0.7674319606386222,0.05000000074505806,0.019185799015965555,0.03604591637849808,,,False,0,0.42111110751276914,0.18036929516703942,0.14490268750984853,0.21715276203260364,-0.18737210268915414,0.11304427192181847,0.9997824892049093,0.0063158325760706594,0.007128092867458611,0.018555890266837273,0.17434347,-0.18901506,0.18176922,0.08098428143102562,3.924100019503385e-05,0.00011478200030978769,0.000518929009558633,0.00032224699680227786,0.00017206600750796497,0.00010919899796135724,0.0016216910007642582,0.01822387099673506,0.019845561997499317,50.38909959445881,0
8,0.18012308300239965,0.021405279636383057,-1.0984584552100678,1.0800378958331507,-1.6253076992430628,-1.4048298040973108,0.1236945241689682,-0.2538686990737915,-1.7246677875518799,-1.4598608016967773,-0.3310675024986267,-0.10784071683883667,0.20384392142295837,-0.2532322108745575,-1.4385383129119873,-1.0803792476654053,-0.1497143656015396,-0.13250517845153809,0.08660192042589188,0.4384272036177119,2.7845391429308948,-20.657971759965914,0.38766621804030404,-0.2007955680741712,0.03564956995457452,0.005290039,-1.1096202,1.078414,-1.6249043,-1.4119629,0.12471658,0.005290039,-1.1096202,1.078414,-1.6249043,-1.4119629,0.12471658,0.021405279636383057,-1.0984584093093872,1.0800379514694214,-1.6253076791763306,-1.4048298597335815,0.1236945241689682,-0.40288103,-0.27904433,-0.040598813,0.010085414,-0.17832513,0.025551332,0.0629951,0.8061933005321851,0.05000000074505806,0.02015483251330463,0.03837159648537636,,,False,0,0.42156289554461296,0.17924256410360453,0.14562208650760003,0.21719274901063296,-0.18736599082936667,0.1130454885852648,0.9997861060542508,0.006065336519033682,0.0067491816497655096,0.018586455585026935,0.17434347,-0.18901506,0.18176922,0.08100451813436386,3.897199349012226e-05,0.00011543999426066875,0.0005003599944757298,0.0002782500087050721,0.00015551999968010932,0.00017811999714467674,0.0016077550098998472,0.018211779999546707,0.019819535009446554,50.45527049566862,0
9,0.2001291109918384,0.019122321158647537,-1.0999893111041565,1.0797064940081995,-1.6252700291075648,-1.4057634512530726,0.1238575354218483,-0.20407089591026306,-1.7859491109848022,-1.4185200929641724,-0.28578290343284607,-0.07383157312870026,0.1702882945537567,-0.24976232647895813,-1.436599850654602,-1.0794334411621094,-0.17993706464767456,-0.13250459730625153,0.08769068121910095,-0.07162712146406447,3.2901780546763257,-20.14324161403627,0.39860251202563685,-0.1886915072153792,0.03212849090240221,0.0028294139,-1.1112517,1.0782186,-1.6250446,-1.413207,0.124923125,0.0028294139,-1.1112517,1.0782186,-1.6250446,-1.413207,0.124923125,0.019122321158647537,-1.0999892950057983,1.0797065496444702,-1.6252700090408325,-1.4057635068893433,0.1238575354218483,-0.4073227,-0.28156087,-0.0372003,0.0056351786,-0.1860872,0.026639817,0.061404455,0.8384944171101542,0.05000000074505806,0.020962360427753856,0.040309663861989975,,,False,0,0.42205254948022874,0.17806281788554038,0.1463372266170525,0.21715328241920986,-0.18738238207727181,0.11302857844417669,0.9997816969990602,0.006303864677170921,0.007034723438921929,0.018636033287810213,0.17434347,-0.18901506,0.18176922,0.0809976668529376,3.792000643443316e-05,0.00011582901061046869,0.0005213650001678616,0.0002454590139677748,0.00015455199172720313,0.00011146700126118958,0.0015264739922713488,0.018313042994122952,0.0198395169863943,50.40445292522937,0
