step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020088896999368444,-0.9397686163531702,-1.415232927804329,1.0457313696490687,-1.1849092108062287,-1.3126195112811487,-0.49795324007143194,0.11615680903196335,-1.027137041091919,-1.182818055152893,-0.4257594645023346,0.20656156539916992,-0.07307200878858566,2.304337582009808e-17,-0.8100221753120422,-0.7934075593948364,-0.25566425919532776,0.017633715644478798,0.0,-1.646930880375865,1.1794756622065652,0.18611645665596147,0.021532761304425715,0.07266803359414598,-0.016240127905818226,-0.9435262,-1.4256811,1.0731702,-1.1880089,-1.3480074,-0.5057762,-0.9435262,-1.4256811,1.0731702,-1.1880089,-1.3480074,-0.5057762,-0.9397686123847961,-1.4152328968048096,1.0457314252853394,-1.1849092245101929,-1.3126195669174194,-0.49795323610305786,-0.093940414,-0.26120692,0.68596876,-0.077491,-0.8846963,-0.1955752,-0.24170525,0.16666666666666666,0.04516589567065239,0.004166666666666667,0.0,,,False,0,0.34190365870727396,-0.14324625100586685,0.23867973171323129,0.21907860233934315,-0.18794535565817005,0.11302273773673895,0.9289263238124613,0.019331223826384154,0.007059901242064884,-0.36969223186471606,0.21654867,-0.18161415,0.2220977,0.10928783587783833,3.471499076113105e-05,0.0001293019886361435,0.0007092579908203334,0.00038118498923722655,0.00022567198902834207,0.00012038300337735564,0.001979016000404954,0.018108479998772964,0.020087495999177918,49.782212777586864,0
1,0.040085707005346194,-0.9397924582110804,-1.415323869591095,1.0459149519549769,-1.184956894522049,-1.3128016630755823,-0.4980075995074671,-0.01852143555879593,-1.2318159341812134,-0.709392786026001,-0.458091676235199,-0.1637817621231079,-0.2397618591785431,-0.1518646478652954,-1.087981104850769,-0.39642468094825745,-0.29874226450920105,-0.23168320953845978,-0.1631595343351364,-3.4198417329730204,1.2547728204091233,0.8851728514643171,0.011025473436499964,0.13749751777898414,-0.031288633446927144,-0.94792914,-1.4275988,1.0679485,-1.1801296,-1.3424218,-0.49942645,-0.94792914,-1.4275988,1.0679485,-1.1801296,-1.3424218,-0.49942645,-0.9397924542427063,-1.4153238534927368,1.0459150075912476,-1.1849569082260132,-1.312801718711853,-0.498007595539093,-0.20341706,-0.30687332,0.55083746,0.12068201,-0.740502,-0.03547111,-0.43565887,0.3055555555555556,0.036452718228101734,0.0076388888888888895,0.008333333767950535,,,False,0,0.3418515304967683,-0.14325852851982449,0.23865011877966255,0.21905991953922663,-0.18788351150557142,0.11294105637462645,0.9288692443776431,0.019418523013819144,0.007573699419670749,-0.3698208657881224,0.21654867,-0.18161415,0.2220977,0.109365365035651,4.315300611779094e-05,0.0001446859969291836,0.0008187769999494776,0.00030386399885173887,0.00024065499019343406,0.00011860299855470657,0.0020716010039905086,0.01771361200371757,0.01978521300770808,50.54279676495836,0
2,0.0601292170031229,-0.940063778554098,-1.4160777491382142,1.0475919882403772,-1.1851843458465119,-1.3152068297015589,-0.49856263795961553,-0.24515783786773682,-1.3077349662780762,-0.5796979665756226,-0.38362181186676025,-0.22955533862113953,-0.15706515312194824,-0.3135792315006256,-1.1490752696990967,-0.44249236583709717,-0.30031582713127136,-0.2306133359670639,-0.14633728563785553,-3.4077508347053054,1.3161665590477885,1.482920056109693,0.013970543630363916,0.16194586057655577,-0.055741643286999654,-0.94696736,-1.429419,1.0698754,-1.1803799,-1.3428733,-0.49981862,-0.94696736,-1.429419,1.0698754,-1.1803799,-1.3428733,-0.49981862,-0.9400637745857239,-1.416077733039856,1.047592043876648,-1.185184359550476,-1.3152068853378296,-0.49856263399124146,-0.17258975,-0.33353353,0.55708426,0.12011088,-0.6916615,-0.031399526,-0.44308084,0.4212962962962963,0.02759110137820244,0.010532407407407407,0.015277777798473835,,,False,0,0.34120528922519766,-0.14345501730208804,0.2382941025497181,0.21907728417835395,-0.18799119583565993,0.11304385269070338,0.9288703785293312,0.018669155690606273,0.006571572358734402,-0.3698757330372149,0.21654867,-0.18161415,0.2220977,0.1092693972355535,0.00010688499605748802,0.00013232100172899663,0.0006939949962543324,0.00029106000147294253,0.00015930899826344103,9.539899474475533e-05,0.0018411880009807646,0.018031254003290087,0.01987244200427085,50.32094192475624,0
3,0.0801310620008735,-0.9407623449908655,-1.4174596828273316,1.0506146589862269,-1.1847868424705048,-1.3192675749408167,-0.499061409627096,-0.3043569028377533,-1.396787405014038,-0.6476930379867554,-0.3267809748649597,-0.12236343324184418,-0.1521741896867752,-0.26793739199638367,-1.1194504499435425,-0.49807077646255493,-0.10159004479646683,-0.1753288209438324,-0.13344688713550568,-2.289713386973518,0.5182838833724612,-0.005650517355740958,0.006920529664684394,0.09560853101483244,-0.0465908943804588,-0.9469133,-1.4307789,1.0727307,-1.1822356,-1.3464501,-0.49998274,-0.9469133,-1.4307789,1.0727307,-1.1822356,-1.3464501,-0.49998274,-0.9407623410224915,-1.4174597263336182,1.0506147146224976,-1.1847867965698242,-1.3192676305770874,-0.4990614056587219,-0.15377475,-0.33297762,0.5528985,0.06377976,-0.67956215,-0.023033503,-0.44864044,0.4752021979770543,0.018618292659521106,0.011880054949426358,0.021064814180135727,,,False,0,0.33994875957157095,-0.1436898885100249,0.2376139211907931,0.2190447350177768,-0.1879732814536155,0.11305108640180273,0.9289368276018076,0.01893886763314124,0.006670395821263894,-0.36969338680362424,0.21654867,-0.18161415,0.2220977,0.10926038525623702,3.908899088855833e-05,0.00012872398656327277,0.0005791220028186217,0.000430412997957319,0.00019827399228233844,0.00013332000526133925,0.0018922089948318899,0.017949506000149995,0.019841714994981885,50.39886926371573,0
4,0.1005678910005372,-0.9417999426471155,-1.4192425918630143,1.054000202809469,-1.184395657186844,-1.3236544767962855,-0.4993932882892054,-0.2343803346157074,-1.3738481998443604,-0.6734093427658081,-0.28076663613319397,-0.0778607726097107,-0.14950121939182281,-0.2328609973192215,-1.0861202478408813,-0.5146243572235107,-0.119148850440979,-0.15879574418067932,-0.13597993552684784,-1.628430783851159,1.5245951506865063,-0.16593882561866005,0.029621778439559442,0.0751303118982872,-0.04591373112385057,-0.9470924,-1.4309274,1.0790346,-1.182926,-1.3536958,-0.50194484,-0.9470924,-1.4309274,1.0790346,-1.182926,-1.3536958,-0.50194484,-0.9417999386787415,-1.4192426204681396,1.0540002584457397,-1.184395670890808,-1.3236545324325562,-0.4993932843208313,-0.13231201,-0.29211858,0.62585634,0.036739495,-0.75103015,-0.0637887,-0.40285,0.4664104491042993,0.01056129261851311,0.011660261227607483,0.023760110139846802,,,False,0,0.3385279686784614,-0.14400856524126532,0.23694483025748264,0.2190390200058459,-0.18791870974129105,0.11298654202885275,0.9288517849719964,0.019256143023122983,0.006920387242072567,-0.36988604392601027,0.21654867,-0.18161415,0.2220977,0.10932151236146358,4.343398904893547e-05,0.00013132199819665402,0.0006674220057902858,0.00028039500466547906,0.00017141200078185648,0.00011013000039383769,0.0017936559888767079,0.018459418002748862,0.02025307399162557,49.375220789371994,0
5,0.1201347220048774,-0.9428241888629358,-1.4212883722833176,1.0574834982501429,-1.183960275059082,-1.3279369513141077,-0.4996240774737757,-0.19234712421894073,-1.2977733612060547,-0.6708216071128845,-0.26286226511001587,-0.1204633042216301,-0.1601266860961914,-0.21910366415977478,-1.0172135829925537,-0.48600172996520996,-0.12232037633657455,-0.16568414866924286,-0.1429707109928131,-2.0105253939798753,1.2265717441910893,0.598127060231868,0.017936469306847273,0.0865052055553434,-0.04306432879367947,-0.9447967,-1.4333245,1.0843388,-1.1840854,-1.3594427,-0.5042023,-0.9447967,-1.4333245,1.0843388,-1.1840854,-1.3594427,-0.5042023,-0.9428241848945618,-1.4212883710861206,1.0574835538864136,-1.1839603185653687,-1.3279370069503784,-0.4996240735054016,-0.049312513,-0.30090246,0.6713812,-0.0031276795,-0.78764373,-0.11445562,-0.3384733,0.4139542196830032,0.0037918268144130733,0.010348855492075081,0.023320522159337997,,,False,0,0.3370982822102837,-0.14426642970065467,0.23633811524045592,0.21904463624540194,-0.18791077719509947,0.11303296827111785,0.9287588799540134,0.01872143103461269,0.006367137370351261,-0.37015657274660285,0.21654867,-0.18161415,0.2220977,0.1092748462528445,5.256000440567732e-05,0.00013167000724934042,0.0005571880028583109,0.0003205920074833557,0.00017128500621765852,0.0001800760073820129,0.0019298890110803768,0.017475786997238174,0.01940567600831855,51.53131483651145,0
6,0.14010190599947236,-0.943695370350973,-1.4233361345580597,1.0612338224994105,-1.183498279457428,-1.3324878851519983,-0.49992353120912725,-0.25201180577278137,-1.1712539196014404,-0.6856279969215393,-0.2942434549331665,-0.08701144903898239,-0.15909937024116516,-0.20852543413639069,-0.9950327277183533,-0.5082470178604126,-0.12585923075675964,-0.15279774367809296,-0.1441514790058136,-1.5189628056737512,0.8166420210512649,0.23856565447946315,0.011776938497280166,0.07337570716067414,-0.03776553193695344,-0.94225395,-1.4366255,1.0887419,-1.1859057,-1.3642901,-0.5056862,-0.94225395,-1.4366255,1.0887419,-1.1859057,-1.3642901,-0.5056862,-0.9436953663825989,-1.423336148262024,1.0612338781356812,-1.1834982633590698,-1.332487940788269,-0.4999235272407532,0.03603517,-0.3322342,0.6877008,-0.06018671,-0.7950544,-0.14406705,-0.29203275,0.344961849735836,0.0,0.0086240462433959,0.020697711035609245,,,False,0,0.33560997361616196,-0.14446616794482015,0.23564451505762415,0.21906778586491624,-0.1879778308129514,0.11300874051298261,0.9289039237341098,0.019121598275321332,0.006790138909018892,-0.36976442533888887,0.21654867,-0.18161415,0.2220977,0.10930344192043102,4.3558000470511615e-05,0.00013087400293443352,0.0007454250007867813,0.00036012099008075893,0.0003244199906475842,0.00013597399811260402,0.0021760480012744665,0.01761826999427285,0.019794317995547317,50.519548095819594,0
7,0.16008950500690844,-0.9444835821734827,-1.425092191701271,1.0650151411639612,-1.1832781595042725,-1.336911980305807,-0.5002554098712366,-0.17932766675949097,-1.2690708637237549,-0.7119216918945312,-0.36413857340812683,-0.1472173035144806,-0.17728306353092194,-0.12549930810928345,-1.0606694221496582,-0.4950060546398163,-0.17257876694202423,-0.16457892954349518,-0.15318728983402252,-2.100654483509016,0.7683670539518946,0.12237420584858018,-0.0017288005863170443,0.09753753622028895,-0.04067780620612413,-0.9419274,-1.4387342,1.0927987,-1.1874346,-1.3690327,-0.5065958,-0.9419274,-1.4387342,1.0927987,-1.1874346,-1.3690327,-0.5065958,-0.9444835782051086,-1.4250922203063965,1.065015196800232,-1.183278203010559,-1.3369120359420776,-0.5002554059028625,0.06390496,-0.3410495,0.69458747,-0.10390938,-0.8030167,-0.1585091,-0.26838112,0.2874682081131967,0.0,0.007186705202829918,0.017248092219233513,,,False,0,0.33419955997876655,-0.14467896208045503,0.23488163187420594,0.21903877470715755,-0.18793248161548273,0.11302591130268815,0.9289090138110475,0.018833406889430103,0.006644984454237981,-0.3697690576750019,0.21654867,-0.18161415,0.2220977,0.10928300865422194,6.68279972160235e-05,0.0001927050034282729,0.0008039579988690093,0.0003855520044453442,0.00017932600167114288,0.00011300199548713863,0.0023090519971447065,0.017415661000995897,0.019724712998140603,50.69782257892763,0
8,0.1800883679970866,-0.9448559919940394,-1.4269220393947144,1.0689213911639612,-1.1833861631206055,-1.3416321913348597,-0.5009120146380823,-0.009395908564329147,-1.324392318725586,-0.7181172966957092,-0.4896801710128784,-0.05757769197225571,-0.16870109736919403,-0.054913535714149475,-1.0486773252487183,-0.5102729797363281,-0.37123745679855347,-0.15759560465812683,-0.15292468667030334,-1.7331797249225027,2.1432484709752355,0.34436040631930653,0.05029812330548698,0.06716882149039438,-0.04238338975502741,-0.94363284,-1.4398026,1.0969747,-1.1878476,-1.3738126,-0.5073241,-0.94363284,-1.4398026,1.0969747,-1.1878476,-1.3738126,-0.5073241,-0.9448559880256653,-1.426922082901001,1.068921446800232,-1.183386206626892,-1.3416322469711304,-0.5009120106697083,0.030578215,-0.32201448,0.70133233,-0.111533955,-0.8045078,-0.16030262,-0.26941812,0.2395568400943306,0.0,0.005988921002358265,0.014373410493135452,,,False,0,0.3328209712553186,-0.14483069946304486,0.2341214998355959,0.21908343704333508,-0.187952553141284,0.1130292706693987,0.9289273467996535,0.018906739479089538,0.0067420354026884385,-0.36971756158447355,0.21654867,-0.18161415,0.2220977,0.10928184492657779,5.3471012506634e-05,0.00014520999684464186,0.0006824279989814386,0.0003758400125661865,0.0002329600101802498,0.00011821099906228483,0.002026988993748091,0.017774121995898895,0.019801110989646986,50.502216795959086,0
9,0.20008552700164728,-0.9447572867022913,-1.4287774425796052,1.0729625860797327,-1.1835571688464661,-1.3462393919574183,-0.5016663710223597,0.06856093555688858,-1.3619983196258545,-0.7295411825180054,-0.5891803503036499,-0.16877029836177826,-0.1754780113697052,0.1797003149986267,-1.036792278289795,-0.4945181608200073,-0.39759454131126404,-0.16701823472976685,-0.15134382247924805,-1.5985347218187513,1.470322558653714,-0.2353715081648982,0.03495435098641313,0.07069253008174028,-0.040728902185683605,-0.9446723,-1.4410309,1.1012259,-1.18842,-1.3786107,-0.50816333,-0.9446723,-1.4410309,1.1012259,-1.18842,-1.3786107,-0.50816333,-0.9447572827339172,-1.4287774562835693,1.0729626417160034,-1.183557152748108,-1.346239447593689,-0.5016663670539856,0.0021254907,-0.30633423,0.706581,-0.12157318,-0.8092817,-0.1624245,-0.26921704,0.19963070007860884,0.0,0.004990767501965221,0.011977842077612877,,,False,0,0.33152439019108404,-0.144801820053802,0.23334775111763226,0.2190811140733836,-0.18797650905001673,0.11304128329680135,0.9289821775787336,0.018603398056645553,0.006640139181977964,-0.3695969288121504,0.21654867,-0.18161415,0.2220977,0.10927119412585348,4.405798972584307e-05,0.00013939899508841336,0.0007131849997676909,0.0003189039998687804,0.00019440999312791973,0.0001473989977966994,0.0019419969903538004,0.01787274300295394,0.01981473999330774,50.467480286783555,0
