step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02008914299949538,1.0161504745483398,-2.2713481388487757,1.8253524939166468,-1.809244295159811,-0.8691924254046839,1.686157464981079,0.1434182971715927,-0.14999821782112122,-1.0546181201934814,-0.6012510061264038,0.2616271674633026,0.056716397404670715,-6.52024786972679e-17,0.09769675880670547,-0.7610677480697632,-0.23238320648670197,0.034542959183454514,0.0,-1.3556408710333794,7.974248638150742,-3.338513577108525,0.48847036269171473,0.1652132405345044,0.09649583206030209,0.9950212,-2.2586083,1.815972,-1.7973939,-0.86770016,1.6802496,0.9950212,-2.2586083,1.815972,-1.7973939,-0.86770016,1.6802496,1.0161504745483398,-2.271348237991333,1.8253525495529175,-1.8092442750930786,-0.8691924214363098,1.686157464981079,-0.52823204,0.31849778,-0.23451433,0.29625872,0.03730604,-0.14769585,0.30223554,0.16666666666666666,0.05000000074505806,0.004166666666666667,0.0,,,False,0,-0.12824552882275286,0.33238328509647985,0.34314770754708057,0.35152211574904974,-0.00772840688205694,0.11943836933920951,0.9983746951993335,0.044417674614993595,0.009081043987149134,0.03453435040173471,0.22236854,-0.14843358,0.24128373,0.2265499600619787,3.3361997338943183e-05,0.00010619900422170758,0.0005514749936992303,0.0003146939998259768,0.00020981900161132216,0.00011955300578847528,0.001696112987701781,0.01839201000984758,0.020088122997549362,49.780658955642316,0
1,0.04008773999521509,1.0158991813659668,-2.271208425561422,1.8252409140216272,-1.809077878991598,-0.8691681067096155,1.6861052513122559,-0.40575170516967773,0.2046787291765213,-1.273640751838684,-0.4264962077140808,0.32082295417785645,-0.112752765417099,-0.5006056427955627,0.5206062197685242,-1.012984037399292,-0.046917624771595,0.06833118200302124,-0.15829390287399292,0.14289897977910715,8.96152209708319,-3.2768665199290155,0.5032441280489401,0.12972023067445945,0.14240899392867826,0.9960821,-2.2553012,1.8164202,-1.801562,-0.88001335,1.6782895,0.9960821,-2.2553012,1.8164202,-1.801562,-0.88001335,1.6782895,1.0158991813659668,-2.2712085247039795,1.825240969657898,-1.8090778589248657,-0.8691681027412415,1.6861052513122559,-0.49542618,0.39767948,-0.2205195,0.18789744,-0.2711306,-0.1953933,0.29203042,0.3055555555555556,0.05000000074505806,0.0076388888888888895,0.008333333767950535,,,False,0,-0.12816077764498446,0.33242583325085034,0.34313207553934605,0.3515482511459496,-0.007716269550143908,0.11941740247277415,0.9983659222469398,0.04449151882277492,0.00892625148790783,0.034731546918288135,0.22236854,-0.14843358,0.24128373,0.22658367468922053,3.772099444177002e-05,0.0001198800018755719,0.0005454630008898675,0.0002981849975185469,0.00020734700956381857,9.200099157169461e-05,0.0016286020108964294,0.018183919994044118,0.019812522004940547,50.47313006141445,0
2,0.06009502300003078,1.0143702030181885,-2.2703243694701136,1.824597183858053,-1.8082696400084437,-0.8690126577960413,1.6856615543365479,-0.4815441966056824,0.38947924971580505,-1.331140398979187,-0.37250208854675293,0.34542471170425415,-0.15152840316295624,-0.44184616208076477,0.45867636799812317,-1.0198861360549927,-0.054451100528240204,0.1426936835050583,-0.1582661122083664,-0.21246899509674644,9.206836434202277,-2.92085582481587,0.5110694863718512,0.07573130320436205,0.09521290620954043,0.99432534,-2.2540867,1.815524,-1.8011109,-0.880023,1.6774561,0.99432534,-2.2540867,1.815524,-1.8011109,-0.880023,1.6774561,1.0143702030181885,-2.270324468612671,1.8245972394943237,-1.8082696199417114,-0.8690126538276672,1.6856615543365479,-0.5011221,0.40594453,-0.22683024,0.17896914,-0.27525803,-0.20513591,0.2899743,0.4212962962962963,0.05000000074505806,0.010532407407407407,0.015277777798473835,,,False,0,-0.12763351432735343,0.3327050013121716,0.3430542914117988,0.3515705665677998,-0.007718139149078445,0.11940698554219915,0.9983669506518965,0.044494465922125616,0.009277996662329499,0.03460547684544994,0.22236854,-0.14843358,0.24128373,0.22660083941039313,3.876500704791397e-05,0.00011287200322840363,0.0005343829980120063,0.00028293598734308034,0.0002103629958583042,9.689900616649538e-05,0.001595516994711943,0.018243276004795916,0.01983879299950786,50.40629235986317,0
3,0.08008604300266597,1.0117775201797485,-2.2687436542906703,1.823486630116598,-1.8068019352354945,-0.868960205708639,1.6849411725997925,-0.3339870870113373,0.33376073837280273,-1.3814626932144165,-0.3988535404205322,0.020377323031425476,-0.1768178641796112,-0.31799814105033875,0.41728025674819946,-1.001359462738037,-0.08922536671161652,-0.14322921633720398,-0.15666483342647552,0.7164908295805643,8.319621275294462,-2.962223011692256,0.5101043906109709,0.009859663804425371,0.09924787749036423,0.99131,-2.2524676,1.8139501,-1.7998927,-0.8803159,1.6763647,0.99131,-2.2524676,1.8139501,-1.7998927,-0.8803159,1.6763647,1.0117775201797485,-2.2687437534332275,1.8234866857528687,-1.8068019151687622,-0.8689602017402649,1.6849411725997925,-0.5116881,0.4069042,-0.23841432,0.17272994,-0.2838932,-0.21441318,0.2864609,0.5177469135802468,0.05000000074505806,0.012943672839506173,0.021064814180135727,,,False,0,-0.12669127583715106,0.3331793281612733,0.34286922607470227,0.3515389331646247,-0.007744090622678599,0.119466471183689,0.9983856091798875,0.04429318154762445,0.008639302482112051,0.03449170799162758,0.22236854,-0.14843358,0.24128373,0.22653469503748674,3.622900112532079e-05,0.00012744800187647343,0.0005473450000863522,0.0003850479988614097,0.00018190899572800845,9.273699834011495e-05,0.0017456580098951235,0.018044215001282282,0.019789873011177406,50.53089524299604,0
4,0.10057914200297091,1.008746862411499,-2.2665521107115687,1.8222664038287562,-1.8054291210570277,-0.8698247114764612,1.683904767036438,-0.21494054794311523,0.19605207443237305,-1.4441016912460327,-0.42411839962005615,0.07178961485624313,-0.19204576313495636,-0.26061737537384033,0.35771796107292175,-1.0027040243148804,-0.10174208879470825,-0.14122004806995392,-0.15354031324386597,-1.8925399351756518,8.25228578491165,-3.159782426571376,0.5193934521380031,0.07899385703820881,0.025083393011363704,0.9877184,-2.2503893,1.8125021,-1.7984469,-0.88115805,1.6750401,0.9877184,-2.2503893,1.8125021,-1.7984469,-0.88115805,1.6750401,1.008746862411499,-2.266552209854126,1.8222664594650269,-1.8054291009902954,-0.8698247075080872,1.683904767036438,-0.52571106,0.40407252,-0.24410781,0.17455433,-0.28333396,-0.22161485,0.28687564,0.5981224279835391,0.05000000074505806,0.014953060699588478,0.025887345895171165,,,False,0,-0.12534764289879458,0.333797073928907,0.34250104171624823,0.3515173952381955,-0.007736694050233732,0.11942895719297968,0.9983883849038081,0.04438752321347794,0.00858808597693034,0.03430278549055322,0.22236854,-0.14843358,0.24128373,0.22654718448861966,3.8771002436988056e-05,0.00011977899703197181,0.0005111530044814572,0.0003154619917040691,0.00016159100050572306,0.00010047700197901577,0.001571517001139,0.01873916800832376,0.02031068500946276,49.23516855950941,0
5,0.12013598199700937,1.0058298110961914,-2.26421656231069,1.8209636847125452,-1.8042751751341761,-0.8710973898517054,1.6827994585037231,-0.22350746393203735,0.0866851657629013,-1.470175862312317,-0.4722532033920288,0.057622279971838,-0.18535444140434265,-0.2531035840511322,0.32137423753738403,-1.009623408317566,-0.10128583014011383,-0.12501464784145355,-0.150845468044281,-1.5937893579020355,7.721182355312472,-3.5770354531032136,0.5047247746305777,0.07936563626989374,0.02592951099126424,0.9843666,-2.248229,1.8109386,-1.797187,-0.8824402,1.6737322,0.9843666,-2.248229,1.8109386,-1.797187,-0.8824402,1.6737322,1.0058298110961914,-2.264216661453247,1.820963740348816,-1.8042751550674438,-0.8710973858833313,1.6827994585037231,-0.53658056,0.39968938,-0.25062928,0.17720552,-0.28357068,-0.226682,0.2866959,0.665102023319616,0.05000000074505806,0.0166275505829904,0.029906122013926506,,,False,0,-0.1239315303392291,0.33442734235076166,0.3421223976019728,0.35156689855532014,-0.0077218075812583815,0.11942791752470752,0.9983647690004225,0.044531780200241344,0.009214324006804102,0.03463764710855544,0.22236854,-0.14843358,0.24128373,0.22658521223457637,6.23820087639615e-05,0.0001515100011602044,0.0005248700035735965,0.0002963110018754378,0.00019184300617780536,0.00010558900248724967,0.0017170310020446777,0.017688806998194195,0.019405838000238873,51.530884674379465,0
6,0.14012549800099805,1.0030272006988525,-2.262059827844137,1.8195703665362757,-1.8032590351500453,-0.8726690451251429,1.6816143989562988,-0.29631680250167847,0.13921421766281128,-1.4418842792510986,-0.48291102051734924,0.07239517569541931,-0.21228700876235962,-0.2617429196834564,0.3089841604232788,-1.0121887922286987,-0.09790695458650589,-0.11683099716901779,-0.15013228356838226,-1.384887652778509,8.437312375841842,-3.433523921449699,0.5401160846151775,0.036661823091914,-0.0008003179886092449,0.9812447,-2.2462041,1.809362,-1.7960987,-0.88404393,1.6723926,0.9812447,-2.2462041,1.809362,-1.7960987,-0.88404393,1.6723926,1.0030272006988525,-2.2620599269866943,1.8195704221725464,-1.803259015083313,-0.8726690411567688,1.6816143989562988,-0.54456246,0.39639422,-0.25520894,0.17900716,-0.28437296,-0.23054537,0.2864383,0.7209183527663466,0.05000000074505806,0.018022958819158667,0.03325510025024414,,,False,0,-0.12250217452440172,0.33501350549880715,0.3418043802491726,0.35154529802366424,-0.007744682231237103,0.11945802001178309,0.9984010528957349,0.04404567967172352,0.008371788167880992,0.03442651323484851,0.22236854,-0.14843358,0.24128373,0.22654250153490546,4.234400694258511e-05,0.00014749799447599798,0.0004921110084978864,0.00035226000181864947,0.00017320699407719076,0.000177823007106781,0.0017423749959561974,0.018063727009575814,0.01980610200553201,50.48949054794788,0
7,0.16012631499324925,1.0001617670059204,-2.259853502313131,1.81812030473818,-1.8023907146849574,-0.8742097059832972,1.6803696155548096,-0.29163190722465515,0.2324325293302536,-1.3750102519989014,-0.4392327666282654,0.0010754205286502838,-0.20900632441043854,-0.266058087348938,0.30393192172050476,-1.0139576196670532,-0.09603285789489746,-0.11372712254524231,-0.14981259405612946,-0.38964647451413437,6.774231942611726,-2.455970568401398,0.443158895913628,0.06152698530633861,0.043815933021821026,0.97814065,-2.2440763,1.8077408,-1.7952005,-0.8856591,1.6710202,0.97814065,-2.2440763,1.8077408,-1.7952005,-0.8856591,1.6710202,1.0001617670059204,-2.2598536014556885,1.8181203603744507,-1.802390694618225,-0.8742097020149231,1.6803696155548096,-0.5505278,0.39443335,-0.25949013,0.17975485,-0.28623497,-0.23373567,0.28518525,0.7674319606386222,0.05000000074505806,0.019185799015965555,0.03604591637849808,,,False,0,-0.12104376809610398,0.3356204440896556,0.3415261661256268,0.35155566154958146,-0.007719925729445147,0.11942995741897183,0.9983751026281421,0.04425019925430734,0.008964576594501766,0.03476584087479756,0.22236854,-0.14843358,0.24128373,0.2265788767369958,3.7192992749623954e-05,0.00011032300244551152,0.0004838269960600883,0.00027742299425881356,0.00015396800881717354,9.518000297248363e-05,0.0014643780014012009,0.01837105699814856,0.01983543499954976,50.41482579145346,0
8,0.18013201300345827,0.9970895648002625,-2.2575417957701625,1.816791836415426,-1.8012901745238246,-0.8759682814227503,1.679128646850586,-0.2587744891643524,0.16574245691299438,-1.4488308429718018,-0.5004627704620361,0.07302189618349075,-0.2317369282245636,-0.26415354013442993,0.297878623008728,-1.0159869194030762,-0.09612886607646942,-0.11332909017801285,-0.1496400237083435,-1.5951675707726314,8.786214265280364,-3.600578551846945,0.5426051880521331,0.04940201258254434,-0.023523493279584237,0.9748546,-2.241866,1.806238,-1.7940316,-0.8874542,1.6696756,0.9748546,-2.241866,1.806238,-1.7940316,-0.8874542,1.6696756,0.9970895648002625,-2.2575418949127197,1.8167918920516968,-1.8012901544570923,-0.8759682774543762,1.679128646850586,-0.55587476,0.39189434,-0.26384544,0.18146303,-0.28714818,-0.23632659,0.2841556,0.8061933005321851,0.05000000074505806,0.02015483251330463,0.03837159648537636,,,False,0,-0.11946938734885729,0.3362407552326423,0.3411112126653611,0.35152914842581606,-0.007752722985982379,0.11942109991349126,0.9983713118090548,0.0444900174836238,0.008868093504577644,0.034594231782558646,0.22236854,-0.14843358,0.24128373,0.22654815719687504,3.7003992474637926e-05,0.00011453199840616435,0.00047875099699012935,0.000412011009757407,0.00019152701133862138,0.00010659299732651561,0.0016678719985065982,0.01815365900984034,0.019821531008346938,50.45018972444134,0
9,0.200230994989397,0.994123101234436,-2.2552267513670863,1.8154619375811976,-1.8003188572325648,-0.8775256315814417,1.6778383255004883,-0.2585197985172272,0.058702096343040466,-1.5066274404525757,-0.46727800369262695,0.06896039843559265,-0.2196907103061676,-0.26158422231674194,0.29457247257232666,-1.0174760818481445,-0.09719527512788773,-0.11351824551820755,-0.14963632822036743,-1.1783092872880698,8.0380589733976,-3.2669524598041244,0.5135209725159648,0.07325687699452584,0.033030586964643865,0.9717402,-2.2395995,1.8048229,-1.7930436,-0.8890708,1.6683036,0.9717402,-2.2395995,1.8048229,-1.7930436,-0.8890708,1.6683036,0.994123101234436,-2.2552268505096436,1.8154619932174683,-1.8003188371658325,-0.8775256276130676,1.6778383255004883,-0.5595728,0.39068267,-0.26597738,0.18188049,-0.2886302,-0.2383666,0.28361812,0.8384944171101542,0.05000000074505806,0.020962360427753856,0.040309663861989975,,,False,0,-0.11796268634860135,0.33685516428414797,0.34074226152776943,0.35159584437738317,-0.007776983219480673,0.11946902924777796,0.9983857468559432,0.04433588241911343,0.008251950340560069,0.034527485254961535,0.22236854,-0.14843358,0.24128373,0.22654535164652662,4.074700700584799e-05,0.00011664899648167193,0.0004858759930357337,0.0003145220107398927,0.00016036898887250572,0.00010539000504650176,0.001547017993289046,0.0183876609953586,0.019934678988647647,50.16383763036654,0
