step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02013921199250035,0.017168641090393066,-1.7849422893919886,1.6027219931231897,-1.5159905713847657,-1.555033032094137,0.2962651252746582,0.10234007239341736,-0.748694896697998,-1.1761692762374878,-0.6276522874832153,-0.08021260797977448,0.03229273483157158,-4.682351396717163e-18,-0.4376242160797119,-0.8340713977813721,-0.26350364089012146,0.0010794266127049923,0.0,-0.03146380545313881,0.07545559444999178,0.11072360673021991,-0.021532066554155054,0.061962906779789835,0.0385522999215648,-0.00064590573,-1.7815057,1.582946,-1.5213001,-1.5528172,0.28838333,-0.00064590573,-1.7815057,1.582946,-1.5213001,-1.5528172,0.28838333,0.017168641090393066,-1.7849422693252563,1.6027220487594604,-1.5159906148910522,-1.5550330877304077,0.2962651252746582,-0.4453637,0.08591444,-0.49440145,-0.13273591,0.055397343,-0.19704446,-0.024696708,0.0,0.0,0.0,0.0,,,False,0,0.2693079394682296,0.13938207651958165,0.20404534918015269,0.3637933179464821,-0.004610175365323182,0.16981881835175874,0.999790224651126,0.012317580980288168,0.010565602178952208,0.01249729581577403,0.21711667,0.21089208,0.18445662,0.2610929473357936,3.913599357474595e-05,0.00011773098958656192,0.0005372449959395453,0.0003231570008210838,0.0001680290006333962,0.00010255699453409761,0.001651938000577502,0.01848570999572985,0.02013764799630735,49.65823219193078,0
1,0.04014127100526821,0.017230460420250893,-1.7849542103209437,1.602734390889303,-1.5159747314504166,-1.5550292173968714,0.2962495982646942,0.09691890329122543,-0.763075590133667,-1.1779015064239502,-0.6366604566574097,-0.06022471934556961,0.03627385199069977,-1.7183318995223338e-17,-0.43763861060142517,-0.8340744972229004,-0.26350295543670654,0.0010802458273246884,0.0,0.034322380922606116,-0.026845316422334894,0.14725690037907518,-0.013156887685492079,0.06040331343401523,0.03762484874871193,0.0027094707,-1.7861155,1.5835402,-1.5210055,-1.5534574,0.28822526,0.0027094707,-1.7861155,1.5835402,-1.5210055,-1.5534574,0.28822526,0.017230460420250893,-1.7849541902542114,1.6027344465255737,-1.515974760055542,-1.555029273033142,0.2962495982646942,-0.36302474,-0.029034609,-0.4798558,-0.12576877,0.039298635,-0.2006083,0.020064978,0.0026753303905328115,0.0004012995585799217,6.688325976332029e-05,0.0,,,False,0,0.26929282042096797,0.13939951732291664,0.20404277818539274,0.3637686623777887,-0.004617084559237705,0.1698489579425614,0.9997954601374203,0.012139853705949392,0.010434846501443445,0.012358402869128295,0.21711667,0.21089208,0.18445662,0.26108311216810387,4.332800745032728e-05,0.00012842599244322628,0.0005449089949252084,0.0003927360085071996,0.0001890840067062527,9.74830036284402e-05,0.001741135012707673,0.01809510499879252,0.019836240011500195,50.41277981211375,0
2,0.060131057995022275,0.017215082421898842,-1.7849232159056605,1.602741543446676,-1.5159905713847657,-1.5550292173968714,0.2962770462036133,0.09196155518293381,-0.769079864025116,-1.1797189712524414,-0.6202731132507324,-0.0679379552602768,0.021534113213419914,-3.8169051608732485e-17,-0.4375927746295929,-0.8340687155723572,-0.2635047733783722,0.001081545720808208,0.0,0.09126126885307233,0.007276864192194895,0.15419791222729864,-0.017251856439924197,0.061358716265158014,0.036946340095913265,0.002479137,-1.7854573,1.5835904,-1.5208893,-1.5536124,0.28818792,0.002479137,-1.7854573,1.5835904,-1.5208893,-1.5536124,0.28818792,0.017215082421898842,-1.7849231958389282,1.6027415990829468,-1.5159906148910522,-1.555029273033142,0.2962770462036133,-0.36839864,-0.01335155,-0.47877935,-0.12246817,0.03542329,-0.20222785,0.014240922,0.006803562036818927,0.0006861180067062378,0.0001700890509204732,0.00013376651622820646,,,False,0,0.2692987977394564,0.13939544212526095,0.2040338570876546,0.3637683201498863,-0.004619650386666432,0.16989673511634057,0.9997991905477955,0.012178886650708022,0.010105946888515679,0.012294830335007466,0.21711667,0.21089208,0.18445662,0.2610823691199671,0.0001325170014752075,0.00016543599485885352,0.0006056839920347556,0.00036366200947668403,0.00017564400332048535,9.535301069263369e-05,0.001972583995666355,0.017799609995563515,0.01977219399122987,50.576076708713195,0
3,0.08009002800099552,0.017184019088745117,-1.7849508724608363,1.6027620474444788,-1.515994244521,-1.555033032094137,0.2962495684623718,0.08951115608215332,-0.75699782371521,-1.1761033535003662,-0.638164222240448,-0.08462873846292496,0.03001164272427559,6.1913538271405e-18,-0.4376693069934845,-0.8340807557106018,-0.26350054144859314,0.0010802551405504346,0.0,0.12292393506302564,0.12894321379640863,0.13451345279860485,-0.01861758761800532,0.0634265662519115,0.039707111479723514,0.0024783975,-1.7854898,1.5835998,-1.5208886,-1.5536083,0.28817248,0.0024783975,-1.7854898,1.5835998,-1.5208886,-1.5536083,0.28817248,0.017184019088745117,-1.784950852394104,1.6027621030807495,-1.5159941911697388,-1.5550330877304077,0.2962495684623718,-0.36764055,-0.013472213,-0.47905725,-0.12235816,0.035620287,-0.20192729,0.013300456,0.012017149222945724,0.0009521271288394928,0.00030042873057364313,0.0003401781141292304,,,False,0,0.2692987090781947,0.13938609612603475,0.2040351431404346,0.36378802930250215,-0.004616647595033423,0.16981869105778713,0.9997892325701208,0.012181054111710865,0.011084144518609942,0.012257284807313943,0.21711667,0.21089208,0.18445662,0.2610953256265521,4.212401108816266e-05,0.0001249799970537424,0.0006176409951876849,0.00030458900437224656,0.0001697730040177703,9.929000225383788e-05,0.0017048839945346117,0.01809003800735809,0.0197949220018927,50.51800658291983,0
4,0.10063696499855723,0.017153263092041016,-1.7849580250182093,1.6027534643756312,-1.5159905713847657,-1.555033032094137,0.2962651252746582,0.09322841465473175,-0.7648078203201294,-1.1619261503219604,-0.625465989112854,-0.06419453024864197,0.034675005823373795,1.2220116205896964e-17,-0.43763455748558044,-0.8340739607810974,-0.2635026276111603,0.001081325113773346,0.0,0.08010452769471746,0.023893615369638493,0.18267949819642568,-0.017647340979587898,0.06663751505178102,0.03807321277784716,0.0025071232,-1.7855672,1.5835922,-1.5208422,-1.553617,0.2881865,0.0025071232,-1.7855672,1.5835922,-1.5208422,-1.553617,0.2881865,0.017153263092041016,-1.784958004951477,1.6027535200119019,-1.5159906148910522,-1.5550330877304077,0.2962651252746582,-0.3661535,-0.01522825,-0.47903377,-0.12129082,0.035401665,-0.20196559,0.013340929,0.018140595690289765,0.001218945700675249,0.00045351489225724413,0.0006008574855513871,,,False,0,0.26930339918557605,0.13937782042808775,0.2040394425315813,0.3637729180130771,-0.004616891050720478,0.1698224541109416,0.9997906146253596,0.012199323993945903,0.010692600151168056,0.012472626627023444,0.21711667,0.21089208,0.18445662,0.2610868271033913,4.6334011130966246e-05,0.00013830700481776148,0.0006253789906622842,0.00035049500002060086,0.00020343900541774929,0.0001280089927604422,0.0018837649986380711,0.018461528001353145,0.020345292999991216,49.15141797173586,0
5,0.12008809100370854,0.017184019088745117,-1.7849351368346156,1.6027568022357386,-1.516006090944149,-1.555033032094137,0.2962687611579895,0.09322115033864975,-0.739677369594574,-1.1683332920074463,-0.6283477544784546,-0.06965921819210052,0.03564682602882385,-1.97284743307102e-17,-0.437592089176178,-0.8340678215026855,-0.2635037302970886,0.001080242800526321,0.0,0.13274587015014017,-0.08811925647367677,0.18916132304477296,-0.01664369917268575,0.06630942602523977,0.03759700718918567,0.002622934,-1.7856642,1.5835928,-1.5208057,-1.5536176,0.28818786,0.002622934,-1.7856642,1.5835928,-1.5208057,-1.5536176,0.28818786,0.017184019088745117,-1.7849351167678833,1.6027568578720093,-1.5160061120986938,-1.5550330877304077,0.2962687611579895,-0.36402714,-0.018227423,-0.47910178,-0.11999054,0.035386506,-0.2020222,0.013789773,0.025082104144725226,0.0014947411604225636,0.0006270526036181306,0.0009070297819562256,,,False,0,0.2693031632251673,0.1393861726737161,0.20403392098927814,0.36377242687073436,-0.0045987773684580385,0.16986471110368484,0.9997907649466665,0.012472928897195496,0.010283560651544416,0.012534750304287336,0.21711667,0.21089208,0.18445662,0.2610692345513557,4.5187000068835914e-05,0.00014081900008022785,0.0006048259965609759,0.0003751119947992265,0.0001928309939103201,0.00010356100392527878,0.0018741539970505983,0.01740679400973022,0.019280948006780818,51.86466970650588,0
6,0.14015171400387771,0.017184019088745117,-1.7849041424193324,1.6027568022357386,-1.515994244521,-1.5550134817706507,0.2962615191936493,0.08060659468173981,-0.7667573094367981,-1.1768147945404053,-0.6305960416793823,-0.0845036432147026,0.028021084144711494,9.891122189624298e-18,-0.43757128715515137,-0.8340681791305542,-0.2635047733783722,0.0010810556123033166,0.0,0.0978921921571832,0.10650484016342218,0.41731162475694034,-0.015749877393269714,0.06030576746164871,0.03914905063027559,0.0026707752,-1.7857044,1.5835854,-1.5207585,-1.5535989,0.28817815,0.0026707752,-1.7857044,1.5835854,-1.5207585,-1.5535989,0.28817815,0.017184019088745117,-1.7849041223526,1.6027568578720093,-1.5159941911697388,-1.5550135374069214,0.2962615191936493,-0.36283112,-0.020007348,-0.4792867,-0.11910836,0.035367265,-0.20208414,0.013425254,0.03265672842515262,0.0017632462456822397,0.0008164182106288155,0.0012541052419692278,,,False,0,0.26930202867408204,0.13939078964267224,0.20402421804374196,0.36376814859564566,-0.004611945620610613,0.16982572020392492,0.9997913353979946,0.012223840031377099,0.010566674315526863,0.012496318243815384,0.21711667,0.21089208,0.18445662,0.2610798828957397,4.878800245933235e-05,0.00013438799942377955,0.0005830529989907518,0.00030792200413998216,0.00022731100034434348,9.356699592899531e-05,0.001749992006807588,0.018133835998014547,0.019883828004822135,50.29212683581273,0
7,0.16007890900073107,0.017180493101477623,-1.7849270306029261,1.6027382055865687,-1.5159400638988991,-1.555025879536764,0.2962770462036133,0.07638847082853317,-0.7914972901344299,-1.1892917156219482,-0.63605135679245,-0.06731030344963074,0.03844699636101723,-2.7385556220938018e-17,-0.43765366077423096,-0.8340772986412048,-0.2635021209716797,0.0010794325498864055,0.0,-0.12174904899259434,0.29719421473886287,-0.19508447881216917,-0.005505440383634279,0.07223633094989229,0.028145592672287053,0.002737104,-1.7858394,1.5835574,-1.5206656,-1.5536062,0.28819168,0.002737104,-1.7858394,1.5835574,-1.5206656,-1.5536062,0.28819168,0.017180493101477623,-1.7849270105361938,1.6027382612228394,-1.5159400701522827,-1.5550259351730347,0.2962770462036133,-0.36108473,-0.02281101,-0.4795232,-0.11813815,0.03549395,-0.20213434,0.013497042,0.04076852086395648,0.0020331870764493942,0.001019213021598912,0.001632836414501071,,,False,0,0.2692926951782999,0.13938673107334143,0.20403020605836913,0.3637894479382738,-0.004612499919923241,0.16982853128661232,0.9997911414711032,0.012171728856453503,0.010579477642182143,0.012555453098772984,0.21711667,0.21089208,0.18445662,0.2610921475745728,4.710099892690778e-05,0.0001308960054302588,0.0005901999975321814,0.0003809649933828041,0.0001730090007185936,0.0001259909913642332,0.001859637995949015,0.017898612000863068,0.019758249996812083,50.61176977522534,0
8,0.18007827599649318,0.01719970442354679,-1.7849074802794398,1.6027382055865687,-1.5159784120372315,-1.5550015608416956,0.2962651252746582,0.0628119707107544,-0.803223729133606,-1.1699503660202026,-0.6329432725906372,-0.07899019122123718,0.025985976681113243,3.2268491471573777e-18,-0.4376305937767029,-0.8340741395950317,-0.26350322365760803,0.0010802448960021138,0.0,0.21758634899928056,-0.060656758813296116,0.00476034794337989,-0.013898286297757753,0.05852405114262882,0.05490046214273482,0.0028430354,-1.7859713,1.5835493,-1.5206556,-1.5535698,0.28817648,0.0028430354,-1.7859713,1.5835493,-1.5206556,-1.5535698,0.28817648,0.01719970442354679,-1.7849074602127075,1.6027382612228394,-1.515978455543518,-1.5550016164779663,0.2962651252746582,-0.35891673,-0.026596347,-0.47972557,-0.11692906,0.035796147,-0.20221648,0.013944007,0.04938754889046671,0.0023120672255754473,0.0012346887222616679,0.00203842599876225,,,False,0,0.26929952790639083,0.13939783542496006,0.20402937345550462,0.3637778096427476,-0.004600268647818429,0.16986080776650378,0.9997919626034353,0.012254190082951725,0.010669763767642114,0.01232919761655083,0.21711667,0.21089208,0.18445662,0.2610737074718163,4.191900370642543e-05,0.00012083099863957614,0.0005489859904628247,0.00032788900716695935,0.0001637740060687065,9.74280119407922e-05,0.0016419570019934326,0.018169985996792093,0.019811942998785526,50.47460514404368,0
9,0.20008029899327084,0.017180493101477623,-1.7849351368346156,1.6027534643756312,-1.515974723999836,-1.5550101439105433,0.2962806522846222,0.09133538603782654,-0.7505105137825012,-1.1764187812805176,-0.6471944451332092,-0.059343334287405014,0.024709170684218407,1.195986533285308e-17,-0.437582403421402,-0.8340724110603333,-0.26350295543670654,0.0010802458273246884,0.0,0.1291457135819986,0.06909262349358883,0.09569624687032591,-0.020276695926694777,0.06480812745891268,0.031928016992759926,0.0029102582,-1.786154,1.5835556,-1.5206001,-1.5535611,0.28818765,0.0029102582,-1.786154,1.5835556,-1.5206001,-1.5535611,0.28818765,0.017180493101477623,-1.7849351167678833,1.6027535200119019,-1.515974760055542,-1.555010199546814,0.2962806522846222,-0.35675588,-0.030473147,-0.47994867,-0.11563344,0.036227025,-0.20232475,0.014392704,0.0584890994154374,0.002599921301007271,0.0014622274853859352,0.0024693773593753576,,,False,0,0.2692971348838974,0.1393905391471743,0.20403149632909395,0.3637572738283961,-0.004624261576230145,0.16989079396272364,0.9997991115218803,0.012141573587820165,0.010283954891558348,0.012187587581848465,0.21711667,0.21089208,0.18445662,0.2610803023155563,3.889900108333677e-05,0.00011493099736981094,0.0005397359927883372,0.00032587700115982443,0.00016739100101403892,0.00010243800352327526,0.0016574719920754433,0.018179114995291457,0.0198365869873669,50.411898006288006,0
