step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02017667998734396,0.24888291954994202,-2.241932054559225,1.795236889516012,-1.2197379630855103,-1.30202562013735,0.30094748735427856,-0.02934945933520794,-0.07480917870998383,-1.0777069330215454,-0.5146695375442505,0.11333811283111572,-0.013418376445770264,-2.0835920278408443e-17,0.062388982623815536,-0.7737941145896912,-0.2619931697845459,0.01825718954205513,0.0,-0.24536419208433793,-0.16000942094383294,0.013081990315040697,0.002232735718554367,-0.009860792126042657,0.0014415135939831302,0.22222266,-2.2467654,1.790262,-1.2094642,-1.2987499,0.29150966,0.22222266,-2.2467654,1.790262,-1.2094642,-1.2987499,0.29150966,0.24888291954994202,-2.2419321537017822,1.7952369451522827,-1.2197380065917969,-1.3020256757736206,0.30094748735427856,-0.6665065,-0.12082909,-0.12437429,0.25684586,0.081894085,-0.2359454,0.24445973,0.03259463111559549,0.004889194667339325,0.0008148657778898874,0.0,,,False,0,0.09427579734382303,0.22410147118820306,0.21495233342785355,0.2104193382317691,-0.1853382955332878,0.11366568175164593,0.9992123543096831,0.002935277507876816,-0.004283324187085153,0.03934118265822605,0.12265754,-0.2335552,0.3045104,0.21551964037373028,2.9129994800314307e-05,0.00011312500282656401,0.00046960900363046676,0.00025887100491672754,0.00018931599333882332,9.995399159379303e-05,0.001479979997384362,0.01869577199977357,0.02017575199715793,49.56444746846935,0
1,0.040139110991731286,0.24857214093208313,-2.241971632043356,1.795224968587057,-1.2195366483977814,-1.3019383589373987,0.3008754849433899,-0.4651589095592499,-0.20950080454349518,-1.3352317810058594,-0.42163556814193726,0.18419870734214783,-0.237245574593544,-0.533363401889801,-0.12220417708158493,-0.9999371767044067,-0.10157669335603714,0.101407989859581,-0.17282915115356445,0.6345258354446417,-1.255043087083558,-0.2800253885623683,-0.033184740394108236,-0.02132325706608157,0.00248788181473636,0.2218605,-2.2485,1.7841864,-1.2099866,-1.3030585,0.2913796,0.2218605,-2.2485,1.7841864,-1.2099866,-1.3030585,0.2913796,0.24857214093208313,-2.241971731185913,1.7952250242233276,-1.2195366621017456,-1.3019384145736694,0.3008754849433899,-0.6677909,-0.16320847,-0.2759654,0.23875102,-0.028003445,-0.2373974,0.13941406,0.078345364663336,0.007677475810050964,0.0019586341165834,0.0016297315014526248,,,False,0,0.09429626137236227,0.22408026262895692,0.21494573495714403,0.2104442670054431,-0.18539756091842816,0.11361220871377715,0.9992116433085513,0.003595817624844063,-0.0037922251381904666,0.03935529372995584,0.12265754,-0.2335552,0.3045104,0.21556389511430682,4.502700176090002e-05,0.0001410510012647137,0.0005931689956923947,0.00030198799504432827,0.0001680049899732694,0.00011241900210734457,0.001767870009643957,0.01798358399537392,0.019751454005017877,50.62918404619472,0
2,0.0602486309944652,0.24651111662387848,-2.2424098453917445,1.7948415915118616,-1.2188576620868226,-1.3017180601703089,0.3001091480255127,-0.4816998243331909,-0.232406884431839,-1.384770154953003,-0.3050025403499603,0.19641660153865814,-0.22932691872119904,-0.47646623849868774,-0.15896441042423248,-1.0348107814788818,-0.10286848992109299,0.16362333297729492,-0.17055316269397736,0.29873475777307795,-0.831945143870067,-0.09028932821055555,0.002104944249983004,-0.0727348488370583,-0.08920263596456254,0.21905719,-2.2475095,1.7818924,-1.2109319,-1.30526,0.29037,0.21905719,-2.2475095,1.7818924,-1.2109319,-1.30526,0.29037,0.24651111662387848,-2.2424099445343018,1.7948416471481323,-1.2188576459884644,-1.3017181158065796,0.3001091480255127,-0.6863482,-0.12748617,-0.3237295,0.19814324,-0.0885471,-0.24347879,0.08968271,0.12842867103991684,0.009471130073070527,0.003210716775997921,0.003917268011718988,,,False,0,0.09462063486771564,0.22390283666597843,0.2150658164337715,0.2104894227248509,-0.18533269878944683,0.11359369368206715,0.9991996674847583,0.003781014249506738,-0.0038130998056800703,0.03963884497871401,0.12265754,-0.2335552,0.3045104,0.21561318094684448,4.295799590181559e-05,0.00012834000517614186,0.0005928129976382479,0.00029051999445073307,0.00017000100342556834,0.00010959400970023125,0.0017299159953836352,0.018219171004602686,0.01994908699998632,50.12760734366869,0
3,0.08008975299890153,0.2431342452764511,-2.243035455743307,1.7941530386554163,-1.2176027458957215,-1.3013833204852503,0.29895350337028503,-0.3673974573612213,-0.30704522132873535,-1.454680323600769,-0.34006962180137634,0.18295687437057495,-0.23294585943222046,-0.33801934123039246,-0.17980428040027618,-1.0749138593673706,-0.12521202862262726,0.14573068916797638,-0.15738257765769958,0.26351353883559253,-1.1174999295210772,-0.07475903085336927,-0.017501369889483837,-0.06930122782549322,-0.07010168960923154,0.21535468,-2.247738,1.7800896,-1.2107657,-1.3058453,0.28910485,0.21535468,-2.247738,1.7800896,-1.2107657,-1.3058453,0.28910485,0.2431342452764511,-2.2430355548858643,1.794153094291687,-1.2176027297973633,-1.301383376121521,0.29895350337028503,-0.6944892,-0.117557,-0.35158685,0.17092621,-0.11154856,-0.24621645,0.060171254,0.1781875935509617,0.010674555152654648,0.004454689838774043,0.006421433761715889,,,False,0,0.09513558299877625,0.2236012021090767,0.21525007820828557,0.21043814041209724,-0.18538316571611477,0.11361693706814052,0.9992042694183042,0.003565868286147552,-0.003819038476312029,0.039541202081600675,0.12265754,-0.2335552,0.3045104,0.21556042931368402,6.437500996980816e-05,0.00019060299382545054,0.000904149012058042,0.0003395649982849136,0.0002763219963526353,0.00016742599837016314,0.0024974109983304515,0.017074825009331107,0.01957223600766156,51.092782633959125,0
4,0.10058220000064466,0.23938123881816864,-2.243629594842428,1.7930448690997522,-1.2162153881839295,-1.3014143149005335,0.29763394594192505,-0.2611381411552429,-0.3984977602958679,-1.4877139329910278,-0.3826514780521393,0.09137850999832153,-0.19793999195098877,-0.28576424717903137,-0.14305952191352844,-1.0721009969711304,-0.13675659894943237,-0.04755452275276184,-0.15197812020778656,-0.5880876503983868,-0.6680122520997872,-0.5510463000394168,0.013857599245005785,-0.0363400540015714,-0.07381774111305084,0.21129778,-2.2480505,1.7785647,-1.2101117,-1.3063728,0.28768182,0.21129778,-2.2480505,1.7785647,-1.2101117,-1.3063728,0.28768182,0.23938123881816864,-2.2436296939849854,1.793044924736023,-1.2162153720855713,-1.3014143705368042,0.29763394594192505,-0.7020865,-0.11051986,-0.3620045,0.15258986,-0.123959325,-0.24880303,0.04544051,0.225712096965546,0.011583365350961685,0.00564280242413865,0.008909380063414574,,,False,0,0.09578088607860426,0.22318813759802875,0.21551749685669735,0.21045670914240805,-0.18536461501366916,0.11363512913259716,0.9992112921015271,0.003306812010098044,-0.003661227670446459,0.03940157369651232,0.12265754,-0.2335552,0.3045104,0.21555602847434158,6.700100493617356e-05,0.0001437399914721027,0.0006081320025259629,0.00031710400071460754,0.00017426899285055697,0.00011585300671868026,0.0018350339960306883,0.018479774007573724,0.020314808003604412,49.225176030340634,0
5,0.12014130898751318,0.23552709817886353,-2.244445940057272,1.7913196722613733,-1.2149795156768342,-1.301657501851217,0.29622364044189453,-0.29418253898620605,-0.34182101488113403,-1.4642142057418823,-0.3359685242176056,0.022493727505207062,-0.2279224842786789,-0.27179595828056335,-0.12606921792030334,-1.0560853481292725,-0.13790364563465118,-0.13277673721313477,-0.15042150020599365,-0.6500349198227197,-0.43414051879852084,-0.3604748295889872,0.012986370306048638,-0.03548943903122989,-0.07309364459675696,0.2071524,-2.2484972,1.7766703,-1.2093775,-1.306925,0.2862125,0.2071524,-2.2484972,1.7766703,-1.2093775,-1.306925,0.2862125,0.23552709817886353,-2.244446039199829,1.791319727897644,-1.2149795293807983,-1.3016575574874878,0.29622364044189453,-0.7093675,-0.10128286,-0.36623564,0.14005005,-0.13168809,-0.25027844,0.036838997,0.2702277160984233,0.012320145294070243,0.006755692902460583,0.011285604909062386,,,False,0,0.09655363451359018,0.22273934053060887,0.21600372687179137,0.21043069922416863,-0.18541478940193443,0.113672587173,0.9992103925953878,0.0032814989336105186,-0.004513433029958506,0.03933838721910989,0.12265754,-0.2335552,0.3045104,0.21550105154231336,4.465099482331425e-05,0.0001296989939874038,0.000572264994843863,0.00029435299802571535,0.00019061801140196621,0.00018691200239118189,0.0018503169994801283,0.017539983993628994,0.019390300993109122,51.57217520013627,0
6,0.14010390499606729,0.23164571821689606,-2.245296617547506,1.7893503347979944,-1.2138626736453553,-1.3020160833941858,0.2948303818702698,-0.33143532276153564,-0.2124367356300354,-1.3617632389068604,-0.38950762152671814,-0.05189049616456032,-0.22086243331432343,-0.2717134654521942,-0.11770498007535934,-1.040065050125122,-0.13421139121055603,-0.1287451833486557,-0.15027926862239838,0.46150370086249737,-0.6868244115912688,-0.13029182438860684,-0.0014529298554816852,-0.06315894782025044,-0.06149873477373815,0.20302792,-2.2491045,1.7746826,-1.2086815,-1.3075588,0.28477105,0.20302792,-2.2491045,1.7746826,-1.2086815,-1.3075588,0.28477105,0.23164571821689606,-2.2452967166900635,1.7893503904342651,-1.213862657546997,-1.3020161390304565,0.2948303818702698,-0.71544516,-0.09519646,-0.36669514,0.12953056,-0.13856499,-0.25148305,0.030190783,0.3113495030586881,0.0129239609465003,0.007783737576467202,0.013511385768651962,,,False,0,0.09738909454333242,0.2222719858314507,0.2165729423775927,0.21042201677706474,-0.1853719148734639,0.11364818771202886,0.9992128194053433,0.0034591077152352065,-0.004056357144026788,0.039310956738940785,0.12265754,-0.2335552,0.3045104,0.2155287039537337,4.263700975570828e-05,0.0001275810063816607,0.0005927129968767986,0.0003629950078902766,0.00019370000518392771,0.00011099199764430523,0.0018163529894081876,0.017965635008295067,0.019781987997703254,50.55103663575687,0
7,0.16013773399754427,0.22771571576595306,-2.2460223637022914,1.7872841993915003,-1.2129969161799927,-1.3027132193194788,0.2934284806251526,-0.336089164018631,-0.22597086429595947,-1.3706518411636353,-0.3602294325828552,-0.07608868926763535,-0.20078203082084656,-0.27311277389526367,-0.11661043763160706,-1.032069206237793,-0.13112501800060272,-0.1259155124425888,-0.15053091943264008,0.17999880485910763,-0.4490215288893693,0.4263675619656454,0.029300879589810588,-0.06802383559730076,-0.06783063380453622,0.19888258,-2.2495608,1.7726889,-1.2081169,-1.3084675,0.28335643,0.19888258,-2.2495608,1.7726889,-1.2081169,-1.3084675,0.28335643,0.22771571576595306,-2.2460224628448486,1.787284255027771,-1.2129969596862793,-1.3027132749557495,0.2934284806251526,-0.72082835,-0.08846141,-0.3648843,0.122003146,-0.14385633,-0.25180116,0.025726495,0.34904785823366397,0.013438490852713583,0.0087261964558416,0.015567474998533726,,,False,0,0.09832442885708811,0.22173839882335122,0.21715845546337081,0.21045955675018255,-0.1853378652040668,0.11363405121486438,0.9992070874132775,0.0032087673657201915,-0.003800357183403252,0.03950329957050201,0.12265754,-0.2335552,0.3045104,0.2155641246710494,4.3463995098136365e-05,0.00013015400327276438,0.0007595159986522049,0.00027019099798053503,0.0003287760046077892,0.00017902599938679487,0.002122393998433836,0.017716080998070538,0.019838474996504374,50.40710035303643,0
8,0.1801368799933698,0.22369767725467682,-2.246491094628805,1.7853134314166468,-1.2121393841556092,-1.3035114447223108,0.2920611798763275,-0.2220837026834488,-0.29259029030799866,-1.4386390447616577,-0.4122121334075928,-0.04315304011106491,-0.2036467343568802,-0.2731974720954895,-0.11982452124357224,-1.0288264751434326,-0.12937197089195251,-0.12427640706300735,-0.15062932670116425,-0.29295159046067726,-0.44808354301377373,-0.15559112732870248,0.009132688041755535,-0.04641123849279109,-0.07723185088393175,0.19470337,-2.2498636,1.7707748,-1.207531,-1.3094864,0.28198153,0.19470337,-2.2498636,1.7707748,-1.207531,-1.3094864,0.28198153,0.22369767725467682,-2.2464911937713623,1.7853134870529175,-1.212139368057251,-1.3035115003585815,0.2920611798763275,-0.72485775,-0.08431056,-0.36346668,0.115211144,-0.14937139,-0.25199124,0.02133772,0.3833081834973673,0.01386524524539709,0.009582704587434182,0.017452392727136612,,,False,0,0.09928733677629002,0.22117086742262154,0.21767270756362728,0.21045208450207178,-0.18537541243648603,0.11361024385440988,0.9992162402619895,0.00331828264828596,-0.003864591883084786,0.03925460721839559,0.12265754,-0.2335552,0.3045104,0.21557376786302085,5.9358993894420564e-05,0.00012349599273875356,0.0005784390086773783,0.0003375020023668185,0.00020040399977006018,0.00011231900134589523,0.0017951659974642098,0.018049752005026676,0.019844918002490886,50.39073479036207,0
9,0.2001356659893645,0.2196444869041443,-2.2470041714110316,1.7832382361041468,-1.211410866384842,-1.304277245198385,0.2906284034252167,-0.18293187022209167,-0.33165255188941956,-1.405840277671814,-0.35864943265914917,-0.05433788150548935,-0.20206859707832336,-0.2732698321342468,-0.12023286521434784,-1.026580810546875,-0.12873531877994537,-0.12427599728107452,-0.15054449439048767,-0.5709862495346906,-0.4458476228401062,0.16340203699899575,0.008171502240125748,-0.03482835835988676,-0.07031981857301783,0.19048043,-2.250132,1.7688577,-1.2070924,-1.3106486,0.2805264,0.19048043,-2.250132,1.7688577,-1.2070924,-1.3106486,0.2805264,0.2196444869041443,-2.247004270553589,1.7832382917404175,-1.2114108800888062,-1.3042773008346558,0.2906284034252167,-0.72910154,-0.07819826,-0.35951558,0.10796285,-0.15928204,-0.25255,0.017178405,0.4141489085606221,0.014208813346922396,0.010353722714015553,0.019165409728884697,,,False,0,0.1002893314176039,0.22061087535368393,0.21824071487072572,0.2104358172972262,-0.18535352839945168,0.11353504046013525,0.9992076132517146,0.003961811613259525,-0.0033480037490380005,0.03946130142052658,0.12265754,-0.2335552,0.3045104,0.21563863490573104,4.0484999772161245e-05,0.00017560100241098553,0.0005359740025596693,0.00027258000045549124,0.00017461800598539412,0.00010443000064697117,0.0016721260035410523,0.018174719996750355,0.019846846000291407,50.38583964350392,0
