step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020142409004620276,-0.14833623567690069,-1.7620498142638148,2.1164820829974573,-2.743260999719137,-1.368251148854391,-0.11395866075624639,-0.09601545333862305,-0.8810560703277588,-1.1989940404891968,-0.6464321613311768,0.15731124579906464,-0.02976786345243454,1.1289309384053498e-16,-1.1081476211547852,-1.7490781545639038,-1.3103911876678467,0.21422424912452698,0.06193143501877785,-2.0371584447261037,-3.2344807651079184,0.8149796290758453,-0.2766503525719996,0.2422582678970796,0.14071723433919234,-0.16284664,-1.7379581,2.1331277,-2.7326863,-1.3811427,-0.113301195,-0.16284664,-1.7379581,2.1331277,-2.7326863,-1.3811427,-0.113301195,-0.1483362317085266,-1.7620497941970825,2.1164820194244385,-2.7432610988616943,-1.3682512044906616,-0.11395866423845291,-0.36276037,0.60229254,0.41614062,0.2643726,-0.32228857,0.016436664,-0.43154424,0.0,0.0,0.0,0.0,,,False,0,0.40261613242675737,0.1205256240447892,0.22055020047980045,0.3774799056989783,0.0174598607980203,0.034243152743835215,0.07172515284211922,0.0020133379920539186,0.004367799065740963,0.9974128171072623,0.031328075,0.3794761,0.2076555,0.5300459333238098,3.077898873016238e-05,9.823399886954576e-05,0.0004380019963718951,0.00020657099958043545,0.00013985300029162318,0.00010205300350207835,0.001327562000369653,0.018813928007148206,0.02014149000751786,49.64875982992061,0
1,0.040131205998477526,-0.14863807359804326,-1.7617279491820277,2.1166141668902796,-2.7430674038329066,-1.368389908467428,-0.11394626299013311,-0.4275018870830536,-0.08068131655454636,-0.39807024598121643,-0.20580269396305084,-0.19966940581798553,0.014043472707271576,-0.5721719264984131,-0.23836670815944672,-1.0236815214157104,-0.7455595135688782,-0.1842459887266159,0.08017069846391678,-2.93314700216147,-5.896898621766369,6.3831833127796695,-0.37369129770989745,0.4269525581275859,0.21702439465303247,-0.16640452,-1.7372191,2.1313875,-2.73507,-1.3787464,-0.11318682,-0.16640452,-1.7372191,2.1313875,-2.73507,-1.3787464,-0.11318682,-0.1486380696296692,-1.7617279291152954,2.1166141033172607,-2.743067502975464,-1.3683899641036987,-0.11394626647233963,-0.4441612,0.6127204,0.36933532,0.1999363,-0.25890937,0.018986128,-0.39770335,0.0,0.0,0.0,0.0,,,False,0,0.4026333809470424,0.12037436166581389,0.22032281733031675,0.37753612559013655,0.01744341942390954,0.03410882962970505,0.07203751311619255,0.0009998777744329689,0.004991852639006113,0.9973889397354818,0.031328075,0.3794761,0.2076555,0.5301378356676498,3.430999640841037e-05,0.00010690800263546407,0.00044513399188872427,0.0002670740068424493,0.00015154598804656416,0.00012698800128418952,0.0014397710037883371,0.018405059992801398,0.019844830996589735,50.39095571899033,0
2,0.06013143500604201,-0.1498649756060999,-1.7598816357054652,2.118324104939596,-2.741769929925436,-1.3696048895465296,-0.11390716234316045,-0.44735199213027954,-0.058359816670417786,-0.696475625038147,-0.4198493957519531,-0.12372852861881256,0.056622594594955444,-0.4632696807384491,-0.4373714327812195,-1.1684448719024658,-0.8580638766288757,-0.11864819377660751,0.11241666227579117,0.011863210894051734,-3.3482290016598157,1.1630676417998593,-0.28395297769747974,0.23948683353317438,0.1534975830381053,-0.16765684,-1.7353089,2.1330268,-2.7336106,-1.3792061,-0.11299343,-0.16765684,-1.7353089,2.1330268,-2.7336106,-1.3792061,-0.11299343,-0.14986497163772583,-1.759881615638733,2.118324041366577,-2.741770029067993,-1.3696049451828003,-0.11390716582536697,-0.4447966,0.6143168,0.36756983,0.2039857,-0.24002682,0.02284353,-0.4023807,0.0,0.0,0.0,0.0,,,False,0,0.4024871010362073,0.11963913618040362,0.21855716370134315,0.3775427665982521,0.017423799994994913,0.03415182988673425,0.07206287191519717,0.0019815403487664454,0.004651601442590258,0.9973872569490912,0.031328075,0.3794761,0.2076555,0.5301414962734301,3.647099947556853e-05,0.00011498499952722341,0.0004927870031679049,0.00023960700491443276,0.00014876200293656439,0.00011017199722118676,0.0014884810079820454,0.018365290001383983,0.019853771009366028,50.36826502774961,0
3,0.08013255600235425,-0.15157586732973272,-1.7568909130492152,2.120275322590963,-2.740513940850729,-1.3708832899676722,-0.11386233965028936,-0.4043489694595337,-0.38865840435028076,-0.8637775182723999,-0.6087638139724731,-0.14793187379837036,0.10361824929714203,-0.3981751799583435,-0.6838992238044739,-1.3954116106033325,-1.0943095684051514,-0.0059731462970376015,0.13179989159107208,-1.1067017357807014,-4.550426783926035,-0.2305443147485955,-0.3030486052469441,0.18853699569084653,0.18637139481270165,-0.16951166,-1.7322719,2.1349423,-2.7323682,-1.3805383,-0.11298315,-0.16951166,-1.7322719,2.1349423,-2.7323682,-1.3805383,-0.11298315,-0.15157586336135864,-1.756890892982483,2.1202752590179443,-2.740514039993286,-1.3708833456039429,-0.11386234313249588,-0.4483948,0.61547315,0.3666748,0.20364545,-0.24137636,0.021979712,-0.40372837,0.0,0.0,0.0,0.0,,,False,0,0.4024240545039558,0.1186906136171281,0.21626381263064448,0.37763049234893054,0.017374773526839197,0.03419716102490422,0.07163778890828493,0.0031282017089687805,0.004016473244884699,0.9974176977472397,0.031328075,0.3794761,0.2076555,0.5302174385720414,3.567800740711391e-05,0.00011303099745418876,0.00045224500354379416,0.00030177499866113067,0.00015332999464590102,0.00010797800496220589,0.0014918590022716671,0.018358424000325613,0.01985028300259728,50.37711552370092,0
4,0.100542795000365,-0.15396243730653936,-1.7535530529417933,2.1218484083758753,-2.740016122857565,-1.3723505179034632,-0.1137154738055628,-0.18309514224529266,-0.4977901577949524,-0.6432267427444458,-0.41778290271759033,-0.13465745747089386,0.10221999883651733,-0.3068256080150604,-0.8143963813781738,-1.4752721786499023,-1.1724050045013428,0.05712103098630905,0.1419360637664795,-3.631885912932554,-3.3997581850039986,2.566077483164464,-0.2653200847759701,0.33453939756479245,0.15916404644414886,-0.17201822,-1.7288852,2.1365304,-2.7318537,-1.3820398,-0.11286771,-0.17201822,-1.7288852,2.1365304,-2.7318537,-1.3820398,-0.11286771,-0.15396243333816528,-1.753553032875061,2.1218483448028564,-2.740016222000122,-1.3723505735397339,-0.11371547728776932,-0.45139453,0.61669534,0.36705378,0.2040607,-0.24223106,0.021194177,-0.4057634,0.0,0.0,0.0,0.0,,,False,0,0.40258748529065047,0.11740312577289358,0.2141675102504947,0.37765780622152156,0.01737923662538459,0.03429320531450423,0.07195151228378316,0.003384194554749326,0.003866610903944908,0.9973949180370263,0.031328075,0.3794761,0.2076555,0.530200818862129,3.6941011785529554e-05,0.0003449380019446835,0.0005340469942893833,0.0004839059984078631,0.0001757809950504452,0.00010100299550686032,0.002003403991693631,0.018254355003591627,0.020257758995285258,49.363801802200214,0
5,0.12012097000842914,-0.1564090887652796,-1.7500983677306117,2.1241496245013636,-2.7387663326659144,-1.3739216963397425,-0.11361152330507451,-0.17818401753902435,-0.482469767332077,-0.8366264700889587,-0.5205439925193787,-0.05895890295505524,0.11349660158157349,-0.2615372836589813,-0.8571041226387024,-1.4881854057312012,-1.1830170154571533,0.07687312364578247,0.14656300842761993,-1.7225603795529985,-2.2706549902494215,0.5692900608728546,-0.21729141188201875,0.22629588160339117,0.1441930802152477,-0.17461166,-1.7253625,2.1388106,-2.7306461,-1.3836565,-0.11280732,-0.17461166,-1.7253625,2.1388106,-2.7306461,-1.3836565,-0.11280732,-0.15640908479690552,-1.7500983476638794,2.1241495609283447,-2.7387664318084717,-1.3739217519760132,-0.11361152678728104,-0.4550645,0.61839664,0.36652812,0.2030089,-0.24336913,0.02010515,-0.40739253,0.0,0.0,0.0,0.0,,,False,0,0.4025433197331094,0.11609999169163909,0.21154771803286565,0.37777143750971565,0.01744457750159324,0.034187995704061745,0.07206169416315739,0.0034202381234213035,0.004138492777647159,0.9973857572716556,0.031328075,0.3794761,0.2076555,0.5302648429482477,3.9942999137565494e-05,0.0001306890044361353,0.0005301509954733774,0.00030770301236771047,0.00021399000252131373,0.00010923099762294441,0.001685303999693133,0.01773727301042527,0.019422577010118403,51.48647367849483,0
6,0.14013538700237405,-0.15877038637270147,-1.746718545953268,2.126356903706686,-2.7374044857420863,-1.3753669897662562,-0.11346418062318975,-0.3523176908493042,-0.3490962088108063,-0.8434810638427734,-0.5162938833236694,-0.10869608074426651,0.13169729709625244,-0.25132840871810913,-0.8676456809043884,-1.4930028915405273,-1.1896992921829224,0.0778375044465065,0.14533576369285583,-1.393479899563538,-3.801940982171008,0.0680043683637831,-0.22841320669067405,0.20352637217714065,0.19454984478446852,-0.17713536,-1.7219157,2.1409838,-2.7293189,-1.3851496,-0.11270337,-0.17713536,-1.7219157,2.1409838,-2.7293189,-1.3851496,-0.11270337,-0.1587703824043274,-1.7467185258865356,2.126356840133667,-2.7374045848846436,-1.3753670454025269,-0.11346418410539627,-0.45912462,0.6200697,0.36567348,0.20214075,-0.24456447,0.019020395,-0.4093605,0.0,0.0,0.0,0.0,,,False,0,0.4024692376640722,0.11486426149746004,0.20897928269363608,0.3778219245034898,0.017455600979683152,0.034267029735389386,0.07190392567065945,0.003883360887245059,0.0037016314418505496,0.997397134091438,0.031328075,0.3794761,0.2076555,0.5302644557062347,0.00011534600344020873,0.00013491699064616114,0.0005263589991955087,0.0003095659922109917,0.00017088200547732413,0.00011190598888788372,0.0017117300012614578,0.01813078900158871,0.019842519002850167,50.39682712947689,0
7,0.16012800700264052,-0.1613376776324671,-1.7431045971312464,2.1283562819110315,-2.7362057171263636,-1.3766310850726526,-0.11334163347353154,-0.3222499191761017,-0.44858700037002563,-0.7773774266242981,-0.4928019046783447,-0.15681976079940796,0.1363901048898697,-0.25093287229537964,-0.8629248142242432,-1.478989839553833,-1.179719090461731,0.07336121797561646,0.14236214756965637,-2.028336797978273,-4.278147062635122,0.9674115927233344,-0.24915624121824578,0.2556043694322246,0.2204435293571988,-0.17985386,-1.7182379,2.1429584,-2.72815,-1.3864632,-0.112621754,-0.17985386,-1.7182379,2.1429584,-2.72815,-1.3864632,-0.112621754,-0.16133767366409302,-1.7431045770645142,2.1283562183380127,-2.736205816268921,-1.3766311407089233,-0.11334163695573807,-0.46290475,0.621669,0.3650528,0.2013974,-0.24579948,0.017997155,-0.41119865,0.0,0.0,0.0,0.0,,,False,0,0.4024664165027498,0.11358088539424833,0.20645648755454532,0.3779580740960393,0.01748204757558102,0.03428683293655768,0.0717758144235634,0.0028838676067424454,0.004082811204360853,0.997408267394378,0.031328075,0.3794761,0.2076555,0.5303289044482733,3.567000385373831e-05,0.00011290500697214156,0.0004413169954204932,0.00026816100580617785,0.00016804999904707074,0.00011264299973845482,0.00145786399662029,0.018382433001534082,0.019840296998154372,50.402471298339144,0
8,0.18012762400030624,-0.1640837828265589,-1.739457746545309,2.1304944197284144,-2.734915395776266,-1.378247086201803,-0.11325294176210576,-0.20421066880226135,-0.6166260838508606,-0.8263617157936096,-0.5527884364128113,-0.04468574747443199,0.11791013181209564,-0.24996629357337952,-0.8611301183700562,-1.4672008752822876,-1.1698954105377197,0.07132510095834732,0.1378362476825714,-2.2298740561601704,-2.301725756487977,0.1293512567920161,-0.1829087030228249,0.20574780951442806,0.18312040805103516,-0.18275814,-1.7145158,2.1450474,-2.7269201,-1.388111,-0.112576045,-0.18275814,-1.7145158,2.1450474,-2.7269201,-1.388111,-0.112576045,-0.16408377885818481,-1.7394577264785767,2.1304943561553955,-2.7349154949188232,-1.3782471418380737,-0.11325294524431229,-0.46685913,0.6235489,0.36382934,0.1998831,-0.24659605,0.016922418,-0.41309214,0.0,0.0,0.0,0.0,,,False,0,0.40242688534241045,0.11215196700548058,0.20383510759751866,0.37818412241436844,0.017428450213615672,0.03428334960692303,0.07158809592628879,0.003116295325623631,0.002941173759845341,0.9974250505445336,0.031328075,0.3794761,0.2076555,0.5305143945133614,0.00011974800145253539,0.00011751300189644098,0.0004480700008571148,0.00027455300732981414,0.0001449510018574074,0.00010947100236080587,0.0015280229999916628,0.018311420004465617,0.01983944300445728,50.404640885096036,0
9,0.2000815110077383,-0.1665871779071253,-1.7360531292357386,2.132637325917379,-2.7337991199889125,-1.3794968763934534,-0.11314183870424444,-0.3026139736175537,-0.5054001808166504,-0.8764388561248779,-0.5378656983375549,-0.10230303555727005,0.15193460881710052,-0.2530675530433655,-0.8579088449478149,-1.461406946182251,-1.165401577949524,0.07069563865661621,0.13424283266067505,-1.4351442156663543,-3.0741797594473157,0.24677465189189018,-0.19722298023026963,0.19240562089138993,0.22146885584895704,-0.18541303,-1.7110534,2.1471496,-2.7258308,-1.3894165,-0.11250358,-0.18541303,-1.7110534,2.1471496,-2.7258308,-1.3894165,-0.11250358,-0.16658717393875122,-1.7360531091690063,2.1326372623443604,-2.7337992191314697,-1.3794969320297241,-0.11314184218645096,-0.4706466,0.62499493,0.36280712,0.19921277,-0.24798742,0.015956584,-0.415064,0.0,0.0,0.0,0.0,,,False,0,0.40234638117901755,0.1109096860967846,0.2013586422023778,0.37818562580360016,0.01742749398323787,0.03433512890807579,0.07173094975739863,0.003983480761753356,0.0023222480183466253,0.9974133290670464,0.031328075,0.3794761,0.2076555,0.5304991108506613,3.740198735613376e-05,0.00011209500371478498,0.00044486399565357715,0.0002653620031196624,0.00022308000188786536,0.0002954239898826927,0.0016956470062723383,0.018108281001332216,0.019803928007604554,50.49503308717381,0
