step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020080533999134786,0.034682951867580414,-1.0899538856795807,1.0824335257159632,-1.62778963665151,-1.4013469854937952,0.12338320165872574,0.11863315105438232,-1.4704883098602295,-1.278924822807312,-0.5717980861663818,0.13304148614406586,-0.01694347895681858,1.7657688878549023e-17,-1.1906511783599854,-0.8448981642723083,-0.26065942645072937,0.011623427271842957,0.0,0.8155317514996816,5.3920725883108735,-1.6278784053556292,0.3043908754392408,-0.07610507815586517,-0.06143115354525182,0.0225081,-1.108754,1.071152,-1.6143342,-1.4023228,0.12439547,0.0225081,-1.108754,1.071152,-1.6143342,-1.4023228,0.12439547,0.034682951867580414,-1.089953899383545,1.0824335813522339,-1.6277896165847778,-1.401347041130066,0.12338320165872574,-0.3043713,-0.47000316,-0.28204098,0.3363851,-0.02439347,0.025306558,-0.0694294,0.0,0.0,0.0,0.0,,,False,0,0.4190620793572903,0.18563591815487768,0.14164248606777743,0.2227765818738993,-0.17793138344655895,0.11457438380001414,0.9999246015457999,0.0030026819605583313,0.009311625279334561,0.007423349058940133,0.17719814,-0.18634151,0.18176922,0.08162885946461101,3.6115001421421766e-05,0.00011551800707820803,0.000582955006393604,0.00037586600228678435,0.0002371320006204769,0.00014163300511427224,0.0018601920019136742,0.01821946400741581,0.020079656009329483,49.80164996528707,0
1,0.04008879399043508,0.034595392644405365,-1.0900839132121583,1.0824173132525843,-1.6276585064330042,-1.401323143635885,0.12337134778499603,-0.22090329229831696,-1.9814900159835815,-1.7700203657150269,-0.4266829788684845,0.0821186751127243,0.00011069700121879578,-0.40144863724708557,-1.809451937675476,-1.2544752359390259,-0.13066153228282928,-0.012406237423419952,0.021435819566249847,0.34393452478932063,4.567770201942732,-2.714933094713907,0.2846958117139819,-0.06078855069829158,-0.06061962454568557,0.023631122,-1.1085085,1.0694859,-1.614691,-1.4020771,0.12367195,0.023631122,-1.1085085,1.0694859,-1.614691,-1.4020771,0.12367195,0.034595392644405365,-1.0900839567184448,1.082417368888855,-1.627658486366272,-1.4013231992721558,0.12337134778499603,-0.2741068,-0.46061233,-0.32328787,0.32418817,-0.018847488,0.0075150724,-0.046410333,0.0,0.0,0.0,0.0,,,False,0,0.4190532414496121,0.18560393277592252,0.14169069531093026,0.2227918311018842,-0.17796324316475226,0.11460582692641971,0.9999336128165668,0.002592926221296668,0.008412963020819252,0.0074314634376433895,0.17719814,-0.18634151,0.18176922,0.08160821947410066,6.664200918748975e-05,0.00019600300583988428,0.0007996390049811453,0.0002880969987018034,0.00015180800983216614,9.610899724066257e-05,0.0019443860073806718,0.01791341698844917,0.019857802995829843,50.35803810774036,0
2,0.06008508399827406,0.033828601241111755,-1.0913007718375702,1.0817330519305628,-1.6267749271788539,-1.4013589064227503,0.12343867868185043,-0.43097227811813354,-2.2392239570617676,-1.8680319786071777,-0.37999823689460754,-0.013234063982963562,0.08880747854709625,-0.36122986674308777,-1.7262606620788574,-1.2147787809371948,-0.11734025180339813,-0.06005733460187912,0.07312741875648499,1.0055297052229955,3.7099589023267465,-4.344093828169507,0.27339056848714993,-0.09920870205940689,-0.05109455057448666,0.022371348,-1.1099269,1.0696155,-1.6138511,-1.4024013,0.1239784,0.022371348,-1.1099269,1.0696155,-1.6138511,-1.4024013,0.1239784,0.033828601241111755,-1.0913007259368896,1.0817331075668335,-1.6267749071121216,-1.401358962059021,0.12343867868185043,-0.28643134,-0.46565554,-0.3029403,0.3230961,-0.026059594,0.013493071,-0.055534832,0.0,0.0,0.0,0.0,,,False,0,0.41916168513404406,0.18527304512732073,0.14233215159523943,0.22278670882550428,-0.177990437772125,0.11456955278644328,0.9999243638203744,0.0027889124505217056,0.009511357664675351,0.007285462511579794,0.17719814,-0.18634151,0.18176922,0.08163242849415449,9.523700282443315e-05,0.0001161070103989914,0.0006735589995514601,0.00027347799914423376,0.00015882099978625774,9.98150062514469e-05,0.0019156000053044409,0.01793877300224267,0.01985437300754711,50.36673782747391,0
3,0.08013129499158822,0.032445475459098816,-1.0936149221709748,1.080212418233053,-1.6253301105894984,-1.4015067259417933,0.12355805933475494,-0.32397615909576416,-1.996563196182251,-1.642047643661499,-0.28163182735443115,-0.01037580892443657,0.11709636449813843,-0.27330252528190613,-1.5736411809921265,-1.1610881090164185,-0.12174095213413239,-0.0731734111905098,0.07968762516975403,0.23035699995156433,4.275479219204341,-2.4870448590238077,0.2754356895024869,-0.05379191087837135,-0.049081758657245574,0.020537382,-1.112514,1.0688446,-1.6122562,-1.4028127,0.12442453,0.020537382,-1.112514,1.0688446,-1.6122562,-1.4028127,0.12442453,0.032445475459098816,-1.093614935874939,1.0802124738693237,-1.6253300905227661,-1.401506781578064,0.12355805933475494,-0.29770234,-0.47247833,-0.28419697,0.3268487,-0.032647885,0.02166189,-0.064676516,0.0,0.0,0.0,0.0,,,False,0,0.41945419740777506,0.1846597325141871,0.14364098132236386,0.22277144141931068,-0.1780062979728395,0.11455202076595726,0.9999234759661546,0.0028526803862333346,0.009643541219867815,0.0072040032199549,0.17719814,-0.18634151,0.18176922,0.08163671678932523,6.484999903477728e-05,0.0002057289966614917,0.0006729509914293885,0.00029716300196014345,0.0001562690013088286,9.502899774815887e-05,0.0018398620013613254,0.018066190998069942,0.019906052999431267,50.2359759631189,0
4,0.1004843229893595,0.03062271699309349,-1.0963583451560517,1.0783618132220667,-1.6233288250365199,-1.4017370382892054,0.1236109584569931,-0.15864035487174988,-1.6964470148086548,-1.4822933673858643,-0.3003167510032654,0.034321218729019165,0.13017766177654266,-0.24050568044185638,-1.4666612148284912,-1.110217809677124,-0.12023946642875671,-0.0699683129787445,0.05209987610578537,1.3229368540670403,6.3455966345390395,-1.3289285360811154,0.3436942758932037,-0.08845919206621754,-0.041508374308428644,0.018446788,-1.1154935,1.0674582,-1.6099746,-1.4031919,0.12473358,0.018446788,-1.1154935,1.0674582,-1.6099746,-1.4031919,0.12473358,0.03062271699309349,-1.096358299255371,1.0783618688583374,-1.6233288049697876,-1.401737093925476,0.1236109584569931,-0.3043982,-0.47838134,-0.27259368,0.3338552,-0.036371205,0.02806561,-0.069391765,0.0,0.0,0.0,0.0,,,False,0,0.4197737079524885,0.1838404965544759,0.1451763579825385,0.22280372975907278,-0.17792573768678518,0.11459502456062576,0.9999333967355469,0.002689426521673816,0.008411799654785801,0.0074280294688024925,0.17719814,-0.18634151,0.18176922,0.08162761583490159,4.403899947647005e-05,0.00013600899546872824,0.0007928120030555874,0.00032231300428975374,0.00016548900748603046,0.0002561690052971244,0.0022005889913998544,0.017966647996217944,0.020167236987617798,49.585374566380914,0
5,0.12009594199480489,0.029038475826382637,-1.0991481405547638,1.076550308858053,-1.6214777431883753,-1.4017818609820765,0.12373314797878265,-0.22394157946109772,-1.631864070892334,-1.3830745220184326,-0.25092437863349915,0.003558000549674034,0.14310255646705627,-0.23763416707515717,-1.4386405944824219,-1.0898411273956299,-0.11897209286689758,-0.08271437138319016,0.05425756052136421,1.0258467921676448,5.356011729585717,-0.37952776274142164,0.3102717622672253,-0.07398585845484029,-0.02920439918148686,0.01665686,-1.1184745,1.0659457,-1.6078238,-1.4032998,0.12507382,0.01665686,-1.1184745,1.0659457,-1.6078238,-1.4032998,0.12507382,0.029038475826382637,-1.099148154258728,1.0765503644943237,-1.621477723121643,-1.4017819166183472,0.12373314797878265,-0.30954036,-0.48315787,-0.26511467,0.34134752,-0.037946288,0.033516664,-0.07297128,0.0,0.0,0.0,0.0,,,False,0,0.4200658204522677,0.1831648011467809,0.1467416775833995,0.22278511443934132,-0.177984120918426,0.1145882770073159,0.9999255712415192,0.003097548334476568,0.009185722222546941,0.007410057424501841,0.17719814,-0.18634151,0.18176922,0.0816167714714817,3.952199767809361e-05,0.00011469899618532509,0.000860841988469474,0.0003224200045224279,0.0002348929992876947,0.0002705590013647452,0.002257483996800147,0.017214581996086054,0.0194720659928862,51.35561888324195,0
6,0.14008924800145905,0.02745119109749794,-1.1016151768020173,1.075062100087301,-1.6195675335326136,-1.4018738905536097,0.1238146424293518,-0.29788655042648315,-1.8573672771453857,-1.4986785650253296,-0.30457019805908203,-0.05519705265760422,0.15595456957817078,-0.24588128924369812,-1.440224289894104,-1.0884219408035278,-0.11743409186601639,-0.10588319599628448,0.07603566348552704,0.6833254938851342,4.633110683252152,-1.434615610040509,0.2902036349119363,-0.056192489342918324,-0.01347872179808288,0.014896799,-1.1211523,1.0647203,-1.6056187,-1.4034824,0.12534854,0.014896799,-1.1211523,1.0647203,-1.6056187,-1.4034824,0.12534854,0.02745119109749794,-1.1016151905059814,1.0750621557235718,-1.6195675134658813,-1.4018739461898804,0.1238146424293518,-0.31385982,-0.48842847,-0.25854713,0.34871906,-0.040211152,0.038347334,-0.07526532,0.0,0.0,0.0,0.0,,,False,0,0.42026552487693297,0.18247379953256815,0.14805997918493705,0.22277934016804082,-0.17797402346930077,0.114610393865367,0.999933946490725,0.002469577627720818,0.008539601810968018,0.0072865084227231895,0.17719814,-0.18634151,0.18176922,0.0815963765160315,5.6370001402683556e-05,0.00012132000119891018,0.0006613550067413598,0.00028860299789812416,0.00015284999972209334,0.00015651500143576413,0.0019072069990215823,0.017860528008895926,0.01976773500791751,50.58748509120914,0
7,0.16008850799698848,0.02579924836754799,-1.1040040713599701,1.0736897627459925,-1.6176487408080042,-1.4021647612201136,0.12395809590816498,-0.32167673110961914,-1.9386225938796997,-1.6149015426635742,-0.4319344162940979,-0.007841977290809155,0.15858061611652374,-0.24620984494686127,-1.4461722373962402,-1.0920072793960571,-0.11668237298727036,-0.1252305954694748,0.1014118418097496,1.2832022178836582,4.974929009453077,-2.73583034957223,0.31305469094912985,-0.08662292159611847,0.011041857194454534,0.01305238,-1.1236725,1.0637254,-1.6034602,-1.4038614,0.12570462,0.01305238,-1.1236725,1.0637254,-1.6034602,-1.4038614,0.12570462,0.02579924836754799,-1.1040040254592896,1.0736898183822632,-1.617648720741272,-1.4021648168563843,0.12395809590816498,-0.31867173,-0.4917127,-0.24911067,0.354713,-0.042416062,0.043662958,-0.07926723,0.0,0.0,0.0,0.0,,,False,0,0.4204455508606567,0.18170815562969933,0.1492993150737527,0.22278723340858414,-0.177979700506229,0.11457414543852076,0.9999221104900347,0.0030316079983766023,0.009446354287354564,0.007569496764649353,0.17719814,-0.18634151,0.18176922,0.08163004002473526,6.634699821006507e-05,0.00023999600671231747,0.000675508999847807,0.00028274700162000954,0.00016016900190152228,9.583499922882766e-05,0.0018817920063156635,0.017979247000766918,0.01986103900708258,50.349833140320264,0
8,0.1800870769948233,0.02403235249221325,-1.1067890685847779,1.0720484892474573,-1.6159411869444789,-1.4023802916156214,0.1241295337677002,-0.22877199947834015,-1.8055719137191772,-1.4635987281799316,-0.3346402645111084,-0.014915784820914268,0.17580921947956085,-0.24493882060050964,-1.4413344860076904,-1.0911089181900024,-0.1155882403254509,-0.12462645769119263,0.12620964646339417,0.8077821827442153,5.741829776835304,-1.534970073456755,0.32842707972834373,-0.07159764494408372,0.028386154097024427,0.011095416,-1.1265948,1.0625776,-1.6014478,-1.40419,0.12613092,0.011095416,-1.1265948,1.0625776,-1.6014478,-1.40419,0.12613092,0.02403235249221325,-1.1067891120910645,1.072048544883728,-1.6159411668777466,-1.402380347251892,0.1241295337677002,-0.32342342,-0.4951414,-0.2367726,0.36233285,-0.045241237,0.050034784,-0.08347934,0.0,0.0,0.0,0.0,,,False,0,0.4207477235594971,0.18091414717584675,0.15081612765272032,0.22279072856085086,-0.1779001890058833,0.11461036307376389,0.9999337764351904,0.0028073479320918884,0.008218853714383802,0.007552488637186268,0.17719814,-0.18634151,0.18176922,0.08161036814309292,6.505899364128709e-05,0.00011544600420165807,0.0005560099962167442,0.0004297639970900491,0.0001628360041650012,0.0001073059975169599,0.0017739119939506054,0.0180837160005467,0.019857627994497307,50.35848190313099,0
9,0.20009165699593723,0.022289058193564415,-1.1096274119666596,1.0704100767718714,-1.6140390835204066,-1.4025643507586878,0.12433649599552155,-0.2232578694820404,-1.6654537916183472,-1.364951252937317,-0.3140086829662323,-0.016286304220557213,0.18420056998729706,-0.2448674738407135,-1.430768609046936,-1.0870651006698608,-0.11436086893081665,-0.12502609193325043,0.14190129935741425,0.6874142276331056,5.818434624178262,-0.8489165502303877,0.3280751886137585,-0.051713765085602534,0.044748932477957054,0.009196342,-1.1295816,1.0613235,-1.5991968,-1.4044441,0.1265804,0.009196342,-1.1295816,1.0613235,-1.5991968,-1.4044441,0.1265804,0.022289058193564415,-1.109627366065979,1.070410132408142,-1.6140390634536743,-1.4025644063949585,0.12433649599552155,-0.32731792,-0.49885458,-0.22716393,0.37105703,-0.046991896,0.05609752,-0.086660996,0.0,0.0,0.0,0.0,,,False,0,0.42099356060455717,0.18013580592519,0.15233557815221566,0.222807119474128,-0.17793271677832118,0.11457039111096066,0.9999312539052001,0.0027659508807410826,0.008655592853939553,0.007411008729343758,0.17719814,-0.18634151,0.18176922,0.0816490631258878,5.1902999985031784e-05,0.00010766599734779447,0.0007869309920351952,0.00027565000345930457,0.00014065200230106711,0.00011398798960726708,0.0018716890044743195,0.01800120499683544,0.01987289400130976,50.31979740515363,0
