step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.02013112200074829,-0.9397533575641077,-1.415227935915329,1.0457313696490687,-1.1848746103099366,-1.3126042524920862,-0.49797231355776006,0.11996112018823624,-1.002429723739624,-1.1790885925292969,-0.3900604248046875,0.1650436520576477,-0.0406574085354805,-5.21662383884756e-19,-0.8099566698074341,-0.7933946847915649,-0.2556653916835785,0.017634740099310875,0.0,5.0329411188662085,1.2360195335717157,-1.717307419025646,0.055963615400776386,-0.25380435998557294,0.0025328901684667678,-0.9436245,-1.4260585,1.0771503,-1.1919786,-1.3436917,-0.4955769,-0.9436245,-1.4260585,1.0771503,-1.1919786,-1.3436917,-0.4955769,-0.9397533535957336,-1.4152278900146484,1.0457314252853394,-1.1848746538162231,-1.312604308128357,-0.497972309589386,-0.0967791,-0.27076587,0.78547454,-0.17759836,-0.7771857,0.05988575,-0.22319773,0.0,0.0,0.0,0.0,,,False,0,0.34190422501426726,-0.1432328876388054,0.2386762607355073,0.21021041613389643,-0.18947868321594347,0.11263542822178488,0.9595488344430423,0.01651380768607053,0.004300534119938053,-0.28102457331425973,0.21574597,-0.18256699,0.2220977,0.109819860450671,3.266800194978714e-05,0.00012079700536560267,0.0004993799957446754,0.0002754300076048821,0.00017264799680560827,0.00012140499893575907,0.0015559000021312386,0.01857427999493666,0.0201301799970679,49.67665466208732,0
1,0.04008345599868335,-0.939789120350973,-1.415359840994217,1.0460227171527308,-1.1850288671306153,-1.3129094282733362,-0.49795657793153936,-0.10585738718509674,-1.2368403673171997,-0.6134762167930603,-0.4823285937309265,-0.18727856874465942,0.06913942098617554,-0.19103790819644928,-1.093524694442749,-0.3528175950050354,-0.3882596790790558,-0.2322276532649994,0.06407583504915237,3.4484912171415925,0.5844005443195324,-0.40694960722459783,0.04735934034557852,-0.18485037778251792,-0.006400479140033912,-0.9426062,-1.4266021,1.077495,-1.1936554,-1.3448346,-0.49517748,-0.9426062,-1.4266021,1.077495,-1.1936554,-1.3448346,-0.49517748,-0.9397891163825989,-1.4153598546981812,1.0460227727890015,-1.1850289106369019,-1.312909483909607,-0.4979565739631653,-0.07042784,-0.28105763,0.7868053,-0.21566254,-0.79812783,0.06947727,-0.21322238,0.0,0.0,0.0,0.0,,,False,0,0.34183013136704166,-0.1432693316411503,0.23863073373865773,0.21021395300155316,-0.18944998628246376,0.1126442195308084,0.9596023206954813,0.016021194755562046,0.003384538552128399,-0.280882981342749,0.21574597,-0.18256699,0.2220977,0.10980911703216298,5.5908996728248894e-05,0.0001260479912161827,0.0006065089983167127,0.0002869800082407892,0.00015966800856404006,9.854900417849422e-05,0.0016851519903866574,0.01811515299777966,0.019800304988166317,50.50427256537975,0
2,0.06012778100557625,-0.9400494734393519,-1.4162202340415497,1.0482280890094202,-1.1855350595763703,-1.31533128419985,-0.49774104753603154,-0.22650793194770813,-1.2432780265808105,-0.4814016819000244,-0.5268514752388,-0.22181594371795654,0.08618832379579544,-0.25785645842552185,-1.0906389951705933,-0.3789011538028717,-0.39286166429519653,-0.22630846500396729,0.1467873454093933,3.783821841265326,0.8705809399044786,-0.2692290860816833,0.05793866064609804,-0.1897037959628418,0.020004224999655665,-0.9430502,-1.4274966,1.0799931,-1.1945174,-1.3469789,-0.4948153,-0.9430502,-1.4274966,1.0799931,-1.1945174,-1.3469789,-0.4948153,-0.9400494694709778,-1.4162201881408691,1.048228144645691,-1.1855350732803345,-1.3153313398361206,-0.49774104356765747,-0.075017996,-0.2819084,0.7941257,-0.22455807,-0.7911902,0.07314364,-0.2282403,0.0,0.0,0.0,0.0,,,False,0,0.3411666203594082,-0.14344279472850863,0.23818246737082793,0.21019662123746732,-0.18945672838462083,0.11268055617168177,0.9596032417678801,0.015270433803947409,0.0032591307740591695,-0.2809232417618047,0.21574597,-0.18256699,0.2220977,0.10977419586298993,3.8116995710879564e-05,0.00011645500489976257,0.0004982070095138624,0.00026342600176576525,0.000153386004967615,0.00010291799844708294,0.0015416219976032153,0.018357442997512408,0.019899064995115623,50.253617456169806,0
3,0.0801260840089526,-0.9405072371112269,-1.4174717676690598,1.0522940794574183,-1.1862843197635193,-1.319331471120016,-0.4974587599383753,-0.23901891708374023,-1.3782663345336914,-0.6234281659126282,-0.6453191041946411,-0.1307869553565979,0.12208985537290573,-0.22043415904045105,-1.065216302871704,-0.459978312253952,-0.3998764157295227,-0.18427056074142456,0.14471235871315002,4.572042677584259,0.6574384143814291,-1.832638616791532,0.0555034639593511,-0.22572857939456986,0.07143933941985789,-0.94353515,-1.4287406,1.0841552,-1.1954765,-1.3509165,-0.4944161,-0.94353515,-1.4287406,1.0841552,-1.1954765,-1.3509165,-0.4944161,-0.9405072331428528,-1.4174717664718628,1.052294135093689,-1.1862843036651611,-1.3193315267562866,-0.4974587559700012,-0.07569745,-0.28172198,0.7965257,-0.22980429,-0.7896258,0.076066956,-0.23574086,0.0,0.0,0.0,0.0,,,False,0,0.3400229116447966,-0.14367947173479523,0.23726577850670996,0.210198617355222,-0.1895025852530151,0.11276453249886569,0.9595489762862093,0.015276708319697152,0.0027884469343115847,-0.28111309501906273,0.21574597,-0.18256699,0.2220977,0.10969328177744102,0.0001401269983034581,0.00011241900210734457,0.0005129110068082809,0.0002466809964971617,0.0001543969992781058,0.00010650198964867741,0.0016155280027305707,0.018236452000564896,0.019851980003295466,50.372809152235604,0
4,0.10048924801230896,-0.9410226980792444,-1.4190225911191483,1.0567410627948206,-1.1874997478774567,-1.3237922827350062,-0.4971111456500452,-0.1432267427444458,-1.324001431465149,-0.6711239814758301,-0.604769229888916,-0.027340028434991837,0.1502077579498291,-0.21635426580905914,-1.046568512916565,-0.49871209263801575,-0.4008077383041382,-0.161860853433609,0.14362715184688568,5.13686992853202,1.6797275422242826,-1.7658750138463941,0.09788372450293778,-0.23900429499105577,0.11291372850415074,-0.9439141,-1.4301792,1.088773,-1.196571,-1.3552977,-0.4939853,-0.9439141,-1.4301792,1.088773,-1.196571,-1.3552977,-0.4939853,-0.9410226941108704,-1.419022560119629,1.0567411184310913,-1.187499761581421,-1.3237923383712769,-0.49711114168167114,-0.072286025,-0.27891582,0.8007978,-0.22678031,-0.7876334,0.07814611,-0.23909579,0.0,0.0,0.0,0.0,,,False,0,0.3387959143699059,-0.14401342820906915,0.23635166784473102,0.2102089990187068,-0.1894840828821022,0.11270714743061519,0.9596029455480383,0.01542144374026374,0.0031804561452213062,-0.28091674147168305,0.21574597,-0.18256699,0.2220977,0.10974878660217416,4.3423002352938056e-05,0.00011966899910476059,0.0005835330084664747,0.0003240529913455248,0.00015749101294204593,9.760800458025187e-05,0.0017107890016632155,0.01847538301080931,0.020186172012472525,49.538862513512974,0
5,0.12012229701213073,-0.9414508978473108,-1.4206577253392716,1.0613363424884241,-1.1887690883925934,-1.3282135168658655,-0.49670440355409795,-0.20890897512435913,-1.3022221326828003,-0.6556714177131653,-0.6307404041290283,-0.10842086374759674,0.1332036405801773,-0.22027342021465302,-1.033630132675171,-0.5068098902702332,-0.3977702260017395,-0.15541939437389374,0.1429605484008789,4.327807075840957,1.3555059084464178,-1.276564904742015,0.08314200696303903,-0.21078685178620787,0.10924362186212527,-0.9442947,-1.4317666,1.0933743,-1.1979874,-1.3597761,-0.49353287,-0.9442947,-1.4317666,1.0933743,-1.1979874,-1.3597761,-0.49353287,-0.9414508938789368,-1.420657753944397,1.0613363981246948,-1.1887691020965576,-1.3282135725021362,-0.4967043995857239,-0.071095146,-0.27772048,0.8009462,-0.23045702,-0.7890641,0.07928841,-0.24092951,0.0,0.0,0.0,0.0,,,False,0,0.3375755466413675,-0.14429533806346,0.2354333854981696,0.2102665394911085,-0.18946457397436858,0.11273043340569824,0.9595791439165974,0.015112819033529191,0.002782263303953504,-0.2810191454247676,0.21574597,-0.18256699,0.2220977,0.1097214599488818,4.0571001591160893e-05,0.00011666701175272465,0.0005207469948800281,0.00026190601056441665,0.00016098900232464075,0.00015385499864351004,0.0016552449960727245,0.01782926901069004,0.019484514006762765,51.32280947078875,0
6,0.14008491100685205,-0.9417946974383753,-1.4223088038018723,1.0658624807940882,-1.1900362831405182,-1.3327367941485804,-0.49624568620790654,-0.27383267879486084,-1.2997746467590332,-0.7185013890266418,-0.6469189524650574,-0.07399424910545349,0.14638546109199524,-0.22181349992752075,-1.0276626348495483,-0.5054135918617249,-0.3954201340675354,-0.1552891582250595,0.14265748858451843,5.08106533572362,0.6350608721716776,-1.8660006738561554,0.06683071484145756,-0.23686218574877344,0.11112944186415138,-0.94459033,-1.433383,1.0979459,-1.1992847,-1.3643109,-0.49302098,-0.94459033,-1.433383,1.0979459,-1.1992847,-1.3643109,-0.49302098,-0.9417946934700012,-1.4223088026046753,1.0658625364303589,-1.1900362968444824,-1.332736849784851,-0.49624568223953247,-0.069891095,-0.27685577,0.8020844,-0.23120944,-0.7893512,0.08061731,-0.24333546,0.0,0.0,0.0,0.0,,,False,0,0.33635093541007377,-0.14456734905874447,0.2345374000325945,0.21020037245599366,-0.1895037072574914,0.11267368427532864,0.9595887190342661,0.016042242472447045,0.004010846067777078,-0.2809199523141254,0.21574597,-0.18256699,0.2220977,0.10978381421327547,5.6371005484834313e-05,0.00011661900498438627,0.0004935000033583492,0.0003034550027223304,0.00015826700837351382,0.00010630300675984472,0.0015890060021774843,0.018225630003144033,0.019814636005321518,50.46774514209774,0
7,0.16008094600692857,-0.9422453085528772,-1.4238896828940888,1.0703590551959437,-1.1913250845721741,-1.3371184507953089,-0.49583751360048467,-0.24178384244441986,-1.2975107431411743,-0.7196129560470581,-0.6161922216415405,-0.12852099537849426,0.1511622965335846,-0.22206322848796844,-1.027840256690979,-0.5050147175788879,-0.3954463303089142,-0.1562454104423523,0.14255808293819427,4.42284857070205,0.22067568061682358,-0.9862375085341838,0.056368151410098516,-0.2106593924753693,0.0870727728986484,-0.944879,-1.4349438,1.10251,-1.2006183,-1.3687139,-0.49253488,-0.944879,-1.4349438,1.10251,-1.2006183,-1.3687139,-0.49253488,-0.9422453045845032,-1.4238896369934082,1.0703591108322144,-1.191325068473816,-1.3371185064315796,-0.4958375096321106,-0.06584179,-0.2763529,0.80377096,-0.2323293,-0.78988457,0.082565956,-0.24518473,0.0,0.0,0.0,0.0,,,False,0,0.3351438728638531,-0.1448663361407204,0.23364113651143542,0.21024868143829994,-0.1894703007155187,0.11272336774507453,0.9595572831172227,0.015745195275284576,0.00277001712370235,-0.28105921231799874,0.21574597,-0.18256699,0.2220977,0.10972975614753318,3.879099676851183e-05,0.00011750801058951765,0.000488867997773923,0.00029483099933713675,0.0001551020104670897,9.664299432188272e-05,0.0015519780135946348,0.018294377994607203,0.019846356008201838,50.38708363322382,0
8,0.18012211100722197,-0.9426820913897913,-1.4254071724465867,1.0748408476458948,-1.1925853055766602,-1.3416531721698206,-0.49540645280946904,-0.20971769094467163,-1.3100244998931885,-0.7028297185897827,-0.6683446764945984,-0.10437587648630142,0.1700303703546524,-0.22080568969249725,-1.0295201539993286,-0.5056942701339722,-0.39546436071395874,-0.15730011463165283,0.14271625876426697,5.150238547887677,1.2824943312038273,-1.5313742658441647,0.08441973655667097,-0.24765069707492732,0.12133413272479018,-0.9452296,-1.436464,1.1070026,-1.2020717,-1.3732998,-0.4920466,-0.9452296,-1.436464,1.1070026,-1.2020717,-1.3732998,-0.4920466,-0.9426820874214172,-1.4254071712493896,1.0748409032821655,-1.1925853490829468,-1.3416532278060913,-0.49540644884109497,-0.06368812,-0.27641937,0.80404294,-0.23715694,-0.7911639,0.0839966,-0.246923,0.0,0.0,0.0,0.0,,,False,0,0.33390794912481203,-0.1451793702947729,0.23272245203321554,0.21020261734753448,-0.18946196265542065,0.11268175375047586,0.9596060280791492,0.015415684598640662,0.003288104299988226,-0.2809053407133271,0.21574597,-0.18256699,0.2220977,0.10977302786842515,5.413300823420286e-05,0.00011368200648576021,0.0004892190045211464,0.00031164599931798875,0.00015581799380015582,0.00012269399303477257,0.0016295560053549707,0.018271253997227177,0.019900810002582148,50.24921095524499,0
9,0.200080902010086,-0.9431050459491175,-1.4269315016320725,1.0793116728412073,-1.1938812595656891,-1.346076790486471,-0.4949753920184534,-0.1970808506011963,-1.364245891571045,-0.7048694491386414,-0.6470486521720886,-0.09935848414897919,0.17531868815422058,-0.21988248825073242,-1.0293257236480713,-0.5063689351081848,-0.3953886032104492,-0.1576778143644333,0.14277833700180054,4.9068296226709345,1.291970190253102,-1.7664516694792085,0.08072959613805239,-0.24228470861320356,0.09429530918596397,-0.9456268,-1.4379256,1.1115005,-1.2033883,-1.377736,-0.49156803,-0.9456268,-1.4379256,1.1115005,-1.2033883,-1.377736,-0.49156803,-0.9431050419807434,-1.4269315004348755,1.079311728477478,-1.1938812732696533,-1.3460768461227417,-0.49497538805007935,-0.063044034,-0.2748531,0.80471855,-0.2376764,-0.7914793,0.08518389,-0.24961635,0.0,0.0,0.0,0.0,,,False,0,0.33269782047171936,-0.14547796743572222,0.23182187533701618,0.21021306673119075,-0.18944906469159314,0.1126590600587027,0.9596204075656201,0.015185345868070807,0.003104595642687081,-0.2808707585710969,0.21574597,-0.18256699,0.2220977,0.10979431146310145,5.796499317511916e-05,0.00011779200576711446,0.0005711240082746372,0.0002935049997176975,0.00015494100807700306,9.782500274013728e-05,0.0016490319976583123,0.018158961000153795,0.019807992997812107,50.484670512073336,0
