step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020089014011318795,-0.098945442830221,-1.7415734730162562,1.7620185057269495,-1.481252284055092,-1.3496440092669886,0.13521476089954376,0.09211249649524689,-0.6220658421516418,-1.2540640830993652,-0.37214750051498413,0.1871180236339569,0.06195298209786415,1.8192313492825215e-18,-0.4886976480484009,-0.8391417264938354,-0.247823104262352,0.015059090219438076,0.0,-2.8503269289288697,1.9769748096437028,-0.33810444026760844,0.1107185941837795,0.08450123403620484,0.00036672561895885643,-0.08698969,-1.756936,1.7453297,-1.4932895,-1.3508749,0.13515918,-0.08698969,-1.756936,1.7453297,-1.4932895,-1.3508749,0.13515918,-0.09894544631242752,-1.741573452949524,1.7620185613632202,-1.4812523126602173,-1.3496440649032593,0.13521476089954376,0.29889378,-0.38406256,-0.4172199,-0.3009287,-0.030770136,-0.0013896758,-0.17747763,0.16666666666666666,0.041548981815576556,0.004166666666666667,0.0,,,False,0,0.24702116187093945,0.15939768113303524,0.14829997032029876,0.3633638438282178,-0.0023421451475581657,0.1699463015330113,0.9996474133641541,0.012030957768587877,0.00905789108494694,-0.02186956699531816,0.21651419,0.21151058,0.18445662,0.25982371173956814,3.055199340451509e-05,0.00010551000013947487,0.0005857560026925057,0.0003861379955196753,0.0001736699923640117,9.528599912300706e-05,0.0017989010084420443,0.01828904400463216,0.020087945013074204,49.781100025371025,0
1,0.040119468001648784,-0.09882194200624639,-1.741695066491598,1.7619670073138636,-1.4812607553652306,-1.3496645132647913,0.13521118462085724,0.3248678147792816,-1.0069940090179443,-1.6803789138793945,-0.6054421067237854,0.142006516456604,0.03992420807480812,0.3958532214164734,-0.9829517006874084,-1.2455507516860962,-0.4519599676132202,-0.004407063592225313,-0.0015746393473818898,-2.542474335265609,2.3763948933738055,-1.8580305209052708,0.12175385259221186,0.07686988410524352,0.0018825901185660476,-0.08389099,-1.765256,1.762139,-1.4935664,-1.3553946,0.13442884,-0.08389099,-1.765256,1.762139,-1.4935664,-1.3553946,0.13442884,-0.09882194548845291,-1.7416950464248657,1.7619670629501343,-1.4812607765197754,-1.349664568901062,0.13521118462085724,0.3732739,-0.589025,0.0042969687,-0.3076416,-0.14325121,-0.01955869,-0.109203056,0.3055555555555556,0.039364920705556875,0.0076388888888888895,0.008333333767950535,,,False,0,0.24701586311450838,0.15942199328269038,0.14834137121488047,0.3633184897557013,-0.0023203373908918827,0.16995175197855597,0.999635510080685,0.012139468541404581,0.009215592463150913,-0.022282684049428736,0.21651419,0.21151058,0.18445662,0.2597798256453831,0.00012406300811562687,0.00019459999748505652,0.0007549959991592914,0.0003697219945024699,0.00024128200311679393,0.000136009999550879,0.0022268430038820952,0.01753851299872622,0.019765356002608314,50.59357392136201,0
2,0.06009116000495851,-0.09791690507997686,-1.7426721058287562,1.760834042225973,-1.482076683347561,-1.34973651567568,0.13523030281066895,0.40607041120529175,-1.2265492677688599,-1.8215093612670898,-0.7247151136398315,0.07931234687566757,0.04951631277799606,0.3568214774131775,-0.915240466594696,-1.2187093496322632,-0.4479106068611145,-0.06640435755252838,-0.005031163338571787,-2.434501876689136,1.9871930283848949,-2.3465230948742724,0.13293773957407304,0.05598274398472278,0.006701434494495363,-0.08481969,-1.7670009,1.7598931,-1.4940466,-1.3573842,0.13439992,-0.08481969,-1.7670009,1.7598931,-1.4940466,-1.3573842,0.13439992,-0.09791690856218338,-1.742672085762024,1.7608340978622437,-1.482076644897461,-1.3497365713119507,0.13523030281066895,0.32743043,-0.6082209,-0.02352527,-0.29924953,-0.19119026,-0.02075972,-0.11712486,0.4212962962962963,0.03702242344617844,0.010532407407407407,0.015277777798473835,,,False,0,0.24734185699925718,0.15958254083208068,0.14891930348693208,0.3633361042124877,-0.0023191194499643667,0.16992524677206686,0.9996397815860406,0.011875805683416452,0.009299459087989924,-0.022197889482988696,0.21651419,0.21151058,0.18445662,0.2597902589105122,0.00013122199743520468,0.0001858710020314902,0.000735216002794914,0.00034937000600621104,0.000262902001850307,0.00013758300337940454,0.0022492629941552877,0.01746013600495644,0.019709398999111727,50.73721426234603,0
3,0.08009380800649524,-0.0964897314654749,-1.744599004785055,1.7586777845965784,-1.4838051733425637,-1.349914852772848,0.13523750007152557,0.3864872455596924,-1.1610058546066284,-1.4025663137435913,-0.5233149528503418,0.03299301490187645,0.010198337957262993,0.34744328260421753,-0.8910455703735352,-1.0451561212539673,-0.398227721452713,-0.13442832231521606,-0.022031139582395554,-4.546839552657401,2.493963750536485,-0.3474114843075108,0.12845026031529147,0.13785829928162557,-0.01292814688705381,-0.084957846,-1.7694004,1.756815,-1.4954977,-1.358325,0.13418122,-0.084957846,-1.7694004,1.756815,-1.4954977,-1.358325,0.13418122,-0.09648973494768143,-1.7445989847183228,1.7586778402328491,-1.4838051795959473,-1.3499149084091187,0.13523750007152557,0.2882973,-0.620035,-0.04657063,-0.29231188,-0.21025105,-0.02640708,-0.13246213,0.5177469135802468,0.03437318086624146,0.012943672839506173,0.021064814180135727,,,False,0,0.2480461368549373,0.1598036848056226,0.15004850496318506,0.3633453027721063,-0.0023209198597765133,0.16992900495656946,0.9996313827523216,0.012303728178291166,0.009443398525198652,-0.022283156626834583,0.21651419,0.21151058,0.18445662,0.25979672932155334,5.7594996178522706e-05,0.00021304200345184654,0.000772323997807689,0.0002877420047298074,0.00019814899133052677,0.00013675799709744751,0.0020950250036548823,0.01760277900029905,0.019697804003953934,50.76708042171961,0
4,0.1001219099998707,-0.09455854097475225,-1.7475725613036097,1.7574799696551722,-1.4854107660106202,-1.3503411451922815,0.13517875969409943,0.2631894052028656,-0.9316685199737549,-1.3011586666107178,-0.5262246131896973,-0.07770300656557083,-0.07679226994514465,0.2649274468421936,-0.8187125325202942,-1.0141394138336182,-0.3846900463104248,-0.14353352785110474,-0.06047787517309189,-3.3116072476416636,1.927700359007932,0.9106654444106075,0.08484921803818699,0.11398291898579369,-0.012320732369626154,-0.08398237,-1.7729521,1.7541401,-1.4974973,-1.3596969,0.13402262,-0.08398237,-1.7729521,1.7541401,-1.4974973,-1.3596969,0.13402262,-0.09455854445695877,-1.7475725412368774,1.7574800252914429,-1.4854108095169067,-1.3503412008285522,0.13517875969409943,0.26440442,-0.63448787,-0.08349775,-0.30216157,-0.23389263,-0.028903373,-0.14969222,0.5981224279835391,0.031379336416721346,0.014953060699588478,0.025887345895171165,,,False,0,0.2483993338070227,0.16012051371424615,0.1511439199938549,0.36329319558602374,-0.0023616486673080665,0.16998219675180637,0.9996361281097889,0.011527655185335448,0.009276376725403934,-0.022553519507552813,0.21651419,0.21151058,0.18445662,0.25979784171853854,4.3171996367163956e-05,0.00027541699819266796,0.0007536990015069023,0.00036564400943461806,0.00035810099507216364,0.00011394500324968249,0.0022752719960408285,0.017521734000183642,0.01979700599622447,50.512688645480644,0
5,0.12008494800829794,-0.09258634248842412,-1.7507487736144007,1.7572506109820765,-1.487016813164093,-1.351250473652975,0.13507123291492462,0.16898663341999054,-0.8960861563682556,-1.4478057622909546,-0.636025071144104,-0.07261251658201218,-0.08595632016658783,0.21661850810050964,-0.755384087562561,-1.0538543462753296,-0.38844847679138184,-0.14068669080734253,-0.08215385675430298,-2.222910483704974,1.5638050174776,-0.3031965929430965,0.09652598004810402,0.06534907505906432,-0.01240297259951411,-0.08277327,-1.7764989,1.7528582,-1.4993452,-1.3610994,0.13375486,-0.08277327,-1.7764989,1.7528582,-1.4993452,-1.3610994,0.13375486,-0.09258634597063065,-1.7507487535476685,1.7572506666183472,-1.4870167970657349,-1.3512505292892456,0.13507123291492462,0.24532692,-0.643754,-0.10981248,-0.30820993,-0.24622218,-0.032909323,-0.16375786,0.665102023319616,0.028104179203510285,0.0166275505829904,0.029906122013926506,,,False,0,0.2484966592250772,0.1603603366809036,0.1519998963375744,0.36326539162748056,-0.0023484489078497888,0.16996839840186942,0.9996288205430726,0.011788535227036196,0.009896027932728087,-0.022478739085074605,0.21651419,0.21151058,0.18445662,0.2597720364982115,0.000624802996753715,0.00012549299572128803,0.0005069239996373653,0.00034351699287071824,0.00016833600238896906,0.0001180300023406744,0.0023067770089255646,0.01744083099765703,0.019747608006582595,50.63904446891308,0
6,0.14009243399777915,-0.09089786211122686,-1.754075666467184,1.7571285406695765,-1.4887094807675858,-1.3523982206927698,0.13491162657737732,0.19565695524215698,-0.9641680717468262,-1.5468791723251343,-0.6383333802223206,-0.06909847259521484,-0.08851737529039383,0.20414283871650696,-0.737076461315155,-1.0887705087661743,-0.39609256386756897,-0.13742104172706604,-0.09893304854631424,-2.153619109293212,1.6874265018635672,-0.6347451127476715,0.0976471462748883,0.05816005942054695,-0.03433266495374636,-0.081735626,-1.7799809,1.7520941,-1.5009892,-1.3622702,0.13337839,-0.081735626,-1.7799809,1.7520941,-1.5009892,-1.3622702,0.13337839,-0.09089786559343338,-1.7540756464004517,1.7571285963058472,-1.4887094497680664,-1.3523982763290405,0.13491162657737732,0.22905591,-0.6476311,-0.12586243,-0.30699268,-0.24679933,-0.038331002,-0.17611675,0.7181306475038446,0.024581844210624697,0.017953266187596115,0.03325510025024414,,,False,0,0.24862522997118208,0.16047646815634484,0.15285836253620613,0.36330159610377966,-0.0023480521947820856,0.16997083849770728,0.9996358887291962,0.01184598434233616,0.009522892617923431,-0.02229629208615147,0.21651419,0.21151058,0.18445662,0.25979202831849,3.838000702671707e-05,0.00011495199578348547,0.0006272510072449222,0.00027449100161902606,0.00016606799908913672,0.00010295899119228125,0.0016346949996659532,0.018122120993211865,0.01975681599287782,50.615443316397354,0
7,0.16024529200512916,-0.08941299120058233,-1.7575265369811,1.756775204335348,-1.4904430148056527,-1.353670899068014,0.13478370010852814,0.28114593029022217,-0.9577799439430237,-1.507910966873169,-0.632975161075592,-0.04458562657237053,-0.12035859376192093,0.207960307598114,-0.7276108860969543,-1.0985194444656372,-0.3989364206790924,-0.13577458262443542,-0.11149268597364426,-2.91545623232291,2.139971062047518,-0.2580706421568047,0.11445693514079332,0.08034667809527948,-0.062093875802653506,-0.08077862,-1.7836267,1.7511163,-1.50296,-1.3634727,0.13299552,-0.08077862,-1.7836267,1.7511163,-1.50296,-1.3634727,0.13299552,-0.08941299468278885,-1.7575265169143677,1.7567752599716187,-1.4904429912567139,-1.3536709547042847,0.13478370010852814,0.21585932,-0.65250367,-0.14147398,-0.31292376,-0.2450445,-0.04470474,-0.18918476,0.737096533645782,0.02079814910888672,0.01842741334114455,0.035906530916690826,,,False,0,0.2488448755810693,0.16050851862307422,0.15381048987584758,0.3633257521428775,-0.0022964571927545467,0.16992420093304667,0.9996278190173127,0.01228669598733968,0.00935819474230226,-0.02248872886685589,0.21651419,0.21151058,0.18445662,0.2597658139414313,4.550399899017066e-05,0.0002775530010694638,0.0006093230040278286,0.00032167699828278273,0.0003012039960594848,0.00011477999214548618,0.002085246000206098,0.01785462800762616,0.01993987400783226,50.1507682349049,0
8,0.1801515210099751,-0.08796197572817022,-1.7611309490599574,1.7562745253192347,-1.49208618820224,-1.3549407164203089,0.1345764696598053,0.21680660545825958,-0.938270628452301,-1.5323032140731812,-0.6426457762718201,-0.08496987819671631,-0.12868010997772217,0.21210113167762756,-0.7177928686141968,-1.0952749252319336,-0.39808860421180725,-0.13396911323070526,-0.1274842470884323,-2.164373805887222,1.7587599691990394,-0.13526949583979514,0.10744397891383523,0.050265814324905234,-0.08224703237258027,-0.07918492,-1.7877991,1.7478892,-1.5069705,-1.3651912,0.1326247,-0.07918492,-1.7877991,1.7478892,-1.5069705,-1.3651912,0.1326247,-0.08796197921037674,-1.761130928993225,1.7562745809555054,-1.4920861721038818,-1.3549407720565796,0.1345764696598053,0.21942644,-0.66670585,-0.20963565,-0.37210873,-0.2562598,-0.048794385,-0.22003263,0.7235637544506069,0.016397496461868288,0.018089093861265174,0.0368548259139061,,,False,0,0.24907962989746307,0.16053291264911804,0.1548386102261537,0.3632900756685975,-0.002352196502193901,0.1699721687744599,0.9996327682147343,0.011701931335933039,0.009633781704008438,-0.022463613770412255,0.21651419,0.21151058,0.18445662,0.2597888567114919,3.876800474245101e-05,0.00022804101172368973,0.0007344320038100705,0.0002706609957385808,0.0003085530042881146,0.00010523399396333843,0.0020186559995636344,0.01773048800532706,0.019749144004890695,50.63510599509321,0
9,0.20008974900702015,-0.08661872545351201,-1.764761587182516,1.7556465307818812,-1.4937804502299805,-1.3563316504107874,0.13440418243408203,0.20135995745658875,-0.8953570127487183,-1.5105022192001343,-0.6639934778213501,-0.08481605350971222,-0.13913090527057648,0.21462590992450714,-0.7120018005371094,-1.0926768779754639,-0.3983774781227112,-0.132476344704628,-0.14206844568252563,-2.042816899967636,1.4294432270858024,-0.22617089266646964,0.10725430586283678,0.04038954926805857,-0.1072321776741463,-0.078098714,-1.7913007,1.7440984,-1.5101731,-1.3667493,0.13253751,-0.078098714,-1.7913007,1.7440984,-1.5101731,-1.3667493,0.13253751,-0.08661872893571854,-1.7647615671157837,1.7556465864181519,-1.493780493736267,-1.356331706047058,0.13440418243408203,0.21300034,-0.6634774,-0.28870308,-0.40981475,-0.26043865,-0.046666812,-0.2463511,0.6794396260474519,0.011470474600791931,0.0169859906511863,0.036178186535835266,,,False,0,0.2493666881715686,0.16050020571920362,0.15591119172175363,0.3633027905017533,-0.002341795302047263,0.1699515092783954,0.9996371306287206,0.012113050399941582,0.009360087132324755,-0.022163935489098077,0.21651419,0.21151058,0.18445662,0.2597886311093613,9.48289962252602e-05,0.00025956600438803434,0.0006491480016848072,0.0003160089981975034,0.000284834997728467,0.0002076499949907884,0.002142234006896615,0.017619250997086056,0.01976148500398267,50.603484495141075,0
