step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.020090081001399085,0.5223603844642639,-2.0442234478392542,1.6453498045550745,-0.9324186605266114,-1.3955891768084925,0.24755001068115234,0.1320270299911499,-0.3558262884616852,-1.1048654317855835,-0.32775381207466125,0.1152540072798729,0.061173420399427414,-1.1393278873298146e-17,-0.12204938381910324,-0.775570809841156,-0.2332993596792221,0.01169801689684391,0.0,-4.713904538920167,5.514284351929742,-2.437822378352573,0.2616932612856893,0.2145561005092098,0.15227800408737305,0.5122359,-2.0568507,1.6297868,-0.9386819,-1.4041407,0.2446946,0.5122359,-2.0568507,1.6297868,-0.9386819,-1.4041407,0.2446946,0.5223603844642639,-2.0442235469818115,1.6453498601913452,-0.9324186444282532,-1.3955892324447632,0.24755001068115234,-0.2531127,-0.31567684,-0.38907582,-0.15658207,-0.21378598,-0.071385115,-0.21842694,0.0,0.0,0.0,0.0,,,False,0,0.011029406691222647,0.205206524110138,0.20421533592915772,0.21762930512149317,-0.18388682779530827,0.11360103953431468,0.9999438736461237,0.005380383238781963,-0.0021017482597115197,0.008881858633284022,0.12354892,-0.2330849,0.3045104,0.2184444079170657,4.102599632460624e-05,0.00012689200229942799,0.0006415160023607314,0.0003185110108461231,0.00017742899945005774,0.00016467800014652312,0.001881862001027912,0.018206791995908134,0.020088653996936046,49.77934311340728,0
1,0.04013267200207338,0.5222660303115845,-2.044365545312399,1.6453102270709437,-0.9324377936175843,-1.3956006209002894,0.24755001068115234,-0.14684808254241943,-0.6247266530990601,-1.5771089792251587,-0.4935314357280731,-0.05044478178024292,-0.01741950772702694,-0.3026963770389557,-0.5226390957832336,-1.1542776823043823,-0.38351553678512573,-0.15047167241573334,-0.0609796941280365,-4.022157393327771,4.828963372098935,-3.6400630798919473,0.24210783265954017,0.1942586276595292,0.1453553124570465,0.51142806,-2.0581229,1.6306072,-0.93853337,-1.4041151,0.2442938,0.51142806,-2.0581229,1.6306072,-0.93853337,-1.4041151,0.2442938,0.5222660303115845,-2.044365644454956,1.6453102827072144,-0.9324377775192261,-1.39560067653656,0.24755001068115234,-0.27094883,-0.34392965,-0.36757696,-0.15239024,-0.21285906,-0.08140543,-0.20254645,0.0,0.0,0.0,0.0,,,False,0,0.011053325904231734,0.20520502204606902,0.20424013774194916,0.2176499589271543,-0.18393093570068075,0.11360329774125047,0.9999429871410627,0.005276109894539564,-0.002310676038482119,0.008991322590715797,0.12354892,-0.2330849,0.3045104,0.21844140104326004,6.25039974693209e-05,0.00013852299889549613,0.0006183590012369677,0.00029936700593680143,0.00017131000640802085,0.00011022499529644847,0.0019038979953620583,0.017895035998662934,0.019798933994024992,50.50776977698821,0
2,0.0601341690053232,0.521600604057312,-2.045260568658346,1.6442130247699183,-0.9328367871097107,-1.3962224165545862,0.24730320274829865,-0.26304158568382263,-0.6636167168617249,-1.5523459911346436,-0.563493013381958,-0.049753978848457336,-0.10720466822385788,-0.3103635609149933,-0.46929988265037537,-1.1351124048233032,-0.40450912714004517,-0.15421995520591736,-0.14891088008880615,-4.591718253799044,5.329819094164083,-3.4622611047711125,0.27012188529992415,0.19842525251026466,0.12738805966068753,0.51018274,-2.0591633,1.6294432,-0.9393976,-1.4045978,0.24387252,0.51018274,-2.0591633,1.6294432,-0.9393976,-1.4045978,0.24387252,0.521600604057312,-2.0452606678009033,1.644213080406189,-0.9328367710113525,-1.396222472190857,0.24730320274829865,-0.28544602,-0.34756535,-0.36924842,-0.1640204,-0.209382,-0.08576699,-0.20314886,0.0,0.0,0.0,0.0,,,False,0,0.011458425808154434,0.20518447553360752,0.20457163412022975,0.21767809768616686,-0.18391995148995371,0.11357308690971728,0.9999454636496794,0.004933449059262386,-0.0025145478147029963,0.008855833886947719,0.12354892,-0.2330849,0.3045104,0.21848239757124444,4.1854000301100314e-05,0.00019003600755240768,0.0005441300017992035,0.00030666500970255584,0.00016773099196143448,0.00010651499906089157,0.001760380997438915,0.018080046997056343,0.019840427994495258,50.402138516238196,0
3,0.08013915100309532,0.5204554796218872,-2.0468784771361292,1.6421621481524866,-0.933674768810608,-1.3972991148578089,0.24701449275016785,-0.3398476243019104,-0.4831288158893585,-1.368229866027832,-0.5080998539924622,-0.0390525683760643,-0.1483774334192276,-0.2683994770050049,-0.4100784659385681,-1.0741255283355713,-0.3842308223247528,-0.1413574069738388,-0.14582258462905884,-4.5611979081518665,5.616080449735273,-2.220538545163975,0.2849586895601897,0.205433690401892,0.0761262981779256,0.5087757,-2.0607722,1.6273161,-0.94051236,-1.40557,0.24350442,0.5087757,-2.0607722,1.6273161,-0.94051236,-1.40557,0.24350442,0.5204554796218872,-2.0468785762786865,1.6421622037887573,-0.9336747527122498,-1.3972991704940796,0.24701449275016785,-0.29199386,-0.34733954,-0.37115216,-0.17094,-0.20677038,-0.08775177,-0.20434912,0.0,0.0,0.0,0.0,,,False,0,0.012206752779416248,0.20517560629687304,0.20519373553287518,0.21766312739666424,-0.183879106743288,0.1135686700973557,0.999944684607216,0.00491618992892977,-0.002317317280991232,0.009003381982837448,0.12354892,-0.2330849,0.3045104,0.21848900340026844,4.427500243764371e-05,0.00012984000204596668,0.0005402160022640601,0.0003534659917932004,0.00017330600530840456,0.00010934300371445715,0.0017596959951333702,0.018077839005854912,0.019837535000988282,50.40948887803758,0
4,0.10066027499851771,0.5190063714981079,-2.0487410030760707,1.6400817076312464,-0.9344892066768189,-1.3984559218036097,0.24657729268074036,-0.2675694525241852,-0.4631957709789276,-1.3594200611114502,-0.5327438712120056,-0.08565258979797363,-0.14760230481624603,-0.2521267533302307,-0.3557552695274353,-1.0377236604690552,-0.37582263350486755,-0.13427121937274933,-0.1444329172372818,-3.929331850826924,5.264789959549599,-2.541389226115558,0.3013886933469894,0.18903543049852947,0.029260996420417212,0.5069681,-2.0627127,1.625247,-0.941351,-1.406912,0.24300313,0.5069681,-2.0627127,1.625247,-0.941351,-1.406912,0.24300313,0.5190063714981079,-2.048741102218628,1.640081763267517,-0.9344891905784607,-1.3984559774398804,0.24657729268074036,-0.30095664,-0.34928668,-0.37086794,-0.17154518,-0.21139945,-0.08935393,-0.20267771,0.0,0.0,0.0,0.0,,,False,0,0.01301165723394443,0.2051364318868543,0.20584976903811386,0.2176334079337872,-0.18393632453945807,0.11361004729802467,0.9999455292312689,0.0051540252218445996,-0.002131069740080745,0.008820152782198207,0.12354892,-0.2330849,0.3045104,0.2184271600886647,4.504098615143448e-05,0.00013312599912751466,0.0005730199918616563,0.0003459900035522878,0.00017560500418767333,0.0001113559992518276,0.0018125689966836944,0.018538511998485774,0.020351080995169468,49.13743895163898,0
5,0.12008081100066192,0.5173382759094238,-2.050643106500143,1.6380026976214808,-0.9354280394366761,-1.3996613661395472,0.24609336256980896,-0.24804383516311646,-0.45231080055236816,-1.3628159761428833,-0.49415650963783264,-0.09489361196756363,-0.13802067935466766,-0.24371738731861115,-0.3325425386428833,-1.0292609930038452,-0.3754618167877197,-0.13205963373184204,-0.14334242045879364,-4.53516616645847,5.173556504804697,-2.1620672462534705,0.2957129836920216,0.2040089353079,0.04392168882708551,0.5050754,-2.064648,1.6231688,-0.9423104,-1.4081936,0.24248505,0.5050754,-2.064648,1.6231688,-0.9423104,-1.4081936,0.24248505,0.5173382759094238,-2.0506432056427,1.6380027532577515,-0.9354280233383179,-1.3996614217758179,0.24609336256980896,-0.3065718,-0.35011795,-0.37084776,-0.17205979,-0.2133051,-0.090207964,-0.20205805,0.0,0.0,0.0,0.0,,,False,0,0.013888800724726875,0.20509478536401188,0.20651567537849663,0.2177052884048311,-0.18391413603189444,0.11361345642674639,0.9999446143908485,0.0052492579587847905,-0.00206730676164325,0.008887726467504698,0.12354892,-0.2330849,0.3045104,0.21846014526558485,4.486700345296413e-05,0.0001329689985141158,0.0005607380007859319,0.0003479870065348223,0.0001916799956234172,0.00012812300701625645,0.0019343739986652508,0.01731691499298904,0.019251288991654292,51.944573707948294,0
6,0.14013988799706567,0.5156731605529785,-2.05252804378652,1.6359379927264612,-0.9363525074771424,-1.4008382002459925,0.24561741948127747,-0.2461540549993515,-0.5434160232543945,-1.3728346824645996,-0.5149402022361755,-0.06905142962932587,-0.14463910460472107,-0.24324601888656616,-0.32478585839271545,-1.027915596961975,-0.37552252411842346,-0.13276062905788422,-0.142947256565094,-4.584185022960509,5.077788000556133,-2.468413246271562,0.29683883090861,0.20325239047121352,0.0468292817022759,0.5031686,-2.066602,1.6211426,-0.9432135,-1.409509,0.24197818,0.5031686,-2.066602,1.6211426,-0.9432135,-1.409509,0.24197818,0.5156731605529785,-2.052528142929077,1.635938048362732,-0.9363524913787842,-1.4008382558822632,0.24561741948127747,-0.3126151,-0.35184777,-0.36988622,-0.17152634,-0.21676573,-0.09098089,-0.20083877,0.0,0.0,0.0,0.0,,,False,0,0.014755395125069362,0.20505287259687513,0.20718110225185232,0.2176473169064064,-0.1839149997244124,0.11358091842711807,0.9999449307639461,0.0052150543311858194,-0.0024746514974828813,0.008764573887140997,0.12354892,-0.2330849,0.3045104,0.21846340789996538,4.256800457369536e-05,0.00012929600779898465,0.0005607639905065298,0.0002841769892256707,0.0001505410036770627,9.636599861551076e-05,0.001684456001385115,0.01822487798926886,0.019909333990653977,50.227697243384895,0
7,0.1600920190103352,0.5140290260314941,-2.054460187951559,1.6338565985309046,-0.9372638624957581,-1.402038876210348,0.24511079490184784,-0.22185096144676208,-0.5493593811988831,-1.3752943277359009,-0.5175589323043823,-0.09457285702228546,-0.13788612186908722,-0.26191821694374084,-0.3528779447078705,-1.0477285385131836,-0.38170039653778076,-0.13805370032787323,-0.14451512694358826,-4.401550281738592,5.273842459969634,-2.6091209408595777,0.29543920209056923,0.20687350730639845,0.051431251591758945,0.5013057,-2.0685513,1.6190656,-0.9441893,-1.4107798,0.24143454,0.5013057,-2.0685513,1.6190656,-0.9441893,-1.4107798,0.24143454,0.5140290260314941,-2.054460287094116,1.6338566541671753,-0.9372638463973999,-1.4020389318466187,0.24511079490184784,-0.31808242,-0.35227403,-0.3697747,-0.17313617,-0.2185237,-0.091906235,-0.20060621,0.0,0.0,0.0,0.0,,,False,0,0.015614883895523173,0.20500097990650964,0.2078583344320818,0.21771033514371937,-0.18384542787511793,0.1135123733484695,0.9999422637505261,0.005578444701064969,-0.0014890178995390741,0.009060548084308112,0.12354892,-0.2330849,0.3045104,0.218566123103549,4.560500383377075e-05,0.00019884700304828584,0.0005638239963445812,0.00028671399923041463,0.00015229301061481237,9.933099499903619e-05,0.0018067600030917674,0.01798343200061936,0.019790192003711127,50.530080749720696,0
8,0.18006676000368316,0.5122566223144531,-2.0566073856749476,1.6315982977496546,-0.9382995528033753,-1.403292481099264,0.2445954978466034,-0.2460172027349472,-0.44299787282943726,-1.2953884601593018,-0.5381141304969788,-0.05823332071304321,-0.15868248045444489,-0.24730660021305084,-0.3118848204612732,-1.0232739448547363,-0.37579044699668884,-0.1349066197872162,-0.1431245058774948,-4.053787836719692,5.519851876348563,-2.3217897830648506,0.30924069452340885,0.19022973604161444,0.05438113460041232,0.49924386,-2.0707245,1.6167841,-0.9452632,-1.4120811,0.24087021,0.49924386,-2.0707245,1.6167841,-0.9452632,-1.4120811,0.24087021,0.5122566223144531,-2.056607484817505,1.6315983533859253,-0.9382995367050171,-1.4032925367355347,0.2445954978466034,-0.32531947,-0.352928,-0.3703561,-0.17409216,-0.2197161,-0.09313231,-0.20004362,0.0,0.0,0.0,0.0,,,False,0,0.01654428251996546,0.2049550395855137,0.2086070438973377,0.21763326525770643,-0.18392359826692634,0.11362624858529392,0.9999485653423124,0.0050182657062555125,-0.002153119063557014,0.008549995289860274,0.12354892,-0.2330849,0.3045104,0.21841580330793933,4.250799247529358e-05,0.00012958599836565554,0.0005554980016313493,0.0003223569947294891,0.00017194999963976443,0.00010811100946739316,0.0018040910072159022,0.018011824999121018,0.01981591600633692,50.464485198676186,0
9,0.20008242200128734,0.5104718208312988,-2.058634420434469,1.6294263044940394,-0.9393426936915894,-1.4045136610614222,0.24408027529716492,-0.2677012085914612,-0.4354913830757141,-1.3115699291229248,-0.4946324825286865,-0.07506147772073746,-0.17191040515899658,-0.23703284561634064,-0.30573973059654236,-1.01873779296875,-0.3740483820438385,-0.13262511789798737,-0.14225241541862488,-4.0199433003355605,4.910200160857821,-1.9881706340088314,0.2897908299395844,0.19474487007501243,0.04971483789035126,0.49730518,-2.0727835,1.614661,-0.9462689,-1.413454,0.24034972,0.49730518,-2.0727835,1.614661,-0.9462689,-1.413454,0.24034972,0.5104718208312988,-2.0586345195770264,1.62942636013031,-0.9393426775932312,-1.4045137166976929,0.24408027529716492,-0.32916573,-0.353724,-0.36913565,-0.17315575,-0.2235075,-0.093263865,-0.19942656,0.0,0.0,0.0,0.0,,,False,0,0.0174651532417638,0.20490871921754367,0.2093284357452962,0.21766688500854273,-0.18390210825478018,0.11358729904266203,0.9999455380014238,0.004958315325205353,-0.0024807176141626534,0.008844520894259843,0.12354892,-0.2330849,0.3045104,0.21846916277691839,7.021000783424824e-05,0.00012951900134794414,0.0005721490015275776,0.00034880900057032704,0.00017934199422597885,0.00011281200568191707,0.0018201100028818473,0.018026731995632872,0.01984684199851472,50.38584980294785,0
