step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,grasped,obj_flag,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.024441540997941047,-0.08253413835634404,-1.7275110683836878,1.3132661024676722,-1.5904938183226527,-1.6109784285174769,-1.7474973837481897,-0.11870209127664566,-0.6367931962013245,-1.254705548286438,-0.6432827115058899,0.02876952476799488,0.046852435916662216,3.160987000193405e-17,-1.039799690246582,-1.5973023176193237,-1.0280494689941406,0.0211208276450634,0.02441970445215702,-0.043302107253574,0.05420346253760342,0.2708769513448324,7.846340135362912e-05,0.0006027529153331743,0.002635433298621643,-0.094257385,-1.7090989,1.3131646,-1.5980678,-1.6015075,-1.7449685,-0.094257385,-1.7090989,1.3131646,-1.5980678,-1.6015075,-1.7449685,-0.08253414183855057,-1.7275110483169556,1.3132661581039429,-1.5904937982559204,-1.6109784841537476,-1.7474974393844604,-0.46892983,0.7364843,-0.004064901,-0.30295846,0.37883812,0.101156846,-0.23954836,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.3422767545674672,0.09357445108445439,0.2988253964173132,0.46353451168675786,-0.025210806357599414,0.046806911781949095,-0.7189411434061488,0.011245273645714007,-0.02831312053966689,0.6944030046013433,0.3,-0.2,0.3,0.34842724036394285,2.4518987629562616e-05,0.00010548700811341405,0.00031589699210599065,0.00014605600154027343,0.0001911710132844746,0.023441449040547013,0.024439672008156776,1.3230019249022007e-06,0.02444099501008168,40.914864537532516,1
1,0.04454149701632559,-0.08257037798036748,-1.7274166546263636,1.313242260609762,-1.5904938183226527,-1.610950771962301,-1.7474973837481897,-0.31611934304237366,-0.4367527663707733,-1.1621034145355225,-0.7120672464370728,0.0945764109492302,0.05648854002356529,-0.15556283295154572,-0.7752086520195007,-1.5712425708770752,-1.0730139017105103,0.07241903245449066,0.04136953502893448,0.2408077635529866,-0.16696353070043216,0.48778315167362096,-0.007985197165793234,-0.0031946899011682695,0.004397194314488648,-0.09317524,-1.7086583,1.3138843,-1.5977311,-1.6017051,-1.7443391,-0.09317524,-1.7086583,1.3138843,-1.5977311,-1.6017051,-1.7443391,-0.082570381462574,-1.7274166345596313,1.3132423162460327,-1.5904937982559204,-1.6109508275985718,-1.7474974393844604,-0.42419428,0.75033057,0.02567944,-0.2894945,0.3698291,0.12633273,-0.23474975,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.34229684853615466,0.09356724058417365,0.2988025360637372,0.46351156960387646,-0.025232472002510636,0.046786705072788023,-0.7189402605230362,0.011470446566510561,-0.02816102499470747,0.6944063840864094,0.3,-0.2,0.3,0.34842028951386217,1.6229983884841204e-05,6.0959020629525185e-05,0.00030474900268018246,0.0001282180310226977,6.533396663144231e-05,3.821996506303549e-05,0.0007722359732724726,0.019269017037004232,0.020041253010276705,49.89707976278841,1
2,0.06454842397943139,-0.08285314241518194,-1.7269746265807093,1.3132575193988245,-1.5906406841673792,-1.610755745564596,-1.7474663893329065,-0.3101271986961365,-0.37802502512931824,-1.1319032907485962,-0.7786296010017395,0.15477481484413147,0.15438908338546753,-0.30381616950035095,-0.6656659841537476,-1.5551800727844238,-1.1627449989318848,0.15267182886600494,0.08016087114810944,0.7377573525639944,-0.3871394967112093,0.2178902862736215,-0.003314018694570085,-0.025780468762095547,0.002144478527990878,-0.093493745,-1.7082618,1.3138803,-1.5979687,-1.6015226,-1.7443243,-0.093493745,-1.7082618,1.3138803,-1.5979687,-1.6015226,-1.7443243,-0.08285314589738846,-1.726974606513977,1.3132575750350952,-1.590640664100647,-1.6107558012008667,-1.7474664449691772,-0.42562404,0.74851227,0.024908192,-0.29312217,0.36933032,0.12568401,-0.23334312,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.3424173412633814,0.09350900982514815,0.29867374200270175,0.4634948101781784,-0.02520638035978338,0.04672019003815503,-0.7187714212911999,0.011273454543726557,-0.02849495995590584,0.6945708371061573,0.3,-0.2,0.3,0.3484738551727063,1.802900806069374e-05,6.331701297312975e-05,0.00020338501781225204,0.0001314639812335372,6.564403884112835e-05,4.106300184503198e-05,0.0006844819872640073,0.019240327004808933,0.01992480899207294,50.18868689771875,1
3,0.08451713499380276,-0.0834878126727503,-1.7261058292784632,1.3132270018206995,-1.5909868679442347,-1.6102879683123987,-1.747314755116598,-0.31245872378349304,-0.29100626707077026,-1.1379565000534058,-0.8223356604576111,0.18122722208499908,0.175337016582489,-0.3192400336265564,-0.6406316757202148,-1.5530340671539307,-1.1646448373794556,0.15541774034500122,0.13145509362220764,0.6696112688522748,-0.07787485704004937,0.3967039481499478,0.007866179449794636,-0.010176972133701745,0.01715083887120449,-0.09412115,-1.7073952,1.3138168,-1.5983244,-1.6010431,-1.7441872,-0.09412115,-1.7073952,1.3138168,-1.5983244,-1.6010431,-1.7441872,-0.08348781615495682,-1.726105809211731,1.3132270574569702,-1.5909868478775024,-1.6102880239486694,-1.7473148107528687,-0.42533347,0.74842453,0.023587098,-0.2935038,0.3697981,0.12510152,-0.23384319,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.3426793496842605,0.09338593727319508,0.29845239752677083,0.4635364350289376,-0.02518860289025556,0.046826998838278754,-0.7190191630419612,0.011798316746305885,-0.028217579985297864,0.6943169326823602,0.3,-0.2,0.3,0.3484246860337644,3.216305049136281e-05,8.708401583135128e-05,0.00025780696887522936,0.0002350840368308127,0.00010064395610243082,5.432497709989548e-05,0.0009666719706729054,0.01891609700396657,0.019882768974639475,50.29480558143097,1
4,0.10451302002184093,-0.08434802690614873,-1.7246896229186,1.3132455984698694,-1.5916058025755824,-1.6095488707171839,-1.7470877806292933,-0.33003076910972595,-0.33826133608818054,-1.1612999439239502,-0.8279898166656494,0.19980761408805847,0.17041116952896118,-0.31952965259552,-0.6433715224266052,-1.558826208114624,-1.1648215055465698,0.15838494896888733,0.16290827095508575,0.4565043745973107,0.024079032771550102,0.31485359548927366,0.021581173561065276,-0.013363066916491053,0.060208179783914365,-0.09497304,-1.7059702,1.313832,-1.5989443,-1.6002954,-1.7439736,-0.09497304,-1.7059702,1.313832,-1.5989443,-1.6002954,-1.7439736,-0.08434803038835526,-1.7246896028518677,1.3132456541061401,-1.59160578250885,-1.6095489263534546,-1.747087836265564,-0.42500058,0.7487774,0.023454148,-0.2935416,0.37013942,0.12456829,-0.23357134,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.34309252051326844,0.09323874106964415,0.29807571252556,0.46354585415915517,-0.02519870547827418,0.046796369563389124,-0.7187910880901395,0.011460198783444557,-0.02847329536001148,0.6945482547106746,0.3,-0.2,0.3,0.34844629518033876,4.387705121189356e-05,0.00012461096048355103,0.0004415549919940531,0.0002617000136524439,0.00014643301256000996,0.00014695996651425958,0.001507759967353195,0.01834123703883961,0.019848997006192803,50.380379405972214,1
5,0.12453179201111197,-0.08552009264101201,-1.7227918110289515,1.3132575193988245,-1.5923768482603968,-1.608574692402975,-1.7468283812152308,-0.37539100646972656,-0.343315064907074,-1.1753642559051514,-0.8517470359802246,0.18351812660694122,0.15051013231277466,-0.3129081428050995,-0.6593930125236511,-1.568068265914917,-1.163930058479309,0.16150613129138947,0.16277101635932922,0.4819790249289432,-0.18577074974043814,0.3196902918653707,0.0077338492814293565,-0.026210390991803112,0.04774162680411086,-0.09613322,-1.7040681,1.3138224,-1.5997316,-1.5993054,-1.7437367,-0.09613322,-1.7040681,1.3138224,-1.5997316,-1.5993054,-1.7437367,-0.08552009612321854,-1.7227917909622192,1.3132575750350952,-1.5923768281936646,-1.6085747480392456,-1.7468284368515015,-0.42452493,0.74895006,0.022592487,-0.29419038,0.37077305,0.1236666,-0.23343553,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.34363759556576046,0.09303087378227178,0.2975649351330119,0.46352609144068124,-0.025197356038935005,0.04682551455265759,-0.7189010476635435,0.011750282393854268,-0.0282371864215829,0.6944392561690125,0.3,-0.2,0.3,0.34841651823422637,3.818201366811991e-05,0.00018665200332179666,0.0007357730064541101,0.00035502499667927623,0.00022963201627135277,0.00011403404641896486,0.0020539950346574187,0.01780501799657941,0.019859013031236827,50.354969727199965,1
6,0.14451249496778473,-0.08697396913637334,-1.7205969295897425,1.313242260609762,-1.5932418308653773,-1.6073840300189417,-1.74652606645693,-0.23985572159290314,-0.3980526924133301,-1.2653045654296875,-0.8513484597206116,0.158718079328537,0.14146089553833008,-0.25208356976509094,-0.763613224029541,-1.5919773578643799,-1.1552960872650146,0.1657293736934662,0.16012150049209595,0.36345715049486726,-0.0465415152835322,0.16780241839989768,0.009033088119933022,-0.02343830158359464,0.045059339509519014,-0.09756969,-1.7018638,1.313794,-1.6006058,-1.5981,-1.7434573,-0.09756969,-1.7018638,1.313794,-1.6006058,-1.5981,-1.7434573,-0.08697397261857986,-1.7205969095230103,1.3132423162460327,-1.593241810798645,-1.6073840856552124,-1.7465261220932007,-0.42382872,0.7493268,0.022066697,-0.29456347,0.37136662,0.12275414,-0.2331845,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.34427549022358644,0.09277055124777707,0.29697884434946403,0.46355781835302473,-0.025203871274153165,0.04677588818176913,-0.7188873966712416,0.011336662033230029,-0.028190375305054804,0.6944621779784241,0.3,-0.2,0.3,0.3484642026776254,5.80140040256083e-05,0.00015960598830133677,0.0004807619843631983,0.0002997989649884403,0.00015119503950700164,0.00010470201959833503,0.001819284982047975,0.017948962980881333,0.01976824796292931,50.586172425359315,1
7,0.1645124779897742,-0.08846789995302373,-1.7182823620238246,1.313235108052389,-1.5942093334593714,-1.6061819235431116,-1.7462123076068323,-0.2043772041797638,-0.5185719728469849,-1.272367000579834,-0.8296974897384644,0.18482807278633118,0.16908195614814758,-0.20945018529891968,-0.8374000787734985,-1.5946701765060425,-1.1491891145706177,0.1682414412498474,0.15828245878219604,-0.21300103490466143,0.1491428148475373,0.2048501289337459,0.010982997520245147,-0.00316885008720861,0.04193063401894888,-0.09904875,-1.6995425,1.3137649,-1.6015879,-1.5968804,-1.743169,-0.09904875,-1.6995425,1.3137649,-1.6015879,-1.5968804,-1.743169,-0.08846790343523026,-1.7182823419570923,1.3132351636886597,-1.5942093133926392,-1.6061819791793823,-1.746212363243103,-0.4232339,0.7495924,0.021192916,-0.29514277,0.37206367,0.12173552,-0.23297225,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.3449509599204752,0.09249448287758467,0.2963665790292204,0.46356201727976115,-0.025238432339528744,0.04678460458264072,-0.7190717747841422,0.011585493853026036,-0.02787927709548671,0.6942796871732977,0.3,-0.2,0.3,0.34844250412844796,3.595795715227723e-05,0.00012906204210594296,0.00046682095853611827,0.0003137859748676419,0.00014679000014439225,0.00010045303497463465,0.001509679015725851,0.01834498898824677,0.01985466800397262,50.36598948921811,1
8,0.18457369500538334,-0.08975488344301397,-1.716017862359518,1.3132627646075647,-1.5950890980162562,-1.6050856749164026,-1.7459128538714808,-0.2176750898361206,-0.6113477349281311,-1.260986089706421,-0.8456419110298157,0.17517516016960144,0.1641765832901001,-0.18717734515666962,-0.8780292272567749,-1.5823699235916138,-1.14561128616333,0.16925722360610962,0.15726065635681152,-0.44954631027709435,0.3434428665154316,-0.08967358872885811,0.017257967573141082,-0.00027191312109510176,0.03642096102429727,-0.100320704,-1.6972705,1.3137708,-1.6024846,-1.5957665,-1.742896,-0.100320704,-1.6972705,1.3137708,-1.6024846,-1.5957665,-1.742896,-0.08975488692522049,-1.7160178422927856,1.3132628202438354,-1.595089077949524,-1.6050857305526733,-1.7459129095077515,-0.4226328,0.7498933,0.02031995,-0.29581878,0.37276563,0.120677896,-0.23281114,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.3455770233750766,0.09226567163321321,0.2957424789040178,0.4635534400177518,-0.025187304289424072,0.04679222183532645,-0.7189618846751475,0.011391968847336177,-0.028066690339216424,0.6943891649545718,0.3,-0.2,0.3,0.3484585892553381,3.421498695388436e-05,0.00011598301352933049,0.00046209595166146755,0.0002394390176050365,0.00017118098912760615,0.00010257097892463207,0.001451002957765013,0.01847917103441432,0.019930173992179334,50.175176613731686,1
9,0.2045726659707725,-0.09091645876039678,-1.7140528164305628,1.3132661024676722,-1.5958720646300257,-1.6040671507464808,-1.7455709616290491,-0.20889399945735931,-0.5535064339637756,-1.1921565532684326,-0.8695957064628601,0.15863195061683655,0.16925740242004395,-0.1779271364212036,-0.8970927596092224,-1.56327223777771,-1.143705129623413,0.16936980187892914,0.15677036345005035,-0.24511423385457387,0.24003533066669341,-0.15461222652021697,0.013120831034661298,-0.009116859593582917,0.0382094684405785,-0.10147055,-1.6953012,1.3137504,-1.6032827,-1.5947343,-1.7425767,-0.10147055,-1.6953012,1.3137504,-1.6032827,-1.5947343,-1.7425767,-0.0909164622426033,-1.7140527963638306,1.3132661581039429,-1.5958720445632935,-1.6040672063827515,-1.7455710172653198,-0.4221636,0.7500653,0.019367846,-0.2964262,0.3733146,0.11977124,-0.23273204,0.0,0.0,0.0,0.0,0.0002941175,1.17647,False,3,0.3461305307580889,0.09206588955983078,0.29521065742400554,0.4635633949839105,-0.025169334647894507,0.04681086907138955,-0.7188636293398661,0.011582533568871255,-0.028115701729890547,0.6944857493938678,0.3,-0.2,0.3,0.34845872772169734,3.6159995943307877e-05,0.00012450601207092404,0.00044258596608415246,0.00036037503741681576,0.00017436296911910176,0.0001530880108475685,0.0016351010417565703,0.018218638957478106,0.019853739999234676,50.36834369940112,1
