step,time,q0,q1,q2,q3,q4,q5,current0,current1,current2,current3,current4,current5,ctrl_output0,ctrl_output1,ctrl_output2,ctrl_output3,ctrl_output4,ctrl_output5,tcp_force0,tcp_force1,tcp_force2,tcp_force3,tcp_force4,tcp_force5,ctrl_pre_alpha0,ctrl_pre_alpha1,ctrl_pre_alpha2,ctrl_pre_alpha3,ctrl_pre_alpha4,ctrl_pre_alpha5,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,obs_q0,obs_q1,obs_q2,obs_q3,obs_q4,obs_q5,action0,action1,action2,action3,action4,action5,action6,gripper_norm,gripper_ctrl,finger_pos_est,gripper_obs,gripper_fb_pos,gripper_fb_pct,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,target_x,target_y,target_z,box_to_target_dist,recv_time_s,mocap_time_s,obs_time_s,policy_time_s,ctrl_time_s,send_time_s,compute_time_s,sleep_time_s,loop_dt_true_s,loop_hz_true,overrun_count
0,0.12054012101725675,-6.024037496388246e-06,-1.999979635278219,1.5999921003924769,-1.6000286541380824,-1.499976936970846,1.9073486328125e-06,0.12396314740180969,-0.512080729007721,-0.9894001483917236,-0.7424526214599609,0.08871759474277496,0.053736601024866104,1.264017423738303e-17,-0.690782368183136,-1.675234079360962,-1.1898435354232788,0.15039952099323273,0.03192070871591568,-3.824659599736005,-1.6825691219893606,0.469212214510935,-0.07866833896254656,0.5432391564331059,-0.06146562320732528,-0.0060132626,-1.9716785,1.6173064,-1.5899746,-1.5087652,0.009221931,-0.0060132626,-1.9716785,1.6173064,-1.5899746,-1.5087652,0.009221931,-6.024037702445639e-06,-1.9999796152114868,1.5999921560287476,-1.60002863407135,-1.4999769926071167,1.9073486328125e-06,-0.15018097,0.7075266,0.4328548,0.25135094,-0.21970466,0.2305006,0.80842847,1.0,0.032337138652801516,0.025,0.0,0.00264705,10.5882,0.2701218108678495,0.14777915584624812,0.2764350389448126,0.4202236727515355,0.08529970755258187,0.04326321927175354,0.3,-0.2,0.3,0.4021982523002878,3.1275005312636495e-05,9.790598414838314e-05,6.0407997807487845e-05,0.00015783801791258156,7.256100070662796e-05,0.11994318099459633,0.12053551600547507,4.027999239042401e-06,0.12053954400471412,8.29603271073343,1
1,0.14062458902481012,-0.0021007696734827164,-1.9897972546019496,1.6063960234271448,-1.5964609585204066,-1.50311786333193,0.0033316246699541807,-0.2638667821884155,-0.1539444625377655,-0.7816362977027893,-0.44735807180404663,-0.17237216234207153,0.22753745317459106,-0.2532024383544922,-0.3953750431537628,-1.356615662574768,-1.0006780624389648,-0.01851171813905239,0.19326907396316528,-3.2365272703180548,-1.3152854091671904,-0.21038141972641888,-0.07031470512375138,0.5021952134423582,-0.039984300372049815,-0.006138698,-1.9598317,1.6254474,-1.581765,-1.5138732,0.0073153973,-0.006138698,-1.9598317,1.6254474,-1.581765,-1.5138732,0.0073153973,-0.0021007696632295847,-1.9897972345352173,1.6063960790634155,-1.5964609384536743,-1.5031179189682007,0.0033316246699541807,-0.10094822,0.749137,0.47628155,0.36739567,-0.26888272,0.09959431,0.66988975,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.27039436041290527,0.14646998530296906,0.27064429971174375,0.4202661249130206,0.08532214279578092,0.043308705005961456,0.3,-0.2,0.3,0.40219782675962973,5.966098979115486e-05,0.0001309349900111556,0.0001172649790532887,0.0003304659912828356,0.00022815997363068163,0.00010966201080009341,0.0014401990047190338,0.01848244501161389,0.019922644016332924,50.19414085701591,1
2,0.16065004200208932,-0.0028675238238733414,-1.9863983593382777,1.6083276907550257,-1.5954295597472132,-1.5041235128985804,0.0044733756221830845,-0.2025962471961975,-0.20664818584918976,-0.8071407675743103,-0.4034619629383087,-0.16651803255081177,0.2073093205690384,-0.2137182056903839,-0.5377381443977356,-1.4538633823394775,-1.0575425624847412,0.008261468261480331,0.18504437804222107,-4.02017389048013,-1.6308660077924908,0.33462751607677066,-0.08399471991388174,0.5208054265355201,-0.03038761707538577,-0.0066879448,-1.9563521,1.627166,-1.5808816,-1.5148107,0.008482976,-0.0066879448,-1.9563521,1.627166,-1.5808816,-1.5148107,0.008482976,-0.0028675238136202097,-1.9863983392715454,1.6083277463912964,-1.595429539680481,-1.504123568534851,0.0044733756221830845,-0.09551052,0.751157,0.4709577,0.3636971,-0.26717812,0.10023999,0.6676464,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.27051932617813085,0.14602462687577467,0.26882191147913725,0.4202231935464078,0.08531819645246407,0.04330518855077736,0.3,-0.2,0.3,0.40218443613931915,6.0241989558562636e-05,8.976299432106316e-05,0.0001731569936964661,0.0003076530119869858,0.00026968700694851577,0.0001976549974642694,0.001514015020802617,0.018330309976590797,0.019844324997393414,50.39224060941109,1
3,0.18061675102217123,-0.003579441701070607,-1.9831634960570277,1.6102011839496058,-1.59429993251943,-1.505195442830221,0.005516218487173319,-0.17825064063072205,-0.31322047114372253,-0.8279878497123718,-0.444536417722702,-0.10867920517921448,0.19378319382667542,-0.193999245762825,-0.6125185489654541,-1.503448486328125,-1.0839731693267822,0.02158459648489952,0.180044025182724,-3.869267738854105,-1.1801347392741872,-0.3040996684177253,-0.06080834808016136,0.5125870439654389,-0.03804893544531127,-0.007162456,-1.9530381,1.6288068,-1.5799159,-1.5157886,0.00955761,-0.007162456,-1.9530381,1.6288068,-1.5799159,-1.5157886,0.00955761,-0.0035794416908174753,-1.9831634759902954,1.6102012395858765,-1.5942999124526978,-1.5051954984664917,0.005516218487173319,-0.08957536,0.75313395,0.46514115,0.35960105,-0.26482603,0.1010348,0.6653871,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.2705936765172952,0.14557845404038444,0.2670504071817732,0.42026925711178514,0.08532491637322559,0.04327971080016864,0.3,-0.2,0.3,0.4022192361764531,0.0001088310091290623,0.00011644099140539765,0.00016439901082776487,0.0003888710052706301,0.00027425101143307984,0.00014690798707306385,0.001733835000777617,0.017985336016863585,0.0197191710176412,50.71207096410788,1
4,0.20061669201822951,-0.004164520894185841,-1.9804164371886195,1.611807648335592,-1.593206068078512,-1.5060976187335413,0.006438659969717264,-0.19089779257774353,-0.3133237361907959,-0.833626389503479,-0.4637536108493805,-0.13530732691287994,0.19223354756832123,-0.18662048876285553,-0.6444017291069031,-1.5228378772735596,-1.0915477275848389,0.026592984795570374,0.1772162765264511,-3.4046774203831687,-1.1037665980205624,-0.3917242335546691,-0.05723721453007661,0.49131446004975926,-0.029640178397463735,-0.007549932,-1.9502169,1.630209,-1.5789717,-1.5166196,0.010514615,-0.007549932,-1.9502169,1.630209,-1.5789717,-1.5166196,0.010514615,-0.004164521116763353,-1.9804164171218872,1.6118077039718628,-1.5932060480117798,-1.506097674369812,0.006438659969717264,-0.08463528,0.75498873,0.46003053,0.35585657,-0.2630486,0.101898864,0.66322535,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.27061808762524875,0.1452068643001227,0.2655201344611787,0.42023421872400174,0.08534425130335795,0.04330724252008167,0.3,-0.2,0.3,0.4022049052422146,4.5460008550435305e-05,5.542501457966864e-05,0.0001695769897196442,0.000283901987131685,0.00014742897474206984,7.983198156580329e-05,0.001108744996599853,0.018755655008135363,0.019864400004735216,50.34131409766331,1
5,0.22060790000250563,-0.004671875630513966,-1.9780665836729945,1.6131914297686976,-1.592360635797018,-1.5067957083331507,0.00720571493729949,-0.17821981012821198,-0.3503217101097107,-0.8297656178474426,-0.45289090275764465,-0.13318811357021332,0.182862788438797,-0.18647684156894684,-0.6503559350967407,-1.5242432355880737,-1.0883636474609375,0.026671402156352997,0.17582294344902039,-3.5942383696388576,-1.252173923171263,-0.32456086500824965,-0.05818522544007834,0.4881369052820509,-0.021170710702624294,-0.007858188,-1.9478052,1.6313999,-1.5782657,-1.5172191,0.011312468,-0.007858188,-1.9478052,1.6313999,-1.5782657,-1.5172191,0.011312468,-0.004671875853091478,-1.9780665636062622,1.6131914854049683,-1.5923606157302856,-1.5067957639694214,0.00720571493729949,-0.07965781,0.7565356,0.45521033,0.35237357,-0.26058146,0.102668814,0.661471,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.27064863070708245,0.1449045364764507,0.2642257989222332,0.42027651590714643,0.08544018515447697,0.043303425956260785,0.3,-0.2,0.3,0.40228805060483847,4.004000220447779e-05,7.204999565146863e-05,9.789198520593345e-05,0.00019448201055638492,9.703802061267197e-05,5.8011995861306787e-05,0.000791658996604383,0.01909928600070998,0.019890944997314364,50.27413228154912,1
6,0.2406319770088885,-0.005063835774556935,-1.9761630497374476,1.614441219960348,-1.5916444263853968,-1.5073822180377405,0.007773636840283871,-0.21569932997226715,-0.25337615609169006,-0.8159674406051636,-0.3956884741783142,-0.1505022495985031,0.1888115406036377,-0.209296315908432,-0.5343498587608337,-1.4367862939834595,-1.0214147567749023,0.0029973993077874184,0.17650559544563293,-3.573583271148637,-1.3617690452479048,0.6440921312794466,-0.07013169233077549,0.49347558381722406,-0.035552174310600676,-0.0081601115,-1.9458574,1.6325054,-1.577661,-1.5178273,0.011914132,-0.0081601115,-1.9458574,1.6325054,-1.577661,-1.5178273,0.011914132,-0.005063835997134447,-1.9761630296707153,1.6144412755966187,-1.5916444063186646,-1.5073822736740112,0.007773636840283871,-0.07740688,0.7576406,0.45160326,0.34958518,-0.26112565,0.10351239,0.65975046,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.27064576273432844,0.14465993351102205,0.263125844570107,0.4202222501587465,0.08532502301558013,0.04330623710426543,0.3,-0.2,0.3,0.40218832784660663,3.529898822307587e-05,4.9762020353227854e-05,6.613798905164003e-05,0.00016388701624237,9.327998850494623e-05,7.062099757604301e-05,0.0007085859833750874,0.01921429400681518,0.019922879990190268,50.193546339303616,1
7,0.2606317120080348,-0.005384270344869435,-1.9743243656554164,1.6157119909869593,-1.5908123455443324,-1.508007828389303,0.00822540558874607,-0.22943076491355896,-0.17124198377132416,-0.7939894199371338,-0.4144233465194702,-0.13794614374637604,0.18560060858726501,-0.22923117876052856,-0.44086992740631104,-1.3671926259994507,-0.9703824520111084,-0.015848075971007347,0.17735910415649414,-3.4916343719601026,-1.3049996385122509,0.3448589846580602,-0.05429485188701904,0.48691332601363047,-0.023579470511462544,-0.0083505735,-1.943966,1.633605,-1.5769598,-1.5184209,0.012409425,-0.0083505735,-1.943966,1.633605,-1.5769598,-1.5184209,0.012409425,-0.005384270567446947,-1.974324345588684,1.61571204662323,-1.5908123254776,-1.5080078840255737,0.00822540558874607,-0.074157566,0.75895756,0.44732276,0.34631217,-0.26032567,0.1046005,0.6579736,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.2705969779652563,0.1444256436485531,0.26201719386267236,0.42020507598212614,0.08532707959868775,0.04332921570397488,0.3,-0.2,0.3,0.40216998782803215,5.384700489230454e-05,8.23299924377352e-05,0.00011289198300801218,0.0002792169980239123,0.0002308510011062026,0.0001494490134064108,0.0013180870155338198,0.0185243189916946,0.01984240600722842,50.39711412193201,1
8,0.2806280990189407,-0.0056565443622034195,-1.9723016224303187,1.6169121901141565,-1.5898739300169886,-1.5086587111102503,0.008617401123046875,-0.2834389805793762,-0.09413184970617294,-0.7370724678039551,-0.410153329372406,-0.15319682657718658,0.18307243287563324,-0.23994015157222748,-0.39418482780456543,-1.3322409391403198,-0.9440222382545471,-0.026193978264927864,0.17797617614269257,-2.793863400499449,-1.55315805839566,0.7116777312151241,-0.07023396778163296,0.4765993639445868,-0.02401686269764598,-0.008486389,-1.9418912,1.6346221,-1.576163,-1.519037,0.012849161,-0.008486389,-1.9418912,1.6346221,-1.576163,-1.519037,0.012849161,-0.0056565445847809315,-1.9723016023635864,1.6169122457504272,-1.5898739099502563,-1.508658766746521,0.008617401123046875,-0.07074612,0.7602601,0.44274676,0.34277055,-0.2594563,0.105794005,0.6561065,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.27054502871261404,0.14419841973092695,0.26086820954019374,0.4202438176326707,0.08533090149797118,0.04330385757819147,0.3,-0.2,0.3,0.4022004643417798,7.892801659181714e-05,0.00010119497892446816,0.00012140299077145755,0.0002632490068208426,0.00033700797939673066,0.00017755801673047245,0.0015915240219328552,0.018146621994674206,0.01973814601660706,50.66331960249109,1
9,0.3006315230159089,-0.005932156239644826,-1.9699460468687953,1.6183260122882288,-1.588771482507223,-1.5094955603228968,0.008956396952271461,-0.23971718549728394,-0.10976958274841309,-0.7488144040107727,-0.4148678779602051,-0.1567937731742859,0.18317089974880219,-0.2446890026330948,-0.3778141736984253,-1.319179654121399,-0.9325917363166809,-0.031135108321905136,0.17833350598812103,-3.079478160383409,-1.4768061012404885,0.771168416995031,-0.06456800764619129,0.4779642714918814,-0.0184911899141234,-0.008615325,-1.93947,1.6358202,-1.5752302,-1.5198386,0.013251263,-0.008615325,-1.93947,1.6358202,-1.5752302,-1.5198386,0.013251263,-0.005932156462222338,-1.969946026802063,1.6183260679244995,-1.5887714624404907,-1.5094956159591675,0.008956396952271461,-0.06707922,0.7618985,0.43735072,0.33853003,-0.25857466,0.10737165,0.6538182,1.0,0.05000000074505806,0.025,0.05000000074505806,0.00264705,10.5882,0.2704691415388414,0.14392645031403972,0.2595237220591367,0.42023426945344255,0.08532727849838405,0.04330529679389753,0.3,-0.2,0.3,0.40219412105912256,8.286000229418278e-05,0.00013202099944464862,0.00023033798788674176,0.00038572700577788055,0.0003090389946009964,9.967602090910077e-05,0.001685954979620874,0.0181491470139008,0.019835101993521675,50.41567219198616,1
